time,open,high,low,close,volume,ticker
2023-01-03,4900,5500,4900,5500,3036000,SBS
2023-01-04,5500,5600,5300,5300,1579400,SBS
2023-01-05,5200,5400,5200,5300,1122800,SBS
2023-01-06,5400,5400,5000,5100,1595300,SBS
2023-01-09,5200,5300,5100,5200,733600,SBS
2023-01-10,5200,5200,5000,5200,892900,SBS
2023-01-11,5200,5400,5100,5200,1488900,SBS
2023-01-12,5300,5300,5100,5300,529900,SBS
2023-01-13,5300,5500,5100,5200,1580900,SBS
2023-01-16,5300,5300,5100,5300,742000,SBS
2023-01-17,5300,5500,5200,5500,2502700,SBS
2023-01-18,5400,5600,5300,5500,1951300,SBS
2023-01-19,5500,5900,5400,5900,4673200,SBS
2023-01-27,5800,6000,5600,5700,1920300,SBS
2023-01-30,5800,6000,5600,5700,3356400,SBS
2023-01-31,5800,6000,5600,6000,2673400,SBS
2023-02-01,6000,6100,5300,5500,4678700,SBS
2023-02-02,5500,5700,5300,5400,2305000,SBS
2023-02-03,5400,5600,5200,5400,1548900,SBS
2023-02-06,5400,5400,5200,5400,762400,SBS
2023-02-07,5200,5500,5100,5200,1976900,SBS
2023-02-08,5300,5400,5100,5300,1255200,SBS
2023-02-09,5300,5300,5100,5100,655400,SBS
2023-02-10,5200,5200,5000,5000,1139500,SBS
2023-02-13,5100,5100,4700,4800,1524800,SBS
2023-02-14,4900,5000,4800,5000,464100,SBS
2023-02-15,4900,5200,4900,5100,696300,SBS
2023-02-16,5100,5200,5000,5200,754300,SBS
2023-02-17,5200,5200,5000,5100,663800,SBS
2023-02-20,5100,5600,5100,5600,2611400,SBS
2023-02-21,5500,5700,5300,5400,1701900,SBS
2023-02-22,5100,5400,5100,5200,1850100,SBS
2023-02-23,5100,5200,4900,5200,1353600,SBS
2023-02-24,5000,5200,4900,5000,633700,SBS
2023-02-27,5000,5000,4800,4900,974800,SBS
2023-02-28,4900,5100,4900,5000,821000,SBS
2023-03-01,5000,5200,4900,5200,1024100,SBS
2023-03-02,5100,5200,5000,5100,644500,SBS
2023-03-03,5100,5100,4900,5000,867600,SBS
2023-03-06,5000,5200,5000,5000,476400,SBS
2023-03-07,5100,5100,5000,5100,661600,SBS
2023-03-08,5000,5100,4900,5100,666900,SBS
2023-03-09,5100,5300,5000,5200,2139400,SBS
2023-03-10,5200,5200,5000,5100,825900,SBS
2023-03-13,5000,5100,4900,5000,1288500,SBS
2023-03-14,5000,5000,4800,4900,1052400,SBS
2023-03-15,4900,5300,4900,5300,3036800,SBS
2023-03-16,5200,5200,5000,5100,816800,SBS
2023-03-17,5200,5200,5000,5100,1098600,SBS
2023-03-20,5100,5100,4900,5000,752300,SBS
2023-03-21,4900,5100,4900,5100,933800,SBS
2023-03-22,5000,5100,5000,5000,351900,SBS
2023-03-23,5000,5100,4900,5000,454200,SBS
2023-03-24,5100,5200,5000,5200,1131900,SBS
2023-03-27,5100,5300,5100,5200,2786100,SBS
2023-03-28,5200,5700,5200,5500,5329500,SBS
2023-03-29,5500,5500,5300,5400,3202900,SBS
2023-03-30,5600,5700,5300,5400,2475100,SBS
2023-03-31,5500,5600,5300,5500,3684200,SBS
2023-04-03,5500,5800,5500,5600,1965500,SBS
2023-04-04,5600,6000,5500,5900,7284800,SBS
2023-04-05,5900,6100,5800,6000,4530300,SBS
2023-04-06,6000,6500,5700,5800,7243600,SBS
2023-04-07,5900,6200,5800,6100,2488900,SBS
2023-04-10,6500,6500,6000,6100,4529900,SBS
2023-04-11,5700,6200,5700,6200,3248600,SBS
2023-04-12,6100,6300,6000,6100,3229800,SBS
2023-04-13,6000,6200,5900,6000,2201300,SBS
2023-04-14,6100,6100,5700,5900,3142500,SBS
2023-04-17,6000,6000,5700,5800,1669600,SBS
2023-04-18,5800,6000,5700,6000,2254200,SBS
2023-04-19,5900,6100,5800,5900,1332700,SBS
2023-04-20,5900,6000,5800,5900,1083500,SBS
