time,open,high,low,close,volume,ticker
2023-01-03,12950,13500,12950,13450,1877900,SBT
2023-01-04,13320,13360,12730,12730,2313000,SBT
2023-01-05,12820,13000,12680,12860,1706800,SBT
2023-01-06,12820,12910,12360,12450,1966800,SBT
2023-01-09,12450,12590,12320,12320,1751500,SBT
2023-01-10,12320,12640,12320,12500,827400,SBT
2023-01-11,12640,12770,12550,12640,629700,SBT
2023-01-12,12680,12730,12500,12500,1081200,SBT
2023-01-13,12500,12730,12450,12500,2407800,SBT
2023-01-16,12500,12640,12230,12270,1700900,SBT
2023-01-17,12270,12500,12270,12410,1118700,SBT
2023-01-18,12450,12770,12410,12770,1240200,SBT
2023-01-19,12730,13140,12590,13090,2225400,SBT
2023-01-27,13140,13450,13090,13090,1866400,SBT
2023-01-30,13050,13360,12770,13230,3050700,SBT
2023-01-31,13270,13590,13230,13410,2728200,SBT
2023-02-01,13640,14320,13640,14320,11650600,SBT
2023-02-02,14640,14640,13730,14320,3426400,SBT
2023-02-03,14270,14950,14000,14640,4487400,SBT
2023-02-06,14410,14640,14140,14180,1892200,SBT
2023-02-07,14090,14090,13230,13230,5346400,SBT
2023-02-08,13270,13410,12910,13230,1877000,SBT
2023-02-09,13230,13680,13230,13230,1344500,SBT
2023-02-10,13230,13590,13230,13320,1549300,SBT
2023-02-13,13360,13360,12410,12730,2160900,SBT
2023-02-14,12730,12950,12640,12910,1285100,SBT
2023-02-15,13000,13270,12730,13180,1266100,SBT
2023-02-16,13180,13500,13180,13410,1584400,SBT
2023-02-17,13360,13500,13270,13450,1597500,SBT
2023-02-20,13500,13820,13410,13820,2148600,SBT
2023-02-21,13820,13950,13640,13640,1696300,SBT
2023-02-22,13410,13550,13180,13180,1927500,SBT
2023-02-23,13180,13180,12730,13140,1558000,SBT
2023-02-24,13140,13320,13050,13270,1570200,SBT
2023-02-27,13000,13270,12730,12730,1408200,SBT
2023-02-28,13050,13450,12910,13270,2395000,SBT
2023-03-01,13180,13450,13090,13450,1934000,SBT
2023-03-02,13450,13950,13410,13820,3641600,SBT
2023-03-03,13820,13860,13180,13180,2250000,SBT
2023-03-06,13270,13450,12950,13270,1930900,SBT
2023-03-07,13320,13410,13090,13270,1714800,SBT
2023-03-08,13230,13550,13090,13550,2723000,SBT
2023-03-09,13500,13770,13500,13680,2688100,SBT
2023-03-10,13590,13770,13360,13360,2614200,SBT
2023-03-13,13140,13500,13140,13180,1673500,SBT
2023-03-14,13140,13410,12730,12770,2598000,SBT
