time,open,high,low,close,volume,ticker
2023-01-04,21950,21950,21950,21950,100,SCD
2023-01-11,20450,20450,20450,20450,400,SCD
2023-01-13,19050,19050,19050,19050,100,SCD
2023-01-16,19100,19100,19100,19100,100,SCD
2023-01-18,17800,17800,17800,17800,100,SCD
2023-01-30,17000,17000,16600,16700,6100,SCD
2023-01-31,16000,16000,16000,16000,300,SCD
2023-02-01,15950,15950,15950,15950,100,SCD
2023-02-02,15100,15100,15100,15100,100,SCD
2023-02-03,16149,16149,16149,16149,100,SCD
2023-02-06,15150,15350,15100,15350,4400,SCD
2023-02-08,14450,14450,14450,14450,500,SCD
2023-02-09,15450,15450,15450,15450,700,SCD
2023-02-13,14500,14600,14500,14600,1200,SCD
2023-02-14,14550,14550,13800,13800,800,SCD
2023-02-15,13500,13500,13500,13500,100,SCD
2023-02-17,13150,13700,13150,13700,600,SCD
2023-02-20,14650,14650,14650,14650,400,SCD
2023-02-21,15650,15650,15650,15650,1100,SCD
2023-02-22,16650,16650,16650,16650,100,SCD
2023-02-23,17000,17000,16000,16000,800,SCD
2023-02-24,16000,16000,16000,16000,500,SCD
2023-02-27,17100,17100,17100,17100,100,SCD
2023-03-02,15950,15950,15950,15950,900,SCD
2023-03-06,15550,15550,14900,15550,1100,SCD
2023-03-07,15550,15550,15550,15550,100,SCD
2023-03-08,16000,16000,16000,16000,100,SCD
2023-03-13,16200,16200,16200,16200,200,SCD
2023-03-15,16500,16500,16500,16500,200,SCD
2023-03-16,16500,16500,16500,16500,500,SCD
2023-03-20,15400,15400,15400,15400,100,SCD
2023-03-21,16450,16450,16450,16450,100,SCD
2023-03-22,16450,16450,16450,16450,100,SCD
2023-03-24,15350,15350,15350,15350,100,SCD
2023-03-28,15800,15800,15800,15800,200,SCD
2023-04-03,15900,15900,15900,15900,500,SCD
2023-04-04,16200,16200,16200,16200,500,SCD
2023-04-05,17000,18100,17000,18100,200,SCD
2023-04-06,18900,18900,18900,18900,100,SCD
2023-04-07,19000,19000,19000,19000,100,SCD
2023-04-11,20200,20200,18500,18500,1600,SCD
2023-04-12,17500,17500,17500,17500,300,SCD
2023-04-17,18000,18000,18000,18000,3200,SCD
2023-04-19,18000,18000,18000,18000,100,SCD
2023-04-25,17500,17500,17500,17500,700,SCD
2023-04-26,17500,17500,17500,17500,500,SCD
2023-04-28,17500,17500,17500,17500,1700,SCD
2023-05-04,17500,17500,17500,17500,200,SCD
2023-05-05,16300,18650,16300,18650,500,SCD
2023-05-09,17350,17350,17350,17350,1200,SCD
2023-05-10,17350,18550,17350,18550,700,SCD
2023-05-12,17300,18500,17300,17300,1900,SCD
2023-05-15,16650,18300,16650,17700,600,SCD
2023-05-22,16600,16600,16600,16600,300,SCD
2023-05-23,16600,16600,15700,15700,3100,SCD
2023-05-24,16350,16400,16000,16000,2100,SCD
2023-05-25,16000,16000,16000,16000,100,SCD
2023-05-26,16000,16000,16000,16000,700,SCD
2023-05-29,16000,16000,16000,16000,100,SCD
2023-05-31,15000,16000,15000,16000,900,SCD
2023-06-01,16300,16300,16300,16300,100,SCD
2023-06-06,16300,16300,16300,16300,400,SCD
2023-06-07,15200,15200,15200,15200,100,SCD
2023-06-08,15250,16200,15250,16000,4100,SCD
2023-06-12,16000,16000,16000,16000,100,SCD
2023-06-13,16000,16000,16000,16000,600,SCD
2023-06-15,15200,17000,14900,17000,41100,SCD
2023-06-16,15850,17400,15850,15850,8300,SCD
2023-06-19,15850,16000,14900,14900,400,SCD
2023-06-20,15900,15900,15200,15200,3400,SCD
2023-06-21,15200,15200,14600,15100,5500,SCD
2023-06-22,15000,15100,15000,15100,4800,SCD
2023-06-26,15100,15150,14550,15150,2600,SCD
2023-06-27,15150,15350,15150,15350,1300,SCD
2023-06-28,15350,15600,15350,15600,1800,SCD
2023-06-29,15300,15300,15300,15300,100,SCD
2023-06-30,15500,15500,15500,15500,600,SCD
2023-07-03,15500,15500,14700,15050,5700,SCD
2023-07-04,15050,15150,15050,15100,2600,SCD
2023-07-05,15000,15100,15000,15100,5100,SCD
2023-07-06,15100,15100,15100,15100,100,SCD
2023-07-07,15050,15050,15050,15050,1800,SCD
2023-07-10,15100,15100,14500,14500,1200,SCD
2023-07-11,14550,15300,14550,15300,2800,SCD
2023-07-12,15300,16000,15300,16000,300,SCD
2023-07-13,16000,16000,16000,16000,1100,SCD
2023-07-14,16000,16000,16000,16000,700,SCD
2023-07-18,16000,16000,16000,16000,700,SCD
2023-07-19,15550,15550,15550,15550,600,SCD
2023-07-25,15000,15000,15000,15000,400,SCD
2023-07-26,14600,14600,14600,14600,200,SCD
2023-07-27,15000,15000,15000,15000,500,SCD
2023-07-28,15000,15000,15000,15000,200,SCD
2023-07-31,15000,15000,15000,15000,1500,SCD
2023-08-01,15000,15400,15000,15300,8400,SCD
2023-08-03,15000,15300,14700,14700,10600,SCD
2023-08-04,14700,15400,14700,15400,600,SCD
2023-08-07,15400,15400,15400,15400,200,SCD
2023-08-08,15400,15400,15400,15400,900,SCD
2023-08-09,15400,15400,15400,15400,1000,SCD
2023-08-10,15400,15400,15400,15400,200,SCD
2023-08-11,16000,16450,15400,16450,12700,SCD
2023-08-14,17600,17600,17600,17600,6300,SCD
2023-08-15,18800,18800,18800,18800,22700,SCD
2023-08-16,18750,19550,18750,19550,19800,SCD
2023-08-17,19200,19950,18200,19650,3000,SCD
2023-08-21,19800,19800,18300,18300,500,SCD
2023-08-22,17250,18300,17050,17100,2300,SCD
2023-08-23,17100,18250,16950,17000,800,SCD
2023-08-24,18000,18000,17000,17000,600,SCD
2023-08-25,17500,18000,17000,17000,1200,SCD
2023-08-29,15900,17900,15900,17900,200,SCD
2023-08-30,18000,18000,16750,18000,6000,SCD
2023-08-31,16900,16900,16800,16800,16300,SCD
2023-09-05,16050,16950,16050,16800,900,SCD
2023-09-06,15850,17700,15850,17700,300,SCD
2023-09-07,16500,17650,16500,17650,5900,SCD
2023-09-08,16700,17450,16650,17450,300,SCD
2023-09-11,16300,17000,16300,16900,1300,SCD
2023-09-12,15850,16850,15850,16850,200,SCD
2023-09-13,15850,16750,15850,16700,1900,SCD
2023-09-14,15750,16950,15750,16950,500,SCD
2023-09-15,15900,16500,15900,16500,600,SCD
2023-09-18,15450,17350,15450,17250,21500,SCD
2023-09-19,16400,16450,16300,16300,2500,SCD
2023-09-20,16300,16300,16300,16300,100,SCD
2023-09-21,15700,16000,15700,15750,1100,SCD
2023-09-22,15700,15700,15700,15700,100,SCD
2023-09-25,15100,16450,15100,15700,500,SCD
2023-09-26,15700,15700,15700,15700,2100,SCD
2023-09-27,14950,15850,14950,15300,1100,SCD
2023-09-28,15300,16100,15300,15300,3400,SCD
2023-10-02,15300,16000,15300,16000,400,SCD
2023-10-03,15200,16000,15200,16000,2900,SCD
2023-10-04,15200,15400,15200,15400,1000,SCD
2023-10-05,15400,15800,15400,15800,1800,SCD
2023-10-06,16400,16400,16400,16400,100,SCD
2023-10-10,15600,15600,15400,15500,2100,SCD
2023-10-11,16500,16500,16500,16500,100,SCD
2023-10-12,16450,16450,16450,16450,200,SCD
2023-10-13,16450,16450,16450,16450,800,SCD
