time,open,high,low,close,volume,ticker
2023-01-03,8800,9500,8800,9500,1400,SCL
2023-01-04,9500,9500,9100,9100,2100,SCL
2023-01-05,9300,9400,9300,9400,1600,SCL
2023-01-06,9100,9200,8800,9200,15000,SCL
2023-01-09,8900,9000,8800,9000,11700,SCL
2023-01-10,8800,8900,8800,8900,1500,SCL
2023-01-11,9000,9000,8900,8900,900,SCL
2023-01-12,9000,9000,9000,9000,4300,SCL
2023-01-13,10300,10300,9100,9400,25400,SCL
2023-01-16,9300,9600,9300,9500,9500,SCL
2023-01-17,9500,9500,9300,9300,8800,SCL
2023-01-18,9300,9400,9300,9300,9900,SCL
2023-01-19,9300,9500,9300,9400,11500,SCL
2023-01-27,8500,10300,8500,9300,5500,SCL
2023-01-30,9600,9700,9200,9700,38200,SCL
2023-01-31,9300,9500,9100,9500,10200,SCL
2023-02-01,9300,9400,9000,9000,28200,SCL
2023-02-02,8900,9200,8800,9200,5000,SCL
2023-02-03,9000,9100,8800,8800,22800,SCL
2023-02-06,9000,9000,8800,8800,2200,SCL
2023-02-07,9000,9000,8800,8800,7400,SCL
2023-02-08,8800,8900,8700,8700,9100,SCL
2023-02-09,8800,8800,8800,8800,7900,SCL
2023-02-10,8800,8800,8800,8800,10900,SCL
2023-02-13,8600,8700,8600,8600,20000,SCL
2023-02-14,8800,8800,8500,8600,14500,SCL
2023-02-15,8600,8900,8600,8900,300,SCL
2023-02-16,8500,9800,8500,9400,700,SCL
2023-02-17,9400,9400,9400,9400,100,SCL
2023-02-20,9000,9400,9000,9400,1000,SCL
2023-02-21,8800,9400,8800,9400,1400,SCL
2023-02-22,8900,8900,8800,8900,12600,SCL
2023-02-23,8900,8900,8600,8900,19500,SCL
2023-02-24,8800,8800,8800,8800,18300,SCL
2023-02-27,8800,9100,8700,8800,22700,SCL
2023-02-28,9400,9400,8800,8800,9000,SCL
2023-03-01,8800,8900,8800,8900,10800,SCL
2023-03-02,8900,9000,8900,8900,8400,SCL
2023-03-03,9000,9000,8400,8400,31500,SCL
2023-03-06,9200,9200,8700,8900,11300,SCL
2023-03-07,9000,9000,8900,9000,17200,SCL
2023-03-08,9100,9100,8900,9000,19200,SCL
2023-03-09,9000,10300,9000,10300,69400,SCL
2023-03-10,10500,11600,10500,11600,88700,SCL
2023-03-13,11900,11900,10500,10800,14400,SCL
2023-03-14,10900,11300,10900,10900,9800,SCL
2023-03-15,11600,11600,11400,11400,9900,SCL
2023-03-16,11800,12300,11600,11600,28600,SCL
2023-03-17,11400,11400,11200,11200,15300,SCL
2023-03-20,11900,12100,10800,10900,31100,SCL
2023-03-21,10800,10800,10500,10600,22300,SCL
2023-03-22,11400,11400,11400,11400,100,SCL
2023-03-23,11000,11000,11000,11000,500,SCL
2023-03-24,10800,10800,10800,10800,400,SCL
2023-03-27,11400,11400,11400,11400,100,SCL
2023-03-28,11100,11200,11100,11200,200,SCL
2023-03-29,11200,11200,11200,11200,100,SCL
2023-03-30,11000,11000,11000,11000,600,SCL
2023-03-31,11000,11000,11000,11000,100,SCL
2023-04-03,11100,11200,10900,11200,1600,SCL
2023-04-04,11000,11000,11000,11000,100,SCL
2023-04-05,11000,11000,11000,11000,1000,SCL
2023-04-06,11500,11500,11500,11500,100,SCL
2023-04-07,11300,11300,11000,11000,1300,SCL
2023-04-10,11100,11100,10900,11100,8400,SCL
2023-04-11,10900,11000,10800,10800,8700,SCL
2023-04-12,10800,11000,10800,11000,8200,SCL
2023-04-13,10900,11000,10900,11000,5800,SCL
2023-04-14,10900,10900,10900,10900,5500,SCL
2023-04-17,10900,10900,10900,10900,100,SCL
2023-04-18,10900,10900,10900,10900,7400,SCL
2023-04-19,10900,10900,10800,10800,4300,SCL
2023-04-20,10800,10900,10500,10500,10000,SCL
2023-04-21,10500,10500,10500,10500,1100,SCL
2023-04-24,10400,10400,10300,10300,500,SCL
2023-04-25,10100,10100,10100,10100,300,SCL
2023-04-26,10200,10200,10200,10200,900,SCL
2023-04-27,11000,11600,10600,10600,4300,SCL
2023-04-28,10600,10900,10600,10900,2900,SCL
2023-05-04,10900,11000,10900,11000,200,SCL
2023-05-05,11000,11000,10900,10900,800,SCL
2023-05-08,11300,11300,10800,11000,7000,SCL
2023-05-09,11300,11300,10900,10900,12100,SCL
2023-05-10,11300,11300,11300,11300,3500,SCL
2023-05-11,11000,11000,10900,10900,9000,SCL
2023-05-12,10900,11300,10900,10900,8400,SCL
2023-05-15,10900,10900,10900,10900,100,SCL
2023-05-16,11300,11400,11100,11300,5900,SCL
2023-05-17,11600,11600,11200,11400,2400,SCL
2023-05-18,11400,11500,11400,11500,2800,SCL
2023-05-19,11200,11200,11000,11000,3500,SCL
2023-05-22,11000,11100,11000,11100,3800,SCL
2023-05-23,11100,11100,11000,11100,10900,SCL
2023-05-24,11100,11100,11100,11100,100,SCL
2023-05-25,11100,11100,10900,10900,2600,SCL
2023-05-26,10700,10800,10700,10800,28400,SCL
2023-05-29,11000,11200,11000,11000,4300,SCL
2023-05-30,11000,11000,10900,11000,5100,SCL
2023-05-31,11500,11800,11000,11000,6300,SCL
2023-06-01,11300,11500,11300,11500,5300,SCL
2023-06-02,11500,11500,11200,11400,2400,SCL
2023-06-05,11700,11700,11200,11300,5700,SCL
2023-06-06,11300,11500,11200,11200,4500,SCL
2023-06-07,11800,12500,11800,12100,134400,SCL
2023-06-08,11900,12800,11900,12200,16900,SCL
2023-06-09,12200,12400,12000,12400,11800,SCL
2023-06-12,12300,12300,12100,12300,5300,SCL
2023-06-13,12200,12400,12000,12200,17900,SCL
2023-06-14,12200,12600,12200,12600,22500,SCL
2023-06-15,12400,12600,12300,12400,22200,SCL
2023-06-16,12500,12500,12500,12500,12500,SCL
2023-06-19,12000,12400,12000,12400,22300,SCL
2023-06-20,12300,12300,12100,12300,9600,SCL
2023-06-21,12400,12400,12200,12400,500,SCL
2023-06-22,12400,12400,12200,12300,18400,SCL
2023-06-23,13900,13900,12500,13300,145700,SCL
2023-06-26,13300,13500,13000,13500,17900,SCL
2023-06-27,13500,13500,11300,13000,28700,SCL
2023-06-28,11600,13400,11600,12600,11700,SCL
2023-06-29,12600,12900,12500,12700,28100,SCL
2023-06-30,11600,12800,11600,12800,13900,SCL
2023-07-03,12200,12500,12000,12300,10400,SCL
2023-07-04,12000,13000,12000,12300,9400,SCL
2023-07-05,12300,12800,12300,12500,4200,SCL
2023-07-06,12600,12600,12200,12200,7500,SCL
2023-07-07,12300,12900,12300,12800,17100,SCL
2023-07-10,11700,12900,11700,12700,11900,SCL
2023-07-11,13000,13000,12600,12700,2900,SCL
2023-07-12,12700,12800,12700,12700,15400,SCL
2023-07-13,13100,13100,12600,12600,2700,SCL
2023-07-14,12700,12800,12700,12700,1800,SCL
2023-07-17,12700,12800,12600,12800,3900,SCL
2023-07-18,13200,13200,12600,12700,16800,SCL
2023-07-19,12900,13000,12600,12800,16300,SCL
2023-07-20,12600,12700,12600,12700,8400,SCL
2023-07-21,14600,14600,14400,14600,142900,SCL
2023-07-24,15200,16600,14000,15000,77500,SCL
2023-07-25,14700,14800,14300,14500,33100,SCL
2023-07-26,14500,14800,14400,14800,61400,SCL
2023-07-27,14100,14700,14100,14400,18300,SCL
2023-07-28,14000,14600,14000,14600,38900,SCL
2023-07-31,14400,15000,14400,14900,25400,SCL
2023-08-01,14800,15100,14800,15000,13400,SCL
2023-08-02,15000,15200,14900,15000,18600,SCL
2023-08-03,15100,16200,15000,16000,40200,SCL
2023-08-04,16000,16300,15800,16300,10400,SCL
2023-08-07,16200,16500,16200,16500,43400,SCL
2023-08-08,16400,16400,15600,16000,17000,SCL
2023-08-09,16000,16000,15800,15800,8000,SCL
2023-08-10,15100,16500,15100,16400,38400,SCL
2023-08-11,16400,16500,16200,16400,7200,SCL
2023-08-14,16400,17400,16400,17000,35300,SCL
2023-08-15,17000,19000,17000,18600,70000,SCL
2023-08-16,18600,19000,18500,18500,42200,SCL
2023-08-17,18600,19000,18000,18000,44900,SCL
2023-08-18,19000,19000,16200,18000,97800,SCL
2023-08-21,18500,18500,17700,17800,18100,SCL
2023-08-22,18900,18900,17300,17800,8200,SCL
2023-08-23,17900,17900,17700,17800,25100,SCL
2023-08-24,18000,18100,17900,18000,20200,SCL
2023-08-25,18200,18200,17800,18000,20400,SCL
2023-08-28,18300,19000,17900,18700,37800,SCL
2023-08-29,18600,18600,18400,18500,24600,SCL
2023-08-30,16600,18900,16600,18200,6700,SCL
2023-08-31,18900,18900,18200,18300,25100,SCL
2023-09-05,18200,18700,18200,18700,23500,SCL
2023-09-06,18900,19100,18800,19000,100400,SCL
2023-09-07,19900,19900,19000,19000,7900,SCL
2023-09-08,19000,19000,18500,18700,37000,SCL
2023-09-11,18700,18700,18400,18400,15900,SCL
2023-09-12,18600,18900,18500,18900,10300,SCL
2023-09-13,18900,18900,18300,18500,22300,SCL
2023-09-14,18600,18600,18300,18300,20300,SCL
2023-09-15,18400,18400,18000,18400,24800,SCL
2023-09-18,18100,18600,18100,18600,28900,SCL
2023-09-19,18500,18600,18500,18600,38300,SCL
2023-09-20,18500,18600,18500,18600,11600,SCL
2023-09-21,18600,18600,18500,18500,8200,SCL
2023-09-22,18600,18600,18300,18500,10900,SCL
2023-09-25,18600,18700,18000,18000,18600,SCL
2023-09-26,18000,18000,17700,17700,28300,SCL
2023-09-27,17900,17900,17800,17800,2700,SCL
2023-09-28,17700,17900,17600,17900,4600,SCL
2023-09-29,18000,18200,18000,18000,3000,SCL
2023-10-02,18600,18600,18000,18000,10900,SCL
2023-10-03,17900,17900,17600,17600,10400,SCL
2023-10-04,17700,18000,17600,17800,6300,SCL
2023-10-05,17900,18100,17700,17700,33400,SCL
2023-10-06,17700,17700,17600,17700,20200,SCL
2023-10-09,18500,18500,18200,18200,5500,SCL
2023-10-10,18800,18800,18400,18700,36900,SCL
2023-10-11,18200,18700,18200,18500,7100,SCL
2023-10-12,18500,19800,18500,19400,54700,SCL
