time,open,high,low,close,volume,ticker
2023-01-06,16950,16950,16950,16950,1000,SDK
2023-01-09,19310,19310,19310,19310,100,SDK
2023-01-11,22030,22030,22030,22030,200,SDK
2023-01-18,19940,19940,19940,19940,1000,SDK
2023-01-19,22930,22930,22930,22930,1100,SDK
2023-01-30,22930,23120,22930,23120,200,SDK
2023-01-31,23120,23120,23120,23120,100,SDK
2023-02-02,22660,23120,19670,23120,300,SDK
2023-02-08,22210,22210,22210,22210,100,SDK
2023-02-20,22660,23570,22660,22660,300,SDK
2023-02-27,21760,21760,21760,21760,400,SDK
2023-02-28,19940,19940,19940,19940,400,SDK
2023-03-01,22840,22840,22840,22840,400,SDK
2023-03-07,24480,26200,24480,26200,2300,SDK
2023-03-08,25110,25110,25110,25110,200,SDK
2023-03-09,23570,23570,23570,23570,1300,SDK
2023-03-21,23750,23750,23750,23750,300,SDK
2023-03-23,23570,23570,23570,23570,200,SDK
2023-03-24,23930,23930,23930,23930,200,SDK
2023-03-28,23930,23930,23930,23930,200,SDK
2023-03-29,23930,23930,23930,23930,200,SDK
2023-03-31,24290,24290,24290,24290,100,SDK
2023-04-03,24200,24200,24200,24200,500,SDK
2023-04-06,24200,24200,24200,24200,200,SDK
2023-04-07,24200,24200,24200,24200,300,SDK
2023-04-13,24930,24930,24930,24930,200,SDK
2023-05-12,24930,24930,24930,24930,200,SDK
2023-05-17,27100,27100,27100,27100,200,SDK
2023-05-22,27100,27100,24930,26290,900,SDK
2023-05-23,24930,24930,24930,24930,100,SDK
2023-05-25,24930,24930,24480,24480,800,SDK
2023-05-26,24930,26290,24930,26290,600,SDK
2023-05-29,25380,25830,25380,25380,900,SDK
2023-05-30,27190,27190,24570,24930,600,SDK
2023-05-31,25380,25380,25380,25380,100,SDK
2023-06-01,25380,26290,25380,26290,1800,SDK
2023-06-05,29010,29460,25930,28550,4400,SDK
2023-06-06,28550,29460,28550,29460,18100,SDK
2023-06-07,29370,29370,28920,29190,4700,SDK
2023-06-08,29000,29000,27800,27800,1900,SDK
2023-06-09,27800,28000,24300,26600,7400,SDK
2023-06-12,29600,29600,29600,29600,100,SDK
2023-06-13,28500,28500,28400,28400,2100,SDK
2023-06-14,27500,27500,27400,27400,800,SDK
2023-06-15,27400,27400,27400,27400,3200,SDK
2023-06-16,27000,27000,27000,27000,1000,SDK
2023-06-21,28000,28000,28000,28000,500,SDK
2023-06-22,28000,28100,28000,28100,300,SDK
2023-07-05,28000,28000,28000,28000,100,SDK
2023-07-11,28000,28000,28000,28000,200,SDK
2023-07-13,27000,27000,27000,27000,200,SDK
2023-07-14,26600,26600,26600,26600,100,SDK
2023-07-17,26600,26600,26600,26600,200,SDK
2023-07-18,26600,26600,26400,26600,16000,SDK
2023-07-20,28300,28300,25400,25400,600,SDK
2023-07-21,25600,26000,25600,26000,3500,SDK
2023-07-25,28000,28000,28000,28000,3300,SDK
2023-07-27,28000,28000,28000,28000,400,SDK
2023-07-28,28000,28000,28000,28000,1000,SDK
2023-08-01,25900,25900,25900,25900,100,SDK
2023-08-02,29700,29700,28000,28000,200,SDK
2023-08-04,27500,27500,27500,27500,400,SDK
2023-08-07,27500,27500,27500,27500,100,SDK
2023-08-08,26500,26500,26500,26500,100,SDK
2023-08-09,25600,25600,25600,25600,100,SDK
2023-08-10,29400,29400,26000,26000,200,SDK
2023-08-23,31800,31800,31800,31800,100,SDK
2023-08-31,27100,27100,27100,27100,100,SDK
2023-09-06,31100,31100,31100,31100,100,SDK
2023-09-20,28200,28200,28200,28200,100,SDK
2023-09-22,28400,28400,28400,28400,500,SDK
2023-09-28,25500,25500,25500,25500,200,SDK
2023-09-29,29300,29300,25500,29100,300,SDK
2023-10-05,28000,28000,28000,28000,100,SDK
2023-10-06,29900,29900,29900,29900,100,SDK
2023-10-10,34000,34000,34000,34000,100,SDK
