time,open,high,low,close,volume,ticker
2023-01-06,20230,20230,20230,20230,600,SDN
2023-01-09,20230,20230,20230,20230,300,SDN
2023-01-19,18230,18230,18230,18230,100,SDN
2023-01-27,16550,16550,16550,16550,400,SDN
2023-02-01,18180,18180,18180,18180,500,SDN
2023-02-03,18640,20000,18640,20000,2700,SDN
2023-02-07,21960,21960,18690,18690,10500,SDN
2023-02-08,20560,20560,20560,20560,200,SDN
2023-02-09,22610,22610,20600,22610,3800,SDN
2023-02-10,22370,22370,22280,22280,300,SDN
2023-02-13,20980,20980,20980,20980,400,SDN
2023-02-14,21020,21020,21020,21020,300,SDN
2023-02-15,23120,23120,21210,21210,5500,SDN
2023-02-20,21160,21160,21160,21160,200,SDN
2023-02-21,21160,21160,21160,21160,500,SDN
2023-02-22,19110,19110,19110,19110,100,SDN
2023-02-23,21020,21020,21020,21020,4400,SDN
2023-02-27,20980,20980,20980,20980,500,SDN
2023-03-02,19580,21440,19580,21440,2600,SDN
2023-03-03,21440,21440,21440,21440,500,SDN
2023-03-07,21440,21440,21440,21440,500,SDN
2023-03-14,21820,21820,20090,20090,600,SDN
2023-03-15,22090,22090,20090,20090,600,SDN
2023-03-16,22090,22090,20460,20460,4000,SDN
2023-03-17,22470,22470,20090,20090,5200,SDN
2023-03-20,22090,22090,21910,22090,4000,SDN
2023-03-21,22050,22050,22050,22050,200,SDN
2023-03-22,20390,20390,20390,20390,800,SDN
2023-03-27,21340,21340,21340,21340,500,SDN
2023-03-28,22280,22280,22280,22280,300,SDN
2023-04-04,21380,21380,21380,21380,100,SDN
2023-04-05,21720,21720,21720,21720,300,SDN
2023-04-06,21720,21720,21720,21720,100,SDN
2023-04-10,20580,20580,20580,20580,100,SDN
2023-04-11,21810,21810,18730,18730,1100,SDN
2023-04-17,20580,20580,20580,20580,700,SDN
2023-04-21,20620,20620,20620,20620,100,SDN
2023-05-23,21340,21340,21340,21340,300,SDN
2023-05-29,23470,23470,23470,23470,600,SDN
2023-06-26,24660,25790,24660,25790,400,SDN
2023-06-27,25790,25790,25790,25790,100,SDN
2023-07-17,25790,25790,25790,25790,100,SDN
2023-07-19,23230,23230,23230,23230,600,SDN
2023-07-24,20910,20910,20910,20910,100,SDN
2023-07-26,23000,23000,21620,21620,400,SDN
2023-07-31,21810,22760,21810,22760,300,SDN
2023-08-01,20480,20480,20480,20480,100,SDN
2023-08-04,18540,22520,18540,22520,800,SDN
2023-08-31,24750,24750,24750,24750,2000,SDN
2023-09-05,27200,27200,27200,27200,9400,SDN
2023-09-06,29900,29900,29900,29900,5600,SDN
2023-09-07,30000,30000,27200,27200,1600,SDN
2023-09-08,27200,27300,27200,27200,1000,SDN
2023-09-11,27200,29400,27200,29400,300,SDN
2023-09-12,29000,30000,28800,29900,3300,SDN
2023-09-13,30000,31000,30000,30000,800,SDN
2023-09-15,30500,30500,30500,30500,700,SDN
2023-09-18,30500,31000,30500,30900,1600,SDN
2023-09-21,30000,30000,30000,30000,300,SDN
2023-09-26,27500,27500,27500,27500,600,SDN
2023-10-04,27500,27500,27500,27500,200,SDN
2023-10-05,30000,30000,30000,30000,100,SDN
2023-10-10,32500,32500,32500,32500,200,SDN
2023-10-11,29500,29500,29500,29500,1300,SDN
