time,open,high,low,close,volume,ticker
2023-01-31,14240,14240,14240,14240,700,SEP
2023-02-07,13300,13300,13300,13300,100,SEP
2023-03-20,18550,18550,18550,18550,100,SEP
2023-03-23,15930,15930,15930,15930,3000,SEP
2023-04-21,18270,18270,18270,18270,500,SEP
2023-05-04,20990,20990,20990,20990,400,SEP
2023-05-05,24080,24080,24080,24080,100,SEP
2023-05-22,27700,27700,27700,27700,100,SEP
2023-05-24,31800,31800,31800,31800,1000,SEP
2023-05-26,27100,27100,27100,27100,100,SEP
2023-05-31,27500,31100,27500,31100,2600,SEP
2023-06-01,30500,30500,30500,30500,5500,SEP
2023-06-02,28000,28000,28000,28000,100,SEP
2023-06-06,30000,30000,30000,30000,100,SEP
2023-06-07,29000,31000,29000,31000,400,SEP
2023-06-08,31000,31000,31000,31000,500,SEP
2023-06-09,31000,31000,30000,31000,500,SEP
2023-06-12,29100,31000,29100,31000,2300,SEP
2023-06-13,30000,31000,30000,31000,5500,SEP
2023-06-15,30000,30000,30000,30000,100,SEP
2023-06-19,25500,28000,25500,28000,1200,SEP
2023-06-20,27500,30700,27500,30700,20100,SEP
2023-06-21,31000,31000,25700,25700,2400,SEP
2023-06-22,29900,31000,29900,31000,11000,SEP
2023-06-23,28900,30900,28900,30900,4300,SEP
2023-06-27,30600,30600,30600,30600,1000,SEP
2023-06-28,28500,28500,28500,28500,200,SEP
2023-06-29,25000,30500,25000,30500,500,SEP
2023-07-03,29300,30900,29300,30900,400,SEP
2023-07-10,30100,30900,30100,30900,7000,SEP
2023-07-19,31500,31500,30400,30400,500,SEP
2023-07-21,31500,31500,31500,31500,100,SEP
2023-07-25,27000,27000,27000,27000,500,SEP
2023-07-26,30500,31000,30500,31000,2000,SEP
2023-07-28,27000,27000,27000,27000,200,SEP
2023-08-01,31000,31000,23300,23300,1400,SEP
2023-08-02,30000,30000,30000,30000,700,SEP
2023-08-10,26000,26000,26000,26000,300,SEP
2023-08-16,29900,29900,29900,29900,200,SEP
2023-08-22,30900,30900,30900,30900,200,SEP
2023-08-29,30500,30500,30500,30500,1000,SEP
2023-08-30,26000,26000,26000,26000,100,SEP
2023-09-05,28600,28600,28600,28600,3000,SEP
2023-09-06,29900,29900,29900,29900,200,SEP
2023-09-12,30000,30000,30000,30000,500,SEP
2023-09-14,25500,25500,25500,25500,100,SEP
2023-09-15,29200,29300,29200,29300,1200,SEP
2023-09-21,25000,25000,25000,25000,100,SEP
2023-09-22,21300,21300,21300,21300,100,SEP
2023-10-02,21400,21400,21400,21400,100,SEP
2023-10-06,19600,19600,19600,19600,100,SEP
