time,open,high,low,close,volume,ticker
2023-03-29,20790,20790,20790,20790,100,SGD
2023-03-30,18790,18790,18790,18790,400,SGD
2023-03-31,20500,20500,20500,20500,100,SGD
2023-04-04,22500,22500,22500,22500,100,SGD
2023-04-24,20220,20220,20220,20220,100,SGD
2023-05-04,21830,21830,21830,21830,100,SGD
2023-05-05,23920,23920,23920,23920,100,SGD
2023-05-09,26200,26200,26200,26200,100,SGD
2023-05-10,27240,27240,27240,27240,100,SGD
2023-05-15,29430,29430,29430,29430,100,SGD
2023-06-08,26480,32369,26480,26480,7000,SGD
2023-06-09,26580,29050,26580,29050,11000,SGD
2023-06-12,31890,31890,26200,31890,32700,SGD
2023-06-13,28760,35030,28760,35030,6500,SGD
2023-06-14,37870,37870,35030,37780,17500,SGD
2023-06-15,34080,34080,34080,34080,100,SGD
2023-07-05,30760,30760,30760,30760,100,SGD
2023-07-11,33220,33220,27720,27720,200,SGD
2023-07-12,24960,24960,24960,24960,700,SGD
2023-07-13,22500,22500,22500,22500,100,SGD
2023-07-14,20310,20310,20310,20310,1100,SGD
2023-07-17,20310,20310,18320,18320,16800,SGD
2023-07-18,16610,16610,16520,16520,6700,SGD
2023-07-19,15950,16520,15950,16520,3900,SGD
2023-07-20,16520,16900,16520,16710,8200,SGD
2023-07-21,16710,18320,16710,18320,2300,SGD
2023-07-24,19930,20120,19930,20120,600,SGD
2023-07-25,22120,22120,22120,22120,100,SGD
2023-07-26,24300,24300,20030,20030,24800,SGD
2023-07-27,20030,20030,18230,20030,1600,SGD
2023-07-28,18320,18320,18130,18130,10400,SGD
2023-07-31,18130,18130,18130,18130,200,SGD
2023-08-01,17560,18230,17560,18230,1600,SGD
2023-08-03,18420,18420,18420,18420,100,SGD
2023-08-07,17090,18510,17090,18510,2100,SGD
2023-08-08,18510,18510,18510,18510,200,SGD
2023-08-09,18040,18040,18040,18040,100,SGD
2023-08-10,17940,17940,17940,17940,100,SGD
2023-08-11,17940,17940,17940,17940,600,SGD
2023-08-14,18040,18040,17940,18040,1700,SGD
2023-08-15,18040,18230,18040,18230,8100,SGD
2023-08-16,18230,18700,18230,18700,5900,SGD
2023-08-17,18700,18700,18700,18700,4000,SGD
2023-08-18,18700,18700,17700,18700,8200,SGD
2023-08-21,20300,20300,20300,20300,100,SGD
2023-08-24,21900,21900,21500,21500,200,SGD
2023-09-05,19400,19400,19400,19400,500,SGD
2023-09-06,18000,18000,17900,17900,5900,SGD
2023-09-08,19600,19600,19600,19600,100,SGD
2023-09-11,17800,19900,17800,19900,1000,SGD
2023-09-13,21400,21400,21400,21400,100,SGD
2023-09-14,20000,20000,20000,20000,100,SGD
2023-09-20,18100,18100,18100,18100,400,SGD
2023-09-28,19300,19300,19300,19300,100,SGD
2023-09-29,19300,19300,17400,19200,1100,SGD
