time,open,high,low,close,volume,ticker
2023-01-03,60590,61850,60590,61850,200,SGN
2023-01-04,60880,61360,60880,61360,700,SGN
2023-01-05,62810,62810,62810,62810,1600,SGN
2023-01-06,62910,62910,62720,62910,2700,SGN
2023-01-10,61360,61850,61360,61850,1600,SGN
2023-01-11,62330,62330,61850,62330,3500,SGN
2023-01-12,62330,62330,62330,62330,2100,SGN
2023-01-13,62330,62330,62330,62330,3700,SGN
2023-01-16,62330,62330,62330,62330,6400,SGN
2023-01-17,61360,61850,61360,61850,4400,SGN
2023-01-18,61850,62330,61360,62330,4700,SGN
2023-01-19,62810,62810,62810,62810,4300,SGN
2023-01-27,62810,63300,61850,63300,13800,SGN
2023-01-30,63300,64170,63300,64170,18300,SGN
2023-01-31,62040,63780,62040,63780,2600,SGN
2023-02-01,63880,63970,63880,63970,3200,SGN
2023-02-02,63780,63780,63780,63780,4600,SGN
2023-02-03,64750,65620,64260,65620,3400,SGN
2023-02-06,65620,65710,65620,65620,2700,SGN
2023-02-07,67640,67640,64360,64360,6200,SGN
2023-02-08,66200,66200,64260,64260,10100,SGN
2023-02-10,63780,63780,63780,63780,300,SGN
2023-02-13,62040,62040,62040,62040,100,SGN
2023-02-14,62430,64260,62430,64170,1500,SGN
2023-02-16,64750,64750,64750,64750,200,SGN
2023-02-20,64750,65129,64750,65129,600,SGN
2023-02-21,66680,66680,65230,65810,3100,SGN
2023-02-22,65519,65519,65519,65519,400,SGN
2023-02-23,65519,65519,65519,65519,200,SGN
2023-02-24,66200,66200,65519,65519,2500,SGN
2023-02-27,66970,66970,66970,66970,200,SGN
2023-03-01,65710,65710,64750,65710,7300,SGN
2023-03-02,63590,66680,63590,66680,3000,SGN
2023-03-03,66680,66680,64260,65710,7500,SGN
2023-03-06,65620,66580,65620,66580,1200,SGN
2023-03-07,64260,65810,64260,65710,1700,SGN
2023-03-08,64260,64260,64260,64260,6500,SGN
2023-03-09,65710,66680,65710,66580,12600,SGN
2023-03-10,66490,66580,66490,66580,1300,SGN
2023-03-13,66580,67160,64940,65040,3500,SGN
2023-03-14,65230,65230,65040,65040,1500,SGN
2023-03-15,63880,67160,63880,67160,1100,SGN
2023-03-16,65810,65810,65810,65810,1100,SGN
2023-03-17,67640,67640,67640,67640,300,SGN
2023-03-21,66000,67550,66000,67550,10300,SGN
2023-03-22,67550,67550,67550,67550,300,SGN
2023-03-23,68610,68610,68610,68610,100,SGN
2023-03-24,68130,68130,68130,68130,500,SGN
2023-03-27,68900,68900,68900,68900,400,SGN
2023-03-28,68900,69580,68900,69580,600,SGN
2023-03-29,70540,70540,70540,70540,100,SGN
2023-03-30,70060,70060,70060,70060,500,SGN
2023-03-31,70450,70450,70450,70450,100,SGN
2023-04-03,70540,70540,70540,70540,800,SGN
2023-04-04,71510,71510,71030,71030,600,SGN
2023-04-05,71320,71320,71320,71320,100,SGN
2023-04-06,72960,72960,72960,72960,100,SGN
2023-04-07,71700,71700,71700,71700,100,SGN
2023-04-10,72380,72380,70540,70540,500,SGN
2023-04-11,70540,71510,70540,71410,7300,SGN
2023-04-12,71410,71510,71410,71510,4300,SGN
2023-04-13,71510,71510,71510,71510,2000,SGN
2023-04-14,67640,71510,67640,71510,3100,SGN
2023-04-17,70540,70540,70450,70450,18100,SGN
2023-04-18,69580,69580,69580,69580,500,SGN
