time,open,high,low,close,volume,ticker
2023-01-03,12330,12620,12330,12620,45900,SGP
2023-01-04,12620,12620,12230,12420,35200,SGP
2023-01-05,12420,12620,12230,12420,64000,SGP
2023-01-06,12420,12620,12130,12330,16500,SGP
2023-01-09,12420,12420,12130,12230,30500,SGP
2023-01-10,12230,12230,12030,12030,10300,SGP
2023-01-11,12520,12520,12130,12330,30900,SGP
2023-01-12,12130,12230,12130,12230,22200,SGP
2023-01-13,12130,12620,12130,12130,37400,SGP
2023-01-16,12130,12230,12130,12130,15400,SGP
2023-01-17,12130,12330,12030,12330,54900,SGP
2023-01-18,12520,12520,12230,12330,31900,SGP
2023-01-19,12420,12520,12330,12420,46100,SGP
2023-01-27,12620,13100,12520,12910,103800,SGP
2023-01-30,12910,13980,12810,13490,155800,SGP
2023-01-31,13490,13980,13200,13680,121600,SGP
2023-02-01,13490,14070,13010,13100,124500,SGP
2023-02-02,13200,13200,12810,13010,115900,SGP
2023-02-03,13010,13010,11650,12620,79500,SGP
2023-02-06,13010,13010,12420,12620,37200,SGP
2023-02-07,12710,12710,11740,12330,63200,SGP
2023-02-08,12330,12620,12130,12230,51600,SGP
2023-02-09,11940,12520,11940,12420,14500,SGP
2023-02-10,12330,12420,12130,12330,25500,SGP
2023-02-13,12330,12330,11740,11940,34900,SGP
2023-02-14,12130,12130,11740,11940,13500,SGP
2023-02-15,12030,12230,11940,11940,26800,SGP
2023-02-16,11940,12130,11840,11840,36000,SGP
2023-02-17,12030,12230,12030,12030,37400,SGP
2023-02-20,12520,12520,12130,12420,59200,SGP
2023-02-21,12420,12520,12130,12420,62700,SGP
2023-02-22,12130,12230,12030,12030,44800,SGP
2023-02-23,12130,12230,11740,12230,46500,SGP
2023-02-24,12230,12230,11650,11940,26600,SGP
2023-02-27,11650,11840,11650,11740,15800,SGP
2023-02-28,11940,11940,11450,11650,13300,SGP
2023-03-01,11650,11740,11450,11650,30500,SGP
2023-03-02,11550,11840,11550,11650,15900,SGP
2023-03-03,11740,11840,11550,11550,26900,SGP
2023-03-06,11740,11940,11550,11650,33900,SGP
2023-03-07,11740,11740,11550,11650,14200,SGP
2023-03-08,11550,12130,11550,11940,63900,SGP
2023-03-09,11650,12030,11650,12030,19200,SGP
2023-03-10,12030,12230,12030,12030,52700,SGP
2023-03-13,11740,12030,11650,11940,16900,SGP
2023-03-14,11840,11840,11450,11650,31300,SGP
2023-03-15,11840,12130,11650,12130,39100,SGP
2023-03-16,11650,11840,11550,11840,34100,SGP
