time,open,high,low,close,volume,ticker
2023-01-03,8200,8200,7900,7900,200,SHN
2023-01-04,8500,8500,8500,8500,100,SHN
2023-01-05,9000,9000,7700,7800,2900,SHN
2023-01-06,8400,8400,7400,8000,300,SHN
2023-01-09,8700,8700,8700,8700,100,SHN
2023-01-10,9400,9400,9400,9400,100,SHN
2023-01-11,10200,10200,8500,8500,300,SHN
2023-01-12,9200,9200,9200,9200,100,SHN
2023-01-16,9500,9500,9500,9500,100,SHN
2023-01-17,10300,10300,10300,10300,100,SHN
2023-01-18,11100,11100,11100,11100,100,SHN
2023-01-19,11900,11900,11900,11900,100,SHN
2023-01-27,12500,12500,11000,11700,9100,SHN
2023-01-30,12600,12600,10600,11400,1300,SHN
2023-01-31,12300,12300,10300,10500,1900,SHN
2023-02-01,11500,11500,9500,9500,1000,SHN
2023-02-02,10100,10100,8600,8800,500,SHN
2023-02-03,9600,9600,8000,8400,800,SHN
2023-02-06,9100,9100,7600,7700,9400,SHN
2023-02-07,8200,8200,7900,7900,500,SHN
2023-02-08,8500,8500,7300,7300,400,SHN
2023-02-09,8000,8000,7000,7300,6100,SHN
2023-02-10,7900,7900,7900,7900,100,SHN
2023-02-13,7200,8600,7200,8600,3200,SHN
2023-02-14,9100,9100,8100,8200,1000,SHN
2023-02-15,8900,8900,8000,8200,400,SHN
2023-02-16,8800,8800,8000,8200,500,SHN
2023-02-17,8700,8700,8000,8200,300,SHN
2023-02-20,8700,8700,7600,8200,1500,SHN
2023-02-21,9000,9000,7700,8200,1500,SHN
2023-02-22,8900,8900,8900,8900,100,SHN
2023-02-23,8800,8800,8200,8500,500,SHN
2023-02-24,9000,9000,8100,8200,4700,SHN
2023-02-27,8900,8900,7900,8000,500,SHN
2023-02-28,8800,8800,7900,7900,300,SHN
2023-03-01,8500,8500,8500,8500,100,SHN
2023-03-02,9200,9200,7700,8000,1500,SHN
2023-03-03,8700,8700,7900,8000,2700,SHN
2023-03-06,8600,8600,7500,8000,1200,SHN
2023-03-07,8700,8700,7200,8100,1200,SHN
2023-03-08,8600,8600,7300,7900,2400,SHN
2023-03-09,8600,8600,7500,8000,900,SHN
2023-03-10,8700,8700,7800,8000,400,SHN
2023-03-13,8600,8600,7500,8000,400,SHN
2023-03-14,8600,8600,7200,8000,2100,SHN
2023-03-15,8600,8600,7300,7300,900,SHN
2023-03-16,8000,8000,7300,7700,400,SHN
2023-03-17,8300,8300,7800,7800,400,SHN
2023-03-21,8400,8400,7200,7800,700,SHN
2023-03-22,8400,8400,8400,8400,100,SHN
2023-03-23,7700,7700,7700,7700,100,SHN
2023-03-24,8200,8200,8200,8200,100,SHN
2023-03-27,8200,8200,8200,8200,100,SHN
2023-03-28,8300,8300,7700,7700,300,SHN
2023-03-29,8200,8200,8200,8200,100,SHN
2023-03-30,8300,8300,8300,8300,100,SHN
2023-03-31,8300,8300,8300,8300,100,SHN
2023-04-03,8400,8400,7400,7400,300,SHN
2023-04-04,8300,8300,8300,8300,100,SHN
2023-04-05,8500,8500,8000,8000,300,SHN
2023-04-06,7900,7900,7900,7900,100,SHN
2023-04-07,8300,8300,7600,7700,700,SHN
2023-04-07,8300,8300,8300,8300,100,SHN
2023-04-10,8200,8200,7300,7300,400,SHN
2023-04-11,8300,8300,8300,8300,100,SHN
2023-04-12,8100,8100,8100,8100,100,SHN
2023-04-13,8800,8800,8800,8800,100,SHN
2023-04-14,8100,8100,8100,8100,100,SHN
2023-04-18,7200,7200,7200,7200,2500,SHN
2023-04-19,7400,7500,7400,7500,300,SHN
2023-04-20,7100,7500,7100,7500,200,SHN
2023-04-27,7400,7400,7400,7400,200,SHN
2023-04-28,7500,7500,7500,7500,100,SHN
2023-05-05,7100,7100,7100,7100,300,SHN
2023-05-08,7400,7400,7400,7400,200,SHN
2023-05-09,7400,7400,7400,7400,100,SHN
2023-05-10,8000,8000,8000,8000,100,SHN
2023-05-11,8000,8000,8000,8000,100,SHN
2023-05-12,8200,8200,7100,7100,1600,SHN
2023-05-15,7900,7900,7900,7900,100,SHN
2023-05-16,7700,7700,7700,7700,100,SHN
2023-05-17,7600,7600,7300,7400,400,SHN
2023-05-18,7200,7200,7200,7200,200,SHN
2023-05-19,7900,7900,7900,7900,100,SHN
2023-05-22,7800,7800,7800,7800,100,SHN
2023-05-23,7900,7900,7000,7300,1200,SHN
2023-05-24,8000,8000,7200,7200,2900,SHN
2023-05-25,7800,7800,7000,7300,600,SHN
2023-05-26,7900,7900,7000,7300,1300,SHN
2023-05-29,7900,7900,7000,7000,3200,SHN
2023-05-30,7600,7600,6600,7000,10600,SHN
2023-05-31,7700,7700,7000,7200,8600,SHN
2023-06-01,7700,7700,7200,7200,300,SHN
2023-06-02,7900,7900,7000,7100,800,SHN
2023-06-05,7700,7700,6700,7000,4000,SHN
2023-06-06,7600,7600,7100,7100,500,SHN
2023-06-07,7800,7800,7000,7000,8500,SHN
2023-06-08,7700,7700,7000,7300,1100,SHN
2023-06-09,7300,7300,7000,7300,2900,SHN
2023-06-12,7500,7500,7100,7400,8400,SHN
2023-06-13,7600,7600,7400,7500,800,SHN
2023-06-14,7500,7700,7400,7700,8500,SHN
2023-06-15,8200,8200,8200,8200,3100,SHN
2023-06-16,8700,8700,8500,8500,5300,SHN
2023-06-19,8800,8800,8000,8000,1200,SHN
2023-06-20,8700,8700,8000,8000,400,SHN
2023-06-21,8800,8800,7900,7900,1200,SHN
2023-06-22,8500,8500,7500,7900,400,SHN
2023-06-23,8600,8600,7900,8100,3700,SHN
2023-06-26,8000,8100,7600,8100,500,SHN
2023-06-27,8400,8400,7900,8200,1600,SHN
2023-06-28,8200,8200,7600,8200,11900,SHN
2023-06-29,8200,8200,8200,8200,300,SHN
2023-06-30,8000,8000,8000,8000,200,SHN
2023-07-03,8100,8100,8000,8000,400,SHN
2023-07-04,8000,8200,8000,8000,18700,SHN
2023-07-05,8000,8000,7600,7600,1400,SHN
2023-07-06,8300,8300,7800,7800,2400,SHN
2023-07-07,8400,8400,8000,8000,400,SHN
