time,open,high,low,close,volume,ticker
2023-01-03,32960,33880,32960,33880,40300,SIP
2023-01-04,33880,34800,33440,34510,31600,SIP
2023-01-05,34270,34270,33440,33440,47500,SIP
2023-01-06,34270,34270,33200,33680,33300,SIP
2023-01-09,33200,33930,33100,33390,57600,SIP
2023-01-10,33540,33540,33150,33490,28900,SIP
2023-01-11,33640,33680,33200,33640,34500,SIP
2023-01-12,33440,33980,33440,33980,22000,SIP
2023-01-13,33680,34270,33680,34270,25500,SIP
2023-01-16,33980,38390,33930,37320,137800,SIP
2023-01-17,36830,39260,36830,38290,42600,SIP
2023-01-18,36590,38580,34940,37610,51000,SIP
2023-01-19,38720,39500,36590,39260,43800,SIP
2023-01-27,39740,42170,39260,41440,60800,SIP
2023-01-30,41680,42120,40950,40950,37100,SIP
2023-01-31,41240,44100,41240,43670,294700,SIP
2023-02-01,44590,45560,41630,42170,67800,SIP
2023-02-02,43620,43620,40710,41240,60100,SIP
2023-02-03,42020,42410,41440,42020,26800,SIP
2023-02-06,42170,42170,41680,41680,12600,SIP
2023-02-07,41970,42020,40760,41680,28300,SIP
2023-02-08,40760,41440,40760,41200,50600,SIP
2023-02-09,41200,41200,40710,41100,15900,SIP
2023-02-10,41150,41200,39980,40370,274400,SIP
2023-02-13,42170,42170,38820,39650,25400,SIP
2023-02-14,39260,40180,38770,39210,34500,SIP
2023-02-15,39740,39980,39350,39740,7900,SIP
2023-02-16,40230,40910,39940,40910,12700,SIP
2023-02-17,40660,40660,40080,40280,12700,SIP
2023-02-20,40280,41200,39890,41200,16600,SIP
2023-02-21,40950,41680,40760,40910,45200,SIP
2023-02-22,41920,41920,40520,40520,28800,SIP
2023-02-23,36830,40280,36830,39980,30100,SIP
2023-02-24,39740,41680,39740,40950,152800,SIP
2023-02-27,41200,41200,39740,40520,21300,SIP
2023-02-28,40280,40420,39740,39740,16700,SIP
2023-03-01,39940,40230,39740,40230,24600,SIP
2023-03-02,41580,41580,40080,40420,36500,SIP
2023-03-03,40370,40610,39260,40230,97900,SIP
2023-03-06,40080,40180,39350,40030,29800,SIP
2023-03-07,40910,40910,39450,39450,7200,SIP
2023-03-08,39740,39740,38720,39400,86400,SIP
2023-03-09,39020,39350,38770,38870,25800,SIP
2023-03-10,38920,38920,38290,38770,28500,SIP
2023-03-13,38240,38530,37950,38430,41500,SIP
2023-03-14,38290,38290,37420,38240,35700,SIP
2023-03-15,38290,39450,38190,38770,75300,SIP
2023-03-16,38430,38430,37320,38090,26800,SIP
2023-03-17,39020,39020,37560,37850,11300,SIP
2023-03-20,37950,37950,37080,37560,12900,SIP
2023-03-21,38480,38480,37320,37460,15700,SIP
2023-03-22,37800,38090,37800,38090,1900,SIP
2023-03-23,37560,37560,37560,37560,3000,SIP
2023-03-24,38290,38290,37560,38290,4600,SIP
2023-03-27,39260,39260,39260,39260,1500,SIP
2023-03-28,38820,39840,38770,39840,29900,SIP
2023-03-29,39790,41100,39650,41000,53800,SIP
2023-03-30,42210,44540,42210,43860,15000,SIP
2023-03-31,43620,44060,42750,43860,30300,SIP
2023-04-03,43620,45560,43620,44590,23700,SIP
2023-04-04,46140,46140,45030,45320,20400,SIP
2023-04-05,46040,51370,46040,48420,361800,SIP
2023-04-06,46040,52830,46040,47840,457600,SIP
2023-04-07,46580,46580,45800,46040,15400,SIP
2023-04-07,46580,46580,46530,46530,5800,SIP
2023-04-10,45800,45950,42800,42800,47700,SIP
2023-04-11,44100,44590,41680,42500,87700,SIP
2023-04-12,42020,43570,42020,42940,12200,SIP
2023-04-13,43130,43130,41680,41680,41100,SIP
2023-04-14,41780,42360,41780,42170,12000,SIP
2023-04-17,41920,41920,41680,41680,4100,SIP
2023-04-18,41340,41340,41340,41340,1200,SIP
2023-04-19,42170,43040,41680,41730,46400,SIP
2023-04-20,42360,42360,41780,42170,5200,SIP
2023-04-21,40280,40710,39690,39740,156300,SIP
2023-04-24,39060,39740,39060,39740,15100,SIP
2023-04-25,40080,40420,39740,40230,22400,SIP
2023-04-26,40130,40230,40030,40230,10200,SIP
2023-04-27,41390,41830,41100,41390,38700,SIP
2023-04-28,41200,41680,39980,41680,87500,SIP
2023-05-04,40660,40660,40660,40660,600,SIP
2023-05-05,40230,40710,40230,40710,20300,SIP
2023-05-08,40710,44100,40610,43620,109900,SIP
2023-05-09,44540,46040,44350,44640,67300,SIP
2023-05-10,44590,45070,44350,44590,22900,SIP
2023-05-11,45990,45990,44590,44730,19400,SIP
2023-05-12,45270,45270,43620,44640,21000,SIP
2023-05-15,44640,44640,43130,43130,76300,SIP
2023-05-16,43180,44100,43180,43430,16400,SIP
2023-05-17,43130,43960,43130,43860,23800,SIP
2023-05-18,43130,45800,43130,44590,79000,SIP
2023-05-19,44590,46040,44590,45560,54000,SIP
2023-05-22,45560,46720,45560,46090,30200,SIP
2023-05-23,46770,47980,46290,47250,72500,SIP
2023-05-24,47500,49440,47450,48470,63800,SIP
2023-05-25,49190,52250,49190,50160,96700,SIP
2023-05-26,50600,51860,49050,49920,95700,SIP
2023-05-29,50890,51370,48470,49680,120600,SIP
2023-05-30,49920,55060,49920,53310,102000,SIP
