time,open,high,low,close,volume,ticker
2023-01-03,13500,16350,13500,16350,1100,SJ1
2023-01-04,16070,16640,14740,15690,2100,SJ1
2023-01-05,14170,14170,14170,14170,200,SJ1
2023-01-06,12840,14070,12840,14070,400,SJ1
2023-01-09,12740,13690,12740,12740,300,SJ1
2023-01-10,13980,13980,11500,13220,10600,SJ1
2023-01-11,14070,14070,11980,13220,600,SJ1
2023-01-12,14070,14070,11980,12740,1400,SJ1
2023-01-13,11600,11600,11500,11600,3600,SJ1
2023-01-16,12550,12550,12550,12550,300,SJ1
2023-01-17,11500,12360,11500,12270,2600,SJ1
2023-01-18,12360,12360,12270,12270,2500,SJ1
2023-01-19,12550,12550,12550,12550,2700,SJ1
2023-01-27,13220,13220,13220,13220,400,SJ1
2023-01-30,11980,13030,11980,12930,3400,SJ1
2023-01-31,11790,13880,11700,13880,2800,SJ1
2023-02-09,12550,12650,12550,12550,2200,SJ1
2023-02-10,13030,13030,13030,13030,300,SJ1
2023-02-14,11790,12930,11790,12930,1100,SJ1
2023-02-15,11790,12650,11790,12650,200,SJ1
2023-02-16,13600,13600,12740,12740,400,SJ1
2023-02-20,11890,12550,11890,12080,300,SJ1
2023-02-21,12650,12650,11030,12360,3500,SJ1
2023-02-22,12360,12650,12360,12650,1700,SJ1
2023-02-24,11790,12460,11790,12460,1000,SJ1
2023-02-27,12550,12930,12360,12360,2100,SJ1
2023-02-28,12930,12930,12740,12740,300,SJ1
2023-03-01,11790,12930,11790,12930,300,SJ1
2023-03-03,12550,12550,12550,12550,1300,SJ1
2023-03-06,12740,12740,12740,12740,400,SJ1
2023-03-07,12930,12930,12930,12930,100,SJ1
2023-03-16,11890,13220,11890,13220,500,SJ1
2023-03-23,11980,11980,11980,11980,100,SJ1
2023-03-24,13310,13310,13310,13310,600,SJ1
2023-03-29,13690,13690,13690,13690,300,SJ1
2023-03-31,13310,13310,13310,13310,100,SJ1
2023-04-04,11980,11980,11980,11980,100,SJ1
2023-04-05,13120,13120,13120,13120,100,SJ1
2023-04-06,13310,13310,13310,13310,100,SJ1
2023-04-07,14070,14070,14070,14070,300,SJ1
2023-04-07,14070,14070,14070,14070,300,SJ1
2023-04-12,12740,12740,12740,12740,100,SJ1
