time,open,high,low,close,volume,ticker
2023-01-17,14000,14000,13800,14000,32700,SJG
2023-01-19,15900,15900,15900,15900,100,SJG
2023-01-27,15800,15800,15200,15300,3900,SJG
2023-01-30,17400,17400,15300,15300,27100,SJG
2023-01-31,17000,17000,15000,15000,50200,SJG
2023-02-01,17200,17200,16400,16400,5800,SJG
2023-02-02,17000,17000,16500,16500,900,SJG
2023-02-03,15000,16600,15000,16600,1200,SJG
2023-02-07,15100,16000,15100,15100,1200,SJG
2023-02-09,16700,16700,16700,16700,100,SJG
2023-02-13,15000,15000,15000,15000,1300,SJG
2023-02-16,14000,14000,14000,14000,1100,SJG
2023-02-20,14000,16100,14000,16100,1100,SJG
2023-02-21,16000,16000,16000,16000,300,SJG
2023-02-22,15000,15000,15000,15000,1500,SJG
2023-02-27,17000,17000,17000,17000,100,SJG
2023-03-03,14600,14600,14600,14600,10000,SJG
2023-03-10,14600,14600,14600,14600,100,SJG
2023-03-16,14500,14500,13000,14200,80200,SJG
2023-03-17,12400,12500,12400,12400,43300,SJG
2023-03-27,10800,10800,10800,10800,1000,SJG
2023-03-30,11800,11800,11800,11800,1000,SJG
2023-04-03,11800,11800,11800,11800,400,SJG
2023-04-04,13200,13200,13200,13200,100,SJG
2023-04-05,11200,11200,11200,11200,1000,SJG
2023-04-06,11500,11500,11500,11500,100,SJG
2023-04-07,13000,13200,11600,13200,900,SJG
2023-04-07,13000,13000,13000,13000,100,SJG
2023-04-10,14000,14000,14000,14000,12000,SJG
2023-04-11,14500,14500,14500,14500,100,SJG
2023-04-12,16600,16600,15000,16500,3500,SJG
2023-04-13,17500,17500,17500,17500,100,SJG
2023-04-17,14600,14600,14600,14600,2000,SJG
2023-04-18,15000,15000,15000,15000,15000,SJG
2023-04-19,12800,14700,12800,12800,1000,SJG
2023-04-21,14000,14000,14000,14000,12000,SJG
2023-04-25,12000,12000,12000,12000,600,SJG
2023-04-26,11900,11900,11900,11900,200,SJG
2023-04-28,11900,13200,11900,13200,300,SJG
2023-05-04,13000,13000,13000,13000,100,SJG
2023-05-05,11500,11500,11500,11500,100,SJG
2023-05-08,12600,12600,12600,12600,400,SJG
2023-05-10,12600,13000,12600,13000,1000,SJG
2023-05-11,14900,14900,14900,14900,100,SJG
2023-05-12,16100,16100,16100,16100,100,SJG
2023-05-15,16900,16900,13500,13500,2100,SJG
2023-05-16,14000,14400,14000,14400,5100,SJG
2023-05-17,14000,14000,14000,14000,500,SJG
2023-05-18,14000,14000,14000,14000,400,SJG
2023-05-19,14800,14800,14800,14800,100,SJG
2023-05-23,16800,16800,16800,16800,300,SJG
2023-05-24,16400,16400,14800,14800,500,SJG
2023-05-25,15700,15800,15700,15800,5500,SJG
2023-05-29,13700,14000,13700,14000,400,SJG
2023-05-30,13900,13900,12300,13000,800,SJG
2023-05-31,13200,15000,13200,15000,1100,SJG
2023-06-02,13400,15400,13300,13300,6900,SJG
2023-06-05,14500,14500,14500,14500,5300,SJG
2023-06-06,16500,16500,16500,16500,100,SJG
2023-06-07,14200,16300,14200,16300,400,SJG
2023-06-08,16900,16900,16000,16000,800,SJG
2023-06-13,16100,16900,16100,16900,300,SJG
2023-06-15,16500,16500,16500,16500,100,SJG
2023-06-19,16800,16800,14200,14200,700,SJG
2023-06-22,13200,14600,13200,14500,1200,SJG
2023-06-23,13500,13500,13500,13500,4600,SJG
2023-06-27,11600,13500,11600,13500,12000,SJG
2023-06-28,14300,14300,14300,14300,100,SJG
2023-06-29,14300,14300,14300,14300,500,SJG
2023-06-30,14000,14000,14000,14000,300,SJG
2023-07-05,14000,14000,12600,12600,2500,SJG
2023-07-06,13400,13500,13400,13500,800,SJG
2023-07-07,15400,15400,15400,15400,100,SJG
2023-07-10,17700,17700,16000,16000,600,SJG
2023-07-19,13900,14000,13900,14000,24000,SJG
2023-07-24,12000,12200,12000,12200,300,SJG
2023-07-27,13900,13900,13900,13900,600,SJG
2023-07-28,13900,13900,13900,13900,1100,SJG
2023-07-31,13900,13900,13900,13900,600,SJG
2023-08-01,15800,15800,14000,14000,700,SJG
2023-08-07,14300,15900,14300,15900,300,SJG
2023-08-08,17600,17600,14500,14500,800,SJG
2023-08-09,14600,14600,14500,14500,700,SJG
2023-08-10,14500,14500,14500,14500,2500,SJG
2023-08-11,14500,14500,14500,14500,1300,SJG
2023-08-14,14500,15000,14500,15000,900,SJG
2023-08-18,13000,14700,12700,14700,5300,SJG
2023-08-21,13000,13000,13000,13000,500,SJG
2023-08-22,14900,14900,13000,14800,1500,SJG
2023-08-24,13300,13300,13300,13300,1000,SJG
2023-08-28,14800,14800,14800,14800,100,SJG
2023-08-30,14700,14700,14600,14600,67000,SJG
2023-08-31,14600,14600,14400,14400,17100,SJG
2023-09-06,15100,15100,13100,13100,1700,SJG
2023-09-07,14500,14500,14500,14500,800,SJG
2023-09-08,13300,15100,13300,15100,7600,SJG
2023-09-11,15000,15100,14900,15100,6500,SJG
2023-09-12,14500,14500,14200,14200,300,SJG
2023-09-13,14500,14500,14500,14500,800,SJG
2023-09-19,14500,14500,13300,13300,900,SJG
2023-09-22,13700,13700,13400,13500,1900,SJG
2023-09-26,13200,13200,13100,13100,700,SJG
2023-09-27,13000,13000,13000,13000,2000,SJG
2023-09-28,13500,13500,13500,13500,100,SJG
2023-10-13,13500,13500,13500,13500,500,SJG
