time,open,high,low,close,volume,ticker
2023-01-03,45900,47600,45500,47600,31000,SJS
2023-01-04,45600,46000,44600,44600,11000,SJS
2023-01-05,45000,46000,44550,44550,8000,SJS
2023-01-06,45100,45100,44000,44050,10000,SJS
2023-01-09,44000,46900,44000,46900,3400,SJS
2023-01-10,45000,46000,44600,44800,219800,SJS
2023-01-11,45000,45000,43550,44350,12400,SJS
2023-01-12,44300,46000,44250,46000,1400,SJS
2023-01-13,46000,47000,46000,47000,12500,SJS
2023-01-16,45500,46900,45000,46900,2300,SJS
2023-01-17,44600,46800,44600,46800,5300,SJS
2023-01-18,45100,46800,45100,46800,4500,SJS
2023-01-19,45300,47000,45300,47000,9000,SJS
2023-01-27,46000,48000,46000,48000,312100,SJS
2023-01-30,48500,48700,46150,48000,52200,SJS
2023-01-31,48500,48500,45100,48000,22200,SJS
2023-02-01,46350,48000,46350,47700,2400,SJS
2023-02-02,47800,47800,46500,46500,45500,SJS
2023-02-03,46000,47300,45150,46900,61800,SJS
2023-02-06,45800,47450,45000,47450,6700,SJS
2023-02-07,47500,47500,45600,45650,82000,SJS
2023-02-08,47000,47000,45400,46800,149300,SJS
2023-02-09,47800,47800,46600,46700,124600,SJS
2023-02-10,46300,48000,45650,45650,68100,SJS
2023-02-13,46800,46800,45000,45800,146200,SJS
2023-02-14,46600,46600,45100,45800,366700,SJS
2023-02-15,46500,46500,45100,45100,102300,SJS
2023-02-16,45150,45800,45000,45500,110300,SJS
2023-02-17,45500,45500,45000,45100,66400,SJS
2023-02-20,45300,45800,45000,45200,70500,SJS
2023-02-21,47800,47800,44800,45200,44000,SJS
2023-02-22,45500,45500,44100,45400,61900,SJS
2023-02-23,45300,45300,42250,45100,69800,SJS
2023-02-24,44850,44900,43300,44800,66800,SJS
2023-02-27,44700,44700,43000,44500,46500,SJS
2023-02-28,43100,44500,42100,44500,9700,SJS
2023-03-01,42600,45000,42600,44500,15900,SJS
2023-03-02,44500,44500,43500,44300,4200,SJS
2023-03-03,44300,44300,43000,43800,20200,SJS
2023-03-06,44000,45400,43000,45400,40600,SJS
2023-03-07,45350,45350,45350,45350,2000,SJS
2023-03-08,45300,45300,43100,44800,71300,SJS
2023-03-09,44700,45500,44500,44500,112500,SJS
2023-03-10,44900,44950,43500,44950,83600,SJS
2023-03-13,43200,45000,43100,45000,1200,SJS
2023-03-14,43200,44800,43100,44800,3400,SJS
2023-03-15,44000,44800,44000,44100,105300,SJS
2023-03-16,45200,45200,42600,44000,398000,SJS
2023-03-17,43800,44000,41500,44000,256900,SJS
2023-03-20,44500,44500,43900,44200,154800,SJS
2023-03-21,45000,45000,44000,44000,189800,SJS
2023-03-22,43600,43850,43600,43850,1100,SJS
2023-03-23,44000,44000,44000,44000,5200,SJS
2023-03-24,43000,43000,43000,43000,100,SJS
2023-03-27,42250,42250,42200,42200,3600,SJS
2023-03-28,42100,42100,42100,42100,1600,SJS
2023-03-29,45400,45400,42650,42650,15100,SJS
2023-03-30,44900,44900,44900,44900,5000,SJS
2023-03-31,42350,42350,42350,42350,1100,SJS
2023-04-03,42800,43000,42800,43000,1000,SJS
2023-04-04,43300,43300,42300,42400,3300,SJS
2023-04-05,42000,42000,41000,41000,2000,SJS
2023-04-06,41000,42500,41000,42500,200,SJS
2023-04-07,40850,42000,40850,41550,18400,SJS
2023-04-07,40850,41100,40850,41100,5200,SJS
2023-04-10,41000,41600,40700,41000,6800,SJS
2023-04-11,41050,44000,41050,42000,125000,SJS
2023-04-12,41900,41900,41000,41700,25100,SJS
2023-04-13,41700,41700,40300,40750,34800,SJS
2023-04-14,40000,40850,40000,40850,200,SJS
2023-04-17,40050,40100,39200,40100,8900,SJS
2023-04-18,41050,41050,40200,40200,11100,SJS
