time,open,high,low,close,volume,ticker
2023-01-03,20030,20030,20030,20030,500,SKH
2023-01-05,20490,20580,20490,20580,2200,SKH
2023-01-09,21690,21690,21690,21690,700,SKH
2023-01-10,23070,23070,22150,22150,200,SKH
2023-01-11,22610,22610,22610,22610,10000,SKH
2023-01-12,22520,22520,22520,22520,1000,SKH
2023-01-18,20400,20400,20310,20310,5000,SKH
2023-01-19,22890,23260,22800,23260,14100,SKH
2023-01-27,22800,23070,22800,23070,8000,SKH
2023-01-30,22610,22610,22610,22610,200,SKH
2023-01-31,19570,22150,19570,21230,7300,SKH
2023-02-01,22610,22610,22610,22610,1900,SKH
2023-02-02,23070,23070,23070,23070,9200,SKH
2023-02-06,23070,23070,23070,23070,5000,SKH
2023-02-08,21780,21970,21780,21970,12000,SKH
2023-02-09,21870,22150,21320,21690,41000,SKH
2023-02-10,20860,22800,20860,22800,800,SKH
2023-02-13,21690,21690,21690,21690,3300,SKH
2023-02-14,22240,22240,22240,22240,100,SKH
2023-02-15,22710,22710,22710,22710,100,SKH
2023-02-16,22150,22150,22150,22150,100,SKH
2023-02-17,23170,23170,21690,22520,400,SKH
2023-02-20,22520,22520,22520,22520,1000,SKH
2023-02-21,23170,23350,23170,23350,8800,SKH
2023-02-22,23260,23260,21320,22980,1500,SKH
2023-02-23,22980,22980,22980,22980,100,SKH
2023-02-24,24740,24740,24740,24740,100,SKH
2023-02-27,24640,24640,21600,21600,10500,SKH
2023-02-28,22610,22610,22610,22610,400,SKH
2023-03-02,22710,23070,22710,23070,6300,SKH
2023-03-03,22800,22800,22430,22430,400,SKH
2023-03-06,22610,22610,22610,22610,100,SKH
2023-03-08,21780,21780,21780,21780,1000,SKH
2023-03-09,20950,22150,20950,22060,2600,SKH
2023-03-13,20950,21690,20950,21320,11500,SKH
2023-03-15,21780,21780,21780,21780,1100,SKH
2023-03-20,21600,21600,21410,21410,600,SKH
2023-03-21,22430,22520,21230,22520,6100,SKH
2023-03-22,22610,22610,22610,22610,900,SKH
2023-03-23,22610,22610,22610,22610,1100,SKH
2023-03-24,22980,22980,22980,22980,2200,SKH
2023-03-28,22520,22520,22520,22520,300,SKH
2023-03-30,21320,21320,21320,21320,500,SKH
2023-04-04,22890,22890,22890,22890,500,SKH
2023-04-11,22890,22890,22890,22890,11500,SKH
2023-04-14,23070,23070,23070,23070,100,SKH
2023-04-17,23260,23540,23260,23540,3800,SKH
2023-04-19,23260,23260,23260,23260,500,SKH
2023-04-21,22980,22980,22980,22980,3000,SKH
2023-04-26,23070,23070,23070,23070,2000,SKH
2023-04-28,23070,23900,23070,23900,3400,SKH
2023-05-04,24800,24800,24800,24800,500,SKH
2023-05-05,26900,26900,26900,26900,100,SKH
2023-05-08,26700,26700,25900,25900,1200,SKH
2023-05-09,25000,25000,25000,25000,300,SKH
2023-05-10,25500,25500,25000,25000,7500,SKH
2023-05-11,25000,25000,25000,25000,400,SKH
2023-05-12,25000,25000,25000,25000,11900,SKH
2023-05-15,25200,25200,25200,25200,6100,SKH
2023-05-16,25500,25600,25200,25600,7500,SKH
2023-05-17,25400,25400,25400,25400,400,SKH
2023-05-18,25300,25600,25300,25600,3500,SKH
2023-05-19,25600,25600,25500,25500,1200,SKH
2023-05-22,25000,25700,25000,25700,4500,SKH
2023-05-23,26000,26000,26000,26000,100,SKH
2023-05-25,23600,25700,23600,25700,3500,SKH
2023-05-26,25100,25400,25100,25200,16300,SKH
2023-05-30,25100,25100,25100,25100,1900,SKH
2023-06-01,26000,26000,25500,25500,1500,SKH
2023-06-02,25600,25600,25600,25600,3000,SKH
2023-06-05,25100,25700,25100,25500,5200,SKH
2023-06-06,25500,25600,23900,25600,33400,SKH
2023-06-07,24200,25600,24200,25600,20900,SKH
2023-06-08,25100,25100,25100,25100,1000,SKH
2023-06-09,25600,25600,25600,25600,3000,SKH
2023-06-12,25600,25600,25000,25000,1100,SKH
2023-06-13,25000,25900,25000,25900,5400,SKH
2023-06-15,25500,26100,25500,26100,2000,SKH
2023-06-16,25700,25700,25700,25700,100,SKH
2023-06-19,25000,25000,25000,25000,300,SKH
2023-06-20,25000,26000,25000,25500,3200,SKH
2023-06-21,25500,25500,25500,25500,1600,SKH
2023-06-23,25800,25800,25800,25800,100,SKH
2023-06-26,25000,25300,24500,24500,15200,SKH
2023-06-27,24600,24600,24600,24600,2000,SKH
2023-06-28,24600,24600,24600,24600,100,SKH
2023-06-29,25800,25800,25700,25700,3100,SKH
2023-06-30,25900,25900,25900,25900,11100,SKH
2023-07-04,25000,26000,25000,25900,700,SKH
2023-07-05,26000,26000,25800,25800,1800,SKH
2023-07-06,26000,26000,25600,25600,500,SKH
2023-07-07,26000,26000,25900,25900,700,SKH
2023-07-10,26000,26000,25600,25800,10700,SKH
2023-07-11,26000,26000,25800,25800,1000,SKH
2023-07-12,25400,25900,25000,25900,3800,SKH
2023-07-13,26000,26000,26000,26000,600,SKH
2023-07-14,26000,26200,25500,26200,3600,SKH
2023-07-17,26000,29000,26000,29000,16400,SKH
2023-07-18,28000,28000,27000,27800,4500,SKH
2023-07-19,27000,28000,27000,27800,6800,SKH
2023-07-21,26700,26700,26000,26000,1900,SKH
2023-07-24,26800,26800,25100,25200,6600,SKH
2023-07-25,24000,25500,24000,25000,21600,SKH
2023-07-26,25300,25600,25200,25200,4100,SKH
2023-07-27,25600,25600,25300,25300,2700,SKH
2023-07-28,25300,25500,25300,25500,1500,SKH
2023-07-31,25500,25500,25300,25400,4900,SKH
2023-08-01,25500,25500,25500,25500,200,SKH
2023-08-02,25400,25900,25400,25400,1600,SKH
2023-08-03,25400,25500,25400,25400,3400,SKH
2023-08-04,25800,25800,25400,25400,800,SKH
2023-08-07,25800,25800,25400,25700,1900,SKH
2023-08-08,25500,25500,25400,25400,11900,SKH
