time,open,high,low,close,volume,ticker
2023-01-03,24060,24060,24060,24060,100,SKV
2023-01-04,24060,24250,24060,24250,300,SKV
2023-01-05,23700,23700,23700,23700,1000,SKV
2023-01-06,24520,24610,24520,24610,1100,SKV
2023-01-10,23610,24060,23610,24060,900,SKV
2023-01-11,24520,24520,24520,24520,100,SKV
2023-01-12,24340,24430,24340,24430,1900,SKV
2023-01-13,24160,24430,24060,24430,3100,SKV
2023-01-16,27240,27240,24340,24340,1600,SKV
2023-01-17,24160,24970,24160,24970,300,SKV
2023-01-18,24250,24970,24160,24970,5600,SKV
2023-01-19,26970,26970,24520,24520,200,SKV
2023-01-27,24340,24970,24340,24700,500,SKV
2023-01-30,24520,25430,24520,25430,14800,SKV
2023-01-31,25060,25060,25060,25060,800,SKV
2023-02-01,25150,25150,25150,25150,3300,SKV
2023-02-02,24880,25340,24880,25340,1100,SKV
2023-02-03,25340,25340,25060,25060,1700,SKV
2023-02-06,26970,28060,24970,25060,9700,SKV
2023-02-07,26880,26880,25340,26880,5100,SKV
2023-02-08,27240,27240,25520,26150,2100,SKV
2023-02-13,25520,25520,25430,25430,1700,SKV
2023-02-15,25430,25430,25430,25430,1100,SKV
2023-02-16,26790,26790,26790,26790,100,SKV
2023-02-17,28150,28150,25060,25060,500,SKV
2023-02-20,25880,25880,25880,25880,500,SKV
2023-02-21,25340,25430,25340,25430,2300,SKV
2023-02-27,24520,24970,24520,24970,4000,SKV
2023-02-28,25520,25700,25520,25700,2400,SKV
2023-03-01,25610,25610,25610,25610,200,SKV
2023-03-02,25610,25970,25610,25970,1400,SKV
2023-03-03,24970,24970,24970,24970,200,SKV
2023-03-06,26150,26150,26150,26150,100,SKV
2023-03-07,25430,25430,25430,25430,300,SKV
2023-03-09,25430,26340,25430,25880,4500,SKV
2023-03-13,26240,26240,26240,26240,100,SKV
2023-03-14,23880,23880,23880,23880,200,SKV
2023-03-15,26340,26340,26340,26340,100,SKV
2023-03-16,24700,24700,24700,24700,200,SKV
2023-03-17,24880,25430,24880,25430,1100,SKV
2023-03-20,25150,26060,25150,26060,1400,SKV
2023-03-21,26240,26240,26240,26240,100,SKV
2023-03-22,25250,25250,25250,25250,500,SKV
2023-03-23,25340,25340,25340,25340,100,SKV
2023-03-24,25880,25880,25880,25880,500,SKV
2023-03-27,25340,25340,25340,25340,1500,SKV
2023-03-28,25430,25430,25430,25430,100,SKV
2023-03-29,25430,25430,25430,25430,900,SKV
2023-03-30,25340,25340,25340,25340,200,SKV
2023-03-31,25250,25250,25250,25250,500,SKV
2023-04-03,25340,25340,25340,25340,100,SKV
2023-04-04,25520,25520,25520,25520,300,SKV
2023-04-05,27240,27240,27240,27240,100,SKV
2023-04-06,27240,27240,27240,27240,100,SKV
2023-04-07,27150,27150,27150,27150,100,SKV
2023-04-07,27150,27150,27150,27150,100,SKV
2023-04-10,27150,27150,25700,25700,200,SKV
2023-04-11,26060,26520,26060,26430,3200,SKV
2023-04-12,26340,26340,26340,26340,3000,SKV
2023-04-13,26240,26240,26060,26060,200,SKV
2023-04-17,26340,26340,26340,26340,500,SKV
2023-04-19,26340,26340,26340,26340,800,SKV
2023-04-20,26340,26430,26340,26430,1300,SKV
2023-04-21,26340,26430,26340,26340,4500,SKV
2023-04-24,26700,26700,26340,26340,7400,SKV
2023-04-25,26340,26340,26340,26340,300,SKV
2023-04-26,26340,26520,26340,26520,3800,SKV
2023-04-27,26520,26520,26520,26520,6000,SKV
2023-04-28,26880,27240,26880,27240,15500,SKV
2023-05-04,27150,27150,27150,27150,2800,SKV
2023-05-05,26610,26610,26520,26520,5600,SKV
2023-05-08,26790,26790,26610,26790,14600,SKV
2023-05-09,26790,26790,26790,26790,12000,SKV
2023-05-10,26790,26790,26790,26790,9800,SKV
2023-05-11,26700,26790,26700,26790,11500,SKV
2023-05-12,26700,26700,26700,26700,800,SKV
2023-05-15,26790,26790,26790,26790,100,SKV
2023-05-16,26790,26880,26790,26880,11200,SKV
2023-05-17,27150,27150,27150,27150,100,SKV
2023-05-18,27150,27150,27150,27150,1300,SKV
2023-05-19,27060,27060,26700,26790,30600,SKV
2023-05-22,27700,27700,27610,27700,9200,SKV
2023-05-23,28330,28330,27150,27150,7900,SKV
2023-05-24,27150,27420,27150,27330,9500,SKV
2023-05-25,28420,29880,28150,28150,54100,SKV
2023-05-26,28970,28970,28150,28150,3300,SKV
2023-05-29,28790,28790,28150,28150,5800,SKV
2023-05-30,27700,28700,27700,28700,38300,SKV
2023-05-31,27790,29510,27790,29240,117200,SKV
