time,open,high,low,close,volume,ticker
2023-01-03,7600,8000,7600,8000,500,SMA
2023-01-04,7450,7990,7450,7990,200,SMA
2023-01-05,7980,7980,7980,7980,200,SMA
2023-01-12,7430,7500,7430,7500,2500,SMA
2023-01-16,7500,7500,7000,7000,1100,SMA
2023-01-18,6700,7490,6700,7490,600,SMA
2023-01-27,7200,7200,7200,7200,5600,SMA
2023-01-31,7450,7450,7450,7450,200,SMA
2023-02-01,7450,7450,7450,7450,100,SMA
2023-02-03,7100,7100,7050,7050,600,SMA
2023-02-13,7050,7050,7050,7050,5400,SMA
2023-02-15,6600,7220,6600,7220,200,SMA
2023-02-16,6800,7250,6800,7230,500,SMA
2023-02-20,7220,7230,7220,7230,1400,SMA
2023-02-23,7010,7720,6730,7720,7200,SMA
2023-02-24,7940,7940,7940,7940,100,SMA
2023-02-27,7390,7390,7390,7390,700,SMA
2023-02-28,6880,6930,6880,6900,700,SMA
2023-03-03,6920,6920,6920,6920,100,SMA
2023-03-07,6930,7000,6920,6920,3100,SMA
2023-03-14,6920,6920,6920,6920,100,SMA
2023-03-15,6500,6930,6500,6910,3800,SMA
2023-03-22,7000,7000,7000,7000,100,SMA
2023-03-23,7000,7000,7000,7000,100,SMA
2023-03-27,6980,6990,6980,6990,400,SMA
2023-03-30,7470,7470,7470,7470,100,SMA
2023-04-03,7000,7000,7000,7000,100,SMA
2023-04-04,6560,6560,6560,6560,100,SMA
2023-04-05,7390,7390,7390,7390,1000,SMA
2023-04-10,7000,7000,6880,6900,19300,SMA
2023-04-11,6900,6900,6900,6900,200,SMA
2023-04-12,6900,6900,6900,6900,1200,SMA
2023-04-14,6900,6900,6900,6900,3000,SMA
2023-04-19,6900,6900,6900,6900,100,SMA
2023-04-20,7120,7120,7120,7120,100,SMA
2023-04-25,6900,6900,6650,6650,200,SMA
2023-04-26,6840,6840,6430,6800,1700,SMA
2023-04-27,6800,6800,6800,6800,700,SMA
2023-05-04,6510,6510,6510,6510,100,SMA
2023-05-05,6600,6600,6600,6600,300,SMA
2023-05-10,6620,7060,6610,7060,24600,SMA
2023-05-11,7150,7550,7150,7550,400,SMA
2023-05-12,8000,8070,7550,7550,6500,SMA
2023-05-15,7530,7530,7520,7520,1500,SMA
2023-05-16,8100,8450,7520,8450,20600,SMA
2023-05-17,8450,9030,8450,9030,500,SMA
2023-05-18,9500,9500,9490,9500,1000,SMA
2023-05-19,8850,10150,8840,8840,19900,SMA
2023-05-22,9400,9400,8260,9000,3700,SMA
2023-05-23,8750,8800,8750,8750,600,SMA
2023-05-24,8300,8300,8150,8200,3000,SMA
2023-05-25,7700,8090,7640,7800,3000,SMA
2023-05-26,8000,8300,8000,8300,2300,SMA
2023-05-29,8280,8280,7720,7720,22600,SMA
2023-05-30,7180,8200,7180,8200,9700,SMA
2023-05-31,8200,8200,8090,8090,1900,SMA
2023-06-01,7560,8080,7540,7990,4500,SMA
2023-06-02,7990,8080,7970,8020,17100,SMA
2023-06-05,8020,8029,8000,8000,9100,SMA
2023-06-06,7990,8189,7990,8100,25800,SMA
2023-06-07,8000,8100,7550,8100,10400,SMA
2023-06-08,7600,8000,7540,7900,50000,SMA
2023-06-09,7900,7900,7600,7850,2600,SMA
2023-06-12,7850,7850,7670,7800,4700,SMA
2023-06-13,7800,7900,7600,7880,5100,SMA
2023-06-14,7790,7790,7700,7700,12000,SMA
2023-06-15,7720,7720,7700,7700,10300,SMA
2023-06-16,8210,8210,7700,7800,7000,SMA
2023-06-19,7790,7790,7700,7700,8000,SMA
2023-06-20,7750,7800,7750,7800,500,SMA
2023-06-21,7800,7800,7800,7800,1000,SMA
2023-06-22,8150,8150,8150,8150,1900,SMA
2023-06-23,7700,7700,7700,7700,2300,SMA
2023-06-26,7700,7950,7700,7950,2700,SMA
2023-06-27,7800,7850,7780,7850,5700,SMA
2023-06-28,7850,7850,7800,7800,1800,SMA
2023-06-29,7840,8000,7810,7810,1700,SMA
2023-06-30,7850,7890,7850,7890,400,SMA
2023-07-04,7850,7850,7850,7850,100,SMA
2023-07-05,7800,7800,7800,7800,100,SMA
2023-07-06,7850,7850,7850,7850,2000,SMA
2023-07-07,7800,7800,7800,7800,700,SMA
2023-07-10,7800,7810,7800,7800,8200,SMA
2023-07-11,7820,7820,7260,7700,6800,SMA
2023-07-12,7250,7750,7230,7750,9600,SMA
2023-07-13,7830,7830,7510,7530,600,SMA
2023-07-14,7700,7750,7600,7750,31900,SMA
2023-07-17,7760,7760,7750,7750,2200,SMA
2023-07-18,7800,7800,7800,7800,200,SMA
2023-07-19,7790,7800,7790,7800,15000,SMA
2023-07-20,8060,8060,8060,8060,100,SMA
2023-07-21,8060,8200,8060,8200,4100,SMA
2023-07-24,7670,7670,7670,7670,100,SMA
2023-07-25,8200,8200,8180,8200,2000,SMA
2023-07-27,7840,8300,7820,7910,10800,SMA
2023-07-28,8270,8270,8270,8270,100,SMA
2023-08-01,8100,8100,8100,8100,100,SMA
2023-08-02,8100,8100,7700,7820,19000,SMA
2023-08-03,7460,8360,7460,8360,10200,SMA
2023-08-04,8940,8940,8940,8940,2600,SMA
2023-08-07,8940,9560,8900,9560,21100,SMA
2023-08-08,10200,10200,10000,10100,36200,SMA
2023-08-09,10100,10200,9400,9400,6200,SMA
2023-08-10,8750,8770,8750,8750,25900,SMA
2023-08-11,8200,8300,8189,8200,21800,SMA
2023-08-14,8250,8770,8250,8770,7100,SMA
2023-08-15,8780,8780,8300,8300,8400,SMA
2023-08-16,8210,8550,8210,8550,1400,SMA
2023-08-17,8500,8500,8200,8200,1600,SMA
2023-08-18,8189,8250,8180,8250,20300,SMA
2023-08-21,8250,8250,8250,8250,7300,SMA
2023-08-22,8000,8000,8000,8000,4800,SMA
2023-08-23,8090,8090,8090,8090,200,SMA
2023-08-24,8200,8200,8200,8200,100,SMA
2023-08-25,8770,8770,8580,8580,400,SMA
2023-08-28,8010,8820,8010,8820,200,SMA
2023-08-29,8210,9000,8210,9000,300,SMA
2023-08-30,8370,8990,8370,8990,1000,SMA
2023-08-31,8400,8400,8400,8400,600,SMA
2023-09-05,8400,8400,8400,8400,400,SMA
2023-09-06,8700,8700,8700,8700,100,SMA
2023-09-07,8750,8750,8700,8700,1400,SMA
2023-09-08,8700,8700,8700,8700,800,SMA
2023-09-11,8109,8770,8100,8690,5000,SMA
2023-09-14,8300,8300,8200,8200,8900,SMA
2023-09-15,8100,8100,8100,8100,100,SMA
2023-09-18,8400,8660,7560,8660,3400,SMA
2023-09-19,8660,9000,8080,8080,2100,SMA
2023-09-20,8080,8630,8080,8630,200,SMA
2023-09-21,8100,8630,8100,8630,2100,SMA
2023-09-22,8750,8750,8029,8700,600,SMA
2023-09-25,8160,8160,8100,8109,2700,SMA
2023-09-26,8600,8600,8600,8600,100,SMA
2023-09-27,8000,8600,8000,8000,2100,SMA
2023-09-28,8400,8400,7550,8000,8400,SMA
2023-09-29,8400,8400,8370,8380,300,SMA
2023-10-02,7900,8480,7900,8000,8400,SMA
2023-10-03,8480,8480,8100,8370,2200,SMA
2023-10-05,8480,8480,8470,8470,200,SMA
2023-10-06,7880,8950,7880,8950,5200,SMA
2023-10-09,8950,9570,8400,9520,9600,SMA
2023-10-10,8860,9800,8860,9800,13500,SMA
2023-10-12,9120,9500,9120,9500,500,SMA
2023-10-13,8840,8840,8840,8840,300,SMA
