time,open,high,low,close,volume,ticker
2023-01-03,21960,21960,21960,21960,1200,SNZ
2023-01-04,21960,21960,21860,21960,8100,SNZ
2023-01-05,21960,21960,21090,21090,1100,SNZ
2023-01-06,21860,21860,21670,21860,3800,SNZ
2023-01-09,21570,21570,21570,21570,1000,SNZ
2023-01-10,21380,21570,21190,21570,2200,SNZ
2023-01-11,21670,21670,21670,21670,200,SNZ
2023-01-12,21670,21670,21670,21670,100,SNZ
2023-01-13,21670,22540,21190,22540,3100,SNZ
2023-01-17,22820,22820,22820,22820,200,SNZ
2023-01-18,22820,26000,22820,26000,2600,SNZ
2023-01-19,21670,24080,21670,24080,600,SNZ
2023-01-27,23690,23690,23600,23600,200,SNZ
2023-01-30,23690,23690,23690,23690,500,SNZ
2023-01-31,23600,23600,23600,23600,200,SNZ
2023-02-01,23600,24080,23600,23600,8000,SNZ
2023-02-03,21770,21770,21770,21770,3200,SNZ
2023-02-06,21860,22150,21860,22150,600,SNZ
2023-02-07,21380,21380,21380,21380,500,SNZ
2023-02-08,22630,22630,21190,22150,2500,SNZ
2023-02-09,21860,21960,21860,21960,1900,SNZ
2023-02-10,22250,22250,22250,22250,500,SNZ
2023-02-15,21960,21960,21770,21960,9100,SNZ
2023-02-16,21960,21960,21960,21960,2000,SNZ
2023-02-17,22150,22150,21960,22150,800,SNZ
2023-02-20,21960,21960,21770,21960,2200,SNZ
2023-02-21,22150,22730,21670,21670,5400,SNZ
2023-02-22,21770,21770,20990,21770,15400,SNZ
2023-02-23,23880,23880,20990,20990,1600,SNZ
2023-02-24,21670,22340,21670,22250,2200,SNZ
2023-02-27,20710,20710,20220,20420,2800,SNZ
2023-02-28,20320,21670,20320,21670,400,SNZ
2023-03-01,22150,22150,19840,19840,700,SNZ
2023-03-02,21090,21090,19740,19740,6300,SNZ
2023-03-03,21090,21090,21090,21090,1000,SNZ
2023-03-06,21860,21860,19550,21090,2600,SNZ
2023-03-07,20220,20710,20220,20710,6200,SNZ
2023-03-08,20220,20220,20220,20220,900,SNZ
2023-03-09,20420,20420,20420,20420,1100,SNZ
2023-03-10,20710,20710,20710,20710,100,SNZ
2023-03-13,20420,20420,20420,20420,200,SNZ
2023-03-14,20710,21090,20420,21090,28400,SNZ
2023-03-15,20420,21960,19650,20220,3500,SNZ
2023-03-16,20220,20220,20220,20220,4000,SNZ
2023-03-17,20220,20220,20220,20220,2000,SNZ
2023-03-20,20220,20220,20220,20220,200,SNZ
2023-03-21,20220,20900,19550,20610,5400,SNZ
2023-03-22,20800,20800,20800,20800,300,SNZ
2023-03-24,19650,20990,19650,20990,600,SNZ
2023-03-27,19840,19840,19840,19840,200,SNZ
2023-03-28,19740,19740,19740,19740,100,SNZ
2023-03-29,21090,21090,21090,21090,100,SNZ
2023-03-30,19450,19450,19450,19450,200,SNZ
2023-03-31,19550,19550,19550,19550,400,SNZ
2023-04-03,20030,20710,20030,20710,700,SNZ
2023-04-04,20220,20220,20220,20220,400,SNZ
2023-04-05,20710,20710,20710,20710,100,SNZ
2023-04-06,20990,20990,20900,20900,1600,SNZ
2023-04-07,20900,20900,20710,20710,900,SNZ
2023-04-07,20900,20900,20900,20900,200,SNZ
2023-04-10,20030,20900,19740,20220,9300,SNZ
2023-04-11,20900,20900,20030,20130,2500,SNZ
2023-04-12,20710,21480,20710,21190,14300,SNZ
2023-04-13,23600,23600,23600,23600,500,SNZ
2023-04-14,21190,21190,20510,20510,1000,SNZ
2023-04-17,20610,20610,20610,20610,1000,SNZ
2023-04-18,20800,22540,20710,22540,800,SNZ
2023-04-19,21380,21380,21090,21090,2500,SNZ
2023-04-20,20510,21190,20510,21190,3400,SNZ
2023-04-21,23500,23500,23500,23500,3000,SNZ
2023-04-25,22050,22150,20900,20900,5900,SNZ
2023-04-26,23980,23980,23980,23980,600,SNZ
2023-04-27,23880,23880,21570,21570,300,SNZ
2023-04-28,24460,24460,24460,24460,1700,SNZ
2023-05-04,23600,23600,23600,23600,100,SNZ
2023-05-05,24940,24940,24940,24940,1600,SNZ
2023-05-08,22340,25420,22340,24850,24300,SNZ
2023-05-09,23210,23980,23210,23980,600,SNZ
2023-05-10,24940,24940,24560,24560,2600,SNZ
2023-05-11,23400,24270,23400,24270,2000,SNZ
2023-05-12,21960,21960,21960,21960,100,SNZ
2023-05-15,23400,23400,23110,23400,2100,SNZ
2023-05-16,24850,24850,24850,24850,500,SNZ
2023-05-17,23500,24750,23500,24270,2700,SNZ
2023-05-19,23110,23110,22920,22920,3000,SNZ
2023-05-22,24270,25810,24270,24270,28100,SNZ
2023-05-23,24270,24270,24170,24170,1300,SNZ
2023-05-24,23310,23980,23310,23980,37100,SNZ
2023-05-25,25040,25040,24080,24080,4800,SNZ
2023-05-26,24080,24370,24080,24270,2600,SNZ
2023-05-29,24170,24370,24170,24370,5600,SNZ
2023-05-30,24370,24850,24080,24080,10300,SNZ
2023-05-31,22540,24170,22540,24170,5400,SNZ
2023-06-01,24080,24080,24080,24080,3700,SNZ
2023-06-02,24080,24080,24080,24080,1100,SNZ
2023-06-05,24080,24270,24080,24270,13700,SNZ
2023-06-06,24750,24750,24270,24560,2200,SNZ
2023-06-07,24370,24370,23980,24170,9000,SNZ
2023-06-08,24560,24750,24080,24170,12000,SNZ
2023-06-09,24080,24170,24080,24080,10500,SNZ
2023-06-12,23980,24650,23980,24080,7800,SNZ
2023-06-13,24080,24080,23880,23880,5000,SNZ
2023-06-14,24080,24170,23880,23880,6100,SNZ
2023-06-15,23980,24080,23980,24080,4400,SNZ
2023-06-16,24080,24080,24080,24080,100,SNZ
2023-06-20,25040,25040,23110,23110,5800,SNZ
2023-06-21,23210,24170,23020,24080,16300,SNZ
2023-06-22,23110,23210,23110,23210,10100,SNZ
2023-06-23,23210,23500,23210,23310,11200,SNZ
2023-06-26,23210,23600,23110,23110,5100,SNZ
2023-06-27,23310,24080,23210,24080,4600,SNZ
2023-06-28,23600,23600,23110,23110,9800,SNZ
2023-06-29,23110,23500,22630,23110,4800,SNZ
2023-06-30,23310,23400,22730,22920,5300,SNZ
2023-07-03,23310,23500,22920,22920,3100,SNZ
2023-07-04,22820,23400,22820,23400,1100,SNZ
2023-07-05,23790,23790,23020,23310,8300,SNZ
2023-07-07,22730,22920,22630,22920,1400,SNZ
2023-07-10,23020,23690,23020,23690,5900,SNZ
2023-07-11,23500,23790,23500,23690,6400,SNZ
2023-07-12,23600,23790,23400,23790,400,SNZ
2023-07-13,23880,24270,23880,24270,4200,SNZ
2023-07-14,24560,24750,24080,24080,1600,SNZ
2023-07-17,24460,24750,24460,24750,7300,SNZ
2023-07-18,24750,25810,24750,25040,13200,SNZ
2023-07-19,26000,27450,26000,27450,37500,SNZ
2023-07-20,26970,27060,26000,27060,5200,SNZ
2023-07-21,26390,26390,26100,26390,3400,SNZ
2023-07-24,26390,26480,26390,26480,3400,SNZ
2023-07-25,26970,26970,26480,26870,7500,SNZ
2023-07-26,26680,26970,26580,26580,6300,SNZ
2023-07-27,26770,26770,24650,25810,14400,SNZ
2023-07-28,25910,25910,25330,25810,1000,SNZ
2023-07-31,25810,25810,25520,25520,2100,SNZ
2023-08-01,25040,25910,25040,25710,9500,SNZ
2023-08-02,25520,25810,25140,25810,3200,SNZ
2023-08-03,25040,25140,25040,25040,2000,SNZ
2023-08-04,25040,25710,25040,25620,3700,SNZ
2023-08-07,25420,26000,25420,25520,7500,SNZ
2023-08-08,25420,26480,25420,26000,12500,SNZ
2023-08-09,26000,26580,26000,26000,6300,SNZ
2023-08-10,26100,26100,26000,26000,1400,SNZ
2023-08-11,25520,26000,25520,26000,2200,SNZ
2023-08-14,26770,26770,26000,26480,10700,SNZ
2023-08-15,26480,26480,25810,25810,3100,SNZ
2023-08-16,26390,26390,26390,26390,1500,SNZ
2023-08-18,25520,26000,23880,23880,22000,SNZ
2023-08-21,23980,25230,23980,24940,2900,SNZ
2023-08-22,24370,24370,24080,24370,2000,SNZ
2023-08-23,25040,25040,24270,24270,8100,SNZ
2023-08-24,24170,24370,24080,24080,3200,SNZ
2023-08-25,24170,24270,24170,24270,1000,SNZ
2023-08-28,24560,24650,24560,24650,1500,SNZ
2023-08-29,25040,26480,25040,26000,9600,SNZ
2023-08-30,25420,26480,25420,26480,11400,SNZ
2023-08-31,26200,27060,24650,26970,40300,SNZ
2023-09-05,26100,27740,26100,27740,11200,SNZ
2023-09-06,27160,27740,27160,27350,8900,SNZ
2023-09-07,27740,29850,27740,28600,52000,SNZ
2023-09-08,28890,30820,28890,30820,26100,SNZ
2023-09-11,30820,30820,28510,30340,7900,SNZ
2023-09-12,30140,30340,27060,29370,19100,SNZ
2023-09-13,29370,29370,28030,28800,28800,SNZ
2023-09-14,27930,29850,27740,29850,15200,SNZ
2023-09-15,28220,28220,27830,27930,7100,SNZ
2023-09-18,28310,28310,28220,28220,5900,SNZ
2023-09-19,28220,28600,27930,28220,15000,SNZ
2023-09-20,28410,28700,28220,28700,9500,SNZ
2023-09-21,29800,29800,27600,29400,6100,SNZ
2023-09-22,27100,28900,27100,28800,1900,SNZ
2023-09-25,28200,28500,28200,28200,7300,SNZ
2023-09-26,26500,27000,26500,26700,7700,SNZ
2023-09-27,26700,27500,26700,27500,9000,SNZ
2023-09-28,26700,27500,26700,27500,1200,SNZ
2023-09-29,27700,28000,27700,28000,800,SNZ
2023-10-02,27800,28300,26500,28300,600,SNZ
2023-10-03,26700,26700,26700,26700,4100,SNZ
2023-10-04,26700,27000,26700,27000,2300,SNZ
2023-10-05,26800,26800,26800,26800,100,SNZ
2023-10-06,27200,27200,27200,27200,4000,SNZ
2023-10-09,26700,27400,26700,27400,300,SNZ
2023-10-10,27000,27600,27000,27500,9100,SNZ
2023-10-11,27200,27200,27000,27000,5200,SNZ
2023-10-12,27100,27100,27000,27000,3800,SNZ
