time,open,high,low,close,volume,ticker
2023-01-03,22920,22920,22920,22920,100,SPB
2023-01-05,21150,21150,19620,19620,1700,SPB
2023-01-06,23090,23090,23090,23090,100,SPB
2023-01-09,25290,25290,19790,19790,500,SPB
2023-01-10,23850,23850,23850,23850,100,SPB
2023-01-11,20300,20300,20300,20300,100,SPB
2023-01-12,23260,23260,18190,18190,1300,SPB
2023-01-13,21060,21060,21060,21060,100,SPB
2023-01-16,24110,24110,24110,24110,100,SPB
2023-01-17,20550,20550,20550,20550,1300,SPB
2023-01-18,20550,20550,20550,20550,500,SPB
2023-01-19,23510,23510,23510,23510,100,SPB
2023-02-08,26140,26140,26140,26140,100,SPB
2023-03-03,22250,22250,22250,22250,100,SPB
2023-03-06,20380,20380,20380,20380,100,SPB
2023-03-07,23350,23350,23350,23350,100,SPB
2023-03-13,19880,20300,19880,19880,1700,SPB
2023-03-20,21730,21730,21730,21730,100,SPB
2023-04-06,20870,20870,20870,20870,100,SPB
2023-04-10,17740,17740,17740,17740,100,SPB
2023-04-12,19830,19830,18030,18030,200,SPB
2023-04-20,18590,18590,18590,18590,100,SPB
2023-04-26,19160,19160,19160,19160,100,SPB
2023-05-09,16320,16320,16320,16320,100,SPB
2023-05-15,17080,17080,17080,17080,300,SPB
2023-05-22,18030,18030,18030,18030,100,SPB
2023-06-13,18500,18500,18500,18500,300,SPB
2023-06-15,18500,18500,18500,18500,100,SPB
2023-06-16,18500,18500,18500,18500,200,SPB
2023-06-21,18600,18600,18600,18600,1800,SPB
2023-06-26,18000,18000,18000,18000,700,SPB
2023-07-05,15700,15700,15700,15700,100,SPB
2023-07-07,15800,15800,15800,15800,100,SPB
2023-07-12,13900,15000,13900,14700,500,SPB
2023-07-17,14800,14800,14800,14800,200,SPB
2023-07-21,12600,15000,12600,14800,2700,SPB
2023-07-24,17000,17000,17000,17000,100,SPB
2023-07-25,19400,19400,19400,19400,100,SPB
2023-07-26,22000,22200,16500,16500,2800,SPB
2023-07-27,15600,15600,15600,15600,200,SPB
2023-08-01,14900,15400,14900,15400,200,SPB
2023-08-02,13600,13600,13600,13600,100,SPB
2023-08-03,15600,15600,15600,15600,900,SPB
2023-08-04,17900,17900,17900,17900,500,SPB
2023-08-07,17900,20400,17900,19500,600,SPB
2023-08-08,21600,21600,21600,21600,100,SPB
2023-08-09,18400,18400,18400,18400,1700,SPB
2023-08-10,16000,16000,16000,16000,2100,SPB
2023-08-11,18500,18500,18500,18500,100,SPB
2023-08-14,20000,21000,20000,21000,300,SPB
2023-08-15,21000,21800,20000,21800,800,SPB
2023-08-16,23000,23000,23000,23000,900,SPB
2023-09-19,22800,22800,22800,22800,100,SPB
2023-10-10,19400,19400,19400,19400,100,SPB
2023-10-12,16500,16500,16500,16500,600,SPB
