time,open,high,low,close,volume,ticker
2023-01-03,2400,2700,2400,2600,8300,SPI
2023-01-04,2600,2600,2500,2600,9600,SPI
2023-01-05,2500,2600,2400,2600,161100,SPI
2023-01-06,2500,2600,2400,2600,51900,SPI
2023-01-09,2400,2600,2400,2400,91800,SPI
2023-01-10,2600,2600,2400,2400,9900,SPI
2023-01-11,2400,2500,2400,2400,8600,SPI
2023-01-12,2400,2500,2300,2400,10900,SPI
2023-01-13,2400,2400,2200,2400,76900,SPI
2023-01-16,2400,2400,2200,2400,29600,SPI
2023-01-17,2400,2400,2200,2300,147700,SPI
2023-01-18,2300,2400,2300,2400,38900,SPI
2023-01-19,2500,2500,2300,2500,40500,SPI
2023-01-27,2700,2700,2400,2500,41400,SPI
2023-01-30,2700,2700,2400,2500,25900,SPI
2023-01-31,2700,2700,2400,2500,18000,SPI
2023-02-01,2500,2500,2400,2400,39600,SPI
2023-02-02,2400,2400,2300,2300,49300,SPI
2023-02-03,2300,2300,2300,2300,14100,SPI
2023-02-06,2300,2300,2300,2300,16500,SPI
2023-02-07,2300,2300,2300,2300,6900,SPI
2023-02-08,2300,2400,2300,2400,22100,SPI
2023-02-09,2400,2400,2400,2400,900,SPI
2023-02-10,2300,2400,2200,2200,50900,SPI
2023-02-13,2200,2300,2000,2300,41300,SPI
2023-02-14,2200,2200,2100,2200,59400,SPI
2023-02-15,2100,2200,2000,2100,78500,SPI
2023-02-16,2100,2100,2000,2100,30900,SPI
2023-02-17,2000,2100,1900,2100,54300,SPI
2023-02-20,2100,2200,2100,2100,33100,SPI
2023-02-21,2200,2200,2100,2200,23400,SPI
2023-02-22,2200,2200,2100,2200,79700,SPI
2023-02-23,2100,2200,2100,2200,5200,SPI
2023-02-24,2100,2200,2000,2100,11900,SPI
2023-02-27,2000,2100,1900,1900,26600,SPI
2023-02-28,1900,2000,1800,1900,41600,SPI
2023-03-01,1900,2000,1900,1900,7200,SPI
2023-03-02,2000,2000,1800,1900,46400,SPI
2023-03-03,1900,1900,1800,1900,13200,SPI
2023-03-06,2000,2000,1800,1900,96000,SPI
2023-03-07,1900,1900,1900,1900,2200,SPI
2023-03-08,1900,1900,1800,1800,109500,SPI
2023-03-09,1800,1900,1800,1900,213900,SPI
2023-03-10,2000,2000,2000,2000,222500,SPI
2023-03-13,2200,2200,2200,2200,151300,SPI
2023-03-14,2400,2400,2400,2400,54000,SPI
2023-03-15,2600,2600,2500,2600,485700,SPI
2023-03-16,2600,2600,2400,2400,115000,SPI
2023-03-17,2400,2400,2200,2200,187600,SPI
2023-03-20,2100,2200,2000,2100,74700,SPI
2023-03-21,2100,2300,2000,2300,143100,SPI
2023-03-22,2400,2400,2400,2400,29900,SPI
2023-03-23,2600,2700,2600,2600,7300,SPI
2023-03-24,2800,2800,2800,2800,10900,SPI
2023-03-27,2700,2800,2700,2700,1100,SPI
2023-03-28,2700,2700,2700,2700,300,SPI
2023-03-29,2500,2500,2500,2500,19100,SPI
2023-03-30,2500,2600,2500,2500,5400,SPI
2023-03-31,2500,2500,2500,2500,200,SPI
2023-04-03,2400,2400,2300,2300,5400,SPI
2023-04-04,2500,2500,2400,2400,4100,SPI
2023-04-05,2400,2400,2400,2400,100,SPI
2023-04-06,2500,2500,2500,2500,400,SPI
2023-04-07,2600,2600,2500,2500,15200,SPI
2023-04-07,2600,2600,2600,2600,1100,SPI
2023-04-10,2500,2500,2400,2500,37100,SPI
2023-04-11,2400,2500,2400,2500,15400,SPI
2023-04-12,2400,2500,2400,2500,4900,SPI
2023-04-13,2500,2500,2400,2500,20700,SPI
2023-04-14,2500,2500,2400,2500,23500,SPI
2023-04-17,2500,2500,2400,2500,8800,SPI
2023-04-18,2400,2500,2400,2500,3100,SPI
2023-04-19,2500,2500,2400,2400,2300,SPI
2023-04-20,2400,2500,2400,2400,20100,SPI
2023-04-21,2400,2400,2400,2400,1000,SPI
2023-04-24,2400,2400,2400,2400,200,SPI
2023-04-25,2500,2500,2300,2400,23300,SPI
2023-04-26,2300,2300,2300,2300,200,SPI
2023-04-27,2300,2400,2300,2400,1600,SPI
2023-04-28,2400,2400,2300,2300,2100,SPI
2023-05-04,2400,2400,2300,2400,3400,SPI
2023-05-05,2400,2400,2300,2300,10900,SPI
2023-05-08,2400,2400,2400,2400,1500,SPI
2023-05-09,2300,2400,2300,2300,3100,SPI
2023-05-10,2400,2400,2300,2400,46900,SPI
2023-05-11,2400,2600,2400,2600,43600,SPI
2023-05-12,2500,2600,2500,2600,6300,SPI
2023-05-15,2600,2700,2600,2600,27500,SPI
2023-05-16,2700,2700,2600,2600,30000,SPI
2023-05-17,2700,2700,2500,2500,65700,SPI
2023-05-18,2600,2600,2500,2600,8200,SPI
2023-05-19,2500,2600,2500,2500,18000,SPI
2023-05-22,2500,2600,2500,2600,42400,SPI
2023-05-23,2600,2600,2400,2500,48900,SPI
2023-05-24,2500,2700,2500,2700,256600,SPI
2023-05-25,2700,2900,2700,2900,81300,SPI
2023-05-26,3100,3100,2900,3000,118900,SPI
2023-05-29,3000,3100,2900,3100,236000,SPI
2023-05-30,3100,3200,3000,3000,92700,SPI
2023-05-31,3000,3300,3000,3300,124500,SPI
2023-06-01,3400,3500,3300,3500,41400,SPI
2023-06-02,3500,3800,3200,3300,189500,SPI
2023-06-05,3300,3400,3100,3100,236700,SPI
2023-06-06,3300,3300,3000,3300,127200,SPI
2023-06-07,3600,3600,3400,3500,49100,SPI
2023-06-08,3500,3500,3200,3400,353100,SPI
2023-06-09,3300,3400,3100,3100,73900,SPI
2023-06-12,3200,3400,3200,3400,100800,SPI
2023-06-13,3700,3700,3600,3700,237100,SPI
2023-06-14,4000,4000,3600,3700,106500,SPI
2023-06-15,3700,3700,3500,3500,75500,SPI
2023-06-16,3500,3700,3500,3500,135000,SPI
2023-06-19,3500,3600,3200,3400,137500,SPI
2023-06-20,3300,3400,3300,3400,48600,SPI
2023-06-21,3400,3500,3400,3500,20800,SPI
2023-06-22,3500,3500,3200,3400,64900,SPI
2023-06-23,3300,3500,3300,3500,75800,SPI
2023-06-26,3400,3500,3200,3500,64400,SPI
2023-06-27,3500,3500,3400,3400,35700,SPI
2023-06-28,3400,3500,3300,3500,46300,SPI
2023-06-29,3400,3400,3300,3300,22900,SPI
2023-06-30,3200,3200,3100,3100,58500,SPI
2023-07-03,3200,3200,3100,3100,11100,SPI
2023-07-04,3200,3400,3100,3400,52200,SPI
2023-07-05,3500,3500,3400,3500,23900,SPI
2023-07-06,3500,3500,3200,3200,126000,SPI
2023-07-07,3100,3400,3000,3400,26200,SPI
2023-07-10,3500,3500,3300,3300,5100,SPI
2023-07-11,3300,3300,3200,3300,32000,SPI
2023-07-12,3200,3200,3100,3200,37300,SPI
2023-07-13,3200,3200,3100,3200,66700,SPI
2023-07-14,3200,3200,3200,3200,31000,SPI
2023-07-17,3200,3300,3200,3200,54400,SPI
2023-07-18,3200,3400,3200,3300,36000,SPI
2023-07-19,3300,3400,3300,3300,15800,SPI
2023-07-20,3300,3300,3100,3200,94700,SPI
2023-07-21,3100,3300,3100,3300,68400,SPI
2023-07-24,3200,3400,3100,3300,155900,SPI
2023-07-25,3400,3400,3300,3300,39100,SPI
2023-07-26,3200,3200,3100,3200,47700,SPI
2023-07-27,3300,3300,3200,3200,2300,SPI
2023-07-28,3200,3200,3100,3100,53300,SPI
2023-07-31,3100,3300,2900,3100,222600,SPI
2023-08-01,3100,3200,3000,3100,18500,SPI
2023-08-02,3100,3100,2900,3000,79500,SPI
2023-08-03,3000,3000,2800,2900,152600,SPI
2023-08-04,3000,3100,2900,3100,114100,SPI
2023-08-07,3400,3400,3100,3400,276900,SPI
2023-08-08,3600,3600,3300,3500,127200,SPI
2023-08-09,3400,3400,3300,3400,104300,SPI
2023-08-10,3400,3400,3300,3400,213500,SPI
2023-08-11,3300,3300,3200,3300,71700,SPI
2023-08-14,3200,3600,3100,3500,319300,SPI
2023-08-15,3500,3700,3400,3500,240600,SPI
2023-08-16,3500,3600,3400,3600,197300,SPI
2023-08-17,3500,3700,3500,3500,176700,SPI
2023-08-18,3500,3600,3300,3400,240200,SPI
2023-08-21,3200,3500,3200,3300,117800,SPI
2023-08-22,3400,3600,3400,3600,331000,SPI
2023-08-23,3700,3800,3700,3800,195100,SPI
2023-08-24,3800,3800,3600,3700,121600,SPI
2023-08-25,3800,3800,3400,3600,202900,SPI
2023-08-28,3700,3700,3400,3500,78400,SPI
2023-08-29,3700,3800,3500,3600,463000,SPI
2023-08-30,3700,3700,3400,3600,96400,SPI
2023-08-31,3500,3600,3500,3500,142500,SPI
2023-09-05,3500,3600,3400,3600,121100,SPI
2023-09-06,3500,3500,3400,3500,115000,SPI
2023-09-07,3400,3500,3400,3400,100800,SPI
2023-09-08,3500,3500,3400,3500,35600,SPI
2023-09-11,3500,3500,3300,3500,96900,SPI
2023-09-12,3500,3500,3400,3500,16100,SPI
2023-09-13,3600,3600,3300,3500,98600,SPI
2023-09-14,3500,3500,3300,3400,21800,SPI
2023-09-15,3300,3500,3300,3300,48300,SPI
2023-09-18,3300,3400,3300,3400,24900,SPI
2023-09-19,3500,3500,3400,3400,5800,SPI
2023-09-20,3400,3400,3200,3400,27500,SPI
2023-09-21,3300,3700,3300,3700,421400,SPI
2023-09-22,3900,4000,3900,4000,473000,SPI
2023-09-25,4100,4400,4100,4400,800700,SPI
2023-09-26,4600,4600,4000,4000,202800,SPI
2023-09-27,4000,4000,3600,3600,185900,SPI
2023-09-28,3600,3600,3400,3400,192700,SPI
2023-09-29,3600,3700,3500,3700,300400,SPI
2023-10-02,3700,3700,3500,3600,89300,SPI
2023-10-03,3500,3800,3300,3600,424300,SPI
2023-10-04,3600,3700,3600,3700,100200,SPI
2023-10-05,3700,3700,3500,3500,36800,SPI
2023-10-06,3400,3500,3300,3400,85300,SPI
2023-10-09,3500,3600,3300,3400,111400,SPI
2023-10-10,3400,3700,3400,3500,105400,SPI
2023-10-11,3600,3600,3400,3400,81400,SPI
2023-10-12,3500,3700,3500,3700,272100,SPI
