time,open,high,low,close,volume,ticker
2023-01-03,1900,1900,1900,1900,6500,SRB
2023-01-04,1800,2000,1800,1900,12900,SRB
2023-01-05,1900,1900,1700,1800,8000,SRB
2023-01-06,1800,1900,1700,1800,12900,SRB
2023-01-09,1600,1900,1600,1900,31500,SRB
2023-01-10,2000,2100,2000,2100,67800,SRB
2023-01-11,2300,2300,2000,2200,12700,SRB
2023-01-12,2200,2200,2100,2200,22100,SRB
2023-01-13,2300,2300,1900,1900,16300,SRB
2023-01-16,2100,2100,1900,2100,8200,SRB
2023-01-17,1900,2000,1900,1900,13500,SRB
2023-01-18,1900,1900,1800,1800,28500,SRB
2023-01-19,1800,2000,1800,1900,4100,SRB
2023-01-27,2100,2100,2100,2100,900,SRB
2023-01-30,1900,2000,1900,2000,22000,SRB
2023-01-31,2000,2100,1900,2000,56800,SRB
2023-02-01,2100,2100,2000,2000,7300,SRB
2023-02-02,2000,2000,1900,2000,8900,SRB
2023-02-03,1900,1900,1900,1900,6300,SRB
2023-02-06,1900,1900,1800,1800,11100,SRB
2023-02-07,1900,1900,1800,1800,20400,SRB
2023-02-08,1900,1900,1800,1800,14800,SRB
2023-02-09,1800,1900,1800,1900,800,SRB
2023-02-13,1800,1800,1800,1800,1200,SRB
2023-02-14,1700,1700,1700,1700,5800,SRB
2023-02-15,1700,1700,1700,1700,4100,SRB
2023-02-16,1700,1800,1700,1700,6100,SRB
2023-02-17,1700,1800,1700,1800,6700,SRB
2023-02-20,1700,1800,1700,1700,28300,SRB
2023-02-21,1700,1800,1700,1800,21600,SRB
2023-02-22,1700,1700,1700,1700,15300,SRB
2023-02-23,1700,1800,1600,1700,19200,SRB
2023-02-24,1700,1800,1600,1700,21200,SRB
2023-02-27,1700,1700,1700,1700,3000,SRB
2023-02-28,1600,1600,1500,1600,26500,SRB
2023-03-01,1600,1600,1600,1600,2300,SRB
2023-03-02,1600,1600,1500,1600,9900,SRB
2023-03-03,1600,1700,1600,1600,24900,SRB
2023-03-06,1600,1700,1500,1700,19100,SRB
2023-03-07,1600,1600,1600,1600,7900,SRB
2023-03-08,1600,1600,1500,1600,3000,SRB
2023-03-09,1500,1600,1500,1600,4700,SRB
2023-03-10,1600,1700,1500,1700,2500,SRB
2023-03-13,1600,1800,1600,1800,24500,SRB
2023-03-14,1800,1800,1600,1700,6600,SRB
2023-03-15,1800,1800,1700,1700,4600,SRB
2023-03-16,1700,1800,1700,1700,6300,SRB
2023-03-17,1700,1700,1700,1700,100,SRB
2023-03-20,1600,1600,1600,1600,3000,SRB
2023-03-21,1600,1700,1500,1700,9100,SRB
2023-03-22,1500,1500,1500,1500,1100,SRB
2023-03-23,1600,1600,1600,1600,100,SRB
2023-03-24,1600,1600,1600,1600,1000,SRB
2023-03-27,1600,1600,1600,1600,3200,SRB
2023-03-28,1800,1800,1800,1800,100,SRB
2023-03-29,1800,1800,1800,1800,1900,SRB
2023-03-30,1900,1900,1900,1900,3400,SRB
2023-03-31,2000,2000,2000,2000,1200,SRB
2023-04-03,2000,2000,2000,2000,100,SRB
2023-04-04,1900,1900,1900,1900,100,SRB
2023-04-05,1800,1900,1700,1900,13400,SRB
2023-04-06,1700,1700,1700,1700,1000,SRB
2023-04-07,1900,1900,1800,1800,1200,SRB
2023-04-07,1900,1900,1900,1900,100,SRB
2023-04-10,1700,1900,1700,1800,6100,SRB
2023-04-11,1700,1700,1700,1700,2700,SRB
2023-04-12,1800,1800,1800,1800,8600,SRB
2023-04-13,1800,1800,1800,1800,16300,SRB
2023-04-14,1800,1800,1600,1700,26500,SRB
2023-04-17,1700,1700,1700,1700,6800,SRB
2023-04-18,1800,1900,1700,1700,5500,SRB
2023-04-19,1800,1800,1800,1800,100,SRB
2023-04-20,1700,1700,1700,1700,6900,SRB
2023-04-21,1800,1800,1800,1800,1600,SRB
2023-04-24,1700,1700,1700,1700,200,SRB
2023-04-25,1700,1700,1700,1700,400,SRB
2023-04-26,1700,1700,1700,1700,8500,SRB
2023-04-27,1700,1700,1700,1700,5500,SRB
2023-04-28,1800,1800,1800,1800,500,SRB
2023-05-04,1700,1700,1700,1700,2000,SRB
2023-05-05,1700,1700,1700,1700,3200,SRB
2023-05-08,1700,1700,1700,1700,5200,SRB
2023-05-09,1700,1800,1700,1700,10200,SRB
2023-05-10,1700,1800,1700,1800,6500,SRB
2023-05-11,1800,1900,1800,1800,40800,SRB
2023-05-12,1800,1800,1800,1800,200,SRB
2023-05-15,1900,2000,1800,1900,23200,SRB
2023-05-16,1900,2000,1800,1900,5600,SRB
2023-05-17,1900,2000,1900,2000,57500,SRB
2023-05-18,2000,2200,2000,2100,10300,SRB
2023-05-19,2200,2200,2100,2100,33800,SRB
2023-05-22,2000,2100,2000,2100,10600,SRB
2023-05-23,2000,2000,2000,2000,12200,SRB
2023-05-24,2100,2200,2100,2200,27700,SRB
2023-05-25,2100,2100,2000,2000,6300,SRB
2023-05-26,2200,2200,2100,2100,19700,SRB
2023-05-29,2100,2300,2100,2300,32200,SRB
2023-05-30,2300,2300,2200,2200,4400,SRB
2023-05-31,2300,2500,2200,2400,42200,SRB
2023-06-01,2500,2600,2400,2500,34900,SRB
2023-06-02,2500,2500,2400,2400,29500,SRB
2023-06-05,2400,2500,2300,2400,2300,SRB
2023-06-06,2300,2500,2300,2400,51100,SRB
2023-06-07,2500,2700,2400,2700,72600,SRB
2023-06-08,2700,2900,2700,2800,124900,SRB
2023-06-09,2900,2900,2600,2700,44200,SRB
2023-06-12,3000,3000,2600,2900,19600,SRB
2023-06-13,3000,3000,2800,2900,20800,SRB
2023-06-14,2900,3000,2800,2800,42300,SRB
2023-06-15,2900,2900,2600,2700,35200,SRB
2023-06-16,2800,2800,2600,2700,21900,SRB
2023-06-19,2800,2800,2500,2600,8200,SRB
2023-06-20,2600,2600,2400,2600,7600,SRB
2023-06-21,2400,2600,2400,2600,8700,SRB
2023-06-22,2600,2700,2600,2600,21200,SRB
2023-06-23,2700,2700,2500,2500,14200,SRB
2023-06-26,2500,2500,2400,2500,7500,SRB
2023-06-27,2400,2600,2400,2600,11200,SRB
2023-06-28,2600,2600,2400,2500,2900,SRB
2023-06-29,2400,2500,2400,2400,12100,SRB
2023-06-30,2400,2400,2300,2400,10500,SRB
2023-07-03,2400,2400,2300,2400,16900,SRB
2023-07-04,2500,2500,2400,2400,2300,SRB
2023-07-05,2300,2500,2300,2400,10200,SRB
2023-07-06,2400,2500,2400,2500,12300,SRB
2023-07-07,2400,2600,2400,2500,2500,SRB
2023-07-10,2600,2600,2400,2600,8700,SRB
2023-07-11,2500,2500,2300,2400,15900,SRB
2023-07-12,2400,2500,2400,2400,2100,SRB
2023-07-13,2400,2500,2400,2500,3000,SRB
2023-07-14,2500,2500,2300,2400,8300,SRB
2023-07-17,2500,2600,2500,2600,18900,SRB
2023-07-18,2500,2600,2500,2500,32700,SRB
2023-07-19,2500,2600,2400,2500,15900,SRB
2023-07-20,2400,2600,2400,2600,5800,SRB
2023-07-21,2600,2600,2400,2500,40400,SRB
2023-07-24,2600,2600,2400,2500,17700,SRB
2023-07-25,2500,2500,2400,2500,27100,SRB
2023-07-26,2500,2500,2400,2400,24900,SRB
2023-07-27,2500,2500,2300,2300,10400,SRB
2023-07-28,2500,2500,2300,2400,24900,SRB
2023-07-31,2400,2500,2300,2500,11700,SRB
2023-08-01,2500,2500,2500,2500,19100,SRB
2023-08-02,2500,2500,2400,2500,4600,SRB
2023-08-03,2500,2600,2400,2500,14100,SRB
2023-08-04,2500,2500,2400,2500,10200,SRB
2023-08-07,2500,2500,2400,2500,9500,SRB
2023-08-08,2500,2700,2400,2700,50700,SRB
2023-08-09,2700,2900,2600,2900,192900,SRB
2023-08-10,3300,3300,2800,3000,75600,SRB
2023-08-11,3200,3200,2700,2700,109200,SRB
2023-08-14,2700,2900,2500,2900,42200,SRB
2023-08-15,2700,2800,2700,2800,16600,SRB
2023-08-16,2800,2800,2700,2700,15200,SRB
2023-08-17,2700,2700,2600,2600,7500,SRB
2023-08-18,2600,2600,2400,2600,34900,SRB
2023-08-21,2500,2500,2400,2500,9200,SRB
2023-08-22,2400,2600,2400,2600,13400,SRB
2023-08-23,2400,2600,2400,2600,5400,SRB
2023-08-24,2600,2700,2600,2700,14800,SRB
2023-08-25,2600,2700,2500,2600,11500,SRB
2023-08-28,2600,2700,2500,2600,20000,SRB
2023-08-29,2700,2700,2600,2600,6400,SRB
2023-08-30,2500,2600,2500,2600,9000,SRB
2023-08-31,2500,2700,2500,2600,7600,SRB
2023-09-05,2600,2700,2500,2700,10900,SRB
2023-09-06,2600,2700,2600,2600,3400,SRB
2023-09-07,2500,2700,2500,2600,11000,SRB
2023-09-08,2600,2600,2500,2600,31200,SRB
2023-09-11,2600,2600,2600,2600,2600,SRB
2023-09-12,2600,2600,2500,2600,1500,SRB
2023-09-13,2500,2500,2500,2500,19700,SRB
2023-09-14,2500,2500,2300,2400,18200,SRB
2023-09-15,2500,2500,2400,2400,1200,SRB
2023-09-18,2400,2400,2200,2300,25100,SRB
2023-09-19,2200,2300,2200,2300,2800,SRB
2023-09-20,2400,2500,2300,2500,9000,SRB
2023-09-21,2400,2500,2300,2300,4300,SRB
2023-09-22,2400,2400,2400,2400,900,SRB
2023-09-25,2400,2400,2100,2100,6100,SRB
2023-09-26,2200,2400,2200,2200,8400,SRB
2023-09-27,2200,2200,2100,2200,4300,SRB
2023-09-28,2300,2300,2200,2300,2700,SRB
2023-09-29,2300,2300,2300,2300,4600,SRB
2023-10-02,2300,2300,2300,2300,1800,SRB
2023-10-03,2200,2200,2100,2200,3300,SRB
2023-10-04,2200,2200,2100,2100,1400,SRB
2023-10-05,2100,2100,2100,2100,10300,SRB
2023-10-06,2100,2300,2100,2300,4500,SRB
2023-10-09,2100,2100,2100,2100,1000,SRB
2023-10-10,2200,2200,2200,2200,2500,SRB
2023-10-11,2200,2300,2200,2200,2000,SRB
2023-10-12,2200,2200,2200,2200,9300,SRB
