time,open,high,low,close,volume,ticker
2023-01-03,17500,18260,17500,18260,10500,SRC
2023-01-04,18260,18830,18260,18830,16300,SRC
2023-01-05,18930,19500,18930,19500,23900,SRC
2023-01-06,18450,19600,18160,19410,50600,SRC
2023-01-09,19410,20550,19410,20550,41800,SRC
2023-01-10,20750,21890,19600,19600,111700,SRC
2023-01-11,19690,19690,19410,19410,500,SRC
2023-01-12,19410,19460,19410,19410,8300,SRC
2023-01-13,19460,19460,19410,19410,3000,SRC
2023-01-16,19410,20080,19410,19460,16800,SRC
2023-01-17,19500,20080,19500,19500,11900,SRC
2023-01-18,20080,20550,20080,20550,7800,SRC
2023-01-19,20550,20650,20550,20650,26600,SRC
2023-01-27,20650,21940,20650,21890,47000,SRC
2023-01-30,21850,21850,20360,21030,2900,SRC
2023-01-31,21030,21610,21030,21030,10900,SRC
2023-02-01,21030,21510,21030,21030,1300,SRC
2023-02-02,21030,21940,21030,21890,27000,SRC
2023-02-03,21890,21890,21890,21890,2600,SRC
2023-02-06,21850,21850,21850,21850,500,SRC
2023-02-07,20940,21800,20940,21800,11800,SRC
2023-02-08,20650,20650,20650,20650,200,SRC
2023-02-09,21700,21700,21700,21700,100,SRC
2023-02-10,20550,20550,20550,20550,500,SRC
2023-02-13,20360,20940,20080,20940,300,SRC
2023-02-14,19790,20840,19790,20080,700,SRC
2023-02-15,19030,20550,19030,20080,2600,SRC
2023-02-16,19600,21220,19600,21220,40900,SRC
2023-02-17,21030,21030,21030,21030,800,SRC
2023-02-20,21320,21320,19980,19980,8100,SRC
2023-02-22,19890,19890,19890,19890,200,SRC
2023-02-23,19890,21270,19890,21270,19000,SRC
2023-02-27,21030,21990,21030,21800,21600,SRC
2023-02-28,21610,21800,20550,21700,800,SRC
2023-03-01,21700,21700,21700,21700,200,SRC
2023-03-03,21700,22370,21700,21990,106300,SRC
2023-03-06,22470,22470,20550,21800,6600,SRC
2023-03-07,20360,21510,20320,21510,4900,SRC
2023-03-08,21890,22950,21890,22180,102200,SRC
2023-03-09,22320,22320,20750,20750,1100,SRC
2023-03-10,20750,20840,20750,20790,600,SRC
2023-03-13,20080,20170,20080,20170,600,SRC
2023-03-14,21420,21420,21420,21420,46000,SRC
2023-03-17,21510,22850,21420,21460,131500,SRC
2023-03-21,20990,21990,20990,21850,4400,SRC
2023-03-22,21510,21510,21510,21510,2000,SRC
2023-03-23,21990,21990,21990,21990,2300,SRC
2023-03-27,21220,21220,21220,21220,100,SRC
2023-03-28,21030,21030,21030,21030,4400,SRC
2023-03-29,20170,20170,20170,20170,100,SRC
2023-03-30,20170,20170,20170,20170,100,SRC
2023-03-31,19600,19600,19600,19600,100,SRC
2023-04-04,22750,22750,22750,22750,1900,SRC
2023-04-05,20360,20360,20360,20360,200,SRC
2023-04-06,20990,20990,19980,19980,1200,SRC
2023-04-10,19650,20410,19650,20320,600,SRC
2023-04-12,20940,20940,20940,20940,100,SRC
2023-04-13,20940,20940,20940,20940,200,SRC
2023-04-14,20080,20080,20080,20080,1000,SRC
2023-04-17,19600,19600,19600,19600,300,SRC
2023-04-18,19600,19600,19600,19600,2000,SRC
2023-04-20,19310,19310,19310,19310,2600,SRC
2023-04-21,19310,19310,19310,19310,500,SRC
2023-04-25,19030,19030,18640,18640,1500,SRC
2023-04-26,18740,18740,17690,17690,700,SRC
2023-04-27,18450,18450,18450,18450,100,SRC
2023-04-28,18450,18450,18450,18450,200,SRC
2023-05-04,17830,17830,17780,17780,1000,SRC
2023-05-05,17780,18260,17780,18260,1100,SRC
2023-05-09,18160,18160,18160,18160,100,SRC
2023-05-15,18360,18360,18360,18360,1000,SRC
2023-05-18,18360,18360,18360,18360,100,SRC
2023-05-19,18400,18400,18400,18400,100,SRC
2023-05-22,17780,18360,17690,18360,800,SRC
2023-05-23,18160,18160,18160,18160,2700,SRC
2023-05-25,17880,17970,17780,17880,1800,SRC
2023-05-26,17690,17930,17400,17930,2600,SRC
2023-05-29,17690,18070,17590,18070,11100,SRC
2023-05-31,18120,18120,17690,17690,6100,SRC
2023-06-05,17400,17400,17400,17400,100,SRC
2023-06-06,17400,17690,17400,17690,400,SRC
2023-06-07,17590,17590,17590,17590,500,SRC
2023-06-08,17500,17590,17450,17590,15500,SRC
2023-06-09,17690,18120,17690,18120,400,SRC
2023-06-12,18160,18160,18160,18160,2400,SRC
2023-06-13,18160,19410,18160,19410,10000,SRC
2023-06-14,19410,19410,18260,19310,500,SRC
2023-06-21,18450,19220,18450,19220,2200,SRC
2023-06-22,19220,19220,19220,19220,600,SRC
2023-06-23,18640,18640,18640,18640,5000,SRC
2023-06-27,18360,18360,18260,18260,200,SRC
2023-06-28,19030,19030,19030,19030,1000,SRC
2023-06-29,18980,18980,17880,17880,15300,SRC
2023-06-30,17880,17880,17880,17880,1300,SRC
2023-07-04,17780,17780,17780,17780,200,SRC
2023-07-06,17690,18360,17690,18360,300,SRC
2023-07-10,17690,17730,17690,17730,15500,SRC
2023-07-12,17730,18120,17730,17880,2700,SRC
2023-07-13,17590,17880,17590,17880,9100,SRC
2023-07-14,17640,18020,17210,18020,4000,SRC
2023-07-17,17690,17780,17690,17780,3100,SRC
2023-07-19,17780,17780,17780,17780,500,SRC
2023-07-20,17780,17780,17780,17780,500,SRC
2023-07-24,17590,17590,17450,17450,6700,SRC
2023-07-26,17830,17830,17690,17690,300,SRC
2023-07-28,17690,18160,17690,18160,3400,SRC
