time,open,high,low,close,volume,ticker
2023-01-03,4600,4600,4600,4600,400,SRT
2023-01-04,5000,5000,4600,4700,7400,SRT
2023-01-05,4600,4600,4600,4600,800,SRT
2023-01-09,5000,5000,4500,4600,13900,SRT
2023-01-10,4900,4900,4300,4400,3000,SRT
2023-01-11,4700,4700,4500,4500,1600,SRT
2023-01-12,4500,4700,4500,4600,4900,SRT
2023-01-13,4900,4900,4600,4600,400,SRT
2023-01-16,4600,4600,4600,4600,100,SRT
2023-01-17,4700,4800,4600,4800,4200,SRT
2023-01-18,4900,5000,4800,4800,3800,SRT
2023-01-19,5600,5600,5100,5100,600,SRT
2023-01-27,5300,5300,4800,4800,500,SRT
2023-01-30,5000,5000,4500,4500,1900,SRT
2023-01-31,5300,5300,4900,4900,6800,SRT
2023-02-01,5400,5400,4600,4800,2100,SRT
2023-02-02,5100,5100,4600,4600,8200,SRT
2023-02-03,4900,4900,4600,4600,2400,SRT
2023-02-06,5000,5000,4600,4600,400,SRT
2023-02-07,4800,4800,4700,4800,1100,SRT
2023-02-08,4700,4800,4700,4800,1300,SRT
2023-02-09,4800,4800,4700,4700,1500,SRT
2023-02-10,4600,4700,4600,4700,200,SRT
2023-02-13,4700,4700,4500,4600,2000,SRT
2023-02-15,4600,4600,4600,4600,600,SRT
2023-02-16,4700,4700,4500,4500,500,SRT
2023-02-20,4600,4600,4500,4600,7000,SRT
2023-02-21,4700,4700,4500,4500,2200,SRT
2023-02-22,5100,5100,4600,4700,1500,SRT
2023-02-23,4500,4600,4300,4600,8600,SRT
2023-02-24,4700,4700,4500,4500,1300,SRT
2023-02-27,4500,4500,4500,4500,200,SRT
2023-02-28,4500,4500,4500,4500,1000,SRT
2023-03-01,4500,4500,4500,4500,900,SRT
2023-03-02,4400,4700,4400,4700,3300,SRT
2023-03-03,4700,5100,4600,4600,900,SRT
2023-03-06,4500,4700,4500,4700,1400,SRT
2023-03-07,4700,4700,4700,4700,200,SRT
2023-03-08,4300,4700,4300,4700,3700,SRT
2023-03-09,5100,5100,4900,4900,200,SRT
2023-03-10,4500,4500,4500,4500,800,SRT
2023-03-13,4400,4400,4400,4400,900,SRT
2023-03-14,4600,4600,4000,4000,43800,SRT
2023-03-15,4800,4800,4100,4600,9600,SRT
2023-03-16,4400,4500,4400,4500,19400,SRT
2023-03-17,4400,4600,4400,4600,1100,SRT
2023-03-20,4700,4700,4100,4100,3000,SRT
2023-03-21,4600,4600,4000,4600,13800,SRT
2023-03-22,4600,4600,4600,4600,200,SRT
2023-03-23,4300,4300,4300,4300,200,SRT
2023-03-24,4400,4400,4400,4400,100,SRT
2023-03-27,4300,4300,4300,4300,1000,SRT
2023-03-28,4200,4500,4200,4500,300,SRT
2023-03-29,4400,4400,4400,4400,1000,SRT
2023-03-30,4300,4300,4300,4300,700,SRT
2023-04-03,4500,4500,4500,4500,100,SRT
2023-04-04,4300,4300,4300,4300,1200,SRT
2023-04-06,4400,4400,4400,4400,100,SRT
2023-04-07,4400,4400,4300,4300,2400,SRT
2023-04-07,4400,4400,4400,4400,100,SRT
2023-04-10,4100,4300,4100,4300,2400,SRT
2023-04-11,4300,4300,4300,4300,300,SRT
2023-04-12,4500,4500,4300,4300,1400,SRT
2023-04-17,4300,4300,4300,4300,900,SRT
2023-04-18,4200,4200,4200,4200,100,SRT
2023-04-19,4900,4900,4900,4900,300,SRT
2023-04-20,4200,4500,4200,4500,900,SRT
2023-04-21,4200,4200,4200,4200,800,SRT
2023-04-24,4000,4000,4000,4000,100,SRT
2023-04-25,4200,4300,4000,4000,1100,SRT
2023-04-26,4200,4500,4200,4500,12400,SRT
2023-04-27,4700,4700,4700,4700,100,SRT
2023-04-28,4300,4300,4300,4300,1000,SRT
2023-05-04,5100,5100,5100,5100,500,SRT
2023-05-05,5000,5000,4800,4800,700,SRT
2023-05-08,4700,5000,4500,4800,48400,SRT
2023-05-09,4800,4800,4700,4800,300,SRT
2023-05-10,4700,5400,4600,5400,16000,SRT
2023-05-11,4800,5600,4800,5600,1100,SRT
2023-05-12,4900,4900,4900,4900,600,SRT
2023-05-15,5400,5400,5400,5400,2000,SRT
2023-05-16,5400,5400,5400,5400,100,SRT
2023-05-18,4700,4900,4700,4900,1500,SRT
2023-05-19,4800,4800,4800,4800,500,SRT
2023-05-22,5000,5000,5000,5000,400,SRT
2023-05-23,5000,5000,5000,5000,200,SRT
2023-05-24,5000,5000,5000,5000,400,SRT
2023-05-26,5100,5100,5000,5000,1300,SRT
2023-05-29,5100,5100,5000,5000,900,SRT
2023-05-30,5000,5000,4500,4500,3100,SRT
2023-05-31,4600,4700,4600,4700,4000,SRT
2023-06-01,5100,5100,4900,4900,1400,SRT
2023-06-02,4500,4900,4500,4900,2100,SRT
2023-06-05,5200,5200,4700,4700,900,SRT
2023-06-06,5000,5000,4800,4800,2200,SRT
2023-06-07,4700,5000,4700,5000,1200,SRT
2023-06-08,5000,5100,5000,5000,5000,SRT
2023-06-09,5100,5100,5000,5100,4600,SRT
2023-06-12,5200,5200,4800,4800,400,SRT
2023-06-13,5200,5200,4800,5000,2500,SRT
2023-06-14,5000,5000,4800,4800,2700,SRT
2023-06-15,5100,5100,4900,4900,2800,SRT
2023-06-16,4800,5100,4800,5100,800,SRT
2023-06-19,4900,4900,4500,4500,1100,SRT
2023-06-20,4700,5000,4700,4900,6000,SRT
2023-06-21,4900,4900,4800,4800,800,SRT
2023-06-22,4900,4900,4700,4700,2900,SRT
2023-06-23,4800,4800,4700,4800,7600,SRT
2023-06-26,4800,4800,4800,4800,7500,SRT
2023-06-27,4800,4800,4700,4800,1900,SRT
2023-06-28,4800,4800,4800,4800,4700,SRT
2023-06-29,4800,4800,4800,4800,1800,SRT
2023-06-30,4800,4800,4700,4800,900,SRT
2023-07-03,4800,4800,4800,4800,200,SRT
2023-07-04,4800,4800,4700,4700,2300,SRT
2023-07-05,4700,4700,4700,4700,3100,SRT
2023-07-06,4600,4800,4600,4800,6100,SRT
2023-07-07,4600,4800,4600,4800,3700,SRT
2023-07-10,4800,5200,4800,5000,2700,SRT
2023-07-11,4900,4900,4600,4900,700,SRT
2023-07-12,4800,4800,4800,4800,3100,SRT
2023-07-13,5000,5200,4900,4900,8100,SRT
2023-07-14,5000,5000,4800,4800,2200,SRT
2023-07-17,5200,5200,4900,4900,300,SRT
2023-07-18,5000,5000,5000,5000,600,SRT
2023-07-20,5000,5000,4700,5000,4300,SRT
2023-07-21,5100,5100,4800,4800,200,SRT
2023-07-24,4800,4900,4700,4900,15200,SRT
2023-07-25,4900,4900,4800,4800,1700,SRT
2023-07-26,5000,5300,5000,5000,19800,SRT
2023-07-27,5200,5300,5100,5100,11700,SRT
2023-07-28,5100,5300,5000,5100,14500,SRT
2023-07-31,5100,5400,5100,5200,5500,SRT
2023-08-01,5500,5500,5100,5100,8300,SRT
2023-08-02,5200,5300,5000,5000,9000,SRT
2023-08-03,5000,5100,5000,5100,1500,SRT
2023-08-04,5100,5100,5100,5100,1600,SRT
2023-08-07,5100,5100,5000,5100,3600,SRT
2023-08-08,5200,5400,5100,5200,7200,SRT
2023-08-09,5200,5400,5100,5300,4400,SRT
2023-08-10,5400,5400,5300,5300,7400,SRT
2023-08-11,5300,5300,5200,5200,6300,SRT
2023-08-14,5200,5200,5000,5200,11700,SRT
2023-08-15,5000,5000,5000,5000,3100,SRT
2023-08-16,5100,5100,5100,5100,1700,SRT
2023-08-17,5100,5200,5100,5100,7100,SRT
2023-08-18,5100,5300,5100,5100,11000,SRT
2023-08-21,5100,5200,5100,5200,300,SRT
2023-08-22,5200,5200,5100,5100,8000,SRT
2023-08-23,5100,5200,4800,5100,3200,SRT
2023-08-24,4800,5200,4800,5200,3000,SRT
2023-08-25,5100,5100,5000,5100,2900,SRT
2023-08-28,5100,5100,4700,5000,6100,SRT
2023-08-29,5000,5000,5000,5000,7000,SRT
2023-08-30,5000,5100,5000,5100,1700,SRT
2023-08-31,5100,5100,5100,5100,900,SRT
2023-09-05,5100,5200,5100,5100,7900,SRT
2023-09-06,5200,5200,5100,5100,9400,SRT
2023-09-07,5100,5200,5100,5200,3300,SRT
2023-09-08,5100,5100,5000,5000,600,SRT
2023-09-11,5200,5200,5000,5000,12200,SRT
2023-09-12,5000,5100,5000,5100,2600,SRT
