time,open,high,low,close,volume,ticker
2023-01-09,5740,5740,5740,5740,2000,SSG
2023-01-10,5740,5740,5740,5740,500,SSG
2023-01-13,5740,5740,5740,5740,2000,SSG
2023-02-10,5740,5740,5740,5740,200,SSG
2023-03-06,6120,6120,6120,6120,2000,SSG
2023-03-16,6580,6580,6580,6580,400,SSG
2023-03-24,6890,6890,6890,6890,100,SSG
2023-03-27,7120,7120,7120,7120,300,SSG
2023-03-30,7200,7200,7200,7200,100,SSG
2023-04-03,7270,7270,7270,7270,200,SSG
2023-04-07,7270,8340,7270,8340,3700,SSG
2023-04-07,7270,7270,7270,7270,3000,SSG
2023-04-10,7880,9030,7660,9030,17300,SSG
2023-04-11,9800,9800,9800,9800,100,SSG
2023-04-12,11560,11560,11480,11480,1000,SSG
2023-04-13,13240,13240,11480,11480,19400,SSG
2023-04-14,11480,11480,11480,11480,100,SSG
2023-04-17,12250,13170,11710,12250,68500,SSG
2023-04-18,12320,12630,11710,12250,26800,SSG
2023-04-19,12860,12860,11560,11640,32700,SSG
2023-04-20,12500,12600,11500,12300,11600,SSG
2023-04-21,11800,12000,10700,10700,11400,SSG
2023-04-24,10700,11100,9500,10500,20200,SSG
2023-04-25,10200,10200,10100,10100,600,SSG
2023-04-26,10300,10300,10000,10000,1600,SSG
2023-04-27,9500,10400,9500,10400,800,SSG
2023-04-28,9900,9900,9800,9800,900,SSG
2023-05-04,9800,10000,9700,9800,1900,SSG
2023-05-05,9800,9800,9500,9500,1800,SSG
2023-05-08,9600,9600,9600,9600,1000,SSG
2023-05-09,9700,9800,9700,9800,200,SSG
2023-05-10,9700,10000,9700,10000,7300,SSG
2023-05-11,10000,10000,10000,10000,500,SSG
2023-05-12,10000,10000,10000,10000,400,SSG
2023-05-15,9900,9900,9900,9900,3200,SSG
2023-05-16,9700,9700,9700,9700,200,SSG
2023-05-17,9800,9800,9800,9800,100,SSG
2023-05-18,9700,9700,9500,9500,8700,SSG
2023-05-19,9500,9600,9300,9600,10300,SSG
2023-05-22,9500,9500,9500,9500,200,SSG
2023-05-23,9500,9500,9400,9500,2500,SSG
2023-05-24,9400,9400,9400,9400,2500,SSG
2023-05-25,9400,9500,9300,9500,6400,SSG
2023-05-26,9400,9400,8500,8500,10600,SSG
2023-05-29,8600,8600,7700,8300,21000,SSG
2023-05-30,8300,9300,8100,9000,7300,SSG
2023-05-31,8500,8500,8100,8500,5400,SSG
2023-06-01,8300,8800,8000,8500,18500,SSG
2023-06-02,8200,8500,8000,8500,7500,SSG
2023-06-05,8400,8900,8400,8500,19000,SSG
2023-06-07,8500,8500,8500,8500,3300,SSG
2023-06-08,8600,8600,8500,8600,1800,SSG
2023-06-09,8500,8600,8500,8600,4400,SSG
2023-06-13,8600,8600,8600,8600,200,SSG
2023-06-14,8600,8600,8600,8600,4200,SSG
2023-06-15,8600,8600,8500,8500,2600,SSG
2023-06-16,8500,8500,8500,8500,800,SSG
2023-06-19,8300,8400,8200,8400,6500,SSG
2023-06-20,8300,8500,8300,8500,2700,SSG
2023-06-21,8400,8400,8400,8400,700,SSG
2023-06-22,8400,8400,8100,8100,1700,SSG
2023-06-23,8200,8500,8200,8500,3900,SSG
2023-06-26,8500,8800,8500,8800,14300,SSG
2023-06-27,8700,8700,8500,8600,1800,SSG
2023-06-28,7900,7900,7900,7900,100,SSG
2023-06-29,8500,8500,8300,8300,1000,SSG
2023-06-30,8500,8600,8400,8400,4200,SSG
2023-07-03,8000,8700,8000,8700,200,SSG
2023-07-04,8600,8700,8600,8700,1100,SSG
2023-07-05,8200,8500,7800,8500,5800,SSG
2023-07-06,8500,8500,8500,8500,6800,SSG
2023-07-07,8400,8600,8400,8600,8000,SSG
2023-07-10,8500,8500,8500,8500,1100,SSG
2023-07-12,8500,8500,8500,8500,600,SSG
2023-07-13,8100,8100,8100,8100,500,SSG
2023-07-18,8100,8100,8100,8100,400,SSG
2023-07-19,8200,8200,8200,8200,200,SSG
2023-07-20,8300,8300,8100,8100,2100,SSG
2023-07-24,8200,8200,8200,8200,400,SSG
2023-07-25,8200,8200,8100,8200,5300,SSG
2023-07-27,8200,8200,8200,8200,2000,SSG
2023-07-28,8200,8200,8200,8200,3200,SSG
2023-07-31,8000,8200,8000,8200,2800,SSG
2023-08-01,8100,8100,8100,8100,3000,SSG
2023-08-03,8100,8100,8100,8100,2000,SSG
2023-08-04,8000,8000,7800,7800,15000,SSG
2023-08-07,7900,8300,7900,8300,1700,SSG
2023-08-08,8200,8300,8000,8200,800,SSG
2023-08-09,8000,8100,8000,8100,2700,SSG
2023-08-10,8000,8000,8000,8000,2600,SSG
2023-08-11,7800,7800,7800,7800,500,SSG
2023-08-14,7900,8200,7900,8200,500,SSG
2023-08-15,8500,8500,8000,8000,900,SSG
2023-08-18,8000,8200,8000,8200,1100,SSG
2023-08-21,8200,8500,8000,8200,9200,SSG
2023-08-22,8500,8500,8500,8500,1300,SSG
2023-08-24,8500,8500,8500,8500,100,SSG
2023-09-05,7900,7900,7800,7800,300,SSG
2023-09-06,7900,8000,7900,8000,500,SSG
2023-09-07,7900,7900,7900,7900,2700,SSG
2023-09-08,8500,8500,8500,8500,100,SSG
2023-09-11,7900,7900,7900,7900,100,SSG
2023-09-12,7900,7900,7900,7900,300,SSG
2023-09-13,7900,8000,7900,8000,2600,SSG
2023-09-14,8000,8000,8000,8000,1000,SSG
2023-09-15,8000,8000,8000,8000,200,SSG
2023-09-19,8000,8200,8000,8200,600,SSG
2023-09-22,7800,7800,7800,7800,500,SSG
2023-09-25,8600,8600,8600,8600,3200,SSG
2023-09-26,8500,8500,8500,8500,5900,SSG
2023-09-27,8500,8500,8500,8500,1300,SSG
2023-10-03,8600,8600,8600,8600,9200,SSG
2023-10-04,8500,8500,8500,8500,500,SSG
2023-10-05,7800,7800,7800,7800,900,SSG
2023-10-09,8100,8600,8100,8600,8000,SSG
2023-10-11,8600,8700,8500,8700,3600,SSG
2023-10-12,8600,8800,8600,8800,2200,SSG
