time,open,high,low,close,volume,ticker
2023-01-03,17130,18180,17130,18180,18046200,SSI
2023-01-04,18470,18760,18230,18280,10680500,SSI
2023-01-05,18420,18620,17990,18570,13309500,SSI
2023-01-06,18570,18860,18180,18180,13143700,SSI
2023-01-09,18380,18620,18140,18280,9711500,SSI
2023-01-10,18280,18520,17750,18180,11623700,SSI
2023-01-11,18330,19000,18330,18570,13973900,SSI
2023-01-12,18620,18760,18380,18570,6542800,SSI
2023-01-13,18760,19100,18380,18470,14327200,SSI
2023-01-16,18570,18760,18380,18670,7329600,SSI
2023-01-17,18860,19630,18760,19630,21992300,SSI
2023-01-18,19720,20200,19530,19770,19367400,SSI
2023-01-19,19680,20450,19630,20400,26454500,SSI
2023-01-27,20690,20780,20060,20160,19460600,SSI
2023-01-30,20160,20880,19920,20200,19239700,SSI
2023-01-31,20350,20830,20060,20780,17924900,SSI
2023-02-01,20880,21020,19340,19390,26556600,SSI
2023-02-02,19530,19630,19150,19390,11997700,SSI
2023-02-03,19340,19530,18860,19000,13217100,SSI
2023-02-06,18860,19240,18670,19240,11552300,SSI
2023-02-07,19340,19580,18330,18330,17388300,SSI
2023-02-08,18670,18950,17990,18760,12539800,SSI
2023-02-09,18710,19000,18570,18620,7434300,SSI
2023-02-10,18620,18860,18140,18280,9538000,SSI
2023-02-13,18230,18280,17460,17800,11360100,SSI
2023-02-14,18040,18180,17800,18180,6180800,SSI
2023-02-15,18180,18620,18090,18380,10344500,SSI
2023-02-16,18570,18760,18420,18760,9828100,SSI
2023-02-17,18710,18910,18470,18710,8056100,SSI
2023-02-20,18710,19960,18670,19960,23655300,SSI
2023-02-21,20010,20160,19680,19680,14060300,SSI
2023-02-22,19430,19630,18570,18570,24069100,SSI
2023-02-23,18570,18950,18090,18950,17946400,SSI
2023-02-24,19000,19000,18280,18280,7726100,SSI
2023-02-27,18090,18180,17560,17560,14834700,SSI
2023-02-28,17900,18040,17510,17560,11908000,SSI
2023-03-01,17610,18280,17460,18230,11380400,SSI
2023-03-02,18280,18380,17940,17940,5341200,SSI
2023-03-03,18140,18140,17750,17750,7382600,SSI
2023-03-06,18140,18470,18040,18040,10340100,SSI
2023-03-07,18280,18760,18090,18670,16202800,SSI
2023-03-08,18380,19050,18280,19050,14656100,SSI
2023-03-09,19050,19340,19000,19050,17709900,SSI
2023-03-10,18810,19100,18710,19050,13374000,SSI
2023-03-13,18810,19190,18470,18910,20540900,SSI
2023-03-14,18910,18950,18280,18330,15079900,SSI
2023-03-15,18910,19580,18760,19580,28458900,SSI
2023-03-16,19430,19870,19390,19390,19590700,SSI
2023-03-17,19630,19720,19290,19530,19301900,SSI
2023-03-20,19430,19480,18760,18760,18548100,SSI
2023-03-21,18950,19240,18620,19240,17547200,SSI
2023-03-22,19390,19530,19190,19290,11224300,SSI
2023-03-23,18950,19630,18910,19530,16405000,SSI
2023-03-24,19680,19870,19630,19630,17851800,SSI
2023-03-27,19720,20590,19680,20200,22678800,SSI
2023-03-28,20400,20490,19960,20010,17833100,SSI
2023-03-29,20010,20300,19960,20160,14413800,SSI
2023-03-30,20690,20880,20250,20250,21860300,SSI
2023-03-31,20250,20880,20060,20730,30654900,SSI
2023-04-03,21170,21310,21070,21260,31071600,SSI
2023-04-04,21260,21840,20970,21790,29983800,SSI
2023-04-05,21550,21740,21260,21600,17129200,SSI
2023-04-06,21790,22130,21020,21210,22151000,SSI
2023-04-07,21070,21650,20930,21650,25020200,SSI
2023-04-10,21890,22320,21410,21600,25160800,SSI
2023-04-11,21550,21740,20970,21650,24231700,SSI
2023-04-12,21740,21840,21120,21360,15668000,SSI
2023-04-13,21260,21410,20830,20970,16638300,SSI
2023-04-14,21070,21210,20490,20690,22609500,SSI
2023-04-17,20400,20690,20350,20590,12517900,SSI
2023-04-18,20640,20930,20350,20930,19091400,SSI
2023-04-19,20970,21020,20450,20540,12877800,SSI
2023-04-20,20400,20590,20250,20400,8463800,SSI
2023-04-21,20590,21360,20540,20880,30064700,SSI
2023-04-24,20880,21070,20640,20730,9321800,SSI
2023-04-25,20830,20880,20160,20300,17466300,SSI
2023-04-26,20300,20450,19920,20450,16096000,SSI
2023-04-27,20590,20640,20300,20400,8550700,SSI
2023-04-28,20490,20730,20450,20640,14030700,SSI
2023-05-04,20540,21070,20490,20880,15789200,SSI
2023-05-05,20930,20970,20640,20730,7372100,SSI
2023-05-08,20830,21460,20780,21460,26572000,SSI
2023-05-09,21550,21600,21210,21360,12474200,SSI
2023-05-10,21410,21840,21410,21650,18122800,SSI
2023-05-11,21650,22030,21550,21550,18668200,SSI
2023-05-12,21500,22370,21460,22180,24850100,SSI
2023-05-15,22610,22710,22030,22080,20007100,SSI
2023-05-16,22030,22270,21980,22130,18870800,SSI
2023-05-17,22030,22130,21550,21600,20766300,SSI
2023-05-18,21740,22270,21600,22030,26020700,SSI
2023-05-19,21940,22420,21790,22130,14956200,SSI
2023-05-22,22220,22320,21980,22030,13922600,SSI
2023-05-23,22130,22420,21940,22030,19683500,SSI
2023-05-24,22270,22320,21840,21840,24777300,SSI
2023-05-25,21740,21840,21600,21650,15722000,SSI
2023-05-26,21700,21840,21650,21700,8272300,SSI
2023-05-29,21980,22560,21890,22510,17596200,SSI
2023-05-30,22610,22710,22220,22470,14844600,SSI
2023-05-31,22370,22610,22130,22270,18626100,SSI
2023-06-01,22320,22710,22180,22560,16361000,SSI
2023-06-02,22900,23430,22800,23190,27301900,SSI
2023-06-05,23520,23670,22990,23190,18890400,SSI
2023-06-06,23190,24340,22990,24200,34323800,SSI
2023-06-07,24200,24440,23960,24150,18172300,SSI
2023-06-08,24340,24440,23380,23380,34755100,SSI
2023-06-09,23570,24290,23330,24290,22956500,SSI
2023-06-12,24290,24440,23760,24390,17308500,SSI
2023-06-13,24530,24730,24150,24390,18419600,SSI
2023-06-14,24530,25210,24390,24440,25250900,SSI
2023-06-15,24530,24820,24490,24730,14244700,SSI
2023-06-16,25060,26170,25060,25110,34448400,SSI
2023-06-19,25300,25690,25110,25400,15014000,SSI
2023-06-20,25800,25950,24950,25700,19253600,SSI
2023-06-21,25700,26200,25600,26000,19258600,SSI
2023-06-22,26100,26500,25800,26100,15245600,SSI
2023-06-23,26100,26200,25750,26000,12483200,SSI
2023-06-26,26000,26050,25250,25800,17384100,SSI
2023-06-27,25850,26750,25800,26600,20384500,SSI
2023-06-28,26600,26950,26400,26550,16422600,SSI
2023-06-29,26650,26650,25450,25450,19941700,SSI
2023-06-30,25500,25900,25400,25800,14517400,SSI
2023-07-03,26050,26100,25650,25700,13141200,SSI
2023-07-04,25700,26500,25550,26500,24381900,SSI
2023-07-05,26700,26700,26200,26200,15873600,SSI
2023-07-06,26200,26700,25800,26300,26806400,SSI
2023-07-07,26100,26450,25650,26450,14796500,SSI
2023-07-10,26650,27500,26650,27500,30633600,SSI
2023-07-11,27400,28450,27400,28050,27100700,SSI
2023-07-12,28300,28600,27650,27950,23044800,SSI
2023-07-13,28250,28500,28000,28400,16156700,SSI
2023-07-14,28500,28600,27950,28500,16102800,SSI
2023-07-17,28550,29200,28550,28800,14468100,SSI
2023-07-18,28800,28800,28450,28550,12415400,SSI
2023-07-19,28600,28900,28450,28500,10046700,SSI
2023-07-20,28500,28500,27600,28000,28832600,SSI
2023-07-21,28000,28800,27850,28750,16462800,SSI
2023-07-24,29100,29200,28400,28700,14535600,SSI
2023-07-25,28700,29100,28500,28800,14449000,SSI
2023-07-26,28800,29050,28400,29000,12780300,SSI
2023-07-27,29000,29700,28900,29450,16465600,SSI
2023-07-28,29450,29900,29350,29750,13130200,SSI
2023-07-31,29950,30200,29350,29650,15219300,SSI
2023-08-01,29700,29700,28800,28800,16376600,SSI
2023-08-02,28700,29150,28600,29000,11458900,SSI
2023-08-03,28950,29050,28300,28500,15210400,SSI
2023-08-04,28500,29400,28500,29200,14992000,SSI
2023-08-07,29600,29950,29400,29700,15093300,SSI
2023-08-08,29850,29850,29000,29100,11628700,SSI
2023-08-09,28900,29200,28550,28600,16620200,SSI
2023-08-10,28600,28850,28100,28100,23382100,SSI
2023-08-11,28250,28300,27650,28150,27536000,SSI
2023-08-14,28450,29400,28100,29150,30333100,SSI
2023-08-15,29200,29200,28650,28700,13184400,SSI
2023-08-16,28650,29150,28450,28850,14335800,SSI
2023-08-17,29050,30600,29050,29950,59158400,SSI
2023-08-18,29700,30400,28000,28300,46437600,SSI
2023-08-21,29000,29150,28500,28850,35538400,SSI
2023-08-22,29000,30700,27850,30700,51810600,SSI
2023-08-23,31000,31150,30150,30400,32898700,SSI
2023-08-24,30300,32100,30150,32000,38295900,SSI
2023-08-25,31700,32500,31650,32200,32433300,SSI
2023-08-28,32299,32700,32100,32450,26966500,SSI
2023-08-29,32500,32800,31700,32350,35197500,SSI
2023-08-30,32400,33900,32100,33500,24980800,SSI
2023-08-31,33500,33750,33300,33400,17637700,SSI
2023-09-05,33600,33700,32800,33350,27135900,SSI
2023-09-06,33350,34500,32950,34000,19656200,SSI
2023-09-07,34100,34150,33300,33650,21471400,SSI
2023-09-08,33500,34100,33400,33750,16656500,SSI
2023-09-11,34000,34350,33400,33500,34427300,SSI
2023-09-12,33650,35800,33500,35800,37129000,SSI
2023-09-13,36200,36600,35500,35800,35639800,SSI
2023-09-14,35800,36250,34900,35650,33908800,SSI
2023-09-15,35900,36050,35000,35500,23626000,SSI
2023-09-18,35000,35950,34900,35700,25487500,SSI
2023-09-19,35800,36200,35200,36200,19558300,SSI
2023-09-20,36400,37000,36100,36450,22951800,SSI
2023-09-21,36400,36450,34750,34750,49186800,SSI
2023-09-22,33650,33950,32350,32600,69559104,SSI
2023-09-25,32200,33100,30350,30350,42948600,SSI
2023-09-26,31000,32450,30300,30900,38702100,SSI
2023-09-27,31700,33000,30900,33000,32046400,SSI
2023-09-28,32800,32900,31700,32299,27911500,SSI
2023-09-29,32900,32900,31800,31800,19989100,SSI
2023-10-02,31800,32650,31700,32100,17212200,SSI
2023-10-03,31600,31650,30100,30200,42246000,SSI
2023-10-04,29800,32299,29650,31750,33560600,SSI
2023-10-05,31900,32400,31500,31650,22264000,SSI
2023-10-06,31650,32950,31200,32950,26498900,SSI
2023-10-09,32900,33500,32400,33200,21954400,SSI
2023-10-10,33600,33900,32700,32700,27779700,SSI
2023-10-11,32800,34000,32549,34000,23560400,SSI
2023-10-12,34100,34100,33400,33600,18148200,SSI
2023-10-13,33300,34100,33000,33550,22031600,SSI
