time,open,high,low,close,volume,ticker
2023-01-03,3400,3600,3300,3500,63300,SSN
2023-01-04,3700,3700,3400,3400,52400,SSN
2023-01-05,3600,3600,3300,3400,32700,SSN
2023-01-06,3500,3700,3300,3400,80500,SSN
2023-01-09,3600,3600,3400,3400,21300,SSN
2023-01-10,3500,3500,3400,3500,10800,SSN
2023-01-11,3600,3700,3500,3500,355700,SSN
2023-01-12,3600,3600,3400,3500,19100,SSN
2023-01-13,3500,3600,3400,3400,52800,SSN
2023-01-16,3400,3400,3300,3300,8500,SSN
2023-01-17,3500,3600,3400,3500,26500,SSN
2023-01-18,3200,3500,3200,3500,16900,SSN
2023-01-19,3500,3500,3400,3400,23400,SSN
2023-01-27,3400,3600,3400,3600,168800,SSN
2023-01-30,3600,3900,3500,3700,64400,SSN
2023-01-31,3800,3900,3600,3900,103500,SSN
2023-02-01,3900,4000,3500,3700,45300,SSN
2023-02-02,3600,3800,3400,3600,36900,SSN
2023-02-03,3600,3600,3500,3500,174300,SSN
2023-02-06,3500,3600,3400,3500,35300,SSN
2023-02-07,3500,3600,3400,3400,27400,SSN
2023-02-08,3400,3500,3300,3400,17800,SSN
2023-02-09,3400,3700,3400,3600,41300,SSN
2023-02-10,3600,3600,3500,3500,71500,SSN
2023-02-13,3400,3400,3300,3400,41900,SSN
2023-02-14,3500,3500,3300,3300,2300,SSN
2023-02-15,3400,3500,3300,3400,28700,SSN
2023-02-16,3300,3500,3000,3200,151900,SSN
2023-02-17,3200,3200,2800,2800,621700,SSN
2023-02-24,2400,2700,2400,2400,431900,SSN
2023-03-03,2200,2300,2100,2300,564900,SSN
2023-03-10,2100,2500,2000,2300,108800,SSN
2023-03-17,2400,2400,2100,2200,359200,SSN
2023-03-24,2300,2300,2000,2000,52300,SSN
2023-03-31,1900,1900,1800,1800,600,SSN
2023-04-07,1800,1900,1800,1900,242000,SSN
2023-04-14,1800,2000,1800,1800,31600,SSN
2023-04-21,1800,1800,1600,1700,35000,SSN
2023-04-28,1600,1700,1600,1600,16700,SSN
2023-05-05,1500,1500,1400,1500,30100,SSN
2023-05-12,1400,1600,1300,1600,99400,SSN
2023-05-19,1500,1700,1500,1500,268400,SSN
2023-05-26,1600,1800,1600,1800,718300,SSN
2023-06-02,1800,1900,1800,1900,136600,SSN
2023-06-09,2100,2100,1900,2100,955200,SSN
2023-06-16,2200,2400,2200,2200,364100,SSN
2023-06-23,2300,2400,2000,2000,253100,SSN
2023-06-30,2200,2200,1800,1800,213600,SSN
2023-07-07,2100,2100,1700,1800,76300,SSN
2023-07-14,1800,1900,1800,1800,162200,SSN
2023-07-21,1800,1900,1700,1900,100000,SSN
2023-07-28,1900,2000,1900,2000,320200,SSN
2023-08-04,2300,2300,2000,2000,188400,SSN
2023-08-11,2000,2100,2000,2000,312400,SSN
2023-08-18,2100,2100,1800,1800,85800,SSN
2023-08-25,1800,1900,1700,1800,104600,SSN
2023-09-08,1900,2000,1800,2000,102600,SSN
2023-09-15,2000,2000,1700,1700,104700,SSN
2023-09-22,1900,1900,1600,1600,86400,SSN
2023-09-29,1700,1700,1600,1700,79600,SSN
2023-10-06,1700,1700,1500,1500,109300,SSN
