time,open,high,low,close,volume,ticker
2023-01-03,39500,41000,37350,37350,700,STG
2023-01-04,35300,39800,35300,35600,3000,STG
2023-01-05,37950,37950,37950,37950,100,STG
2023-01-06,39800,39800,39800,39800,200,STG
2023-01-09,37100,37200,37100,37200,400,STG
2023-01-10,35800,37200,35700,37200,900,STG
2023-01-11,38900,38900,38900,38900,100,STG
2023-01-16,36250,40900,36250,39000,4400,STG
2023-01-17,40900,40900,39000,39000,700,STG
2023-01-18,39000,40500,39000,40500,500,STG
2023-01-19,40500,40500,40500,40500,1000,STG
2023-01-27,40500,40900,40500,40900,2000,STG
2023-01-31,40900,40900,40900,40900,200,STG
2023-02-02,40900,40900,39100,40800,13100,STG
2023-02-03,40700,40700,39100,39100,9900,STG
2023-02-06,37800,38500,37800,38500,1300,STG
2023-02-07,36700,36700,36700,36700,200,STG
2023-02-08,36700,37900,35700,35700,800,STG
2023-02-09,37900,38100,37900,38100,600,STG
2023-02-10,38100,38100,38100,38100,100,STG
2023-02-13,38100,38100,38100,38100,1800,STG
2023-02-17,37900,37900,37900,37900,100,STG
2023-02-20,37900,37900,37000,37000,400,STG
2023-02-21,37500,37500,37000,37000,500,STG
2023-02-22,35150,38000,35150,38000,300,STG
2023-02-23,36600,36600,36600,36600,100,STG
2023-02-24,37000,39000,37000,39000,1500,STG
2023-02-28,39000,40900,39000,40900,300,STG
2023-03-01,41000,42000,40900,41500,1100,STG
2023-03-02,40000,40000,40000,40000,200,STG
2023-03-03,42000,42800,41800,42000,32000,STG
2023-03-06,40150,42000,40150,42000,2400,STG
2023-03-07,42000,42300,42000,42300,10900,STG
2023-03-08,42500,42500,42300,42300,1400,STG
2023-03-09,42500,42500,42500,42500,3700,STG
2023-03-10,42500,42500,42450,42500,35100,STG
2023-03-13,42500,44000,42500,44000,6800,STG
2023-03-14,43000,43000,42500,42500,800,STG
2023-03-15,43500,44000,43500,44000,6000,STG
2023-03-16,44000,44000,43000,44000,6800,STG
2023-03-17,43500,44900,43500,44900,6000,STG
2023-03-20,44900,44900,44900,44900,2900,STG
2023-03-21,44800,44900,44500,44500,8700,STG
2023-03-22,44800,44800,44800,44800,700,STG
2023-03-27,44500,44500,44500,44500,300,STG
2023-03-29,47000,47000,47000,47000,100,STG
2023-03-30,47000,47500,47000,47500,1300,STG
2023-03-31,46950,47000,46950,47000,4300,STG
2023-04-03,47000,47000,46950,47000,5000,STG
2023-04-04,47850,47950,47850,47950,1200,STG
2023-04-05,46000,46000,46000,46000,200,STG
2023-04-06,47500,47900,47500,47900,2000,STG
2023-04-07,47950,47950,47950,47950,4000,STG
2023-04-10,48000,48600,48000,48600,2000,STG
2023-04-11,48650,48650,48650,48650,200,STG
2023-04-12,48500,48500,48500,48500,5000,STG
2023-04-13,49900,49900,45500,45500,6200,STG
2023-04-14,45900,46100,45900,46100,3000,STG
2023-04-17,48000,48000,48000,48000,5800,STG
2023-04-18,48000,48500,48000,48500,2800,STG
2023-04-19,48500,49000,48500,49000,38000,STG
2023-04-20,50900,50900,49600,49650,89000,STG
2023-04-21,49650,49650,49550,49600,170100,STG
2023-04-24,49400,49450,49400,49450,90000,STG
2023-04-25,49300,49500,49000,49500,50600,STG
2023-04-26,49500,52600,49500,52600,333400,STG
2023-04-27,52600,52600,52500,52500,82500,STG
2023-04-28,54900,55000,54900,54900,11000,STG
2023-05-04,54700,54900,54700,54900,600,STG
2023-05-05,53400,53400,53400,53400,100,STG
2023-05-08,54000,54000,54000,54000,200,STG
2023-05-09,55000,55000,53400,53400,11100,STG
2023-05-10,54000,54000,53300,53500,300,STG
2023-05-11,53900,53900,53900,53900,100,STG
2023-05-12,53800,53800,53800,53800,100,STG
2023-05-17,50100,50200,50100,50100,1400,STG
2023-05-19,53500,54000,53500,54000,1300,STG
2023-05-22,51700,51700,50000,50000,2700,STG
2023-05-23,49000,49000,49000,49000,100,STG
2023-05-24,49100,49250,49100,49250,800,STG
2023-05-25,49450,49600,49250,49250,11900,STG
2023-05-26,49300,49300,49250,49250,2600,STG
2023-05-29,49300,49300,49300,49300,800,STG
2023-05-30,49400,49500,49400,49500,8700,STG
2023-05-31,49400,49900,49300,49300,6100,STG
2023-06-05,49300,49300,49250,49300,900,STG
2023-06-06,49300,49300,49300,49300,100,STG
2023-06-07,49300,49600,49300,49600,10400,STG
2023-06-08,49500,49600,49000,49000,12300,STG
2023-06-09,49000,49000,49000,49000,2100,STG
2023-06-12,49200,49400,49200,49400,7200,STG
2023-06-13,49400,49400,49400,49400,1800,STG
2023-06-14,47100,49300,47100,49300,300,STG
2023-06-15,49200,49200,49200,49200,1000,STG
2023-06-19,48900,48900,48900,48900,100,STG
2023-06-20,48900,48900,45500,48800,3300,STG
2023-06-22,48000,48700,48000,48700,900,STG
2023-06-23,48700,49600,47900,49000,1000,STG
2023-06-26,47800,48000,45600,45600,4500,STG
2023-06-27,48500,48500,48500,48500,100,STG
2023-06-28,48800,48800,48400,48400,400,STG
2023-06-29,48600,48600,47200,47300,2900,STG
2023-07-03,49900,49900,47500,47500,300,STG
2023-07-05,47650,48000,47650,48000,400,STG
2023-07-10,47900,48000,47900,48000,400,STG
2023-07-11,48000,48000,48000,48000,3900,STG
2023-07-12,48000,48000,46800,48000,400,STG
2023-07-13,46700,48100,46700,48100,300,STG
2023-07-18,48200,48400,48200,48400,500,STG
2023-07-19,48500,48600,48500,48600,400,STG
2023-07-24,47000,47000,47000,47000,100,STG
2023-07-25,48400,48400,48400,48400,200,STG
2023-07-26,47000,47000,47000,47000,200,STG
2023-07-31,47000,47100,47000,47100,1000,STG
2023-08-01,47200,47200,47000,47000,3800,STG
2023-08-07,47050,47050,47050,47050,100,STG
2023-08-08,48200,48200,47250,47250,200,STG
2023-08-09,50000,50000,49900,49900,600,STG
2023-08-16,47050,47050,47050,47050,100,STG
2023-08-17,47050,47050,47000,47000,500,STG
2023-08-18,46800,47200,44100,47200,600,STG
2023-08-23,47200,47200,47200,47200,1000,STG
2023-08-24,47000,47000,47000,47000,500,STG
2023-08-28,47000,47000,47000,47000,100,STG
2023-08-29,46800,47100,46000,47100,600,STG
2023-08-31,49300,49300,49300,49300,200,STG
2023-09-08,47000,47000,47000,47000,100,STG
2023-09-12,47200,47200,47200,47200,100,STG
2023-09-18,47500,47500,47500,47500,200,STG
2023-09-19,47000,47000,47000,47000,500,STG
2023-09-20,47200,47500,47200,47500,1000,STG
2023-09-27,47500,47500,47500,47500,300,STG
2023-09-28,47000,47000,47000,47000,400,STG
2023-09-29,46350,46800,46350,46800,400,STG
2023-10-05,45000,46000,43550,45900,4100,STG
2023-10-09,44850,48700,44800,44800,1100,STG
2023-10-10,44900,44900,44850,44850,900,STG
2023-10-11,46800,46800,46800,46800,100,STG
