time,open,high,low,close,volume,ticker
2023-01-03,59490,59490,59490,59490,200,SVI
2023-01-04,55370,55460,55370,55370,1600,SVI
2023-01-06,51910,51910,51910,51910,100,SVI
2023-01-12,48650,49320,48650,49230,1100,SVI
2023-01-18,52590,52590,52590,52590,100,SVI
2023-01-19,56230,56230,56230,56230,100,SVI
2023-01-27,59970,59970,59970,59970,100,SVI
2023-01-31,63910,63910,63910,63910,100,SVI
2023-02-22,59490,59490,59490,59490,600,SVI
2023-02-23,55370,55370,55370,55370,700,SVI
2023-02-24,51720,51720,51630,51630,900,SVI
2023-02-27,55180,55180,55180,55180,100,SVI
2023-03-01,55080,55080,55080,55080,300,SVI
2023-03-07,52010,52110,52010,52110,200,SVI
2023-03-10,49130,49130,49130,49130,100,SVI
2023-03-13,52490,52490,52490,52490,400,SVI
2023-03-14,56040,56140,56040,56140,200,SVI
2023-03-15,59880,59880,59880,59880,100,SVI
2023-03-16,55750,55750,55750,55750,400,SVI
2023-03-20,52200,59590,52200,52590,700,SVI
2023-03-22,52680,52680,52680,52680,100,SVI
2023-03-23,59780,59780,59780,59780,100,SVI
2023-03-24,55460,55460,55460,55460,100,SVI
2023-03-27,52970,52970,52780,52780,300,SVI
2023-03-29,61410,61410,61410,61410,100,SVI
2023-04-10,57190,60450,57190,60450,200,SVI
2023-04-12,56230,60450,56230,60450,400,SVI
2023-04-13,55270,60450,55270,60450,300,SVI
2023-04-24,56230,56230,56230,56230,100,SVI
2023-04-25,53350,53350,53350,53350,700,SVI
2023-04-27,58440,58440,58440,58440,100,SVI
2023-04-28,54410,54410,54410,54410,200,SVI
2023-05-04,54410,54410,52010,52010,1400,SVI
2023-05-08,52680,52680,52680,52680,100,SVI
2023-05-09,57480,57480,54410,56330,300,SVI
2023-05-10,54980,55080,54980,55080,2300,SVI
2023-05-11,54700,54700,54700,54700,700,SVI
2023-05-12,54790,54790,54790,54790,400,SVI
2023-05-16,54790,54790,52970,52970,800,SVI
2023-05-23,56230,56230,56230,56230,1000,SVI
2023-05-26,52870,58920,52870,58920,500,SVI
2023-05-29,54890,54890,54890,54890,600,SVI
2023-05-31,53070,53070,53070,53070,100,SVI
2023-06-02,54220,56520,53540,56520,4400,SVI
2023-06-05,55750,55750,55750,55750,100,SVI
2023-06-06,55660,55660,54700,54700,200,SVI
2023-06-07,54700,54700,54700,54700,100,SVI
2023-06-08,54700,54700,54700,54700,100,SVI
2023-06-09,54700,54700,53070,53070,1000,SVI
2023-06-12,54700,54700,54220,54220,2000,SVI
2023-06-13,54600,55560,54600,55560,1200,SVI
2023-06-14,55200,55200,55200,55200,200,SVI
2023-06-15,55000,55000,55000,55000,100,SVI
2023-06-20,55000,55000,55000,55000,100,SVI
2023-06-21,55000,55000,55000,55000,3100,SVI
2023-06-22,55000,55100,55000,55100,1600,SVI
2023-06-23,55100,55100,55100,55100,1500,SVI
2023-06-26,55100,55100,55100,55100,1100,SVI
2023-06-27,55100,55100,55100,55100,1300,SVI
2023-06-29,55000,55000,55000,55000,100,SVI
2023-06-30,55000,55000,55000,55000,1700,SVI
2023-07-03,57000,57000,57000,57000,100,SVI
2023-07-06,55000,55000,55000,55000,400,SVI
2023-07-10,55000,55000,55000,55000,400,SVI
2023-07-11,55000,55000,54500,54500,1100,SVI
2023-07-12,55000,55000,55000,55000,100,SVI
2023-07-18,56400,56400,56400,56400,100,SVI
2023-07-19,56500,57000,56500,57000,2600,SVI
2023-07-20,56500,56500,56500,56500,100,SVI
2023-07-21,56500,57000,56500,56500,1100,SVI
2023-07-25,56500,59000,56500,59000,5000,SVI
2023-07-28,59900,59900,58000,58000,400,SVI
2023-08-01,58000,58000,58000,58000,100,SVI
2023-08-08,56500,56500,56500,56500,200,SVI
2023-08-10,56500,56500,56500,56500,200,SVI
2023-08-18,56200,58500,56200,58500,300,SVI
2023-08-21,58600,58700,58600,58700,200,SVI
2023-08-25,57100,57100,57100,57100,100,SVI
2023-08-29,59400,59400,59400,59400,300,SVI
2023-09-13,60000,60000,60000,60000,500,SVI
2023-09-19,59500,59500,58000,58000,900,SVI
2023-10-03,56000,58000,56000,56000,11000,SVI
2023-10-06,56600,56600,56600,56600,100,SVI
2023-10-09,57000,57000,57000,57000,200,SVI
