time,open,high,low,close,volume,ticker
2023-01-03,4300,4500,4300,4500,3200,SVN
2023-01-04,4100,4400,4100,4400,13300,SVN
2023-01-05,4000,4300,4000,4300,700,SVN
2023-01-06,4200,4300,4200,4300,600,SVN
2023-01-09,4100,4300,4000,4300,5600,SVN
2023-01-11,4000,4300,3900,4300,6000,SVN
2023-01-12,4000,4300,4000,4300,4500,SVN
2023-01-13,4000,4200,3900,4200,2600,SVN
2023-01-16,4200,4200,3800,4100,23800,SVN
2023-01-17,4000,4100,4000,4100,800,SVN
2023-01-18,3700,4100,3700,3900,12700,SVN
2023-01-19,4200,4200,4000,4000,300,SVN
2023-01-27,4000,4000,3900,4000,1300,SVN
2023-01-30,3800,4000,3700,3900,500,SVN
2023-01-31,3900,4000,3600,3800,20100,SVN
2023-02-01,3800,4000,3700,4000,13800,SVN
2023-02-02,3800,4000,3800,4000,4200,SVN
2023-02-06,3800,4000,3800,4000,3600,SVN
2023-02-07,3800,4000,3800,4000,4200,SVN
2023-02-08,3800,3900,3800,3900,300,SVN
2023-02-09,3700,3900,3600,3900,4800,SVN
2023-02-10,3700,3800,3700,3800,1700,SVN
2023-02-13,4000,4000,4000,4000,1700,SVN
2023-02-16,3700,4000,3600,4000,13400,SVN
2023-02-17,3600,3900,3600,3600,16900,SVN
2023-02-20,3800,3900,3600,3900,5000,SVN
2023-02-21,4000,4000,4000,4000,1000,SVN
2023-02-22,3600,4000,3600,3700,83400,SVN
2023-02-23,3800,3800,3600,3800,2100,SVN
2023-02-24,3600,3800,3600,3700,6400,SVN
2023-02-27,3600,3600,3400,3400,8400,SVN
2023-02-28,3600,3700,3500,3600,14500,SVN
2023-03-01,3800,3800,3800,3800,1000,SVN
2023-03-02,3600,3700,3600,3700,8200,SVN
2023-03-03,3700,3700,3700,3700,4000,SVN
2023-03-06,3600,3600,3500,3600,12400,SVN
2023-03-07,3500,3600,3300,3600,36000,SVN
2023-03-08,3500,3700,3500,3700,9000,SVN
2023-03-09,3800,3800,3400,3700,32100,SVN
2023-03-10,3600,3700,3500,3700,11700,SVN
2023-03-13,3600,3700,3400,3700,21400,SVN
2023-03-14,3500,3700,3400,3700,6200,SVN
2023-03-15,3500,3600,3500,3500,5200,SVN
2023-03-16,3500,3800,3500,3700,11200,SVN
2023-03-17,3400,3600,3400,3600,20100,SVN
2023-03-21,3300,3500,3300,3500,46900,SVN
2023-03-22,3600,3700,3600,3700,5600,SVN
2023-03-23,3400,3400,3400,3400,5800,SVN
2023-03-24,3400,3400,3400,3400,700,SVN
2023-03-27,3300,3300,3300,3300,900,SVN
2023-03-28,3400,3400,3400,3400,600,SVN
2023-03-29,3500,3500,3500,3500,400,SVN
2023-03-30,3600,3600,3600,3600,400,SVN
2023-03-31,3500,3500,3500,3500,200,SVN
2023-04-03,3400,3400,3400,3400,500,SVN
2023-04-04,3500,3500,3500,3500,200,SVN
2023-04-05,3500,3500,3500,3500,1000,SVN
2023-04-06,3500,3500,3500,3500,2600,SVN
2023-04-07,3500,3500,3400,3400,500,SVN
2023-04-07,3500,3500,3400,3400,300,SVN
2023-04-10,3500,3500,3300,3500,12300,SVN
2023-04-11,3400,3500,3400,3500,3200,SVN
2023-04-12,3400,3500,3400,3500,4400,SVN
2023-04-13,3400,3500,3400,3500,600,SVN
2023-04-14,3400,3500,3300,3400,5200,SVN
2023-04-17,3500,3500,3400,3400,6200,SVN
2023-04-18,3400,3400,3400,3400,4300,SVN
2023-04-19,3500,3700,3500,3700,25000,SVN
2023-04-20,3500,3500,3500,3500,700000,SVN
2023-04-21,3500,3500,3300,3400,32700,SVN
2023-04-24,3800,3800,3800,3800,100,SVN
2023-04-25,3500,3500,3400,3400,3200,SVN
2023-04-26,3300,3500,3300,3500,3300,SVN
2023-04-27,3400,3400,3400,3400,400,SVN
2023-04-28,3400,3500,3400,3400,7400,SVN
2023-05-04,3500,3500,3500,3500,600,SVN
2023-05-11,3500,3500,3500,3500,400,SVN
2023-05-12,3400,3400,3400,3400,100,SVN
2023-05-15,3300,3500,3300,3400,300,SVN
2023-05-16,3500,3500,3500,3500,100,SVN
2023-05-17,3300,3300,3200,3300,4100,SVN
2023-05-18,3300,3400,3300,3300,1800,SVN
2023-05-19,3500,3500,3500,3500,3700,SVN
2023-05-22,3500,3500,3400,3500,900,SVN
2023-05-23,3400,3400,3200,3300,900,SVN
2023-05-24,3200,3400,3200,3400,12000,SVN
2023-05-25,3400,3500,3300,3300,9200,SVN
2023-05-26,3500,3500,3400,3400,19700,SVN
2023-05-29,3400,3500,3400,3500,19500,SVN
