time,open,high,low,close,volume,ticker
2023-01-03,9350,9350,9350,9350,300,SVT
2023-01-04,9430,9430,9430,9430,100,SVT
2023-01-05,9130,9390,9130,9390,400,SVT
2023-01-06,9390,9390,9220,9300,1900,SVT
2023-01-09,9350,9350,9170,9170,3900,SVT
2023-01-10,9480,9480,9480,9480,200,SVT
2023-01-11,9430,9830,9430,9740,2400,SVT
2023-01-12,9700,9960,9700,9960,2200,SVT
2023-01-13,9910,10000,9830,10000,5600,SVT
2023-01-16,9960,10000,9700,9700,700,SVT
2023-01-17,9650,9780,9650,9740,1100,SVT
2023-01-18,10090,10090,9350,9870,1100,SVT
2023-01-19,9960,10300,9870,10300,1500,SVT
2023-01-27,9650,10300,9610,10300,12000,SVT
2023-01-30,10350,10350,9740,10260,7700,SVT
2023-01-31,10300,10300,9740,9780,2600,SVT
2023-02-01,9870,10000,9870,10000,700,SVT
2023-02-02,9910,10000,9870,10000,1700,SVT
2023-02-03,10090,10090,10090,10090,100,SVT
2023-02-06,10090,10170,9650,9650,1200,SVT
2023-02-07,9650,9960,9650,9960,2200,SVT
2023-02-08,9960,10000,9570,9960,19300,SVT
2023-02-09,10000,10000,9520,9910,21100,SVT
2023-02-10,9910,9960,9910,9960,200,SVT
2023-02-14,9650,9870,9570,9870,9400,SVT
2023-02-15,9650,9910,9570,9830,3500,SVT
2023-02-16,9830,9960,9650,9910,7000,SVT
2023-02-17,9650,9910,9570,9910,12900,SVT
2023-02-20,9650,9910,9570,9910,4300,SVT
2023-02-21,9910,9910,9570,9570,2200,SVT
2023-02-22,9570,9570,9570,9570,2000,SVT
2023-02-23,9570,9570,9570,9570,100,SVT
2023-02-24,9570,9740,9570,9740,300,SVT
2023-02-27,9570,9570,9570,9570,3300,SVT
2023-02-28,9650,9650,9650,9650,100,SVT
2023-03-01,9650,9700,9650,9700,300,SVT
2023-03-02,9700,9870,9700,9870,600,SVT
2023-03-03,9830,9830,9700,9700,300,SVT
2023-03-06,9610,9610,9570,9570,1500,SVT
2023-03-07,9260,9570,9260,9520,5000,SVT
2023-03-08,9570,9700,9570,9700,300,SVT
2023-03-09,9570,9570,9220,9220,1500,SVT
2023-03-10,9570,9570,9520,9570,8000,SVT
2023-03-13,9650,9740,9570,9570,400,SVT
2023-03-14,9570,9570,9480,9570,2200,SVT
2023-03-15,9480,9740,9390,9740,600,SVT
2023-03-16,9740,9740,9480,9740,1600,SVT
2023-03-17,9740,9740,9740,9740,100,SVT
2023-03-20,9910,9960,9780,9780,8300,SVT
2023-03-21,9960,10090,9960,10090,7000,SVT
2023-03-22,10090,10090,10090,10090,1100,SVT
2023-03-23,9830,9830,9830,9830,100,SVT
2023-03-24,9610,10740,9610,10740,200,SVT
2023-03-27,10000,10000,9650,9650,1500,SVT
2023-03-28,10300,10300,10300,10300,100,SVT
2023-03-29,9830,9830,9830,9830,100,SVT
2023-03-30,9740,9740,9740,9740,200,SVT
2023-03-31,10040,10040,10040,10040,100,SVT
2023-04-03,9870,9960,9870,9960,1000,SVT
2023-04-04,10040,10040,10040,10040,5000,SVT
2023-04-05,10260,10260,9830,9830,3200,SVT
2023-04-06,9870,9910,9870,9910,200,SVT
2023-04-07,9910,9910,9650,9650,6200,SVT
2023-04-07,9910,9910,9910,9910,300,SVT
2023-04-10,9830,9870,9830,9830,400,SVT
2023-04-11,9870,9870,9830,9830,300,SVT
2023-04-12,9870,10220,9740,10220,19700,SVT
2023-04-13,10260,10430,10260,10430,5500,SVT
2023-04-14,10430,10430,10430,10430,100,SVT
2023-04-17,10430,10430,10390,10430,2900,SVT
2023-04-18,10390,10430,10260,10260,5100,SVT
2023-04-19,10430,10430,10430,10430,2500,SVT
2023-04-20,10220,10610,9740,10610,15500,SVT
2023-04-21,10700,10700,10700,10700,100,SVT
2023-04-24,10960,10960,10570,10700,2100,SVT
2023-04-25,10780,10780,10430,10430,200,SVT
2023-04-26,10430,10430,10430,10430,1400,SVT
2023-04-27,10780,10780,10430,10740,1300,SVT
2023-04-28,10700,10700,10700,10700,100,SVT
2023-05-04,10830,10830,10520,10780,300,SVT
2023-05-05,10480,10480,10430,10430,3300,SVT
2023-05-08,10700,10700,10430,10430,3500,SVT
2023-05-09,10700,10700,10090,10090,2900,SVT
2023-05-10,10090,10090,10000,10000,1600,SVT
2023-05-11,10090,10130,10040,10130,10000,SVT
2023-05-12,10220,10350,10000,10000,5800,SVT
2023-05-15,10300,10430,10000,10390,8900,SVT
2023-05-16,10390,10390,10390,10390,100,SVT
2023-05-17,10220,10260,10220,10260,500,SVT
2023-05-18,10260,10260,10260,10260,200,SVT
2023-05-19,10220,10740,10220,10480,36300,SVT
2023-05-22,11260,11260,10870,10870,500,SVT
2023-05-23,10740,11390,10430,10430,15100,SVT
2023-05-24,10910,10910,10520,10520,3300,SVT
2023-05-25,10960,10960,10570,10570,200,SVT
2023-05-26,10430,10740,10430,10700,1600,SVT
2023-05-29,10780,10830,10430,10830,8100,SVT
2023-05-30,10960,10960,10480,10480,1900,SVT
2023-05-31,10830,10830,10350,10430,3100,SVT
2023-06-01,10780,11130,10780,11000,8400,SVT
2023-06-02,11040,11130,10870,10870,600,SVT
2023-06-05,11000,11610,10780,11570,20800,SVT
2023-06-06,11830,12090,11130,12000,220000,SVT
2023-06-07,12000,12000,11260,11650,6100,SVT
2023-06-08,11220,11650,10960,11650,13900,SVT
2023-06-09,11300,11910,11170,11170,2000,SVT
2023-06-12,11740,11740,11170,11570,2700,SVT
2023-06-13,11170,11480,11170,11480,2500,SVT
2023-06-14,11300,11570,11300,11570,500,SVT
2023-06-15,11700,11700,11260,11610,8600,SVT
2023-06-16,11610,11610,11610,11610,2500,SVT
2023-06-19,11300,11300,11300,11300,100,SVT
2023-06-20,11570,11780,11570,11780,500,SVT
2023-06-21,11650,11780,11300,11300,2200,SVT
2023-06-22,11610,11610,11300,11520,1200,SVT
2023-06-23,11520,11520,11300,11520,3000,SVT
2023-06-26,11520,11570,11520,11570,12300,SVT
2023-06-27,11570,11610,11570,11610,300,SVT
2023-06-28,11570,11650,11570,11650,5000,SVT
2023-06-29,11650,11650,11610,11610,4600,SVT
2023-06-30,11610,11610,11610,11610,100,SVT
2023-07-03,11300,11610,11040,11040,2300,SVT
2023-07-04,11300,11390,11300,11350,9100,SVT
2023-07-05,11960,12130,11700,11700,600,SVT
2023-07-06,11300,11610,11090,11090,1400,SVT
2023-07-07,11570,11570,11570,11570,100,SVT
2023-07-10,11520,11570,11520,11570,200,SVT
2023-07-11,11520,11570,11350,11570,1000,SVT
2023-07-12,11570,11570,11570,11570,200,SVT
2023-07-13,11700,11700,11300,11300,2400,SVT
2023-07-14,11300,11520,11130,11300,3800,SVT
2023-07-17,11650,11650,11130,11480,1500,SVT
