time,open,high,low,close,volume,ticker
2023-01-09,28340,28340,28340,28340,400,SZG
2023-01-10,28340,28340,27360,27360,700,SZG
2023-01-11,26480,26480,26480,26480,100,SZG
2023-01-12,26480,26480,26480,26480,600,SZG
2023-01-13,26480,30000,26480,30000,1500,SZG
2023-01-16,31270,31270,31270,31270,1000,SZG
2023-01-17,35080,35080,35080,35080,100,SZG
2023-01-18,30390,30390,30290,30290,300,SZG
2023-01-27,34590,34590,34590,34590,100,SZG
2023-01-31,31270,31270,30290,30290,400,SZG
2023-02-01,29310,31270,29310,30780,16000,SZG
2023-02-02,29310,29310,29310,29310,1700,SZG
2023-02-03,29310,29310,29310,29310,800,SZG
2023-02-06,31270,31460,31270,31460,18800,SZG
2023-02-07,31270,31270,31270,31270,200,SZG
2023-02-08,31270,31270,31270,31270,1900,SZG
2023-02-16,31270,32250,31270,32250,21000,SZG
2023-02-21,32250,32250,32250,32250,10000,SZG
2023-02-22,32250,32250,32250,32250,11000,SZG
2023-02-28,29310,29310,29310,29310,1600,SZG
2023-03-01,28340,28430,28340,28430,1200,SZG
2023-03-02,27460,27460,27460,27460,800,SZG
2023-03-03,26480,26480,26480,26480,400,SZG
2023-03-07,30390,30390,30390,30390,100,SZG
2023-03-08,32250,32250,31270,31270,800,SZG
2023-04-04,32049,32049,32049,32049,3000,SZG
2023-04-12,28430,28430,28430,28430,100,SZG
2023-04-13,29310,29310,29310,29310,3000,SZG
2023-04-17,31270,31270,31270,31270,100,SZG
2023-04-24,32250,32250,32250,32250,4300,SZG
2023-05-08,29410,29410,29310,29310,200,SZG
2023-05-10,32250,32250,32250,32250,100,SZG
2023-05-11,28920,28920,28830,28830,200,SZG
2023-05-12,28040,28040,27850,27850,300,SZG
2023-05-15,31760,31760,31760,31760,100,SZG
2023-05-16,27950,27950,27950,27950,200,SZG
2023-05-22,31170,31170,31170,31170,100,SZG
2023-05-30,35760,35760,35760,35760,100,SZG
2023-05-31,30490,35180,30490,33220,9300,SZG
2023-06-01,34200,34200,34200,34200,100,SZG
2023-06-02,35180,36150,35180,36150,800,SZG
2023-06-05,35180,35180,35180,35180,800,SZG
2023-06-08,33220,33220,33220,33220,4000,SZG
2023-06-09,34100,34100,34100,34100,200,SZG
2023-06-13,34000,34000,34000,34000,2300,SZG
2023-06-14,34200,34200,34200,34200,2000,SZG
2023-06-16,34100,34100,29410,29510,5700,SZG
2023-06-19,29610,29610,29610,29610,1000,SZG
2023-06-23,33810,33810,33420,33420,4600,SZG
2023-06-27,29410,29410,29410,29410,1800,SZG
2023-07-12,27360,27360,27360,27360,100,SZG
2023-07-13,27950,27950,27950,27950,100,SZG
2023-07-14,31070,31270,28140,28140,1100,SZG
2023-07-17,30880,35370,30880,34200,11000,SZG
2023-07-18,35180,36640,34200,34300,14900,SZG
2023-07-19,34200,34300,34200,34300,1500,SZG
2023-07-20,31270,31270,31270,31270,100,SZG
2023-07-21,29410,34100,29410,34100,400,SZG
2023-07-24,29510,34980,29510,34000,1400,SZG
2023-07-25,30780,31070,30490,31070,900,SZG
2023-07-26,29410,30780,29410,30780,2600,SZG
2023-07-27,29700,30880,29700,30780,3500,SZG
2023-07-28,31760,31760,31760,31760,500,SZG
2023-07-31,30390,30490,30390,30390,5300,SZG
2023-08-01,31170,31270,29900,29900,1600,SZG
2023-08-02,30780,30780,30290,30290,4200,SZG
2023-08-03,30490,30490,30490,30490,100,SZG
2023-08-04,29510,29800,29510,29800,500,SZG
2023-08-07,29900,30290,29900,30290,2000,SZG
2023-08-08,30290,30680,30290,30680,600,SZG
2023-08-09,31660,31760,30780,30780,1700,SZG
2023-08-10,30880,31270,30880,31270,3100,SZG
2023-08-11,31460,31460,31460,31460,500,SZG
2023-08-14,31560,31660,31560,31660,4500,SZG
2023-08-15,32150,32250,30000,31460,29400,SZG
2023-08-16,31460,31460,31460,31460,400,SZG
2023-08-18,31460,31460,31460,31460,11000,SZG
2023-08-21,29800,29800,29800,29800,100,SZG
2023-08-23,31760,31760,31760,31760,4000,SZG
2023-08-24,32250,32250,31760,31760,9900,SZG
2023-08-25,34200,34400,30580,30580,104400,SZG
2023-08-28,30390,33220,30390,33220,16000,SZG
2023-08-29,33220,33220,33220,33220,5000,SZG
2023-08-31,33810,33810,33810,33810,100,SZG
2023-09-05,34200,34200,34200,34200,172000,SZG
2023-09-08,34590,34590,31270,31370,300,SZG
2023-09-11,31370,34200,31370,34200,700,SZG
2023-09-12,34200,34200,32250,32250,34200,SZG
2023-09-13,34200,34200,34200,34200,7000,SZG
2023-09-14,35000,35000,35000,35000,105000,SZG
2023-09-21,35000,35000,35000,35000,142100,SZG
2023-09-25,34900,34900,34900,34900,100,SZG
2023-09-27,35000,36000,35000,36000,35000,SZG
2023-09-28,35000,35000,35000,35000,3100,SZG
2023-10-03,31000,31000,31000,31000,100,SZG
2023-10-04,35600,35600,35600,35600,100,SZG
2023-10-05,37000,37000,36800,36800,28000,SZG
2023-10-06,34000,34000,34000,34000,300,SZG
2023-10-09,34000,34000,34000,34000,200,SZG
2023-10-11,34000,34000,34000,34000,200,SZG
