time,open,high,low,close,volume,ticker
2023-01-03,45470,45470,45470,45470,4200,SZL
2023-01-04,45470,45470,45470,45470,2800,SZL
2023-01-05,45470,45470,45470,45470,800,SZL
2023-01-06,45470,45470,44530,44530,1300,SZL
2023-01-09,44530,45470,43580,45470,300,SZL
2023-01-11,43580,43580,43580,43580,100,SZL
2023-01-16,41490,41490,41490,41490,3000,SZL
2023-01-17,41680,44380,41680,44380,9000,SZL
2023-01-18,44530,44530,43580,43580,4900,SZL
2023-01-27,45470,45470,45470,45470,300,SZL
2023-01-30,45470,45470,45470,45470,3100,SZL
2023-01-31,45470,45950,45470,45470,2400,SZL
2023-02-01,45470,45470,44530,44530,2700,SZL
2023-02-02,45470,45950,45470,45470,800,SZL
2023-02-03,45470,45950,45470,45520,19300,SZL
2023-02-06,45470,45950,45470,45950,400,SZL
2023-02-07,45950,45950,45950,45950,1900,SZL
2023-02-08,45950,45950,45470,45470,1000,SZL
2023-02-09,46040,46420,46040,46420,1200,SZL
2023-02-10,45570,45570,45570,45570,100,SZL
2023-02-13,46420,46420,45570,45570,700,SZL
2023-02-14,45570,45570,45570,45570,200,SZL
2023-02-16,45570,45570,45570,45570,100,SZL
2023-02-17,45950,45950,45950,45950,500,SZL
2023-02-20,46420,46420,46420,46420,14100,SZL
2023-02-21,46420,46520,46420,46520,300,SZL
2023-02-22,46470,46470,46470,46470,3200,SZL
2023-02-24,46890,46890,46470,46470,1500,SZL
2023-02-27,46470,46520,45950,46520,1400,SZL
2023-02-28,46520,46520,46520,46520,1300,SZL
2023-03-01,46520,46520,46520,46520,500,SZL
2023-03-02,46520,46520,46520,46520,1000,SZL
2023-03-06,44530,46520,44530,46520,500,SZL
2023-03-08,46520,46520,46520,46520,100,SZL
2023-03-09,46520,46520,46520,46520,300,SZL
2023-03-10,46420,46520,46420,46520,200,SZL
2023-03-20,46420,46420,46420,46420,5000,SZL
2023-03-21,46420,46420,45470,46420,7400,SZL
2023-03-22,47370,47370,47370,47370,700,SZL
2023-03-23,47370,47370,47370,47370,800,SZL
2023-03-27,47370,47370,47370,47370,2300,SZL
2023-03-28,47370,47370,47370,47370,700,SZL
2023-03-29,48320,48320,48320,48320,200,SZL
2023-03-31,47460,47460,47460,47460,100,SZL
2023-04-03,47560,47560,47560,47560,1000,SZL
2023-04-04,48030,48030,48030,48030,800,SZL
2023-04-05,48320,48320,48320,48320,100,SZL
2023-04-06,49260,49260,49260,49260,500,SZL
2023-04-07,50120,50120,50120,50120,100,SZL
2023-04-11,50020,50020,48320,48320,1300,SZL
2023-04-12,49550,49550,49550,49550,300,SZL
2023-04-14,49360,50400,48980,50400,2700,SZL
2023-04-17,49260,50210,49260,50210,1700,SZL
2023-04-18,50310,50310,49260,49260,800,SZL
2023-04-19,49360,49360,49360,49360,300,SZL
2023-04-20,49260,49260,49260,49260,100,SZL
2023-04-21,50020,50020,50020,50020,500,SZL
2023-04-24,49360,49740,49260,49450,25000,SZL
2023-04-25,50210,50210,50210,50210,100,SZL
2023-04-26,49260,51160,49260,51160,1200,SZL
2023-04-28,49450,49450,49450,49450,100,SZL
2023-05-04,49740,49740,49640,49740,1800,SZL
2023-05-05,49450,49450,49450,49450,300,SZL
2023-05-08,51440,51440,49740,49740,4400,SZL
2023-05-09,51440,51440,51440,51440,200,SZL
2023-05-11,50210,53150,49740,52110,8300,SZL
2023-05-12,51160,51160,51160,51160,200,SZL
2023-05-15,51160,51160,50680,50680,2700,SZL
2023-05-17,51160,52110,51160,51160,3900,SZL
2023-05-18,52960,52960,52110,52580,6500,SZL
2023-05-19,52860,52860,52860,52860,100,SZL
2023-05-22,54280,54280,51160,52110,2200,SZL
2023-05-23,53810,53810,53810,53810,200,SZL
2023-05-24,53050,53050,53050,53050,100,SZL
2023-05-25,53050,53050,53050,53050,500,SZL
2023-05-26,54000,54000,51820,53910,1800,SZL
2023-05-29,54000,55420,53530,54470,25400,SZL
2023-05-30,53340,54000,53240,54000,3800,SZL
2023-05-31,51500,54000,51500,54000,6000,SZL
2023-06-01,54000,54000,54000,54000,1000,SZL
2023-06-02,52000,54900,52000,54900,8800,SZL
2023-06-05,52600,54500,52600,54500,300,SZL
2023-06-06,54400,54400,51200,53900,1800,SZL
2023-06-07,53800,53800,52500,52500,3100,SZL
2023-06-08,52700,52700,51700,51700,3700,SZL
2023-06-09,51700,51700,51700,51700,1000,SZL
2023-06-12,50700,50700,50600,50700,8800,SZL
