time,open,high,low,close,volume,ticker
2023-01-03,11500,12000,11500,12000,2900,TA9
2023-01-04,12300,12300,12300,12300,100,TA9
2023-01-05,12500,12500,12500,12500,100,TA9
2023-01-06,11600,12600,11600,12600,3500,TA9
2023-01-09,12000,12700,12000,12700,13400,TA9
2023-01-13,13800,13800,13800,13800,100,TA9
2023-01-30,13800,13800,13800,13800,29400,TA9
2023-01-31,12800,12800,12600,12600,2000,TA9
2023-02-01,13500,13500,13500,13500,200,TA9
2023-02-02,13000,13000,12300,13000,400,TA9
2023-02-03,13000,13000,13000,13000,1300,TA9
2023-02-06,12500,12500,12500,12500,300,TA9
2023-02-07,12500,12500,12400,12400,600,TA9
2023-02-09,12100,12300,12100,12300,1900,TA9
2023-02-10,12200,12200,12200,12200,1500,TA9
2023-02-13,12100,12100,12100,12100,1600,TA9
2023-02-15,12100,12100,12100,12100,700,TA9
2023-02-16,12200,12200,12200,12200,200,TA9
2023-02-17,12200,12300,12200,12300,2200,TA9
2023-02-20,12000,12300,12000,12300,2100,TA9
2023-02-21,12100,12600,12000,12600,3100,TA9
2023-02-24,11400,12500,11400,12500,700,TA9
2023-02-27,11300,12500,11300,12500,4400,TA9
2023-02-28,12500,12500,12500,12500,100,TA9
2023-03-01,11500,12500,11500,12500,400,TA9
2023-03-03,11600,12200,11500,12200,4900,TA9
2023-03-06,11600,12000,11600,12000,300,TA9
2023-03-07,12000,12000,12000,12000,100,TA9
2023-03-08,11900,12000,11900,12000,200,TA9
2023-03-10,12000,12200,12000,12200,300,TA9
2023-03-13,12000,12300,12000,12300,600,TA9
2023-03-15,12000,12000,12000,12000,100,TA9
2023-03-16,12500,12500,12500,12500,100,TA9
2023-03-17,11300,12200,11300,12200,200,TA9
2023-03-20,11000,12400,11000,12400,300,TA9
2023-03-22,12300,12300,12300,12300,200,TA9
2023-03-24,11800,11800,11800,11800,100,TA9
2023-03-31,11200,11200,11200,11200,100,TA9
2023-04-03,11600,11600,11600,11600,1000,TA9
2023-04-05,11700,11700,11700,11700,9200,TA9
2023-04-06,12000,12000,12000,12000,100,TA9
2023-04-10,11500,11500,11100,11100,10500,TA9
2023-04-11,11300,11300,10600,10600,900,TA9
2023-04-13,11800,11900,11800,11900,700,TA9
2023-04-14,11300,11300,11300,11300,200,TA9
2023-04-17,11700,11700,10500,10500,20400,TA9
2023-04-18,11300,11700,11300,11700,900,TA9
2023-04-19,11800,11800,11800,11800,100,TA9
2023-04-20,11000,11000,11000,11000,900,TA9
2023-04-21,11700,11700,11700,11700,700,TA9
2023-04-24,11600,11600,11600,11600,100,TA9
2023-04-25,11100,11500,11100,11500,5300,TA9
2023-04-26,10900,11400,10900,11400,300,TA9
2023-04-27,11700,11700,11700,11700,100,TA9
2023-05-04,11000,11000,10800,10800,700,TA9
2023-05-05,11500,11500,11500,11500,4600,TA9
2023-05-08,11800,11800,11800,11800,100,TA9
2023-05-09,11000,11700,11000,11700,1000,TA9
2023-05-11,10800,11500,10800,11500,200,TA9
2023-05-12,11000,11000,11000,11000,2500,TA9
2023-05-15,11100,11400,11100,11400,200,TA9
2023-05-16,11200,11200,10800,10800,2200,TA9
2023-05-18,11000,11000,11000,11000,100,TA9
2023-05-19,11400,11800,11000,11000,500,TA9
2023-05-22,11500,11800,11500,11600,6800,TA9
2023-05-25,11700,11700,11700,11700,200,TA9
2023-05-26,11100,11100,11100,11100,100,TA9
2023-05-29,11700,11700,11700,11700,300,TA9
2023-05-30,11100,11700,10700,11700,1700,TA9
2023-06-06,11600,11700,11300,11300,1000,TA9
2023-06-07,11600,11600,11000,11100,6400,TA9
2023-06-08,11100,11500,11100,11500,600,TA9
2023-06-09,11500,11800,11500,11800,1400,TA9
2023-06-12,11900,11900,11800,11800,2600,TA9
2023-06-13,11500,11500,11500,11500,12700,TA9
2023-06-14,12000,12000,11300,11300,1600,TA9
2023-06-15,11300,12000,11300,12000,1300,TA9
2023-06-16,12000,12000,11500,12000,23100,TA9
2023-06-19,12200,12200,12200,12200,100,TA9
2023-06-20,12200,12200,11800,11800,3700,TA9
2023-06-21,11600,12000,11600,12000,700,TA9
2023-06-22,12300,12300,12300,12300,500,TA9
2023-06-23,12300,12300,11700,12000,3900,TA9
2023-06-26,12000,12000,12000,12000,6000,TA9
2023-06-28,12000,12000,12000,12000,1400,TA9
2023-06-30,12300,12300,12100,12200,6800,TA9
2023-07-03,11600,12200,11600,12200,400,TA9
2023-07-04,12300,12300,12300,12300,3200,TA9
2023-07-05,11600,12100,11300,12000,12500,TA9
2023-07-06,12000,12000,12000,12000,100,TA9
2023-07-07,11500,11600,11300,11300,3400,TA9
2023-07-10,11600,12400,11400,12400,3100,TA9
2023-07-11,12000,12000,12000,12000,2000,TA9
2023-07-13,11800,12000,11800,12000,1200,TA9
2023-07-17,12000,12000,12000,12000,1400,TA9
2023-07-19,11800,12000,11800,12000,3100,TA9
2023-07-20,11800,12100,11800,12100,3800,TA9
2023-07-24,12100,12100,11800,12100,2800,TA9
2023-07-25,11900,12100,11900,12100,18400,TA9
2023-07-26,12100,12400,12000,12000,5500,TA9
2023-07-27,12400,12400,12000,12400,5700,TA9
2023-07-28,12400,12900,12400,12900,5000,TA9
2023-07-31,12400,13200,12400,13200,2200,TA9
2023-08-01,12600,13200,12600,13200,1200,TA9
2023-08-03,12500,12600,12500,12600,6300,TA9
2023-08-04,12600,12600,12500,12600,9000,TA9
2023-08-07,12700,12700,12700,12700,100,TA9
2023-08-09,12700,12700,12200,12700,4600,TA9
2023-08-11,12600,12600,12300,12300,7700,TA9
2023-08-15,11800,12400,11800,12400,10100,TA9
