time,open,high,low,close,volume,ticker
2023-01-03,25750,27450,25750,27450,3786800,TCB
2023-01-04,27450,27800,27250,27300,3185500,TCB
2023-01-05,27300,27800,27150,27650,2716900,TCB
2023-01-06,27450,28400,27300,27700,4803900,TCB
2023-01-09,27800,27950,27600,27750,2387700,TCB
2023-01-10,27750,28000,27300,27450,2613300,TCB
2023-01-11,27450,28000,27300,27650,3136500,TCB
2023-01-12,27650,27950,27600,27850,2124100,TCB
2023-01-13,27900,28300,27800,27800,2810200,TCB
2023-01-16,27850,28100,27650,28100,2492900,TCB
2023-01-17,28400,29300,28350,29000,6179200,TCB
2023-01-18,29100,29150,28900,29100,3241200,TCB
2023-01-19,28850,29300,28850,29100,4742400,TCB
2023-01-27,29350,29700,29000,29050,5539200,TCB
2023-01-30,29050,29050,28550,28700,5917000,TCB
2023-01-31,28650,29400,28050,29400,6148400,TCB
2023-02-01,29500,29500,28000,28200,5944500,TCB
2023-02-02,28200,28400,27600,28000,3795200,TCB
2023-02-03,28100,28200,27100,27100,6448000,TCB
2023-02-06,27100,28000,27050,27950,3181900,TCB
2023-02-07,27950,28050,27400,27400,3288400,TCB
2023-02-08,27500,27950,27400,27850,2709000,TCB
2023-02-09,27700,27850,27300,27300,2757300,TCB
2023-02-10,27350,27500,26900,26950,2626000,TCB
2023-02-13,26850,26900,26350,26600,2897200,TCB
2023-02-14,26500,27400,26500,26850,2949800,TCB
2023-02-15,26850,27600,26600,27400,2633000,TCB
2023-02-16,27600,27900,27200,27900,2247700,TCB
2023-02-17,27750,27800,27500,27800,1784300,TCB
2023-02-20,27750,28600,27700,28600,2743200,TCB
2023-02-21,28600,28950,28350,28400,2590900,TCB
2023-02-22,28050,28150,27500,27500,2373000,TCB
2023-02-23,27500,27950,27000,27950,3597400,TCB
2023-02-24,27950,27950,27150,27250,1972500,TCB
2023-02-27,27200,27200,26600,27000,2377000,TCB
2023-02-28,27000,27200,26500,26500,2104000,TCB
2023-03-01,26200,27350,26050,27300,2204200,TCB
2023-03-02,27550,27600,27000,27200,1549900,TCB
2023-03-03,27200,27350,26550,26800,1875800,TCB
2023-03-06,27000,27450,26700,27200,2568900,TCB
2023-03-07,27200,27500,27050,27100,2340300,TCB
2023-03-08,26900,27400,26800,27300,1945300,TCB
2023-03-09,27500,27850,27200,27800,3286200,TCB
2023-03-10,27500,27600,27000,27150,2129800,TCB
2023-03-13,26550,26950,26550,26750,3114300,TCB
2023-03-14,26650,26750,26300,26300,2469900,TCB
2023-03-15,26800,27400,26800,27200,2361600,TCB
2023-03-16,26900,26950,26350,26750,2661700,TCB
2023-03-17,26800,27100,26600,26650,1199600,TCB
2023-03-20,26500,26600,26250,26250,2286500,TCB
2023-03-21,26500,26600,26100,26350,1997800,TCB
2023-03-22,26450,26600,26250,26350,2215200,TCB
2023-03-23,26200,26350,25850,26200,2248200,TCB
2023-03-24,26400,26700,26300,26550,1872800,TCB
2023-03-27,26450,26700,26350,26600,1328700,TCB
2023-03-28,26700,27700,26700,27500,7473700,TCB
2023-03-29,27550,28300,27500,27900,5559300,TCB
2023-03-30,28350,28500,27700,27700,4690400,TCB
2023-03-31,27800,28400,27800,28300,6868700,TCB
2023-04-03,29000,29350,28700,29250,11639500,TCB
2023-04-04,29300,29500,29050,29400,6754000,TCB
2023-04-05,29400,29600,29200,29400,3971600,TCB
2023-04-06,29350,30200,29350,29950,7354900,TCB
2023-04-07,29650,29650,29400,29550,3641400,TCB
2023-04-10,29650,30800,29600,30150,5389000,TCB
2023-04-11,30200,30400,29600,30400,5209800,TCB
2023-04-12,30400,30950,30100,30600,4355800,TCB
2023-04-13,30600,30950,30300,30400,2912500,TCB
2023-04-14,30200,30400,29050,29250,8037200,TCB
2023-04-17,29000,29450,28750,29150,2515900,TCB
2023-04-18,29400,29400,28900,29200,2206700,TCB
2023-04-19,29200,29400,29050,29100,2165300,TCB
2023-04-20,28900,29000,28550,28700,2122700,TCB
2023-04-21,29000,29000,28750,28750,2027900,TCB
2023-04-24,28700,29750,28650,29450,3063700,TCB
2023-04-25,29650,29850,29200,29200,1866000,TCB
2023-04-26,29200,29600,28850,29600,2442200,TCB
2023-04-27,30200,30200,29850,29850,1818500,TCB
2023-04-28,29950,29950,29550,29650,1877800,TCB
2023-05-04,29500,29500,28900,29050,1791100,TCB
2023-05-05,29050,29200,28450,28600,3318700,TCB
2023-05-08,28900,29300,28700,29300,2486500,TCB
2023-05-09,29450,29500,29050,29250,1880300,TCB
2023-05-10,29350,29400,29100,29250,2300800,TCB
2023-05-11,29500,29500,29100,29150,2336600,TCB
2023-05-12,29100,29250,29000,29250,2313000,TCB
2023-05-15,29450,30150,29400,29850,6910600,TCB
2023-05-16,30100,30100,29750,29800,1961300,TCB
2023-05-17,29700,29900,29300,29350,3364800,TCB
2023-05-18,29250,29700,29250,29600,3036400,TCB
