time,open,high,low,close,volume,ticker
2023-01-03,30500,30970,30500,30500,48500,TCL
2023-01-04,30500,30690,30220,30400,31500,TCL
2023-01-05,31160,31160,30220,30450,26800,TCL
2023-01-06,30220,30690,30220,30400,24100,TCL
2023-01-09,30400,30640,30400,30400,18000,TCL
2023-01-10,30400,30400,30220,30260,4500,TCL
2023-01-11,30640,30640,30260,30260,13000,TCL
2023-01-12,30590,30780,30310,30400,10600,TCL
2023-01-13,30690,30690,30220,30590,16200,TCL
2023-01-16,31160,31350,31160,31210,33100,TCL
2023-01-17,31350,32009,31350,32009,27300,TCL
2023-01-18,32009,32060,31630,31870,36100,TCL
2023-01-19,31870,31910,31630,31730,18200,TCL
2023-01-27,32009,32100,31730,31960,30000,TCL
2023-01-30,32060,33050,32009,32619,35600,TCL
2023-01-31,32670,32860,32290,32580,24500,TCL
2023-02-01,32670,33520,32670,32720,35200,TCL
2023-02-02,32860,32860,32100,32530,40800,TCL
2023-02-03,32479,32619,32479,32580,26400,TCL
2023-02-06,32530,32580,32150,32580,15700,TCL
2023-02-07,32580,32619,32290,32390,19900,TCL
2023-02-08,32430,32430,32390,32390,9700,TCL
2023-02-09,32340,32950,32340,32390,19100,TCL
2023-02-10,32390,32430,32290,32290,19000,TCL
2023-02-13,32100,32100,31250,31350,23200,TCL
2023-02-14,31820,31820,31630,31680,20100,TCL
2023-02-15,31350,31820,31350,31820,23200,TCL
2023-02-16,31820,32100,31630,31770,13200,TCL
2023-02-17,31770,31770,31630,31630,11700,TCL
2023-02-20,31630,32150,31630,32150,46200,TCL
2023-02-21,32150,32860,32150,32860,84800,TCL
2023-02-22,32759,32810,32290,32580,16600,TCL
2023-02-23,32580,32619,32390,32479,12900,TCL
2023-02-24,32479,32479,31820,32290,19800,TCL
2023-02-27,32100,32290,32009,32009,27400,TCL
2023-02-28,32009,32290,32009,32009,37700,TCL
2023-03-01,32290,32390,32100,32340,13600,TCL
2023-03-02,32580,33050,32580,32670,64400,TCL
2023-03-03,32860,32950,32670,32810,28600,TCL
2023-03-06,32759,32860,32619,32720,21000,TCL
2023-03-07,32759,32759,31630,32580,36200,TCL
2023-03-08,33000,33000,31910,32580,12900,TCL
2023-03-09,32810,32810,32580,32580,17200,TCL
2023-03-10,32580,32720,32580,32580,9300,TCL
2023-03-13,32580,32580,32290,32390,4000,TCL
2023-03-14,32150,32390,32150,32290,10700,TCL
2023-03-15,32340,32950,32340,32950,10900,TCL
2023-03-16,32810,33520,32580,33330,46700,TCL
2023-03-17,33430,34790,33430,34230,75500,TCL
2023-03-20,34750,34750,33050,33570,24600,TCL
2023-03-21,32670,33800,32670,33800,44800,TCL
2023-03-22,33990,33990,33990,33990,200,TCL
2023-03-23,33330,33520,33330,33520,1700,TCL
2023-03-24,33760,33760,33760,33760,1300,TCL
2023-03-27,33240,33240,33100,33100,2400,TCL
2023-03-28,33710,33710,33140,33470,3200,TCL
2023-03-29,33430,33800,33430,33800,2100,TCL
2023-03-30,31910,33470,31910,33470,4400,TCL
2023-03-31,33380,33430,33380,33380,4300,TCL
2023-04-03,33330,33330,33330,33330,200,TCL
2023-04-04,33330,33520,33330,33520,9800,TCL
2023-04-05,33330,33380,33330,33380,1500,TCL
2023-04-06,33430,33430,33430,33430,100,TCL
2023-04-07,33430,33430,33380,33430,1900,TCL
2023-04-07,33430,33430,33430,33430,600,TCL
2023-04-10,33710,33710,33330,33430,17800,TCL
2023-04-11,33610,33610,33430,33520,17700,TCL
2023-04-12,33430,33800,33430,33760,8200,TCL
2023-04-13,33610,33710,33610,33610,2900,TCL
2023-04-14,33710,33990,33710,33990,10100,TCL
2023-04-17,34370,34460,34180,34180,31700,TCL
2023-04-18,34370,34370,34320,34370,8900,TCL
2023-04-19,34370,34560,34370,34370,6800,TCL
2023-04-20,34940,34940,34370,34560,3600,TCL
2023-04-21,34460,34650,34460,34460,3500,TCL
2023-04-24,34370,34650,34370,34560,23300,TCL
2023-04-25,34370,34460,34370,34370,18500,TCL
2023-04-26,34040,34460,34040,34460,4600,TCL
2023-04-27,34460,34840,34460,34840,31100,TCL
2023-04-28,35410,35410,34980,35270,25400,TCL
2023-05-04,35170,35410,35170,35310,23400,TCL
2023-05-05,35310,35360,35220,35220,15900,TCL
2023-05-08,35310,35310,35130,35130,10300,TCL
2023-05-09,35130,35130,35080,35080,5300,TCL
2023-05-10,35220,35600,35220,35600,16400,TCL
2023-05-11,35640,35640,35600,35600,900,TCL
2023-05-12,35410,35880,35410,35880,30500,TCL
2023-05-15,35790,36020,35790,35880,5800,TCL
2023-05-16,35410,35880,35130,35600,4300,TCL
2023-05-17,35500,35500,35220,35360,8500,TCL
2023-05-18,35410,35460,35310,35460,8100,TCL
2023-05-19,35460,35690,34940,35500,18100,TCL
2023-05-22,35500,35600,35270,35500,17400,TCL
2023-05-23,35880,35880,35410,35410,29800,TCL
2023-05-24,35790,35790,35410,35500,13700,TCL
2023-05-25,35500,35500,35220,35310,27000,TCL
2023-05-26,35310,35600,35220,35550,19800,TCL
2023-05-29,35600,35690,34940,35500,42100,TCL
2023-05-30,35500,35880,35500,35740,30800,TCL
2023-05-31,35410,35740,35310,35310,31700,TCL
2023-06-01,35310,35880,35310,35790,24700,TCL
2023-06-02,35880,35880,35410,35600,32400,TCL
2023-06-05,35880,35880,35600,35790,22900,TCL
2023-06-06,35880,35880,35740,35830,20300,TCL
2023-06-07,35790,35790,35410,35600,63100,TCL
2023-06-08,35640,35880,35640,35790,21800,TCL
2023-06-09,35790,35970,35790,35970,86100,TCL
2023-06-12,36260,36350,36160,36160,52400,TCL
