time,open,high,low,close,volume,ticker
2023-01-03,3200,3300,3200,3300,2000,TCR
2023-01-04,3290,3290,3280,3280,300,TCR
2023-01-05,3490,3500,3120,3300,4200,TCR
2023-01-06,3300,3300,3200,3300,700,TCR
2023-01-09,3300,3490,3300,3480,1800,TCR
2023-01-11,3480,3500,3480,3500,700,TCR
2023-01-13,3700,3700,3500,3500,1100,TCR
2023-01-16,3390,3390,3390,3390,100,TCR
2023-01-17,3160,3360,3160,3360,2300,TCR
2023-01-18,3500,3500,3170,3470,1400,TCR
2023-01-19,3340,3360,3340,3360,900,TCR
2023-01-27,3500,3500,3500,3500,100,TCR
2023-01-30,3400,3400,3300,3400,10400,TCR
2023-01-31,3200,3400,3200,3400,500,TCR
2023-02-01,3400,3400,3400,3400,1500,TCR
2023-02-02,3300,3310,3300,3300,1800,TCR
2023-02-03,3400,3400,3300,3300,500,TCR
2023-02-06,3300,3300,3300,3300,500,TCR
2023-02-08,3300,3300,3300,3300,1000,TCR
2023-02-09,3080,3300,3080,3300,600,TCR
2023-02-14,3150,3300,3100,3290,1300,TCR
2023-02-15,3290,3290,3100,3250,700,TCR
2023-02-16,3100,3300,3100,3300,400,TCR
2023-02-17,3100,3400,3100,3120,3000,TCR
2023-02-20,3110,3300,2910,3300,8400,TCR
2023-02-21,3290,3500,3290,3480,1200,TCR
2023-02-22,3310,3480,3240,3480,1100,TCR
2023-02-23,3240,3480,3240,3480,700,TCR
2023-02-24,3400,3400,3240,3390,1500,TCR
2023-02-27,3350,3350,3350,3350,100,TCR
2023-02-28,3120,3430,3120,3430,6300,TCR
2023-03-02,3190,3400,3190,3380,1900,TCR
2023-03-03,3370,3370,3370,3370,100,TCR
2023-03-06,3140,3400,3140,3400,6700,TCR
2023-03-07,3190,3600,3190,3300,25500,TCR
2023-03-08,3500,3530,3300,3530,17600,TCR
2023-03-09,3320,3700,3310,3670,13900,TCR
2023-03-10,3450,3660,3450,3660,6100,TCR
2023-03-13,3450,3600,3410,3420,21700,TCR
2023-03-14,3420,3470,3260,3400,6000,TCR
2023-03-15,3390,3490,3210,3490,3000,TCR
2023-03-17,3270,3400,3260,3320,2600,TCR
2023-03-20,3200,3400,3200,3310,1500,TCR
2023-03-21,3400,3400,3400,3400,100,TCR
2023-03-22,3390,3400,3390,3400,800,TCR
2023-03-23,3200,3340,3200,3340,500,TCR
2023-03-24,3200,3200,3200,3200,200,TCR
2023-03-27,3120,3120,3050,3050,700,TCR
2023-03-28,3270,3270,3270,3270,8000,TCR
2023-03-29,3100,3100,3100,3100,500,TCR
2023-03-30,3110,3110,3090,3090,500,TCR
2023-03-31,3250,3250,3200,3200,4400,TCR
2023-04-03,3200,3200,3200,3200,5000,TCR
2023-04-04,3200,3200,3200,3200,3000,TCR
2023-04-05,3200,3200,3200,3200,2000,TCR
2023-04-06,3210,3210,3210,3210,900,TCR
2023-04-07,3400,3400,3300,3390,7900,TCR
2023-04-07,3400,3400,3400,3400,100,TCR
2023-04-10,3210,3220,3210,3220,2300,TCR
2023-04-11,3220,3290,3220,3270,6900,TCR
2023-04-12,3450,3450,3230,3230,3600,TCR
2023-04-13,3450,3450,3400,3400,2100,TCR
2023-04-14,3300,3300,3250,3250,8500,TCR
2023-04-17,3150,3250,3150,3250,8300,TCR
2023-04-18,3250,3250,3250,3250,500,TCR
2023-04-19,3220,3220,3220,3220,200,TCR
2023-04-20,3220,3220,3220,3220,300,TCR
2023-04-21,3220,3230,3220,3230,200,TCR
2023-04-24,3230,3350,3230,3350,200,TCR
2023-04-26,3250,3250,3200,3200,8700,TCR
2023-04-27,3200,3340,3200,3340,1500,TCR
2023-04-28,3560,3560,3380,3380,200,TCR
2023-05-05,3600,3600,3300,3300,3200,TCR
2023-05-08,3400,3400,3250,3250,700,TCR
2023-05-09,3300,3300,3300,3300,200,TCR
2023-05-10,3250,3300,3250,3300,1400,TCR
2023-05-11,3160,3290,3160,3290,700,TCR
2023-05-12,3300,3350,3300,3350,6000,TCR
2023-05-15,3300,3300,3300,3300,1000,TCR
2023-05-16,3290,3300,3290,3300,4300,TCR
2023-05-17,3350,3350,3350,3350,300,TCR
2023-05-18,3400,3400,3400,3400,100,TCR
2023-05-19,3350,3390,3300,3380,5900,TCR
