time,open,high,low,close,volume,ticker
2023-01-03,35720,35720,35190,35720,11800,TDM
2023-01-04,35620,35810,35230,35720,139200,TDM
2023-01-05,35720,35770,35430,35720,556900,TDM
2023-01-06,35670,35720,35480,35720,525700,TDM
2023-01-09,35770,35860,35620,35720,158300,TDM
2023-01-10,37070,37070,35720,36060,156400,TDM
2023-01-11,36680,36680,36010,36010,276900,TDM
2023-01-12,36010,36390,35960,35960,58100,TDM
2023-01-13,36010,36440,35720,35910,49600,TDM
2023-01-16,36490,36490,36010,36490,330700,TDM
2023-01-17,37170,37170,36390,36680,43700,TDM
2023-01-18,36680,36680,36250,36490,12800,TDM
2023-01-19,36490,36680,34270,36300,53600,TDM
2023-01-27,36490,36490,35620,35620,6800,TDM
2023-01-30,36440,36490,35480,36010,185000,TDM
2023-01-31,35140,36200,35140,36100,16000,TDM
2023-02-01,36100,36540,36100,36100,16600,TDM
2023-02-02,36100,36340,35620,36340,18700,TDM
2023-02-03,36490,36680,36100,36200,27800,TDM
2023-02-06,36900,36900,36000,36300,69900,TDM
2023-02-07,36800,36800,36100,36300,68500,TDM
2023-02-08,36200,36500,36200,36400,11200,TDM
2023-02-09,36200,36600,36200,36550,46800,TDM
2023-02-10,36550,36900,36500,36500,142600,TDM
2023-02-13,35600,36700,35600,36000,87100,TDM
2023-02-14,36000,36950,36000,36800,128900,TDM
2023-02-15,36800,37000,36800,36850,184200,TDM
2023-02-16,36850,37050,36100,36850,648500,TDM
2023-02-17,36850,36900,36750,36750,206600,TDM
2023-02-20,36700,37000,36700,36900,216900,TDM
2023-02-21,36900,37500,36900,37100,211500,TDM
2023-02-22,37100,37350,37100,37250,155000,TDM
2023-02-23,35800,37400,35800,37000,253900,TDM
2023-02-24,37100,37400,37000,37300,30300,TDM
2023-02-27,37300,37350,36950,37000,229300,TDM
2023-02-28,37300,37400,36700,36800,356900,TDM
2023-03-01,36800,37300,36700,37000,102800,TDM
2023-03-02,37000,37300,36750,37300,93300,TDM
2023-03-03,37400,37400,36900,37200,35300,TDM
2023-03-06,37300,37400,36900,37200,62400,TDM
2023-03-07,37100,37350,36900,37150,65800,TDM
2023-03-08,37100,37250,37000,37250,3700,TDM
2023-03-09,37200,37500,37200,37450,110600,TDM
2023-03-10,37450,37500,37400,37500,6700,TDM
2023-03-13,37500,37500,37000,37000,168300,TDM
2023-03-14,37050,37050,36650,36700,108900,TDM
2023-03-15,37300,37450,36500,36700,206000,TDM
2023-03-16,37450,37450,36550,36550,153300,TDM
2023-03-17,37200,37400,36550,36550,276900,TDM
2023-03-20,36550,37300,36000,36500,228700,TDM
2023-03-21,37200,37200,36000,37000,211100,TDM
2023-03-22,36950,36950,36950,36950,500,TDM
2023-03-23,37200,37300,37200,37300,3000,TDM
2023-03-24,37200,37200,37000,37150,700,TDM
2023-03-27,37000,37000,36650,36650,35200,TDM
2023-03-28,36000,36550,36000,36550,2900,TDM
2023-03-29,36900,36900,36800,36800,27600,TDM
2023-03-30,36650,36650,36550,36600,21500,TDM
2023-03-31,35700,36950,35700,36950,200,TDM
2023-04-03,36100,36100,36100,36100,1800,TDM
2023-04-04,36100,36350,36100,36300,6100,TDM
2023-04-05,36750,37400,36750,37000,227000,TDM
2023-04-06,37250,37700,37250,37600,325600,TDM
2023-04-07,37600,37900,37600,37900,55600,TDM
2023-04-10,37400,37900,37400,37900,300,TDM
2023-04-11,37800,37950,37500,37950,597700,TDM
2023-04-12,37950,38000,37650,37650,13300,TDM
2023-04-13,37900,37950,37650,37950,88600,TDM
2023-04-14,37950,37950,37950,37950,1900,TDM
2023-04-17,37100,37900,37000,37500,37700,TDM
2023-04-18,37800,37900,37800,37800,11300,TDM
2023-04-19,39900,39900,37750,38300,45400,TDM
2023-04-20,38200,38200,38050,38050,600,TDM
2023-04-21,38600,38800,37650,38600,107000,TDM
2023-04-24,38750,39000,38750,38750,26000,TDM
2023-04-25,39000,39000,38200,38900,72300,TDM
2023-04-26,38500,38950,38200,38850,5200,TDM
2023-04-27,38950,39000,38900,38950,76100,TDM
2023-04-28,38850,38850,38850,38850,100,TDM
2023-05-04,38000,38950,38000,38900,125300,TDM
2023-05-05,38900,39000,38600,39000,45600,TDM
2023-05-08,39400,40000,38900,39950,330000,TDM
2023-05-09,40000,40000,39700,40000,45300,TDM
2023-05-10,39850,40000,39750,40000,161700,TDM
2023-05-11,39000,40000,39000,39950,32500,TDM
2023-05-12,39750,39800,39750,39800,2500,TDM
2023-05-15,39550,39900,39400,39500,4200,TDM
2023-05-16,39500,40000,39500,39900,15700,TDM
2023-05-17,39700,39700,39700,39700,5000,TDM
2023-05-18,39550,40000,39100,39900,56200,TDM
2023-05-19,39000,39250,39000,39250,500,TDM
2023-05-22,39600,39900,39500,39900,1700,TDM
2023-05-23,39100,39550,39100,39550,1300,TDM
2023-05-24,39150,39150,39000,39000,7800,TDM
2023-05-25,39150,39700,38800,38900,26100,TDM
2023-05-26,39500,39500,38700,38700,15200,TDM
2023-05-29,38700,39000,38700,38700,3300,TDM
2023-05-30,38700,38700,38100,38300,8000,TDM
2023-05-31,38300,39300,38300,39300,50700,TDM
2023-06-01,39300,39300,38700,38800,6300,TDM
2023-06-02,38800,39000,38800,38950,5300,TDM
2023-06-05,38050,38600,38050,38200,43800,TDM
2023-06-06,38200,38500,38200,38500,208600,TDM
2023-06-07,38400,38950,38250,38500,4600,TDM
2023-06-08,38400,38500,38300,38450,17100,TDM
2023-06-09,38100,38800,36450,38500,9900,TDM
2023-06-12,38400,38500,37900,37900,4200,TDM
2023-06-13,37900,38100,37600,37900,111400,TDM
2023-06-14,37700,37800,37600,37600,8500,TDM
2023-06-15,37700,37950,37600,37600,4800,TDM
2023-06-16,37800,38200,37500,37500,8100,TDM
2023-06-19,37500,37850,37500,37550,3500,TDM
2023-06-20,38500,38500,37100,37550,53100,TDM
2023-06-21,37900,37900,37150,37400,12300,TDM
2023-06-22,37500,37700,37350,37700,37300,TDM
2023-06-23,37500,38000,37300,38000,7000,TDM
2023-06-26,37300,37300,36900,37250,27100,TDM
2023-06-27,37200,37950,37050,37900,10800,TDM
2023-06-28,37900,38350,37900,37900,21600,TDM
2023-06-29,37900,38300,37500,37900,32800,TDM
2023-06-30,37900,37950,37500,37500,62600,TDM
2023-07-03,37100,38200,37000,38200,36100,TDM
2023-07-04,38200,38300,37500,37500,37400,TDM
2023-07-05,37500,38000,37500,37500,3800,TDM
2023-07-06,38000,38150,37500,38000,29600,TDM
2023-07-07,38000,38150,37700,38000,130700,TDM
2023-07-10,38000,38400,37800,38400,35400,TDM
2023-07-11,38400,39500,38350,39500,86700,TDM
2023-07-12,39000,40000,38750,40000,1042600,TDM
2023-07-13,40000,40000,39800,40000,81900,TDM
2023-07-14,40000,40000,38800,39800,148300,TDM
2023-07-17,40400,40400,39850,39900,158100,TDM
2023-07-18,39900,40000,39850,40000,128700,TDM
2023-07-19,40000,40100,39850,40000,174000,TDM
2023-07-20,40000,40100,39900,40000,628800,TDM
2023-07-21,40000,40050,39700,39700,43300,TDM
2023-07-24,39900,40050,39700,39700,123300,TDM
2023-07-25,39700,40100,39700,40100,52600,TDM
2023-07-26,39800,40100,39000,40100,463400,TDM
2023-07-27,40100,40100,39800,40000,41000,TDM
2023-07-28,40000,40050,39700,39700,23600,TDM
2023-07-31,39300,40050,39300,39700,46000,TDM
2023-08-01,39700,40000,39650,39650,55800,TDM
2023-08-02,40000,40050,39700,40000,48500,TDM
2023-08-03,39900,40100,39800,39900,33200,TDM
2023-08-04,39200,40000,39200,40000,24200,TDM
2023-08-07,39000,40050,39000,40050,25400,TDM
2023-08-08,40000,40000,39750,40000,24700,TDM
2023-08-09,39700,40050,39700,40000,81900,TDM
2023-08-10,39750,40000,39700,39700,35800,TDM
2023-08-11,39700,40000,39550,39600,1000,TDM
2023-08-14,39200,40000,39200,40000,102600,TDM
2023-08-15,40000,40000,39750,39750,22600,TDM
