time,open,high,low,close,volume,ticker
2023-01-06,4360,4360,4360,4360,200,TGP
2023-01-19,4530,4530,4530,4530,200,TGP
2023-03-06,4530,4530,4530,4530,25000,TGP
2023-03-24,4530,4530,4530,4530,300,TGP
2023-03-27,4270,4270,4270,4270,1000,TGP
2023-03-28,4270,4270,4270,4270,5700,TGP
2023-03-29,4270,4270,4270,4270,3000,TGP
2023-03-30,4270,4270,4270,4270,3000,TGP
2023-03-31,4190,4190,4190,4190,100,TGP
2023-04-03,5130,5130,5130,5130,200,TGP
2023-04-04,4700,4700,4700,4700,4000,TGP
2023-04-07,4270,4270,4270,4270,4000,TGP
2023-04-10,4790,4790,4270,4270,4100,TGP
2023-04-11,4270,4270,4270,4270,2000,TGP
2023-04-12,3930,4530,3930,4530,2800,TGP
2023-04-13,4270,4270,4270,4270,70800,TGP
2023-04-18,4270,4270,4270,4270,7500,TGP
2023-04-19,4270,4270,4270,4270,15100,TGP
2023-04-26,4270,4270,4270,4270,3000,TGP
2023-04-28,4700,4700,4700,4700,100,TGP
2023-05-18,4100,4100,4100,4100,100,TGP
2023-05-19,4360,4360,4360,4360,300,TGP
2023-05-23,4620,4960,4620,4960,5300,TGP
2023-05-24,4870,4870,4870,4870,1000,TGP
2023-05-29,4960,4960,4960,4960,100,TGP
2023-05-31,5040,5040,5040,5040,100,TGP
2023-06-01,5380,5380,5380,5380,100,TGP
2023-06-06,5470,5470,5470,5470,100,TGP
2023-06-13,5470,5470,5470,5470,200,TGP
2023-06-14,5470,5470,5470,5470,200,TGP
2023-06-15,5640,5640,5640,5640,100,TGP
2023-06-27,4870,4870,4870,4870,2100,TGP
2023-06-28,4960,4960,4870,4870,25500,TGP
2023-06-29,5300,5300,5300,5300,100,TGP
2023-06-30,5980,5980,5210,5210,500,TGP
2023-07-05,4700,4700,4620,4620,16800,TGP
2023-07-06,5300,5300,5130,5130,200,TGP
2023-07-07,5130,5130,5130,5130,200,TGP
2023-07-10,5130,5130,5130,5130,500,TGP
2023-07-13,4790,4790,4620,4790,4200,TGP
2023-07-14,5380,5380,5380,5380,100,TGP
2023-07-17,4790,4790,4790,4790,2000,TGP
2023-07-19,4700,4790,4700,4790,200,TGP
2023-07-20,5130,5130,5130,5130,100,TGP
2023-07-31,4700,4700,4700,4700,1400,TGP
2023-08-01,4870,4870,4870,4870,100,TGP
2023-08-02,4960,4960,4960,4960,100,TGP
2023-08-04,4360,4700,4360,4700,20100,TGP
2023-08-07,4620,4700,4620,4700,600,TGP
2023-08-08,4620,4700,4620,4620,3200,TGP
2023-08-09,4620,4870,4620,4870,6800,TGP
2023-08-10,4700,4700,4700,4700,3800,TGP
2023-08-11,4870,4960,4790,4790,13600,TGP
2023-08-14,4960,4960,4870,4960,4200,TGP
2023-08-15,5040,5040,4870,4960,4100,TGP
2023-08-16,4960,4960,4960,4960,22200,TGP
2023-08-17,4960,4960,4870,4870,4800,TGP
2023-08-18,4870,4870,4700,4700,8300,TGP
2023-08-21,4700,4700,4700,4700,9700,TGP
2023-08-22,4700,4870,4700,4870,21700,TGP
2023-08-23,4870,4870,4790,4790,700,TGP
2023-08-24,4870,4870,4870,4870,19700,TGP
2023-08-25,4960,4960,4960,4960,100,TGP
2023-08-28,5130,5380,4960,5300,23500,TGP
2023-08-29,5210,5300,5040,5300,15200,TGP
2023-08-30,5300,5560,5300,5380,21400,TGP
2023-08-31,5470,5470,5130,5130,2600,TGP
2023-09-05,5380,5470,5380,5470,12200,TGP
2023-09-06,5210,5380,5210,5380,13900,TGP
2023-09-07,5300,5380,5210,5380,9600,TGP
2023-09-08,5300,5300,5300,5300,13500,TGP
2023-09-11,5300,5730,5300,5470,22300,TGP
2023-09-12,5810,5810,5380,5380,8400,TGP
2023-09-13,5300,5380,5040,5380,20400,TGP
2023-09-14,5300,5300,5000,5000,2100,TGP
2023-09-15,5100,5100,5000,5000,900,TGP
2023-09-19,4600,5000,4600,5000,3800,TGP
2023-09-20,4900,4900,4900,4900,1200,TGP
2023-09-21,5000,5100,5000,5000,3000,TGP
2023-09-22,5000,5000,5000,5000,400,TGP
2023-09-25,4500,5000,4500,5000,5100,TGP
2023-09-26,4600,4600,4600,4600,100,TGP
2023-09-27,5200,5200,5200,5200,14400,TGP
2023-09-28,5000,5000,5000,5000,200,TGP
2023-09-29,5300,5300,5300,5300,100,TGP
2023-10-04,4600,4700,4600,4700,5900,TGP
2023-10-06,5100,5100,4700,4700,1300,TGP
2023-10-09,4700,4800,4700,4800,500,TGP
2023-10-10,5300,5300,4500,4500,300,TGP
2023-10-11,5100,5100,5000,5000,200,TGP
2023-10-12,5000,5000,5000,5000,10400,TGP
