time,open,high,low,close,volume,ticker
2023-01-04,11250,11250,9790,9790,1200,THP
2023-01-10,11350,11350,11350,11350,100,THP
2023-01-11,10180,11350,10180,11350,400,THP
2023-01-16,10760,10760,10760,10760,100,THP
2023-01-31,10760,10760,9700,9700,2200,THP
2023-02-01,11150,11150,10180,10180,1100,THP
2023-02-02,9700,9700,9700,9700,1100,THP
2023-02-06,9120,10860,8920,10860,1600,THP
2023-02-07,9700,9700,9700,9700,200,THP
2023-02-08,9310,9310,9310,9310,500,THP
2023-02-09,9600,9600,9600,9600,100,THP
2023-02-10,9600,9600,9600,9600,300,THP
2023-02-14,9700,9700,9700,9700,1100,THP
2023-02-15,9600,9600,9400,9400,2000,THP
2023-02-16,10800,10800,10800,10800,100,THP
2023-02-24,10500,10500,10500,10500,200,THP
2023-02-27,9500,9500,9000,9000,4000,THP
2023-03-01,10000,10000,10000,10000,1600,THP
2023-03-02,9300,9300,9200,9200,200,THP
2023-03-03,9500,9500,9500,9500,1000,THP
2023-03-07,10000,10000,10000,10000,100,THP
2023-03-08,9900,9900,9900,9900,100,THP
2023-03-09,9500,9500,9500,9500,400,THP
2023-03-22,9500,9500,9500,9500,100,THP
2023-03-23,9500,9500,9500,9500,900,THP
2023-03-28,10000,10000,10000,10000,500,THP
2023-03-29,9500,9500,9500,9500,100,THP
2023-03-31,9400,9400,9400,9400,500,THP
2023-04-03,9400,9400,9400,9400,100,THP
2023-04-04,9100,9100,9100,9100,800,THP
2023-04-06,10000,10000,10000,10000,100,THP
2023-04-07,8900,8900,8900,8900,100,THP
2023-04-10,9000,9000,9000,9000,100,THP
2023-04-11,9000,9000,9000,9000,300,THP
2023-04-13,9000,9000,9000,9000,400,THP
2023-04-14,9000,9100,9000,9100,1200,THP
2023-04-17,9000,9000,9000,9000,2000,THP
2023-04-18,9000,9000,9000,9000,1400,THP
2023-04-20,9200,9200,9200,9200,600,THP
2023-04-21,9200,9200,9200,9200,5000,THP
2023-04-25,9800,9800,9800,9800,100,THP
2023-04-26,9200,9200,9200,9200,5000,THP
2023-04-27,9200,9200,9200,9200,5000,THP
2023-04-28,9200,9200,9200,9200,5000,THP
2023-05-04,9300,9300,9300,9300,100,THP
2023-05-05,9200,9400,9200,9300,20000,THP
2023-05-08,9200,9200,9200,9200,5400,THP
2023-05-09,9200,9200,9200,9200,4000,THP
2023-05-10,8700,8700,8700,8700,1100,THP
2023-05-11,9700,9700,9700,9700,100,THP
2023-05-22,9000,9000,8500,8500,3000,THP
2023-05-23,9200,9200,9200,9200,300,THP
2023-05-25,9500,9500,9500,9500,100,THP
2023-05-26,8800,8800,8800,8800,100,THP
2023-05-29,9500,9500,9400,9400,2200,THP
2023-05-30,9200,9200,9100,9100,2300,THP
2023-05-31,9100,9100,9100,9100,1100,THP
2023-06-02,9200,9200,9200,9200,1000,THP
2023-06-07,9200,9200,9200,9200,1000,THP
2023-06-08,9400,9400,9400,9400,100,THP
2023-06-12,9200,9200,9200,9200,600,THP
2023-06-13,9200,9400,9200,9400,3600,THP
2023-06-23,9500,9500,9500,9500,200,THP
2023-06-26,9500,9500,9500,9500,300,THP
2023-06-28,9500,9500,9500,9500,1000,THP
2023-06-29,9300,9500,9300,9500,2300,THP
2023-07-03,9400,9400,9400,9400,300,THP
2023-07-04,9200,9200,9200,9200,300,THP
2023-07-05,8000,9000,8000,9000,10000,THP
2023-07-06,9300,9300,9300,9300,100,THP
2023-07-07,10300,10300,10300,10300,300,THP
2023-07-10,9100,9100,9100,9100,900,THP
2023-07-12,9400,9400,9400,9400,100,THP
2023-07-17,9500,9500,9500,9500,100,THP
2023-07-18,9500,9500,9500,9500,400,THP
2023-07-19,9400,9400,9400,9400,1000,THP
2023-07-20,9000,9300,9000,9300,1300,THP
2023-07-21,9300,9300,9100,9100,1500,THP
2023-07-24,8500,9200,8500,9200,5200,THP
2023-07-25,9000,9000,9000,9000,2000,THP
2023-07-26,9000,9000,9000,9000,1000,THP
2023-07-28,9500,9500,9500,9500,100,THP
2023-07-31,9100,9100,9100,9100,1000,THP
2023-08-01,9100,9100,9000,9000,3600,THP
2023-08-02,9000,9000,9000,9000,600,THP
2023-08-03,9000,9000,9000,9000,2000,THP
2023-08-04,9000,9000,9000,9000,2000,THP
2023-08-07,9000,9400,9000,9400,2200,THP
2023-08-08,9300,9400,9300,9300,1100,THP
2023-08-09,9000,9500,9000,9500,4600,THP
2023-08-10,9600,9600,9600,9600,300,THP
2023-08-11,9600,9600,9600,9600,6200,THP
2023-08-14,9200,9200,9200,9200,600,THP
2023-08-15,9200,10000,9200,9400,3100,THP
2023-08-16,10200,10200,10200,10200,100,THP
2023-08-18,9000,9000,9000,9000,7700,THP
2023-08-22,9000,9000,9000,9000,3000,THP
2023-08-23,9000,9000,9000,9000,4000,THP
2023-08-24,9000,9000,9000,9000,2000,THP
2023-08-25,9200,10300,9200,10000,9500,THP
2023-08-28,9300,9300,9300,9300,2000,THP
2023-08-29,9300,9500,9300,9500,4100,THP
2023-08-30,9400,9400,9300,9300,2600,THP
2023-09-05,9600,9600,9600,9600,200,THP
2023-09-06,9200,9200,9100,9100,4200,THP
2023-09-07,9100,9100,9100,9100,5000,THP
2023-09-11,9200,9500,9200,9500,3300,THP
2023-09-14,9300,9300,9300,9300,100,THP
2023-09-18,9400,9400,9200,9200,5500,THP
2023-09-19,9500,9500,9500,9500,500,THP
2023-09-20,9400,9400,9400,9400,200,THP
2023-09-27,9000,9000,9000,9000,5000,THP
2023-10-02,9200,9200,9200,9200,3200,THP
2023-10-05,9100,9100,9100,9100,10700,THP
2023-10-09,9100,9100,9100,9100,900,THP
