time,open,high,low,close,volume,ticker
2023-01-03,8039,8410,8039,8320,9200,THT
2023-01-04,8890,8890,8410,8510,10500,THT
2023-01-05,8510,8510,8320,8320,6100,THT
2023-01-06,8510,8700,8320,8510,18900,THT
2023-01-09,8410,8600,8410,8600,11200,THT
2023-01-10,8320,8510,8320,8320,6400,THT
2023-01-11,8510,8510,8320,8510,5900,THT
2023-01-12,8510,8600,8510,8600,7800,THT
2023-01-13,8600,8600,8410,8510,10000,THT
2023-01-16,8510,8510,8410,8410,11800,THT
2023-01-17,8410,8700,8410,8700,19300,THT
2023-01-18,8700,9080,8700,8890,22300,THT
2023-01-19,9080,9740,9080,9740,89900,THT
2023-01-27,9930,10680,9930,10680,118900,THT
2023-01-30,11720,11720,11720,11720,85600,THT
2023-01-31,12670,12760,11440,12190,214200,THT
2023-02-01,12190,12290,11630,11630,130000,THT
2023-02-02,11630,12290,11150,11820,82900,THT
2023-02-03,11910,12190,11630,11630,45500,THT
2023-02-06,11340,11630,10870,11150,92300,THT
2023-02-07,11150,11440,10970,11150,31900,THT
2023-02-08,11060,12100,11060,11910,164600,THT
2023-02-09,12010,12380,11720,12100,130900,THT
2023-02-10,11910,12100,11150,11150,67800,THT
2023-02-13,11150,11340,10970,11250,81400,THT
2023-02-14,11340,11630,11250,11440,7000,THT
2023-02-15,11440,11630,11060,11150,32200,THT
2023-02-16,11340,11720,11340,11720,89400,THT
2023-02-17,11720,11720,11530,11630,18300,THT
2023-02-20,11720,11820,11530,11820,127500,THT
2023-02-21,12010,12010,11630,11820,105600,THT
2023-02-22,11820,12290,11820,11820,207900,THT
2023-02-23,11910,12010,11340,11530,125600,THT
2023-02-24,11720,11720,11060,11340,87300,THT
2023-02-27,11150,11340,11060,11060,49300,THT
2023-02-28,11250,11340,10970,10970,57900,THT
2023-03-01,10870,11250,10870,11250,37600,THT
2023-03-02,11250,11340,11150,11340,3900,THT
2023-03-03,10300,11440,10300,11440,40600,THT
2023-03-06,11340,11530,11340,11440,39800,THT
2023-03-07,11440,11530,11340,11530,22900,THT
2023-03-08,11340,11530,11150,11530,47900,THT
2023-03-09,11530,11530,11340,11340,14900,THT
2023-03-10,11250,11440,11250,11440,17300,THT
2023-03-13,11340,11340,11150,11150,68500,THT
2023-03-14,11150,11340,11060,11150,22600,THT
