time,open,high,low,close,volume,ticker
2023-01-03,25250,25930,24960,25930,8000,TID
2023-01-04,25930,25930,25450,25930,6700,TID
2023-01-05,25350,25350,25250,25250,200,TID
2023-01-06,25350,25740,25350,25450,21700,TID
2023-01-09,25350,25450,25350,25450,3500,TID
2023-01-10,25450,25450,25450,25450,11100,TID
2023-01-11,25540,25540,25450,25540,9300,TID
2023-01-12,25150,26330,25150,25740,10000,TID
2023-01-13,25740,25740,25740,25740,5600,TID
2023-01-16,25740,25740,25450,25640,8900,TID
2023-01-17,25640,26420,25640,26420,3100,TID
2023-01-18,26130,26130,26130,26130,2900,TID
2023-01-19,26230,26420,26130,26130,3900,TID
2023-01-27,26230,26230,25540,26230,4100,TID
2023-01-30,26230,26620,26230,26620,1200,TID
2023-01-31,26620,26620,25450,26330,10100,TID
2023-02-01,25740,27310,25450,25450,41600,TID
2023-02-02,25540,25540,25540,25540,600,TID
2023-02-03,25640,25740,25540,25640,8900,TID
2023-02-06,25450,26030,25450,25930,16000,TID
2023-02-07,26030,27310,25450,25450,37100,TID
2023-02-08,25540,25540,25450,25540,10300,TID
2023-02-09,25540,25640,25450,25450,11500,TID
2023-02-10,25640,25640,25450,25450,12700,TID
2023-02-13,25540,25540,24270,25350,42600,TID
2023-02-15,25050,25150,25050,25150,6800,TID
2023-02-16,25840,25840,25840,25840,100,TID
2023-02-17,24080,25740,24080,25740,17000,TID
2023-02-20,24270,25740,23980,25450,32100,TID
2023-02-21,25250,25350,25250,25250,700,TID
2023-02-22,25150,25150,24860,25050,3600,TID
2023-02-23,24470,25050,24470,25050,17700,TID
2023-02-24,24960,24960,24960,24960,3500,TID
2023-02-27,24270,24960,24270,24960,10200,TID
2023-02-28,24960,27790,24660,27790,400,TID
2023-03-01,25740,25740,24960,25050,4100,TID
2023-03-03,24470,24660,24470,24660,500,TID
2023-03-06,24960,24960,24960,24960,2000,TID
2023-03-07,24470,25050,23490,24660,15800,TID
2023-03-08,23780,24760,23780,24760,200,TID
2023-03-09,23980,25450,23980,25450,12300,TID
2023-03-10,24860,26420,24860,25840,800,TID
2023-03-13,23980,25050,23980,25050,9200,TID
2023-03-14,24660,24660,24660,24660,4500,TID
2023-03-15,24660,25050,24660,24760,2200,TID
2023-03-16,24470,24470,24470,24470,600,TID
2023-03-17,24760,24760,24660,24660,11800,TID
2023-03-20,24660,24660,24560,24560,13700,TID
2023-03-21,24660,24660,24660,24660,6900,TID
2023-03-22,24660,24660,24660,24660,2000,TID
2023-03-23,24660,24660,24660,24660,4000,TID
2023-03-24,24660,24660,24660,24660,5000,TID
2023-03-27,24960,24960,24660,24660,300,TID
2023-03-28,24560,24560,24560,24560,5300,TID
2023-03-29,24470,24470,24470,24470,2200,TID
2023-03-30,24270,24270,24270,24270,200,TID
2023-03-31,24170,24170,24170,24170,100,TID
2023-04-03,24660,24660,24170,24170,11400,TID
2023-04-04,24170,24170,24170,24170,2000,TID
2023-04-05,24170,24170,24170,24170,4000,TID
2023-04-06,24370,24370,24370,24370,100,TID
2023-04-07,24270,24270,24170,24170,21500,TID
2023-04-07,24270,24270,24270,24270,5800,TID
2023-04-10,24270,25350,24270,24960,31100,TID
2023-04-11,24470,24760,24470,24760,1400,TID
2023-04-12,24560,25150,24560,25150,27700,TID
2023-04-13,23780,23780,23780,23780,1000,TID
2023-04-14,24560,24560,24560,24560,1200,TID
2023-04-17,24470,24470,24370,24470,10900,TID
2023-04-18,23490,24470,23490,24470,1500,TID
2023-04-19,24560,24560,24470,24470,8700,TID
2023-04-20,24470,24470,24470,24470,7600,TID
2023-04-21,24370,24370,24370,24370,10000,TID
2023-04-24,23590,23680,23590,23680,24600,TID
2023-04-25,23590,24270,23590,24270,18600,TID
2023-04-26,23590,23590,23490,23590,2600,TID
2023-04-27,23590,23590,23490,23590,26000,TID
2023-04-28,23590,23980,23590,23980,9300,TID
2023-05-04,22710,23680,22710,23680,1600,TID
2023-05-05,22510,23190,22510,23190,14100,TID
2023-05-08,22900,23490,22900,23100,29200,TID
2023-05-09,23490,23490,23190,23290,1800,TID
2023-05-10,23980,23980,23100,23100,36900,TID
2023-05-11,23290,23290,23190,23190,8900,TID
2023-05-12,23390,23390,22900,22900,2300,TID
2023-05-15,23390,23390,23000,23000,14500,TID
2023-05-16,23000,23190,22900,23190,41700,TID
2023-05-17,23000,23100,22900,22900,10700,TID
2023-05-18,23000,23000,23000,23000,5700,TID
2023-05-19,23000,24000,23000,23100,7400,TID
2023-05-22,23600,23600,23100,23300,11500,TID
2023-05-23,23000,23200,23000,23200,8100,TID
2023-05-24,23100,23800,23000,23700,15800,TID
2023-05-25,23200,25000,23100,24200,39100,TID
2023-05-26,24400,24500,23600,23700,22000,TID
2023-05-29,23900,24000,23000,23000,80800,TID
2023-05-30,23000,23800,23000,23700,59800,TID
2023-05-31,23200,24800,23000,24700,157400,TID
2023-06-01,24700,25900,24700,25200,71200,TID
2023-06-02,25500,26100,23900,24800,50200,TID
2023-06-05,24500,24500,23800,23800,83300,TID
2023-06-06,23800,24600,23800,24600,74300,TID
2023-06-07,25000,26900,24600,26800,224100,TID
2023-06-08,27000,28900,27000,28100,180400,TID
2023-06-09,27700,28000,26600,27800,85200,TID
2023-06-12,27500,29000,27500,28500,110500,TID
2023-06-13,28400,28400,28000,28200,47400,TID
2023-06-14,28100,28100,27000,27000,43700,TID
2023-06-15,27000,27600,26300,27000,73500,TID
2023-06-16,27000,27300,26300,26500,51700,TID
2023-06-19,26600,26600,26000,26500,32900,TID
2023-06-20,26400,26500,26000,26200,36000,TID
2023-06-21,26100,27100,26000,27100,79600,TID
2023-06-22,29000,29000,26500,26900,61600,TID
2023-06-23,26800,26900,26200,26500,62100,TID
2023-06-26,26500,26500,26000,26500,49400,TID
2023-06-27,26500,26900,26300,26900,19900,TID
2023-06-28,26900,27500,26600,26900,56900,TID
2023-06-29,26400,26700,26100,26500,38400,TID
2023-06-30,26300,26500,26200,26300,11100,TID
