time,open,high,low,close,volume,ticker
2023-01-03,7700,8400,7600,8400,1082600,TIG
2023-01-04,8400,8400,7600,8100,535500,TIG
2023-01-05,8200,8200,7900,8000,367100,TIG
2023-01-06,8100,8100,7600,8000,556600,TIG
2023-01-09,8000,8100,7800,8000,325500,TIG
2023-01-10,7800,8100,7800,8000,369300,TIG
2023-01-11,8000,8300,8000,8200,1028400,TIG
2023-01-12,8200,8400,8000,8300,863300,TIG
2023-01-13,8300,8400,8100,8200,473300,TIG
2023-01-16,8200,8200,7800,8100,475600,TIG
2023-01-17,8100,8200,8000,8200,726800,TIG
2023-01-18,8200,9000,8100,9000,3134300,TIG
2023-01-19,9000,9300,8800,9300,1295400,TIG
2023-01-27,9300,9600,8900,8900,1095100,TIG
2023-01-30,8900,9000,8700,8700,975100,TIG
2023-01-31,8700,9400,8600,9400,1407200,TIG
2023-02-01,9500,9800,8900,9000,1579300,TIG
2023-02-02,9000,9100,8500,8500,1192800,TIG
2023-02-03,8500,8900,8500,8800,1150900,TIG
2023-02-06,8700,8900,8600,8800,698500,TIG
2023-02-07,8800,8900,8200,8200,925500,TIG
2023-02-08,8200,8600,8000,8500,1111100,TIG
2023-02-09,8500,8600,8200,8400,555400,TIG
2023-02-10,8400,8400,8100,8100,419600,TIG
2023-02-13,8000,8200,7400,8000,1152900,TIG
2023-02-14,8000,8400,7900,8300,1165300,TIG
2023-02-15,8300,8500,8200,8400,530300,TIG
2023-02-16,8400,8500,8100,8400,508900,TIG
2023-02-17,8400,9000,8300,8900,2173700,TIG
2023-02-20,9000,9200,8800,9200,1324700,TIG
2023-02-21,9200,9300,8800,8900,1101200,TIG
2023-02-22,8700,8800,8400,8400,930700,TIG
2023-02-23,8300,8500,8000,8400,859100,TIG
2023-02-24,8400,8400,8100,8400,407200,TIG
2023-02-27,8300,8300,8000,8200,590800,TIG
2023-02-28,8200,8400,8100,8300,799900,TIG
2023-03-01,8300,8300,8000,8300,379300,TIG
2023-03-02,8300,8700,8300,8500,901400,TIG
2023-03-03,8500,8600,8200,8300,341100,TIG
2023-03-06,8300,8700,8300,8300,809800,TIG
2023-03-07,8400,8400,8200,8300,487200,TIG
2023-03-08,8300,8300,8100,8300,358900,TIG
2023-03-09,8300,8500,8300,8400,532800,TIG
2023-03-10,8300,8400,8100,8300,837600,TIG
2023-03-13,8100,8300,8000,8000,895200,TIG
2023-03-14,8000,8200,7800,7900,838000,TIG
2023-03-15,7900,8300,7900,8300,1130800,TIG
2023-03-16,8200,8200,8000,8000,396000,TIG
2023-03-17,8000,8200,7900,8100,232500,TIG
2023-03-20,8000,8100,7800,7800,537200,TIG
2023-03-21,7800,8000,7700,8000,423600,TIG
2023-03-22,8000,8100,7900,8000,238400,TIG
2023-03-23,7800,7900,7700,7700,350900,TIG
2023-03-24,7700,8000,7700,8000,629700,TIG
2023-03-27,7900,8000,7800,7900,177700,TIG
2023-03-28,8000,8100,7900,8100,404700,TIG
2023-03-29,7800,8000,7800,7900,129900,TIG
2023-03-30,7900,8000,7800,7900,403000,TIG
2023-03-31,7900,8000,7800,7800,227600,TIG
2023-04-03,7900,8300,7900,8300,996300,TIG
2023-04-04,8300,8400,8100,8200,570000,TIG
2023-04-05,8300,8600,8100,8500,1696100,TIG
2023-04-06,8400,8800,8400,8500,1560800,TIG
2023-04-07,8400,8500,8200,8400,478200,TIG
2023-04-10,8500,9100,8500,8600,1615300,TIG
2023-04-11,8700,8700,8300,8400,704800,TIG
2023-04-12,8600,8700,8400,8600,988800,TIG
2023-04-13,8600,8700,8500,8500,920600,TIG
2023-04-14,8600,8600,8300,8500,424200,TIG
2023-04-17,8200,8300,8100,8200,499400,TIG
2023-04-18,8200,8400,8200,8200,365700,TIG
2023-04-19,8500,8500,8100,8100,418000,TIG
2023-04-20,8000,8200,8000,8100,439900,TIG
2023-04-21,8200,8300,8100,8200,289600,TIG
2023-04-24,8200,8300,8100,8100,367100,TIG
