time,open,high,low,close,volume,ticker
2023-01-03,4900,5200,4900,5100,44100,TIS
2023-01-04,5100,5100,5000,5100,76300,TIS
2023-01-05,5100,5100,4900,5000,26600,TIS
2023-01-06,4900,5000,4900,5000,2500,TIS
2023-01-09,5000,5000,4800,5000,7400,TIS
2023-01-10,4900,5000,4800,5000,6600,TIS
2023-01-11,4900,5000,4800,5000,6500,TIS
2023-01-12,4900,5000,4900,4900,3300,TIS
2023-01-13,5100,5100,4800,4900,8700,TIS
2023-01-16,5000,5000,5000,5000,6000,TIS
2023-01-17,5000,5100,5000,5100,3700,TIS
2023-01-18,5000,5100,4800,4900,14900,TIS
2023-01-19,5000,5000,4800,4900,14900,TIS
2023-01-27,5000,5000,4900,4900,8600,TIS
2023-01-30,4900,5100,4900,4900,17900,TIS
2023-01-31,5000,5100,4900,5100,6000,TIS
2023-02-01,5000,5100,4900,4900,26600,TIS
2023-02-02,4900,5000,4900,5000,2000,TIS
2023-02-03,5000,5000,4800,4800,9400,TIS
2023-02-06,4900,4900,4800,4900,2600,TIS
2023-02-07,4800,4900,4800,4800,7100,TIS
2023-02-08,4800,5000,4800,5000,4000,TIS
2023-02-09,4800,5000,4800,5000,10800,TIS
2023-02-10,4700,5000,4700,4800,11300,TIS
2023-02-13,4800,4800,4700,4800,10600,TIS
2023-02-14,4600,4900,4600,4900,10600,TIS
2023-02-15,4800,4800,4800,4800,1400,TIS
2023-02-16,4900,4900,4700,4900,10300,TIS
2023-02-17,5000,5000,4800,4800,1000,TIS
2023-02-20,5000,5000,4800,5000,23100,TIS
2023-02-21,5000,5000,4800,4900,13700,TIS
2023-02-22,4900,4900,4800,4900,9800,TIS
2023-02-23,5000,5000,4800,4800,20200,TIS
2023-02-24,4900,4900,4800,4800,6300,TIS
2023-02-27,4900,4900,4700,4700,3000,TIS
2023-02-28,4800,4900,4800,4900,14700,TIS
2023-03-01,5000,5000,4700,4800,6200,TIS
2023-03-02,4800,4900,4800,4800,10600,TIS
2023-03-03,4800,4800,4800,4800,2000,TIS
2023-03-06,4800,4800,4800,4800,7600,TIS
2023-03-07,4800,4800,4800,4800,23600,TIS
2023-03-08,4800,4900,4800,4800,13800,TIS
2023-03-09,4800,4800,4800,4800,6700,TIS
2023-03-10,4800,4800,4700,4700,7200,TIS
2023-03-13,4700,4800,4700,4800,11300,TIS
2023-03-14,4700,4700,4600,4600,12300,TIS
2023-03-15,4600,4800,4600,4800,10600,TIS
2023-03-16,4800,4800,4800,4800,1000,TIS
2023-03-17,4800,4800,4700,4700,17000,TIS
2023-03-20,4700,4700,4700,4700,8300,TIS
2023-03-21,4700,4700,4600,4700,9200,TIS
2023-03-22,4800,4800,4800,4800,100,TIS
2023-03-23,4700,4700,4700,4700,100,TIS
2023-03-24,4800,4800,4800,4800,100,TIS
2023-03-27,4800,4800,4800,4800,1000,TIS
2023-03-28,4600,4600,4600,4600,1900,TIS
2023-03-29,4600,4600,4600,4600,10000,TIS
2023-03-30,4700,4700,4700,4700,100,TIS
2023-03-31,4600,4600,4600,4600,300,TIS
2023-04-03,4600,4600,4600,4600,5900,TIS
2023-04-04,4600,4600,4600,4600,2000,TIS
2023-04-05,4600,4700,4600,4600,3000,TIS
2023-04-06,4600,4600,4600,4600,3000,TIS
2023-04-07,4500,4500,4500,4500,2400,TIS
2023-04-07,4500,4500,4500,4500,300,TIS
2023-04-10,4500,4500,4500,4500,19700,TIS
2023-04-11,4500,4500,4400,4400,15700,TIS
2023-04-12,4400,4500,4400,4400,13100,TIS
2023-04-13,4400,4500,4400,4500,15900,TIS
2023-04-14,4400,4400,4400,4400,28700,TIS
2023-04-17,4400,4400,4300,4300,2900,TIS
2023-04-18,4300,4300,4300,4300,500,TIS
2023-04-19,4400,4400,4400,4400,14000,TIS
2023-04-20,4300,4400,4300,4400,3500,TIS
2023-04-21,4300,4300,4300,4300,4500,TIS
2023-04-24,4300,4300,4300,4300,100,TIS
2023-04-25,4200,4200,4200,4200,200,TIS
2023-04-26,4300,4300,4300,4300,31800,TIS
2023-04-27,4300,4300,4300,4300,200,TIS
