time,open,high,low,close,volume,ticker
2023-01-04,5900,5900,5900,5900,10800,TL4
2023-01-05,5900,5900,5800,5900,2300,TL4
2023-01-06,5900,5900,5900,5900,4500,TL4
2023-01-10,5700,5700,5700,5700,10500,TL4
2023-01-11,6300,6300,6300,6300,100,TL4
2023-01-17,5500,5600,5400,5600,73700,TL4
2023-01-18,6200,6200,6200,6200,1500,TL4
2023-01-19,7100,7100,5800,5900,5100,TL4
2023-01-27,5800,5900,5800,5900,3400,TL4
2023-01-30,5700,5800,5600,5800,5000,TL4
2023-01-31,5700,6300,5700,6300,17400,TL4
2023-02-06,6100,6100,6100,6100,1100,TL4
2023-02-07,6000,6000,6000,6000,3300,TL4
2023-02-10,6300,6300,5600,6000,3300,TL4
2023-02-13,5500,6000,5500,6000,14100,TL4
2023-02-14,5500,5900,5500,5900,5500,TL4
2023-02-15,5900,6000,5900,6000,5400,TL4
2023-02-16,5900,6000,5900,6000,13100,TL4
2023-02-17,5900,6000,5900,6000,3300,TL4
2023-02-20,6000,6000,6000,6000,38200,TL4
2023-02-21,5800,6200,5800,6200,700,TL4
2023-02-22,6000,6000,6000,6000,27700,TL4
2023-02-23,5900,6100,5900,6000,4200,TL4
2023-02-24,5600,6100,5600,6100,3200,TL4
2023-02-27,5700,6100,5700,6000,10200,TL4
2023-03-01,6000,6000,5800,6000,13200,TL4
2023-03-03,5800,6000,5800,6000,12000,TL4
2023-03-06,5900,5900,5900,5900,2000,TL4
2023-03-07,5700,6000,5700,6000,1100,TL4
2023-03-08,5900,6000,5900,6000,200,TL4
2023-03-09,5700,6000,5700,6000,2800,TL4
2023-03-10,5600,6000,5600,6000,1500,TL4
2023-03-13,5700,5700,5700,5700,2000,TL4
2023-03-15,6000,6000,6000,6000,100,TL4
2023-03-20,6000,6000,5700,6000,15000,TL4
2023-03-21,6000,6000,6000,6000,3900,TL4
2023-03-22,5700,5700,5700,5700,1600,TL4
2023-03-23,5900,5900,5900,5900,2000,TL4
2023-03-24,6600,6600,6600,6600,100,TL4
2023-03-27,6900,6900,6900,6900,100,TL4
2023-03-29,6000,6000,6000,6000,2000,TL4
2023-03-30,6000,6000,6000,6000,700,TL4
2023-04-03,6600,6600,6600,6600,100,TL4
2023-04-05,6000,6000,6000,6000,2000,TL4
2023-04-06,6000,6000,6000,6000,7700,TL4
2023-04-07,6000,6200,6000,6000,13900,TL4
2023-04-07,6000,6200,6000,6200,8100,TL4
2023-04-10,6000,6000,6000,6000,2500,TL4
2023-04-14,5600,5600,5600,5600,1100,TL4
2023-04-21,5700,5700,5700,5700,1200,TL4
2023-04-28,5400,6000,5400,6000,600,TL4
2023-05-05,5800,5800,5800,5800,100,TL4
2023-05-12,5700,5800,5100,5500,3600,TL4
2023-05-19,5500,5500,5200,5300,4600,TL4
2023-05-26,5300,5400,5200,5400,51700,TL4
2023-06-02,5600,5600,5300,5300,32400,TL4
2023-06-09,5400,5400,4900,4900,65800,TL4
2023-06-16,5000,5000,4900,5000,6000,TL4
2023-06-23,5000,5200,4900,5200,137000,TL4
2023-06-30,5200,5600,5100,5200,83400,TL4
2023-07-07,5400,5700,5400,5700,28300,TL4
2023-07-14,5700,6000,5700,5900,2600,TL4
2023-07-21,6000,6100,5700,6100,27500,TL4
2023-07-28,6200,6900,6200,6900,40800,TL4
2023-08-04,7500,7500,6500,6500,36100,TL4
2023-08-11,6500,6500,6200,6500,21200,TL4
2023-08-18,6500,6600,6000,6000,29200,TL4
2023-08-25,6400,6400,6000,6000,6800,TL4
2023-09-08,6200,6300,6000,6100,27400,TL4
2023-09-15,6300,6800,6300,6700,33700,TL4
2023-09-22,7100,7200,6700,7200,63500,TL4
2023-09-29,7900,7900,7100,7100,8200,TL4
2023-10-06,7300,7700,7200,7500,48000,TL4
