time,open,high,low,close,volume,ticker
2023-01-03,4800,4800,4800,4800,100,TLI
2023-01-04,5500,5500,5500,5500,200,TLI
2023-01-05,4700,4700,4700,4700,100,TLI
2023-01-06,4100,5000,4100,5000,500,TLI
2023-01-09,5500,5500,5500,5500,1500,TLI
2023-01-11,6300,6300,6300,6300,200,TLI
2023-01-16,5400,5400,5400,5400,100,TLI
2023-01-18,6000,6000,6000,6000,100,TLI
2023-01-19,6900,6900,6900,6900,900,TLI
2023-01-27,7500,7500,7500,7500,100,TLI
2023-01-30,7700,7700,7700,7700,1000,TLI
2023-02-09,8700,8700,8700,8700,200,TLI
2023-02-10,8000,8000,8000,8000,500,TLI
2023-02-16,8800,8800,8800,8800,100,TLI
2023-04-05,5300,5300,5300,5300,1000,TLI
2023-04-06,5300,5300,5300,5300,400,TLI
2023-04-11,6000,6000,6000,6000,400,TLI
2023-04-12,6900,6900,6900,6900,600,TLI
2023-04-14,6900,6900,6900,6900,200,TLI
2023-04-19,7800,7800,7800,7800,500,TLI
2023-05-04,8200,8200,8200,8200,200,TLI
2023-05-09,8500,8500,8500,8500,300,TLI
2023-06-05,7500,7500,7500,7500,300,TLI
2023-06-08,6500,6500,6500,6500,200,TLI
2023-06-09,5700,5700,5600,5600,800,TLI
2023-06-12,5000,5600,5000,5600,600,TLI
2023-06-13,5500,6200,5500,6200,800,TLI
2023-06-14,6000,6000,5700,5700,3800,TLI
2023-06-15,5700,5700,5700,5700,1500,TLI
2023-06-16,6500,6500,6500,6500,300,TLI
2023-06-20,5600,5700,5600,5600,10000,TLI
2023-06-22,6200,6200,6200,6200,500,TLI
2023-06-23,6300,6300,6300,6300,500,TLI
2023-06-26,6500,6500,6500,6500,300,TLI
2023-06-28,7200,7200,6000,6000,9600,TLI
2023-06-29,6700,6700,6700,6700,100,TLI
2023-06-30,6200,6200,6200,6200,600,TLI
2023-07-03,6400,6500,6400,6500,400,TLI
2023-07-07,7000,7000,7000,7000,500,TLI
2023-07-12,7700,7700,7600,7600,500,TLI
2023-07-14,8000,8000,8000,8000,300,TLI
2023-07-18,8300,8300,8300,8300,200,TLI
2023-07-19,9000,9000,8900,8900,1300,TLI
2023-07-20,9500,9500,9500,9500,100,TLI
2023-07-21,8300,8300,8100,8100,600,TLI
2023-07-26,8700,8700,8700,8700,300,TLI
2023-08-16,8700,9000,8700,9000,1800,TLI
2023-08-18,9500,9500,9500,9500,300,TLI
2023-08-22,9700,9700,9500,9500,900,TLI
2023-08-23,10000,10000,10000,10000,500,TLI
2023-08-24,10300,10300,10300,10300,200,TLI
2023-08-29,8800,9000,8800,8800,400,TLI
2023-08-31,8900,8900,8900,8900,100,TLI
2023-09-06,8000,8000,8000,8000,100,TLI
2023-09-07,8000,8000,8000,8000,100,TLI
2023-09-11,9000,9000,9000,9000,200,TLI
2023-09-27,10200,10200,10200,10200,100,TLI
2023-10-10,8700,8700,8700,8700,100,TLI
2023-10-11,8700,8700,7400,7400,1200,TLI
2023-10-12,7800,7800,7800,7800,1000,TLI
