time,open,high,low,close,volume,ticker
2023-01-03,18760,19310,18760,19310,3000,TMB
2023-01-05,17550,19500,17550,19500,2000,TMB
2023-01-06,17640,17640,17640,17640,100,TMB
2023-01-10,17640,18390,17640,18390,1400,TMB
2023-01-13,17360,20150,17360,20150,9300,TMB
2023-01-16,21910,21910,18390,18390,20800,TMB
2023-01-17,20060,20060,20060,20060,200,TMB
2023-01-18,20060,20060,19960,19960,41900,TMB
2023-01-19,19960,20430,19500,20430,5100,TMB
2023-01-27,21360,22470,21360,22470,76300,TMB
2023-01-30,22560,24610,22560,24140,21200,TMB
2023-01-31,26560,26560,25350,26280,114500,TMB
2023-02-01,28790,28790,25070,25350,22900,TMB
2023-02-02,24700,26000,24700,26000,15700,TMB
2023-02-03,25540,25540,24240,24240,15100,TMB
2023-02-06,25070,25070,23490,24330,20400,TMB
2023-02-07,24140,24330,23770,23770,9400,TMB
2023-02-08,24140,25810,23860,24980,15400,TMB
2023-02-09,24980,25440,24890,25070,7000,TMB
2023-02-10,24980,25070,23680,24140,12700,TMB
2023-02-13,24050,24140,22470,23210,23400,TMB
2023-02-14,24050,24140,23210,24140,2900,TMB
2023-02-15,23210,24140,23210,23960,5500,TMB
2023-02-16,23310,24140,23310,24050,7800,TMB
2023-02-17,24050,24510,24050,24510,8200,TMB
2023-02-20,24890,24890,23860,23860,9100,TMB
2023-02-21,23860,23860,23680,23860,4000,TMB
2023-02-22,23770,24610,23770,24510,12200,TMB
2023-02-23,24140,24240,24140,24240,4100,TMB
2023-02-24,24240,24240,23680,23680,7800,TMB
2023-02-27,24140,24140,23400,23400,14500,TMB
2023-02-28,23400,23400,23210,23210,13400,TMB
2023-03-01,23210,23680,23120,23680,5600,TMB
2023-03-03,23210,23590,23210,23590,12500,TMB
2023-03-06,23590,23590,23590,23590,900,TMB
2023-03-07,23210,23590,23210,23490,13700,TMB
2023-03-08,23490,23680,23490,23680,5100,TMB
2023-03-09,23770,23770,23770,23770,4000,TMB
2023-03-10,23590,23590,23590,23590,800,TMB
2023-03-13,23590,23770,21260,21260,11600,TMB
2023-03-14,22290,23310,22290,23310,23400,TMB
2023-03-15,24240,24240,23310,23770,2000,TMB
2023-03-16,23860,23960,22840,22840,1100,TMB
2023-03-17,23120,23120,23120,23120,5500,TMB
2023-03-20,23120,23680,23030,23030,3400,TMB
2023-03-21,23590,23590,23210,23400,2000,TMB
2023-03-22,23210,23210,23210,23210,100,TMB
2023-03-23,23680,24140,23680,24140,200,TMB
2023-03-24,24140,24140,24140,24140,1300,TMB
2023-03-27,26190,26190,25720,25720,600,TMB
2023-03-28,25910,25910,25910,25910,100,TMB
2023-03-29,24140,24140,24140,24140,1000,TMB
2023-03-30,23860,24140,23860,23860,700,TMB
2023-03-31,23770,23960,23770,23960,300,TMB
2023-04-03,23770,23770,23770,23770,100,TMB
2023-04-04,22840,22840,22840,22840,700,TMB
2023-04-05,23680,23680,23680,23680,1000,TMB
2023-04-06,23860,23860,23770,23770,400,TMB
2023-04-07,23400,23590,23400,23590,2200,TMB
2023-04-07,23400,23400,23400,23400,500,TMB
2023-04-10,23590,23590,23590,23590,2000,TMB
2023-04-11,23210,23490,23210,23210,6000,TMB
2023-04-12,23860,23860,23860,23860,300,TMB
2023-04-13,25070,25070,25070,25070,5000,TMB
2023-04-14,26000,26000,26000,26000,100,TMB
2023-04-17,24140,25070,24140,25070,20000,TMB
2023-04-18,25070,25070,25070,25070,1000,TMB
2023-04-19,25070,26280,25070,25910,16200,TMB
2023-04-21,25160,25160,25160,25160,200,TMB
2023-04-24,24510,24510,24510,24510,100,TMB
2023-04-25,25070,25070,25070,25070,2000,TMB
2023-04-26,25070,25070,25070,25070,1000,TMB
2023-04-27,25070,25070,25070,25070,2400,TMB
2023-04-28,24140,24890,24140,24890,16100,TMB
2023-05-04,25540,25540,25540,25540,1000,TMB
2023-05-05,25070,25070,25070,25070,2800,TMB
2023-05-08,25070,25070,25070,25070,600,TMB
2023-05-09,24790,25070,24700,24890,8700,TMB
2023-05-10,24700,24980,24420,24890,5500,TMB
2023-05-11,24890,24890,24890,24890,4800,TMB
2023-05-12,24890,25260,24890,25160,7600,TMB
2023-05-15,24890,24890,24890,24890,100,TMB
2023-05-17,24890,24890,24890,24890,1000,TMB
2023-05-18,25070,25070,25070,25070,1000,TMB
2023-05-19,24610,25910,24610,25260,16400,TMB
2023-05-22,25160,26280,25160,26090,1700,TMB
2023-05-23,28040,28040,26460,26460,1100,TMB
2023-05-24,27210,27210,27210,27210,300,TMB
2023-05-25,27210,27210,25810,25810,1400,TMB
2023-05-26,25810,26280,25160,25160,1100,TMB
2023-05-29,25160,26840,25160,26000,37700,TMB
2023-05-30,27100,27100,26000,26000,7800,TMB
2023-05-31,26000,28600,25900,25900,13500,TMB
2023-06-01,27000,27000,25600,25700,4700,TMB
2023-06-02,26900,26900,25700,25800,14500,TMB
2023-06-05,26800,26800,25800,26100,27600,TMB
2023-06-06,27400,27400,25800,26200,8700,TMB
2023-06-07,26200,26200,25800,25800,2800,TMB
2023-06-08,26100,26100,25000,25100,30400,TMB
2023-06-09,25800,25800,25300,25500,3200,TMB
2023-06-12,25900,26000,25500,25800,4300,TMB
2023-06-13,26000,26200,25800,26100,20000,TMB
2023-06-14,26800,28600,26500,26800,18900,TMB
2023-06-15,27500,27500,26300,26700,19300,TMB
2023-06-16,28800,28800,26600,27400,5400,TMB
2023-06-19,26600,27500,26300,26300,5000,TMB
2023-06-20,26300,26900,26000,26000,3400,TMB
2023-06-21,26000,26800,26000,26800,1300,TMB
2023-06-22,27500,27500,26100,26600,3000,TMB
2023-06-23,27000,27400,26300,26900,700,TMB
2023-06-26,26300,26600,26200,26600,800,TMB
2023-06-27,26900,26900,26900,26900,200,TMB
2023-06-28,26600,26900,26200,26500,1600,TMB
2023-06-29,26900,26900,26200,26600,6400,TMB
2023-06-30,26600,26800,26200,26800,6300,TMB
2023-07-03,26800,28000,26700,27200,12500,TMB
2023-07-04,27200,27200,26700,27000,3500,TMB
2023-07-05,27200,27200,26800,27100,10500,TMB
2023-07-06,27500,27500,26600,27000,500,TMB
2023-07-07,26000,26900,25600,26900,10200,TMB
2023-07-10,27200,27200,26900,26900,600,TMB
2023-07-11,26500,27000,26500,26900,20300,TMB
2023-07-12,26800,26800,26500,26700,1700,TMB
2023-07-13,26600,27500,26600,27500,5600,TMB
2023-07-14,27500,27500,27000,27200,1600,TMB
2023-07-17,27500,27500,26700,26800,2200,TMB
2023-07-18,27000,27000,26400,26900,1200,TMB
2023-07-20,28000,29500,28000,29500,36500,TMB
2023-07-21,32400,32400,32299,32400,47400,TMB
2023-07-24,35600,35600,32600,34500,74700,TMB
2023-07-25,37500,37500,33000,34500,16800,TMB
2023-07-26,36000,36000,34500,35000,32300,TMB
2023-07-27,36000,36000,33400,34400,9600,TMB
2023-07-28,34400,36000,34400,35000,38900,TMB
2023-07-31,38500,38500,38500,38500,27600,TMB
2023-08-01,42300,42300,40000,41900,108700,TMB
2023-08-02,44500,44500,40300,41800,28400,TMB
2023-08-03,39200,40900,39200,40900,14700,TMB
2023-08-04,39600,39600,38100,38800,14000,TMB
2023-08-07,38800,38800,37300,38200,24700,TMB
2023-08-08,38500,42000,38500,40000,32000,TMB
2023-08-09,41500,42000,40300,40900,12200,TMB
2023-08-10,41500,41500,40100,40100,8600,TMB
2023-08-11,39700,39800,39000,39000,8500,TMB
2023-08-14,39000,39100,38400,38400,14500,TMB
2023-08-15,38400,38800,38000,38000,13100,TMB
2023-08-16,38000,39000,37600,38800,17600,TMB
2023-08-18,39000,39000,35100,35600,42700,TMB
2023-08-21,35600,37900,35600,37900,7600,TMB
2023-08-22,39900,39900,36700,38100,2400,TMB
2023-08-23,37000,37800,37000,37100,4500,TMB
2023-08-24,38900,38900,37200,37400,8100,TMB
2023-08-25,38400,38400,37100,37900,3000,TMB
2023-08-28,37700,37800,37500,37800,1800,TMB
2023-08-29,37000,38000,37000,38000,4500,TMB
2023-08-30,37200,38400,37000,38400,10300,TMB
2023-08-31,38600,39400,38400,39400,13800,TMB
2023-09-05,39800,39800,38500,39000,800,TMB
2023-09-06,39000,39300,38900,39300,6200,TMB
2023-09-07,39300,43000,39300,40900,34100,TMB
2023-09-08,41000,41500,40000,41400,800,TMB
2023-09-11,40000,41000,39000,40500,8500,TMB
2023-09-12,40000,40500,40000,40500,700,TMB
2023-09-13,39200,40500,38000,40500,6700,TMB
2023-09-14,39000,40000,39000,40000,3600,TMB
2023-09-15,39000,39800,39000,39800,8000,TMB
2023-09-18,39800,40000,39300,39300,8300,TMB
2023-09-19,40000,40000,37100,39200,26600,TMB
2023-09-20,39500,39500,38300,38400,600,TMB
2023-09-21,38500,39400,38500,39300,700,TMB
2023-09-22,38800,38800,38100,38800,3200,TMB
2023-09-25,38500,39400,38200,38500,800,TMB
2023-09-26,38000,38500,37000,37700,24100,TMB
2023-09-27,37100,37700,37100,37700,6600,TMB
2023-09-28,38400,38400,37600,37700,10100,TMB
2023-09-29,37600,37600,37000,37500,7400,TMB
2023-10-02,37500,40800,37500,38800,27900,TMB
2023-10-03,38900,38900,38200,38900,1400,TMB
2023-10-04,38900,38900,38900,38900,5500,TMB
2023-10-05,38800,41500,38800,41200,53300,TMB
2023-10-06,40100,42000,40000,41800,9800,TMB
2023-10-09,40500,41600,40000,41000,6000,TMB
2023-10-10,41000,42800,40700,41000,31600,TMB
2023-10-11,41000,42000,40800,42000,5500,TMB
2023-10-12,41000,41500,40800,41500,8700,TMB
2023-10-13,39800,42000,39800,41900,18000,TMB
