time,open,high,low,close,volume,ticker
2023-01-03,48090,48570,48090,48470,5100,TMP
2023-01-04,48850,49530,48850,48850,500,TMP
2023-01-05,48090,48090,48090,48090,1500,TMP
2023-01-06,48090,48570,47800,48570,3600,TMP
2023-01-09,48670,48670,48670,48670,300,TMP
2023-01-10,48950,48950,48850,48850,600,TMP
2023-01-12,48850,48850,48850,48850,1400,TMP
2023-01-13,48760,48850,48760,48850,300,TMP
2023-01-16,49050,49620,49050,49620,1100,TMP
2023-01-17,50020,50020,50020,50020,200,TMP
2023-01-18,50490,50590,50490,50490,1500,TMP
2023-01-19,49430,49430,49050,49050,1000,TMP
2023-01-27,49620,51450,49620,51450,1100,TMP
2023-01-30,51450,52800,51450,51650,400,TMP
2023-01-31,51750,51830,51550,51830,3400,TMP
2023-02-01,51930,51930,51930,51930,200,TMP
2023-02-02,50490,52410,50490,52410,200,TMP
2023-02-03,50970,52410,50490,52410,700,TMP
2023-02-06,52510,52800,52510,52800,3200,TMP
2023-02-07,52610,52610,52610,52610,2700,TMP
2023-02-10,50590,52700,50590,52700,200,TMP
2023-02-13,51930,51930,51930,51930,2200,TMP
2023-02-14,52510,52510,52510,52510,400,TMP
2023-02-16,50970,52510,50970,52510,600,TMP
2023-02-17,51450,51750,51450,51750,200,TMP
2023-02-20,53860,54720,51930,54720,2500,TMP
2023-02-21,52610,52610,52410,52410,600,TMP
2023-02-22,53860,54720,53860,54340,1500,TMP
2023-02-23,52410,54630,52410,54630,1300,TMP
2023-02-27,54820,54820,54440,54440,2300,TMP
2023-03-01,53860,54820,51930,51930,3300,TMP
2023-03-02,52130,52130,52130,52130,2000,TMP
2023-03-03,52030,52030,50970,51930,2100,TMP
2023-03-06,52410,54440,52410,54340,3700,TMP
2023-03-07,54440,54440,54340,54440,700,TMP
2023-03-10,52130,52130,52130,52130,100,TMP
2023-03-13,52230,52230,52230,52230,100,TMP
2023-03-15,54440,54440,54440,54440,100,TMP
2023-03-16,52130,52130,52130,52130,100,TMP
2023-03-17,52130,52130,52130,52130,200,TMP
2023-03-22,49530,49530,49530,49530,100,TMP
2023-03-23,49720,49720,49720,49720,300,TMP
2023-03-24,49720,49720,49720,49720,100,TMP
2023-03-27,52410,52410,52410,52410,100,TMP
2023-03-28,49530,49530,49530,49530,100,TMP
2023-03-29,50020,50020,50020,50020,100,TMP
2023-03-30,49920,49920,49920,49920,100,TMP
2023-03-31,50970,50970,50970,50970,700,TMP
2023-04-03,49530,49530,49530,49530,200,TMP
2023-04-06,48670,48670,48670,48670,100,TMP
2023-04-10,49620,49620,49530,49530,300,TMP
