time,open,high,low,close,volume,ticker
2023-01-03,9380,9400,9140,9400,7000,TMT
2023-01-04,9100,9400,9100,9390,2400,TMT
2023-01-06,9300,9580,9300,9550,1600,TMT
2023-01-10,9200,9200,9130,9130,1300,TMT
2023-01-11,9100,9290,9010,9290,2800,TMT
2023-01-12,9300,9300,9300,9300,500,TMT
2023-01-13,9290,9290,9200,9200,2400,TMT
2023-01-16,9200,9400,9200,9380,18000,TMT
2023-01-17,9400,9500,9400,9430,3500,TMT
2023-01-18,9510,10050,9500,10000,24100,TMT
2023-01-19,10050,10750,10050,10750,28200,TMT
2023-01-27,10850,11500,10850,11500,16500,TMT
2023-01-30,12300,12300,12100,12300,61800,TMT
2023-01-31,13100,13150,12600,12850,91100,TMT
2023-02-01,13200,13200,12100,12300,25300,TMT
2023-02-02,12100,12250,12000,12000,19400,TMT
2023-02-03,11900,12800,11900,12600,20400,TMT
2023-02-06,13250,13250,12300,12300,13700,TMT
2023-02-07,13000,13100,12300,12500,20900,TMT
2023-02-08,12500,12500,11700,12400,12900,TMT
2023-02-09,11900,12250,11900,12200,6000,TMT
2023-02-10,12000,12000,11800,12000,8000,TMT
2023-02-13,12000,12000,11350,11350,19600,TMT
2023-02-14,10950,12000,10950,11600,15600,TMT
2023-02-15,12350,12350,11700,11950,3500,TMT
2023-02-16,12000,12750,12000,12750,27300,TMT
2023-02-17,13000,13000,12800,13000,22800,TMT
2023-02-20,13900,13900,13900,13900,9400,TMT
2023-02-21,14850,14850,14850,14850,73200,TMT
2023-02-22,15850,15850,15500,15850,205800,TMT
2023-02-23,16900,16900,15900,16450,279300,TMT
2023-02-24,16800,16800,15500,15650,48500,TMT
2023-02-27,15650,16700,15650,16700,59300,TMT
2023-02-28,17850,17850,17800,17850,96500,TMT
2023-03-01,19050,19050,18350,19050,121100,TMT
2023-03-02,19600,19950,18500,19750,76200,TMT
2023-03-03,19900,19900,18850,18850,39800,TMT
2023-03-06,19600,20150,18650,20150,111900,TMT
2023-03-07,21300,21300,20200,21000,49600,TMT
2023-03-08,21000,21300,20200,20250,39500,TMT
2023-03-09,19400,21000,19400,19400,41700,TMT
2023-03-10,18850,20150,18800,20150,39100,TMT
2023-03-13,19050,20200,18750,19200,45100,TMT
2023-03-14,18300,18900,17900,17900,53000,TMT
2023-03-15,18050,18150,17800,18100,26700,TMT
2023-03-16,17550,17550,16850,17000,87500,TMT
2023-03-17,17000,17000,16300,16900,15800,TMT
2023-03-20,17000,18050,16900,18050,21300,TMT
2023-03-21,19300,19300,19200,19300,37000,TMT
2023-03-22,20500,20500,19900,19900,17800,TMT
2023-03-23,19500,19500,18200,19100,3000,TMT
2023-03-24,18900,18900,18100,18250,6800,TMT
2023-03-27,19000,19100,19000,19100,1200,TMT
2023-03-28,19100,19200,19100,19100,2200,TMT
2023-03-29,18800,18800,18800,18800,400,TMT
2023-03-30,18550,18550,18050,18050,1000,TMT
2023-03-31,18250,18250,18000,18000,6700,TMT
2023-04-03,18500,18500,18000,18000,6500,TMT
2023-04-04,18050,18050,18050,18050,400,TMT
2023-04-05,19000,19300,19000,19300,4000,TMT
2023-04-06,19500,19500,18500,18550,7400,TMT
2023-04-07,19050,19050,18350,18350,800,TMT
2023-04-07,19050,19050,18500,18500,300,TMT
2023-04-10,19000,19600,18750,18750,55500,TMT
2023-04-11,18800,19000,18500,18500,22900,TMT
2023-04-12,18950,19000,18350,18350,22700,TMT
2023-04-13,18250,18800,18250,18250,8300,TMT
2023-04-14,18700,18800,18050,18050,16000,TMT
2023-04-17,18550,18650,18300,18600,2400,TMT
2023-04-18,18650,18700,18600,18600,1900,TMT
2023-04-19,18600,18750,18400,18750,16100,TMT
2023-04-20,19000,19000,18600,18600,4400,TMT
2023-04-21,18300,18400,18300,18300,2800,TMT
2023-04-24,18300,18300,18000,18000,800,TMT
2023-04-25,18700,18700,18200,18650,3600,TMT
2023-04-26,18600,18650,18300,18300,1400,TMT
2023-04-27,18900,18900,18400,18600,4000,TMT
2023-04-28,19200,19200,19200,19200,6400,TMT
2023-05-04,18750,18750,18100,18200,4800,TMT
2023-05-05,18300,18800,18200,18600,6100,TMT
2023-05-08,18600,18600,18300,18600,3100,TMT
2023-05-09,18800,18800,18100,18100,8000,TMT
2023-05-10,18100,18200,17600,18050,14100,TMT
2023-05-11,18400,18400,17950,17950,8700,TMT
2023-05-12,18200,18400,17950,17950,17000,TMT
2023-05-15,18400,19450,18200,19200,27500,TMT
2023-05-16,19400,19400,19100,19100,18000,TMT
2023-05-17,19150,19150,19150,19150,600,TMT
2023-05-18,19000,19000,18700,18700,1800,TMT
2023-05-19,19000,19000,18700,18900,4300,TMT
2023-05-22,18450,18850,18000,18700,16300,TMT
2023-05-23,19250,19250,19250,19250,13000,TMT
2023-05-24,18350,19100,18350,18900,13300,TMT
2023-05-25,19100,20200,19100,20200,55400,TMT
2023-05-26,21600,21600,21600,21600,42700,TMT
2023-05-29,23100,23100,22150,22700,269900,TMT
2023-05-30,22450,22800,21850,22600,53600,TMT
2023-05-31,22900,22900,21450,22350,62300,TMT
2023-06-01,21900,21900,21000,21850,72100,TMT
2023-06-02,22300,22350,21750,22000,33200,TMT
2023-06-05,22000,22200,21900,22100,46800,TMT
2023-06-06,22000,22400,21800,22400,11700,TMT
2023-06-07,22400,22400,21800,22200,27300,TMT
2023-06-08,22250,22250,22000,22200,20900,TMT
2023-06-09,21700,22100,21350,22100,18300,TMT
2023-06-12,21900,23600,21900,23600,93200,TMT
2023-06-13,23600,23800,23200,23400,38900,TMT
2023-06-14,22350,23300,22350,22600,62300,TMT
2023-06-15,22750,22900,22450,22900,13000,TMT
2023-06-16,22650,23500,22500,22500,29000,TMT
2023-06-19,23300,23400,22600,23200,17200,TMT
2023-06-20,23200,24700,23150,24450,48600,TMT
2023-06-21,24500,25000,24400,24800,25900,TMT
2023-06-22,24800,25750,24800,25200,22100,TMT
2023-06-23,25300,25300,24800,24800,12900,TMT
2023-06-26,24850,24950,24200,24800,33700,TMT
2023-06-27,25000,25350,24500,25350,23200,TMT
2023-06-28,26400,26400,25300,25300,23100,TMT
2023-06-29,25950,26000,24050,25350,56000,TMT
2023-06-30,25000,25000,24300,24350,9800,TMT
2023-07-03,23650,23700,22650,22650,111900,TMT
2023-07-04,21150,22400,21100,22400,172300,TMT
2023-07-05,22800,22800,21800,22000,11600,TMT
2023-07-06,22050,22050,20500,20500,94600,TMT
2023-07-07,21000,21000,19500,20850,53500,TMT
2023-07-10,21500,21500,20300,21100,30500,TMT
2023-07-11,21100,21100,20600,20900,10800,TMT
2023-07-12,20900,20900,20150,20750,25900,TMT
2023-07-13,20600,20600,19750,20450,28500,TMT
2023-07-14,20450,20450,20000,20350,7700,TMT
2023-07-17,20350,20350,19750,19850,31700,TMT
2023-07-18,19800,20000,19800,20000,11400,TMT
2023-07-19,19700,20000,19600,20000,4800,TMT
2023-07-20,20000,20150,19600,19950,4500,TMT
2023-07-21,19900,20150,19750,20150,12400,TMT
2023-07-24,20900,20900,20150,20600,17000,TMT
2023-07-25,20400,20600,20250,20550,9800,TMT
2023-07-26,20300,20800,20250,20800,12300,TMT
2023-07-27,20850,21400,20350,20800,14400,TMT
2023-07-28,20300,20800,19850,20800,11000,TMT
2023-07-31,20800,20800,20300,20700,5500,TMT
2023-08-01,20300,20500,20300,20500,4900,TMT
2023-08-02,20250,20600,20200,20600,19600,TMT
2023-08-03,20500,20800,20050,20550,17300,TMT
2023-08-04,20550,20600,19700,20350,17000,TMT
2023-08-07,20350,20400,20300,20300,2500,TMT
2023-08-08,20100,20400,19650,20350,16300,TMT
2023-08-09,20000,20000,19700,20000,3600,TMT
2023-08-10,20300,20300,20250,20250,700,TMT
2023-08-11,19900,19900,19300,19750,12200,TMT
2023-08-14,19700,20000,19700,19850,2500,TMT
2023-08-15,19850,19850,19200,19750,11900,TMT
2023-08-16,19800,20000,19600,19800,7900,TMT
2023-08-17,19600,19600,19000,19000,10400,TMT
2023-08-18,18550,19500,18000,19050,26100,TMT
2023-08-21,18200,18500,17750,18300,29100,TMT
2023-08-22,19100,19100,18300,18300,2700,TMT
2023-08-23,18000,18000,17200,17800,7300,TMT
2023-08-24,18300,18300,17550,17800,6900,TMT
2023-08-25,17900,17900,17500,17750,7500,TMT
2023-08-28,18200,18200,17000,17850,6400,TMT
