time,open,high,low,close,volume,ticker
2023-01-12,63170,68030,61910,61910,2200,TNC
2023-01-13,57730,57730,57630,57630,1700,TNC
2023-01-16,54430,54430,54430,54430,600,TNC
2023-01-17,50630,50630,50630,50630,400,TNC
2023-01-19,47230,47230,47230,47230,100,TNC
2023-01-30,50540,50540,50540,50540,100,TNC
2023-02-01,54040,54040,54040,54040,500,TNC
2023-02-08,50540,50540,50540,50540,500,TNC
2023-02-15,54040,54040,54040,54040,600,TNC
2023-02-17,57730,57730,57730,57730,100,TNC
2023-02-20,61620,61620,61620,61620,100,TNC
2023-02-24,65700,65700,65700,65700,100,TNC
2023-05-15,61810,61810,61810,61810,800,TNC
2023-05-29,57540,57540,57540,57540,100,TNC
2023-05-30,53550,53550,53550,53550,2500,TNC
2023-06-02,53550,53550,53550,53550,100,TNC
2023-06-05,53550,53550,53550,53550,100,TNC
2023-06-06,53550,53550,53450,53450,50100,TNC
2023-06-08,55980,55980,55980,55980,400,TNC
2023-06-13,55400,55400,55400,55400,100,TNC
2023-06-14,58310,58310,51610,51700,3200,TNC
2023-06-16,55300,55300,55300,55300,100,TNC
2023-06-19,59090,59090,59090,59090,100,TNC
2023-06-21,59090,59090,59090,59090,100,TNC
2023-06-29,58310,58310,58310,58310,100,TNC
2023-07-18,57340,62200,54330,62200,50500,TNC
2023-07-19,58000,58000,58000,58000,200,TNC
2023-07-25,54100,54100,54100,54100,200,TNC
2023-07-28,50500,56000,50500,51000,61300,TNC
2023-07-31,51000,54500,49200,54500,2500,TNC
2023-08-01,58300,58300,50800,58200,1400,TNC
2023-08-02,62100,62100,54300,58200,1200,TNC
2023-08-04,62100,62200,62100,62200,600,TNC
2023-08-07,57900,57900,57900,57900,200,TNC
2023-08-08,53900,53900,53900,53900,200,TNC
2023-08-09,53900,53900,50600,50900,2000,TNC
2023-08-11,52000,54400,51000,51000,2300,TNC
2023-08-14,51100,54500,51000,54500,1200,TNC
2023-08-15,58200,58200,58200,58200,100,TNC
2023-08-16,62100,62100,58000,58000,200,TNC
2023-08-17,61900,61900,57900,59900,1600,TNC
2023-08-23,55800,64000,55800,64000,600,TNC
2023-08-25,67000,67000,64000,64000,200,TNC
2023-08-28,59600,67500,59600,67500,200,TNC
2023-09-12,63900,63900,63800,63800,300,TNC
2023-09-13,59500,59500,59500,59500,100,TNC
2023-09-14,62000,62000,62000,62000,900,TNC
2023-09-25,65900,65900,65900,65900,100,TNC
2023-10-04,61300,61300,61300,61300,200,TNC
2023-10-05,57100,57100,57100,57100,300,TNC
2023-10-06,57100,57100,53200,53200,2300,TNC
2023-10-09,53200,53200,53200,53200,200,TNC
2023-10-11,56900,56900,56900,56900,500,TNC
2023-10-12,56900,56900,56900,56900,100,TNC
2023-10-13,56900,59800,56900,59800,700,TNC
