time,open,high,low,close,volume,ticker
2023-01-03,11740,12710,11740,12710,931300,TNG
2023-01-04,11470,12890,11470,12450,1240900,TNG
2023-01-05,11300,13060,11300,12980,1813400,TNG
2023-01-06,13060,13160,12620,12710,1315200,TNG
2023-01-09,11620,13260,11620,12900,883700,TNG
2023-01-10,13070,13070,12620,12810,617500,TNG
2023-01-11,12990,13350,12810,12990,994600,TNG
2023-01-12,12990,13530,12990,13440,1283900,TNG
2023-01-13,13530,13800,13070,13170,818300,TNG
2023-01-16,13170,13350,12710,13070,764800,TNG
2023-01-17,13170,13350,12990,13260,1298300,TNG
2023-01-18,13440,13990,13350,13800,1609000,TNG
2023-01-19,13800,14620,13710,14350,3322200,TNG
2023-01-27,14350,14800,14260,14260,1902300,TNG
2023-01-30,14160,14440,14070,14070,2133100,TNG
2023-01-31,13990,14440,13800,14440,1847100,TNG
2023-02-01,14530,14990,14350,14350,4285200,TNG
2023-02-02,14350,14440,13620,13900,1776900,TNG
2023-02-03,13900,14160,13440,13620,1604500,TNG
2023-02-06,13620,13710,13170,13530,1082500,TNG
2023-02-07,13530,13900,13440,13620,1445100,TNG
2023-02-08,13620,13900,13440,13800,1240400,TNG
2023-02-09,13800,14800,13800,14800,5006000,TNG
2023-02-10,14900,14990,14260,14350,1751700,TNG
2023-02-13,14350,15160,14160,14530,3709800,TNG
2023-02-14,15350,15350,14530,14710,1361200,TNG
2023-02-15,14710,15160,14620,14990,2284400,TNG
2023-02-16,14990,16440,14990,16440,4311800,TNG
2023-02-17,16530,16800,15990,15990,2224000,TNG
2023-02-20,16350,17160,15990,16890,2856600,TNG
2023-02-21,16800,17610,16440,16890,3872600,TNG
2023-02-22,16530,17530,15890,15890,4146100,TNG
2023-02-23,15890,17080,15620,17080,3840100,TNG
2023-02-24,17080,17440,16610,16710,1643500,TNG
2023-02-27,16440,16710,15260,15350,3635000,TNG
2023-02-28,15260,16070,15260,16070,1736800,TNG
2023-03-01,16070,16350,15710,16350,2595100,TNG
2023-03-02,16350,16440,16070,16250,1577000,TNG
2023-03-03,16350,16710,15620,15620,4676000,TNG
2023-03-06,15620,15990,15440,15440,1709700,TNG
2023-03-07,15440,16160,15440,15890,1941900,TNG
2023-03-08,15890,16710,15440,16610,2481700,TNG
2023-03-09,16610,16800,16250,16350,2776500,TNG
2023-03-10,16440,16890,16070,16610,3710700,TNG
2023-03-13,16440,17080,16350,16710,2354800,TNG
2023-03-14,16440,17080,16070,16160,3315700,TNG
2023-03-15,16440,16980,16440,16800,2586400,TNG
2023-03-16,16800,16800,16160,16350,1523300,TNG
2023-03-17,16350,16710,16160,16160,1420500,TNG
2023-03-20,16160,16160,15160,15160,3315900,TNG
2023-03-21,15350,15710,15160,15710,1645000,TNG
2023-03-22,15710,15890,15530,15620,860000,TNG
2023-03-23,15530,15620,15260,15440,895500,TNG
2023-03-24,15620,15800,15530,15800,998600,TNG
2023-03-27,15620,15800,15620,15710,1215600,TNG
2023-03-28,15890,16070,15620,15620,1266500,TNG
2023-03-29,15800,15990,15530,15620,851800,TNG
2023-03-30,15620,15890,15530,15530,857100,TNG
2023-03-31,15710,15710,15440,15620,1209000,TNG
2023-04-03,15620,16440,15620,16250,2555500,TNG
2023-04-04,16350,16530,16160,16440,2481900,TNG
2023-04-05,16530,16710,16250,16350,1937700,TNG
2023-04-06,16440,16800,16160,16250,2619500,TNG
2023-04-07,16160,16250,15890,15990,1138300,TNG
2023-04-10,15440,16250,15440,15620,1683500,TNG
2023-04-11,15620,15990,15620,15990,1300700,TNG
2023-04-12,16070,16710,15990,16440,2422300,TNG
2023-04-13,16440,16800,16250,16440,2297900,TNG
2023-04-14,16350,16530,15890,15990,1465400,TNG
2023-04-17,15800,16160,15800,15990,783400,TNG
2023-04-18,14350,16070,14350,15800,1254400,TNG
2023-04-19,15800,16160,15800,15990,813100,TNG
2023-04-20,15890,16980,15890,16710,5415600,TNG
2023-04-21,16800,16980,16350,16610,2135500,TNG
2023-04-24,16530,16890,16160,16350,1950000,TNG
2023-04-25,16350,17530,16160,16980,4169800,TNG
2023-04-26,16980,17890,16890,17890,3318900,TNG
2023-04-27,18250,18340,17530,17610,2332900,TNG
2023-04-28,17890,18080,17530,17800,2264900,TNG
2023-05-04,17890,18700,17710,18080,3027500,TNG
2023-05-05,16350,17890,16350,17250,2430600,TNG
2023-05-08,17250,17800,17080,17530,1887900,TNG
2023-05-09,17440,17890,17440,17530,1124300,TNG
2023-05-10,17890,17890,17530,17800,1614800,TNG
2023-05-11,17800,18340,17710,17710,2459600,TNG
2023-05-12,17610,17980,17350,17710,1952700,TNG
2023-05-15,17800,18440,17610,17890,2089400,TNG
2023-05-16,17980,17980,17710,17710,1062700,TNG
2023-05-17,17800,17890,17250,17350,1373700,TNG
2023-05-18,17250,17530,17160,17440,861100,TNG
2023-05-19,17530,17710,17250,17250,1255400,TNG
2023-05-22,17440,17710,17250,17530,1226600,TNG
2023-05-23,17610,18080,17440,18080,1909900,TNG
2023-05-24,18250,18530,17710,17710,3065500,TNG
2023-05-25,17530,17800,17440,17530,1335400,TNG
2023-05-26,17530,17800,17530,17530,1293000,TNG
2023-05-29,17530,17890,17530,17800,2011100,TNG
2023-05-30,17890,18340,17800,17890,2622700,TNG
2023-05-31,18080,18700,17980,18250,3829700,TNG
2023-06-01,18340,18440,17980,18080,1826400,TNG
2023-06-02,18610,18610,17890,18080,2185400,TNG
2023-06-05,18340,18800,18160,18610,3812700,TNG
2023-06-06,18700,18980,18440,18530,2135400,TNG
2023-06-07,18610,18800,18440,18530,2718500,TNG
2023-06-08,18530,18700,17980,17980,2547800,TNG
2023-06-09,16800,18250,16800,18160,2042800,TNG
2023-06-12,18340,18440,17980,18440,1456500,TNG
2023-06-13,18340,18700,18080,18080,1684200,TNG
2023-06-14,19120,19120,18240,18240,1174700,TNG
2023-06-15,18140,18540,18050,18340,1103000,TNG
2023-06-16,18340,18630,18140,18240,1593900,TNG
2023-06-19,18240,18340,17750,17750,1233200,TNG
2023-06-20,17750,18140,17750,18140,1019600,TNG
2023-06-21,18140,18340,18140,18240,1182200,TNG
2023-06-22,18340,18930,18240,18730,2274300,TNG
2023-06-23,18930,18930,18540,18630,1338800,TNG
2023-06-26,18630,18730,18240,18630,1205600,TNG
2023-06-27,18630,19320,18630,19320,2987200,TNG
2023-06-28,19620,19620,18930,19120,1471700,TNG
2023-06-29,19120,19120,18630,18630,1343800,TNG
2023-06-30,18630,18730,18440,18630,663100,TNG
2023-07-03,18630,18930,18440,18930,782400,TNG
2023-07-04,18930,19120,18630,18930,1308100,TNG
2023-07-05,18930,19520,18730,19120,2397000,TNG
2023-07-06,19220,19320,18730,19320,2085200,TNG
