time,open,high,low,close,volume,ticker
2023-01-03,24310,24840,23740,24730,105300,TNH
2023-01-04,24840,24840,24170,24520,66500,TNH
2023-01-05,24660,24880,24090,24880,152600,TNH
2023-01-06,24240,25550,24170,25550,256100,TNH
2023-01-09,25590,26190,24880,26190,266500,TNH
2023-01-10,25590,26160,25590,25690,76000,TNH
2023-01-11,25590,25870,25590,25870,94300,TNH
2023-01-12,25910,25940,25590,25870,49800,TNH
2023-01-13,25620,26050,25590,26050,89000,TNH
2023-01-16,25940,25940,25620,25940,67200,TNH
2023-01-17,25940,25940,25590,25940,109100,TNH
2023-01-18,26230,26230,25730,26160,84500,TNH
2023-01-19,25800,26580,25730,26580,151300,TNH
2023-01-27,26970,27580,26440,27580,108400,TNH
2023-01-30,27540,27720,26870,27470,122600,TNH
2023-01-31,27580,27580,26650,27510,95400,TNH
2023-02-01,27010,27510,26690,27010,144900,TNH
2023-02-02,27360,27360,25230,26940,71600,TNH
2023-02-03,27010,27010,26230,26940,68500,TNH
2023-02-06,26940,27010,26300,27010,73300,TNH
2023-02-07,26830,26870,26230,26690,77800,TNH
2023-02-08,26510,26720,26160,26690,68500,TNH
2023-02-09,26720,27010,26690,27010,127500,TNH
2023-02-10,26970,27580,26580,27580,117000,TNH
2023-02-13,27430,27430,26510,27010,50300,TNH
2023-02-14,26550,27010,26440,27010,40800,TNH
2023-02-15,26650,27010,26650,26720,11700,TNH
2023-02-16,27010,27010,26720,26940,58500,TNH
2023-02-17,26940,27010,26690,26970,54400,TNH
2023-02-20,26970,27010,26870,26970,117400,TNH
2023-02-21,26830,26970,26580,26870,89800,TNH
2023-02-22,26510,26830,26300,26620,86900,TNH
2023-02-23,26300,26760,25590,26760,104800,TNH
2023-02-24,26330,26830,26330,26830,65200,TNH
2023-02-27,26790,26870,26160,26650,101200,TNH
2023-02-28,26650,26650,26190,26510,59800,TNH
2023-03-01,26480,26480,25660,26120,147700,TNH
2023-03-02,26080,26300,25690,26160,94600,TNH
2023-03-03,26120,26300,25440,26300,193700,TNH
2023-03-06,26230,26230,25590,26010,125400,TNH
2023-03-07,25940,26440,25440,26440,244200,TNH
2023-03-08,26300,26300,25660,26300,203900,TNH
2023-03-09,26120,26300,25730,25870,126900,TNH
2023-03-10,26160,26160,25660,25660,90400,TNH
2023-03-13,25590,25800,25300,25660,128300,TNH
2023-03-14,25620,25730,25230,25590,107200,TNH
2023-03-15,25230,26300,25230,26300,356400,TNH
2023-03-16,26260,26260,25590,26190,81900,TNH
2023-03-17,26120,26260,25550,26260,211600,TNH
2023-03-20,25620,26230,25620,26080,38800,TNH
2023-03-21,26080,26160,25620,26010,107400,TNH
2023-03-22,26010,26010,25730,25760,12900,TNH
2023-03-23,26050,26080,25800,26050,45100,TNH
2023-03-24,26010,26080,25910,26050,40000,TNH
2023-03-27,26010,26120,25940,26010,51700,TNH
2023-03-28,26120,26190,25800,26190,91500,TNH
2023-03-29,25910,26260,25870,25940,79600,TNH
2023-03-30,26160,26190,25840,25840,71500,TNH
2023-03-31,26080,26080,25800,26080,90500,TNH
2023-04-03,26080,26160,25980,26080,81100,TNH
2023-04-04,26080,26080,26080,26080,200,TNH
2023-04-05,25870,26190,25870,25980,78400,TNH
2023-04-06,26190,26190,26010,26120,35000,TNH
2023-04-07,26120,26120,25870,26010,31300,TNH
2023-04-10,26010,26010,25730,26010,165800,TNH
2023-04-11,26010,26010,25590,25870,155600,TNH
2023-04-12,25940,25940,25300,25300,209800,TNH
2023-04-13,25300,25300,24660,24800,213700,TNH
2023-04-14,25230,25270,24700,24840,120200,TNH
2023-04-17,24880,24880,24700,24770,233400,TNH
2023-04-18,24950,24950,24770,24950,150900,TNH
2023-04-19,25020,25940,25020,25590,197400,TNH
2023-04-20,27200,27200,26200,27100,233000,TNH
2023-04-21,27950,28700,27500,28500,344100,TNH
2023-04-24,28850,28950,28000,28350,114400,TNH
2023-04-25,28700,28750,27300,27900,78400,TNH
2023-04-26,28000,28000,27150,27900,61600,TNH
2023-04-27,28250,28250,27200,28000,123700,TNH
2023-04-28,27650,28250,27300,28000,134800,TNH
2023-05-04,28300,28300,27100,27500,145100,TNH
2023-05-05,27500,27800,27150,27750,99500,TNH
2023-05-08,27600,27700,27300,27700,161200,TNH
2023-05-09,27400,27500,26900,27000,290200,TNH
2023-05-10,26900,27000,26650,27000,39800,TNH
2023-05-11,27500,27500,26950,27500,329400,TNH
2023-05-12,27000,27250,26950,27000,152900,TNH
2023-05-15,27000,27000,26850,27000,98900,TNH
2023-05-16,27000,27000,26800,26800,38900,TNH
2023-05-17,27000,27000,26800,26900,153700,TNH
2023-05-18,26850,26900,26650,26650,78400,TNH
2023-05-19,26700,26850,26500,26600,152300,TNH
2023-05-22,26900,27000,26350,27000,336900,TNH
2023-05-23,27400,27400,26950,27200,176900,TNH
2023-05-24,27400,27500,26950,27400,208200,TNH
2023-05-25,27050,27100,26750,27100,187200,TNH
2023-05-26,27050,27050,26750,27000,81600,TNH
2023-05-29,26550,27000,26550,26950,103400,TNH
2023-05-30,26550,27000,26100,27000,498800,TNH
2023-05-31,27000,27000,26000,26750,373300,TNH
2023-06-01,26750,26750,26250,26600,91000,TNH
2023-06-02,26600,26950,26200,26950,348300,TNH
2023-06-05,26900,27000,26650,26950,209100,TNH
2023-06-06,26850,26900,26550,26900,196100,TNH
2023-06-07,26700,26850,26400,26850,226900,TNH
2023-06-08,26800,26800,26400,26800,290800,TNH
2023-06-09,26500,26750,26450,26500,328600,TNH
2023-06-12,26500,26700,26450,26600,240600,TNH
2023-06-13,26600,27450,26600,27250,432100,TNH
2023-06-14,27450,27600,27200,27200,191200,TNH
2023-06-15,27050,27200,26850,26950,143800,TNH
2023-06-16,26950,27350,26850,27150,585300,TNH
2023-06-19,27150,27850,27150,27500,391200,TNH
2023-06-20,27500,27500,27300,27300,88200,TNH
2023-06-21,27450,27800,27450,27550,477100,TNH
2023-06-22,27550,27800,27550,27650,149900,TNH
2023-06-23,27700,27700,27300,27650,210800,TNH
2023-06-26,27600,27600,27050,27400,167400,TNH
2023-06-27,27400,27500,27000,27400,233700,TNH
2023-06-28,27400,27400,27000,27000,112000,TNH
2023-06-29,27000,27000,26650,27000,138000,TNH
2023-06-30,27000,27000,26500,26900,75000,TNH
2023-07-03,27000,27000,26500,26550,107100,TNH
2023-07-04,26600,26850,26500,26600,64900,TNH
2023-07-05,26800,26850,26600,26750,50700,TNH
2023-07-06,26650,26750,26500,26500,51400,TNH
2023-07-07,26700,26700,26400,26500,118000,TNH
