time,open,high,low,close,volume,ticker
2023-01-03,3150,3280,3000,3280,156100,TNI
2023-01-04,3280,3300,3250,3280,264400,TNI
2023-01-05,3110,3280,3110,3250,85900,TNI
2023-01-06,3120,3270,3120,3120,505000,TNI
2023-01-09,3160,3230,3150,3160,55400,TNI
2023-01-10,3160,3240,3110,3160,239300,TNI
2023-01-11,3160,3260,3130,3160,60700,TNI
2023-01-12,3160,3290,3100,3100,187100,TNI
2023-01-13,3030,3160,3030,3050,209300,TNI
2023-01-16,3150,3150,3000,3060,197700,TNI
2023-01-17,3100,3100,3030,3060,260600,TNI
2023-01-18,3100,3150,3050,3100,116500,TNI
2023-01-19,3150,3150,3060,3100,190100,TNI
2023-01-27,3100,3150,3000,3110,340200,TNI
2023-01-30,3110,3250,3100,3200,357200,TNI
2023-01-31,3260,3260,3100,3180,287200,TNI
2023-02-01,3190,3250,3100,3160,744500,TNI
2023-02-02,3100,3150,3080,3080,259100,TNI
2023-02-03,3060,3130,3040,3100,199900,TNI
2023-02-06,3140,3140,3040,3090,168400,TNI
2023-02-07,3110,3120,3030,3080,140200,TNI
2023-02-08,3020,3100,3010,3080,164200,TNI
2023-02-09,3100,3100,3010,3010,85500,TNI
2023-02-10,3010,3080,3000,3010,136100,TNI
2023-02-13,2910,3010,2860,2890,307200,TNI
2023-02-14,2980,2980,2700,2910,219500,TNI
2023-02-15,2900,2960,2840,2940,269000,TNI
2023-02-16,2950,2950,2860,2950,152500,TNI
2023-02-17,2950,2950,2880,2940,93900,TNI
2023-02-20,2940,3050,2910,3050,361000,TNI
2023-02-21,3100,3100,2970,3010,151300,TNI
2023-02-22,3010,3010,2930,2940,120400,TNI
2023-02-23,2940,2940,2820,2930,192600,TNI
2023-02-24,2940,2950,2880,2900,138200,TNI
2023-02-27,2730,2890,2730,2860,91300,TNI
2023-02-28,2770,2900,2770,2860,80700,TNI
2023-03-01,2800,2880,2800,2880,86200,TNI
2023-03-02,2880,2950,2820,2900,111700,TNI
2023-03-03,2900,2990,2830,2840,55600,TNI
2023-03-06,2880,2880,2820,2840,123800,TNI
2023-03-07,2840,2860,2820,2830,70900,TNI
2023-03-08,2820,2850,2810,2810,107000,TNI
2023-03-09,2810,2860,2810,2860,107500,TNI
2023-03-10,2860,2880,2820,2840,86700,TNI
2023-03-13,2810,2820,2740,2800,243300,TNI
2023-03-14,2810,2810,2710,2750,145500,TNI
2023-03-15,2760,2850,2760,2820,51000,TNI
2023-03-16,2800,2800,2750,2770,31500,TNI
2023-03-17,2770,2800,2750,2760,55800,TNI
2023-03-20,2790,2790,2720,2720,63500,TNI
2023-03-21,2700,2780,2700,2750,87400,TNI
2023-03-22,2780,2780,2700,2710,55100,TNI
2023-03-23,2750,2750,2690,2700,74900,TNI
2023-03-24,2770,2770,2710,2740,37700,TNI
2023-03-27,2710,2750,2650,2650,185300,TNI
2023-03-28,2720,2720,2660,2700,170300,TNI
2023-03-29,2680,2720,2650,2650,224700,TNI
2023-03-30,2740,2740,2730,2730,56600,TNI
2023-03-31,2700,2720,2680,2700,114200,TNI
2023-04-03,2720,2760,2720,2760,174300,TNI
2023-04-04,2840,2850,2780,2780,175600,TNI
2023-04-05,2790,2830,2740,2800,305700,TNI
2023-04-06,2820,2990,2820,2920,468100,TNI
2023-04-07,2900,2900,2800,2850,83800,TNI
2023-04-10,2880,2890,2800,2810,106900,TNI
2023-04-11,2840,2850,2770,2790,121800,TNI
2023-04-12,2870,2870,2800,2820,102200,TNI
2023-04-13,2850,2850,2760,2800,106700,TNI
2023-04-14,2850,2900,2800,2800,275700,TNI
2023-04-17,2790,2800,2760,2770,73000,TNI
2023-04-18,2800,2810,2760,2760,76200,TNI
2023-04-19,2750,2760,2720,2720,90600,TNI
2023-04-20,2720,2770,2680,2720,181300,TNI
2023-04-21,2740,2760,2710,2730,110800,TNI
2023-04-24,2720,2770,2710,2710,51900,TNI
2023-04-25,2700,2760,2700,2730,177500,TNI
2023-04-26,2700,2760,2700,2720,74700,TNI
2023-04-27,2740,2770,2730,2750,81300,TNI
2023-04-28,2760,2760,2700,2720,119900,TNI
2023-05-04,2670,2750,2670,2710,133300,TNI
2023-05-05,2700,2700,2670,2700,91900,TNI
2023-05-08,2740,2740,2700,2730,98100,TNI
2023-05-09,2710,2740,2710,2710,112400,TNI
2023-05-10,2730,2870,2730,2830,465900,TNI
2023-05-11,2820,2900,2800,2820,294200,TNI
2023-05-12,2830,2880,2790,2800,245200,TNI
2023-05-15,2880,2950,2860,2870,726600,TNI
2023-05-16,2910,2920,2850,2870,279700,TNI
2023-05-17,2860,2950,2840,2920,404700,TNI
2023-05-18,2970,2990,2900,2920,368700,TNI
2023-05-19,2920,2920,2820,2830,195600,TNI
2023-05-22,2850,2870,2820,2820,156200,TNI
2023-05-23,2890,2890,2800,2830,397500,TNI
2023-05-24,2840,2870,2830,2860,242100,TNI
2023-05-25,2850,2860,2820,2840,111500,TNI
2023-05-26,2880,3000,2840,2940,806600,TNI
2023-05-29,2980,3140,2980,3140,1086000,TNI
2023-05-30,3250,3250,3000,3060,640500,TNI
2023-05-31,3050,3150,3050,3110,899600,TNI
2023-06-01,3200,3320,3150,3310,1264400,TNI
2023-06-02,3310,3430,3150,3200,829900,TNI
2023-06-05,3160,3250,3100,3120,731300,TNI
2023-06-06,3120,3250,3080,3210,512700,TNI
2023-06-07,3310,3390,3210,3340,1041400,TNI
2023-06-08,3360,3480,3300,3300,738600,TNI
2023-06-09,3310,3370,3200,3290,484400,TNI
2023-06-12,3300,3380,3240,3370,503000,TNI
2023-06-13,3370,3460,3370,3430,781200,TNI
2023-06-14,3500,3520,3260,3260,972700,TNI
2023-06-15,3260,3300,3140,3230,483500,TNI
2023-06-16,3230,3300,3150,3150,456300,TNI
2023-06-19,3150,3210,3050,3070,417400,TNI
2023-06-20,3010,3150,3010,3150,281900,TNI
2023-06-21,3170,3200,3140,3190,233800,TNI
2023-06-22,3260,3280,3160,3190,177500,TNI
2023-06-23,3190,3210,3150,3190,243700,TNI
2023-06-26,3190,3220,3080,3100,293200,TNI
2023-06-27,3110,3170,3030,3120,305300,TNI
2023-06-28,3120,3130,3070,3100,167400,TNI
2023-06-29,3060,3090,3030,3030,287800,TNI
2023-06-30,3030,3070,3020,3050,157300,TNI
2023-07-03,3060,3070,3030,3050,117700,TNI
2023-07-04,3020,3090,3020,3060,272300,TNI
2023-07-05,3110,3110,3050,3080,152200,TNI
2023-07-06,3060,3060,2970,3000,365900,TNI
2023-07-07,2960,3010,2930,3000,225900,TNI
2023-07-10,3000,3210,3000,3210,795800,TNI
2023-07-11,3340,3340,3150,3160,351400,TNI
