time,open,high,low,close,volume,ticker
2023-01-03,3080,3290,3080,3290,183300,TNT
2023-01-04,3360,3390,3290,3350,133100,TNT
2023-01-05,3450,3450,3280,3380,146300,TNT
2023-01-06,3310,3440,3310,3360,76800,TNT
2023-01-09,3400,3400,3290,3300,110400,TNT
2023-01-10,3250,3290,3200,3260,70800,TNT
2023-01-11,3200,3420,3200,3330,146500,TNT
2023-01-12,3310,3370,3300,3330,30900,TNT
2023-01-13,3270,3390,3270,3350,53300,TNT
2023-01-16,3250,3340,3250,3340,40000,TNT
2023-01-17,3270,3490,3270,3400,126600,TNT
2023-01-18,3420,3500,3380,3470,73300,TNT
2023-01-19,3400,3540,3400,3520,141400,TNT
2023-01-27,3580,3700,3550,3700,140900,TNT
2023-01-30,3700,3780,3650,3750,258000,TNT
2023-01-31,3830,3840,3720,3790,311800,TNT
2023-02-01,3780,3850,3630,3770,280300,TNT
2023-02-02,3760,3780,3530,3600,248400,TNT
2023-02-03,3640,3640,3510,3530,160300,TNT
2023-02-06,3530,3550,3440,3450,66100,TNT
2023-02-07,3550,3690,3500,3690,271700,TNT
2023-02-08,3930,3940,3900,3940,385500,TNT
2023-02-09,4210,4210,3920,4000,684600,TNT
2023-02-10,3950,4100,3800,3870,184600,TNT
2023-02-13,3640,4000,3600,3600,368400,TNT
2023-02-14,3600,3790,3520,3790,244900,TNT
2023-02-15,3680,3990,3680,3870,236500,TNT
2023-02-16,4040,4040,3780,3880,147700,TNT
2023-02-17,3950,3950,3820,3870,129200,TNT
2023-02-20,3750,4040,3750,3970,198100,TNT
2023-02-21,3980,4190,3980,4000,553500,TNT
2023-02-22,4000,4280,4000,4280,1502400,TNT
2023-02-23,4400,4400,4050,4190,420700,TNT
2023-02-24,4190,4190,4000,4019,253200,TNT
2023-02-27,4000,4050,3820,3990,238000,TNT
2023-02-28,3990,4090,3850,3970,154500,TNT
2023-03-01,3960,4050,3800,3990,131700,TNT
2023-03-02,4090,4090,3900,3940,81300,TNT
2023-03-03,3960,3980,3850,3860,88300,TNT
2023-03-06,3870,4059,3870,3940,154200,TNT
2023-03-07,3940,4050,3780,3930,109100,TNT
2023-03-08,3910,3920,3740,3900,66400,TNT
2023-03-09,3900,4000,3900,3990,70100,TNT
2023-03-10,3950,3980,3860,3890,108900,TNT
2023-03-13,3800,3920,3800,3860,67000,TNT
2023-03-14,3860,3950,3800,3860,145200,TNT
2023-03-15,3900,3950,3810,3890,80900,TNT
2023-03-16,3860,3890,3800,3870,105000,TNT
2023-03-17,3900,3950,3800,3830,81100,TNT
2023-03-20,3880,3880,3700,3710,75600,TNT
2023-03-21,3720,3750,3650,3710,90900,TNT
2023-03-22,3670,3780,3670,3780,22000,TNT
2023-03-23,3690,3820,3670,3690,3400,TNT
2023-03-24,3760,3780,3730,3740,22800,TNT
2023-03-27,3790,3810,3790,3810,12100,TNT
2023-03-28,3800,3800,3800,3800,800,TNT
2023-03-29,3760,3760,3760,3760,3000,TNT
2023-03-30,3800,3800,3790,3790,8200,TNT
2023-03-31,3690,3750,3690,3750,7400,TNT
2023-04-03,3750,3780,3720,3760,40800,TNT
2023-04-04,3770,3810,3770,3770,11600,TNT
2023-04-05,3800,4059,3800,4050,417300,TNT
2023-04-06,4050,4130,3950,4050,113500,TNT
2023-04-07,3950,3990,3860,3950,68800,TNT
2023-04-10,3870,3960,3870,3890,57300,TNT
2023-04-11,3880,3880,3800,3810,206900,TNT
2023-04-12,3920,4100,3890,3950,78400,TNT
2023-04-13,3960,3960,3860,3860,47900,TNT
2023-04-14,3880,3910,3870,3870,7600,TNT
2023-04-17,3860,3920,3790,3790,3900,TNT
2023-04-18,3830,3840,3770,3770,35700,TNT
2023-04-19,3910,3910,3800,3850,1500,TNT
2023-04-20,3750,3830,3750,3790,68700,TNT
2023-04-21,3790,3800,3750,3760,28700,TNT
2023-04-24,3810,3810,3760,3760,24200,TNT
2023-04-25,3790,3800,3730,3760,42800,TNT
2023-04-26,3780,3780,3690,3720,43000,TNT
