time,open,high,low,close,volume,ticker
2023-01-03,8500,8500,8500,8500,100,TNW
2023-01-06,9700,9700,9700,9700,500,TNW
2023-01-09,11000,11100,11000,11100,200,TNW
2023-01-11,9500,9500,9500,9500,200,TNW
2023-01-12,8100,8100,8100,8100,100,TNW
2023-01-13,7200,7200,7200,7200,100,TNW
2023-01-16,6600,6600,6600,6600,200,TNW
2023-03-01,8000,8000,8000,8000,1500,TNW
2023-03-02,8000,8000,8000,8000,1700,TNW
2023-03-03,9200,9200,9200,9200,300,TNW
2023-03-06,8900,8900,8900,8900,100,TNW
2023-03-07,9000,9000,9000,9000,2000,TNW
2023-03-08,10300,10300,10300,10300,100,TNW
2023-03-10,9300,9300,9300,9300,1200,TNW
2023-03-13,10000,10000,9000,9000,600,TNW
2023-03-16,9000,9000,9000,9000,800,TNW
2023-03-23,9000,9000,9000,9000,100,TNW
2023-03-30,10300,10300,10300,10300,100,TNW
2023-03-31,11800,11800,11800,11800,100,TNW
2023-04-03,12100,12100,12100,12100,100,TNW
2023-04-04,13900,13900,13900,13900,100,TNW
2023-04-05,15900,15900,14100,14600,600,TNW
2023-04-06,12400,16600,12400,16600,200,TNW
2023-04-07,13200,17800,13200,14000,500,TNW
2023-04-07,13200,17800,13200,17800,200,TNW
2023-04-10,12600,12600,12600,12600,100,TNW
2023-04-11,12600,12600,12600,12600,100,TNW
2023-04-12,12500,12500,12500,12500,100,TNW
2023-04-13,14200,14200,14200,14200,100,TNW
2023-04-14,11800,11800,11800,11800,200,TNW
2023-04-21,11800,11800,11800,11800,200,TNW
2023-05-09,10600,10600,10600,10600,200,TNW
2023-05-10,9600,9600,9600,9600,100,TNW
2023-05-11,9100,9100,9100,9100,2600,TNW
2023-05-18,10000,10000,10000,10000,100,TNW
2023-05-19,11500,11500,11400,11400,1100,TNW
2023-05-22,10200,12500,10200,12500,300,TNW
2023-05-23,12000,12000,12000,12000,100,TNW
2023-05-24,10200,10500,10200,10500,5000,TNW
2023-05-26,10100,10100,10100,10100,300,TNW
2023-05-29,10500,10500,10500,10500,400,TNW
2023-06-07,10000,10000,10000,10000,400,TNW
2023-06-08,10000,10000,10000,10000,2300,TNW
2023-06-09,10000,10000,10000,10000,2800,TNW
2023-06-12,10000,10000,10000,10000,900,TNW
2023-06-15,11500,11500,11500,11500,300,TNW
2023-06-19,12800,12800,12800,12800,100,TNW
2023-06-20,10900,10900,10900,10900,300,TNW
2023-06-22,10900,10900,10900,10900,100,TNW
2023-06-23,11000,11000,11000,11000,300,TNW
2023-06-26,11000,11000,11000,11000,200,TNW
2023-06-27,11000,11000,11000,11000,300,TNW
2023-06-29,11000,11000,10100,10100,400,TNW
2023-06-30,11000,11000,11000,11000,200,TNW
2023-07-03,11000,11400,11000,11400,700,TNW
2023-07-04,11400,11400,11400,11400,100,TNW
2023-07-05,10600,10600,10600,10600,100,TNW
2023-07-06,10200,10900,9900,9900,1300,TNW
2023-07-07,9500,9500,9500,9500,100,TNW
2023-07-10,10900,10900,10900,10900,300,TNW
2023-07-11,10900,11100,10900,11000,500,TNW
2023-07-20,11000,11000,11000,11000,200,TNW
2023-07-21,11000,11000,11000,11000,300,TNW
2023-07-24,10200,10200,10100,10100,300,TNW
2023-07-27,11000,11000,11000,11000,500,TNW
2023-07-31,11000,11000,11000,11000,100,TNW
2023-08-07,11400,11400,11400,11400,100,TNW
2023-08-08,11400,11400,11400,11400,200,TNW
2023-08-10,11400,11400,11400,11400,200,TNW
2023-08-14,11400,11400,11400,11400,200,TNW
2023-08-16,11300,11300,11300,11300,100,TNW
2023-08-21,11300,11300,11300,11300,200,TNW
2023-08-30,12700,12700,12700,12700,200,TNW
2023-09-07,12000,12000,12000,12000,100,TNW
2023-09-11,11600,11600,11500,11500,400,TNW
2023-09-29,10000,11300,10000,10000,4300,TNW
2023-10-02,10000,10000,10000,10000,8600,TNW
2023-10-11,10000,10000,10000,10000,200,TNW
