time,open,high,low,close,volume,ticker
2023-01-05,29700,29700,29700,29700,100,TOS
2023-01-11,29700,29700,29700,29700,800,TOS
2023-01-12,27940,27940,27940,27940,100,TOS
2023-01-13,28770,28770,28770,28770,200,TOS
2023-01-17,32390,32390,32390,32390,100,TOS
2023-01-19,29700,30630,27840,30630,4900,TOS
2023-01-27,28400,28400,26730,27840,4300,TOS
2023-01-30,30630,30630,27840,27940,6200,TOS
2023-01-31,26910,26910,26910,26910,1000,TOS
2023-02-01,27840,28310,27840,27840,8100,TOS
2023-02-02,28310,28490,26910,26910,2800,TOS
2023-02-07,27840,27840,27290,27290,5000,TOS
2023-02-08,27840,27840,27840,27840,2300,TOS
2023-02-09,27100,27100,27100,27100,500,TOS
2023-02-10,27840,27840,25060,25060,3700,TOS
2023-02-13,27840,27840,25990,25990,2700,TOS
2023-02-14,26450,26450,26450,26450,5000,TOS
2023-02-15,26450,26540,25990,25990,17200,TOS
2023-02-16,25990,26450,25990,26450,17200,TOS
2023-02-17,27840,27840,27840,27840,4500,TOS
2023-02-20,27840,27840,27840,27840,5200,TOS
2023-02-21,27840,27840,27840,27840,8000,TOS
2023-02-22,27840,28030,26910,27840,19800,TOS
2023-02-23,27840,27840,27840,27840,4700,TOS
2023-02-24,31930,31930,27840,27840,2700,TOS
2023-02-27,27840,28030,27840,27840,1500,TOS
2023-02-28,28310,28310,28310,28310,100,TOS
2023-03-01,27560,27940,27560,27840,7300,TOS
2023-03-03,27840,27840,27840,27840,100,TOS
2023-03-06,27380,27750,27380,27750,200,TOS
2023-03-07,27750,27840,27750,27840,800,TOS
2023-03-08,32020,32020,27840,27840,600,TOS
2023-03-10,29610,29610,29610,29610,100,TOS
2023-03-13,27840,27840,27840,27840,200,TOS
2023-03-14,28680,28680,28680,28680,200,TOS
2023-03-15,28960,28960,27840,27840,6200,TOS
2023-03-17,28680,28680,28680,28680,100,TOS
2023-03-20,26910,27660,26910,27660,4100,TOS
2023-03-21,29510,29510,27840,27840,1400,TOS
2023-03-27,27100,27100,27100,27100,700,TOS
2023-03-28,28680,28680,27840,27840,400,TOS
2023-03-29,28030,28030,28030,28030,700,TOS
2023-03-30,28680,28680,28680,28680,100,TOS
2023-04-03,27470,27470,27470,27470,200,TOS
2023-04-04,27380,27380,27380,27380,1000,TOS
2023-04-05,27750,27840,27750,27840,1100,TOS
2023-04-06,27750,27750,27750,27750,200,TOS
2023-04-11,27750,27750,27750,27750,500,TOS
2023-04-12,27560,27560,27560,27560,200,TOS
2023-04-13,27660,27660,27380,27380,1400,TOS
2023-04-14,28210,28210,28210,28210,500,TOS
2023-04-19,27100,27100,27100,27100,300,TOS
2023-04-20,27190,27190,27100,27100,2900,TOS
2023-04-21,27750,27750,27750,27750,100,TOS
2023-04-24,27100,27750,27100,27750,900,TOS
2023-04-25,27840,27840,27840,27840,2200,TOS
2023-04-26,27840,27840,27750,27750,1800,TOS
2023-04-27,28030,28030,28030,28030,100,TOS
2023-04-28,28030,28030,28030,28030,6800,TOS
2023-05-04,27750,27750,27750,27750,100,TOS
2023-05-05,28770,28770,28770,28770,700,TOS
2023-05-08,28030,28770,27470,27470,1700,TOS
2023-05-10,28310,28310,28310,28310,3400,TOS
2023-05-11,29230,29330,29230,29230,400,TOS
2023-05-16,29140,29140,29140,29140,1000,TOS
2023-05-17,29700,29700,29700,29700,100,TOS
2023-05-22,29700,29700,29700,29700,100,TOS
2023-05-24,29230,29230,27840,28770,1500,TOS
2023-05-25,28770,28770,28770,28770,1100,TOS
2023-05-26,29140,29140,28770,28770,600,TOS
2023-05-29,28580,28860,28580,28860,1800,TOS
2023-05-31,28770,28770,28770,28770,500,TOS
2023-06-05,27840,28120,27840,28120,3700,TOS
2023-06-06,27940,27940,27840,27940,5300,TOS
2023-06-07,28310,28310,28310,28310,100,TOS
2023-06-08,28310,28310,28310,28310,1800,TOS
2023-06-09,28770,28770,28770,28770,1000,TOS
2023-06-12,28310,28310,27840,28310,8300,TOS
2023-06-14,28400,28400,28400,28400,1000,TOS
2023-06-15,28960,29700,28770,29700,7200,TOS
2023-06-16,29700,30630,29700,29700,8900,TOS
2023-06-19,30630,30630,29700,29790,9000,TOS
2023-06-20,30070,30070,29700,29790,3700,TOS
2023-06-21,29700,29700,29700,29700,500,TOS
2023-06-22,29700,30530,29700,30530,49200,TOS
2023-06-23,31550,32479,31280,32479,24300,TOS
2023-06-26,31550,32479,31550,31930,2000,TOS
2023-06-27,34000,34000,31000,31000,2700,TOS
2023-06-28,32000,32900,32000,32600,3800,TOS
2023-06-29,32500,32500,32400,32400,6600,TOS
2023-06-30,32000,32100,31000,32100,18400,TOS
2023-07-03,32000,32000,31000,31000,2300,TOS
2023-07-04,30000,31000,30000,31000,600,TOS
2023-07-05,30100,30200,30100,30100,6600,TOS
2023-07-06,32000,32000,30000,30500,19000,TOS
2023-07-07,32000,32000,29100,29500,33200,TOS
2023-07-10,32000,32000,31000,31000,11500,TOS
2023-07-11,30000,30900,30000,30900,1900,TOS
2023-07-12,28100,31000,28100,30500,8200,TOS
2023-07-13,31900,31900,30300,30500,1300,TOS
2023-07-14,34500,34500,30400,30400,2100,TOS
2023-07-17,36000,37000,30900,31300,11700,TOS
2023-07-18,30300,30300,29500,29500,2700,TOS
2023-07-19,29100,31900,29100,31900,1400,TOS
2023-07-20,31900,31900,29400,31000,96400,TOS
2023-07-21,31900,31900,30500,30500,1700,TOS
2023-07-24,31900,32000,31000,32000,6100,TOS
2023-07-25,31900,34800,31900,34100,53800,TOS
2023-07-26,34000,36000,34000,35500,18500,TOS
2023-07-27,35900,35900,33300,33500,13600,TOS
2023-07-28,33500,33500,33500,33500,400,TOS
