time,open,high,low,close,volume,ticker
2023-01-03,88320,93850,88220,93850,7900,TRA
2023-01-04,93950,93950,88220,93850,6100,TRA
2023-01-05,88610,89400,88510,89400,600,TRA
2023-01-09,90490,90490,90490,90490,500,TRA
2023-01-11,90490,90790,90490,90790,1100,TRA
2023-01-12,95930,95930,90000,90990,2200,TRA
2023-01-13,90990,90990,90990,90990,500,TRA
2023-01-16,93160,93160,90990,92070,2300,TRA
2023-01-17,92570,92570,92470,92470,900,TRA
2023-01-18,92470,92470,92470,92470,200,TRA
2023-01-19,92470,92470,92470,92470,1300,TRA
2023-01-30,92470,92470,92470,92470,200,TRA
2023-01-31,92470,93460,91970,93460,1500,TRA
2023-02-01,93460,93460,93460,93460,1500,TRA
2023-02-02,89300,89400,89300,89400,200,TRA
2023-02-07,90990,90990,89500,90000,1600,TRA
2023-02-08,90000,90000,89010,89010,2900,TRA
2023-02-09,90000,90000,89500,90000,400,TRA
2023-02-10,90000,90000,90000,90000,600,TRA
2023-02-13,90000,90990,90000,90990,1100,TRA
2023-02-14,90990,90990,90990,90990,2000,TRA
2023-02-15,90990,90990,90990,90990,8000,TRA
2023-02-16,91480,91970,91480,91970,2100,TRA
2023-02-17,92860,92860,92860,92860,100,TRA
2023-02-20,89210,90000,89010,89010,6200,TRA
2023-02-21,89110,90990,89110,90990,200,TRA
2023-02-22,89210,90990,89210,90990,2200,TRA
2023-02-23,90890,90890,90890,90890,200,TRA
2023-02-27,88710,90000,88710,90000,1100,TRA
2023-02-28,90000,90000,90000,90000,200,TRA
2023-03-01,90000,90000,90000,90000,200,TRA
2023-03-02,93850,93850,89010,90890,2700,TRA
2023-03-03,89010,90490,89010,90000,6600,TRA
2023-03-08,89010,89010,89010,89010,600,TRA
2023-03-09,89010,89010,89010,89010,100,TRA
2023-03-10,89010,89010,89010,89010,2300,TRA
2023-03-13,85050,90990,84660,85350,4600,TRA
2023-03-14,89010,89010,89010,89010,100,TRA
2023-03-15,89010,89010,89010,89010,5000,TRA
2023-03-16,89010,89010,87030,87030,600,TRA
2023-03-17,89010,89010,88910,88910,700,TRA
2023-03-20,89010,89500,89010,89010,3700,TRA
2023-03-21,89010,89010,87130,87130,6600,TRA
2023-03-22,87330,87330,87230,87230,200,TRA
2023-03-23,87030,87030,87030,87030,500,TRA
2023-03-24,88910,88910,88910,88910,100,TRA
2023-03-28,88510,88510,88510,88510,300,TRA
2023-03-30,88910,88910,88910,88910,800,TRA
2023-03-31,86040,86040,86040,86040,200,TRA
2023-04-04,86040,86040,86040,86040,1500,TRA
2023-04-05,88810,88810,88810,88810,100,TRA
2023-04-07,88810,88810,88810,88810,300,TRA
2023-04-10,88710,88710,88710,88710,200,TRA
2023-04-11,88710,88710,88710,88710,3400,TRA
2023-04-12,88610,88610,88610,88610,100,TRA
2023-04-13,88510,88510,88510,88510,5000,TRA
2023-04-14,86240,86240,86240,86240,100,TRA
2023-04-17,86540,88810,86540,88810,200,TRA
2023-04-24,90000,90000,90000,90000,100,TRA
2023-04-25,88510,88510,88510,88510,100,TRA
2023-04-26,88510,88510,88510,88510,100,TRA
2023-04-27,89010,89010,89010,89010,700,TRA
2023-05-04,88810,88810,88810,88810,100,TRA
2023-05-05,89010,89010,89010,89010,100,TRA
2023-05-10,88020,88020,88020,88020,500,TRA
2023-05-11,88020,88020,88020,88020,100,TRA
2023-05-12,88020,88020,87330,87330,3800,TRA
2023-05-16,85150,86140,85050,86040,2400,TRA
2023-05-18,86240,86240,86240,86240,300,TRA
2023-05-19,87130,87520,86930,86930,1300,TRA
2023-05-22,87130,87130,87130,87130,100,TRA
2023-05-23,87130,87130,87130,87130,100,TRA
2023-05-26,87130,87130,87030,87030,200,TRA
2023-05-30,88020,88020,86930,86930,7000,TRA
2023-06-01,88020,88410,88020,88020,800,TRA
2023-06-05,87820,87820,87820,87820,200,TRA
2023-06-06,88020,89010,88020,88810,2700,TRA
2023-06-08,87520,89500,87520,89400,1800,TRA
