time,open,high,low,close,volume,ticker
2023-01-03,26900,26900,23500,23500,2200,TVP
2023-01-04,20600,20600,20600,20600,1000,TVP
2023-01-05,20700,20700,20600,20600,1200,TVP
2023-01-06,19100,21000,19100,21000,4100,TVP
2023-01-09,20000,20000,20000,20000,2000,TVP
2023-01-10,22800,22800,21000,21400,5100,TVP
2023-01-11,25200,25200,21500,21500,5800,TVP
2023-01-12,25200,25200,25200,25200,100,TVP
2023-01-13,21500,21500,21500,21500,300,TVP
2023-01-16,21500,21500,20500,20500,500,TVP
2023-01-17,21000,21000,19800,19800,2400,TVP
2023-01-18,23000,23000,20000,20000,5800,TVP
2023-01-19,23400,23400,20500,20500,1600,TVP
2023-01-27,23500,23500,20500,20500,3200,TVP
2023-01-30,20500,20500,20000,20000,1500,TVP
2023-01-31,21400,21400,21200,21300,19100,TVP
2023-02-01,21300,21300,20500,21300,9500,TVP
2023-02-02,21300,21300,21200,21200,42000,TVP
2023-02-03,21900,21900,21200,21200,18300,TVP
2023-02-06,21000,21000,21000,21000,8700,TVP
2023-02-07,21000,21000,21000,21000,60100,TVP
2023-02-08,21000,21000,21000,21000,600,TVP
2023-02-09,21000,21000,21000,21000,2400,TVP
2023-02-10,21000,21000,21000,21000,400,TVP
2023-02-13,20900,20900,20900,20900,600,TVP
2023-02-14,20900,20900,20500,20500,101800,TVP
2023-02-15,20800,20800,20800,20800,120000,TVP
2023-02-16,20800,20800,20800,20800,18900,TVP
2023-02-17,23300,23300,23300,23300,100,TVP
2023-02-23,20800,20800,20800,20800,124300,TVP
2023-02-24,20800,20800,20800,20800,6200,TVP
2023-02-27,21500,21500,20100,20800,9600,TVP
2023-02-28,20000,20800,20000,20500,3300,TVP
2023-03-01,20200,20200,20200,20200,1000,TVP
2023-03-02,20800,22100,20500,20900,43400,TVP
2023-03-03,20900,22000,20800,21100,30400,TVP
2023-03-06,23900,23900,21400,21400,8100,TVP
2023-03-07,24600,24600,21500,21500,16100,TVP
2023-03-08,21000,21700,21000,21000,6600,TVP
2023-03-10,21000,21500,20800,20800,21300,TVP
2023-03-13,20800,20800,20800,20800,22000,TVP
2023-03-14,23900,23900,20800,20800,1200,TVP
2023-03-15,20800,21500,20600,20600,15300,TVP
2023-03-16,20900,20900,20000,20300,5100,TVP
2023-03-17,20200,20800,20200,20800,15500,TVP
2023-03-20,20200,20200,20200,20200,100,TVP
2023-03-21,19500,20800,19500,20800,300,TVP
2023-03-22,20000,20000,20000,20000,1000,TVP
2023-03-23,22500,22500,22500,22500,100,TVP
2023-03-28,23000,23000,23000,23000,1000,TVP
2023-03-29,21300,21300,21300,21300,2000,TVP
2023-03-31,21200,21200,21200,21200,1000,TVP
2023-04-03,23400,23400,23400,23400,500,TVP
2023-04-05,22400,22400,22400,22400,100,TVP
2023-04-06,21000,21000,21000,21000,500,TVP
2023-04-07,21000,21000,21000,21000,500,TVP
2023-04-10,21000,21000,20700,20700,200,TVP
2023-04-11,20500,20500,20500,20500,500,TVP
2023-04-12,20500,20500,20500,20500,100,TVP
2023-04-13,23000,23000,20500,20500,2200,TVP
2023-04-14,20600,20600,20600,20600,600,TVP
2023-04-17,20600,20600,20600,20600,100,TVP
2023-04-24,21400,21400,21400,21400,300,TVP
2023-04-26,21000,21000,20800,20800,2200,TVP
2023-04-27,21000,21000,21000,21000,300,TVP
2023-04-28,21000,21000,21000,21000,2000,TVP
2023-05-04,20900,20900,20500,20600,3500,TVP
2023-05-05,20500,20800,20500,20800,3100,TVP
2023-05-08,20700,20700,20700,20700,500,TVP
2023-05-09,20900,21000,20900,21000,5800,TVP
2023-05-10,21000,21000,21000,21000,200,TVP
2023-05-11,21800,21800,21800,21800,300,TVP
2023-05-12,21500,21500,21500,21500,2100,TVP
2023-05-15,21500,24700,21500,24700,39200,TVP
2023-05-16,23800,23800,23800,23800,1000,TVP
2023-05-17,25000,27900,22100,27900,41300,TVP
2023-05-18,30600,30600,27500,27500,5900,TVP
2023-05-19,30400,30400,27600,27600,3100,TVP
2023-05-22,24500,29900,24500,24600,12900,TVP
2023-05-23,28100,28100,28000,28000,400,TVP
2023-05-24,25000,25000,24300,24300,1600,TVP
2023-05-25,27800,27800,27800,27800,33800,TVP
2023-05-26,27800,27800,25500,27800,1200,TVP
2023-05-29,25200,25400,25200,25400,200,TVP
2023-05-30,25100,29000,25100,29000,5300,TVP
2023-05-31,26000,26000,26000,26000,200,TVP
2023-06-01,29000,29000,26100,28800,300,TVP
2023-06-02,26100,26100,26000,26100,1200,TVP
2023-06-05,26000,29500,25900,26000,2600,TVP
2023-06-07,27900,27900,27900,27900,46200,TVP
2023-06-08,27800,27800,27800,27800,1700,TVP
2023-06-09,26300,27000,25200,26000,26900,TVP
2023-06-12,27500,27500,27400,27500,13300,TVP
2023-06-13,27500,27500,27500,27500,8100,TVP
2023-06-14,23600,27500,23600,27500,26800,TVP
2023-06-15,27500,27500,27500,27500,500,TVP
2023-06-16,27000,27400,27000,27300,1500,TVP
2023-06-19,27400,27400,27400,27400,10000,TVP
2023-06-20,27400,27400,27400,27400,1900,TVP
2023-06-21,27400,27400,27400,27400,1000,TVP
2023-06-22,27300,27300,26600,27300,6900,TVP
2023-06-26,29000,29000,27000,27900,9200,TVP
2023-06-27,27000,28900,27000,28500,9200,TVP
2023-06-28,27000,28400,26000,26000,53400,TVP
2023-06-29,26000,26000,26000,26000,5100,TVP
2023-06-30,26000,26000,25900,25900,3300,TVP
2023-07-03,26000,26000,26000,26000,1100,TVP
2023-07-04,26000,26000,25000,25000,11500,TVP
2023-07-06,26000,26900,25000,25000,4700,TVP
2023-07-07,26000,26000,26000,26000,100,TVP
2023-07-10,27000,27000,25000,25500,5100,TVP
2023-07-11,25900,25900,25000,25000,13300,TVP
2023-07-12,26100,26200,26100,26200,2400,TVP
2023-07-13,26700,27000,26700,27000,5700,TVP
2023-07-14,25200,25200,25200,25200,500,TVP
2023-07-17,26000,26000,24100,24200,21700,TVP
2023-07-18,24100,25000,24100,25000,31000,TVP
2023-07-19,24500,24500,23800,24000,2700,TVP
2023-07-20,23900,25000,23900,25000,27300,TVP
2023-07-21,24200,25500,24200,25500,21300,TVP
2023-07-24,25400,25400,23800,24000,13900,TVP
2023-07-25,24000,24000,23100,23100,20400,TVP
2023-07-26,24900,24900,23000,23800,56700,TVP
2023-07-27,23100,23100,23000,23000,6600,TVP
2023-07-28,24000,24000,21200,22000,24200,TVP
2023-07-31,21600,21600,20700,20700,42200,TVP
2023-08-01,21700,21700,20900,20900,200,TVP
2023-08-02,20800,20800,20600,20600,5400,TVP
2023-08-03,20900,21000,20900,21000,5000,TVP
2023-08-04,21000,21300,21000,21300,2500,TVP
2023-08-07,21200,21200,21100,21100,25300,TVP
2023-08-08,20800,20800,19600,19700,47400,TVP
2023-08-09,19000,19100,18400,18500,19800,TVP
2023-08-10,18800,18800,18300,18300,8300,TVP
2023-08-11,18300,18300,17900,17900,9400,TVP
2023-08-14,19500,19500,18000,18100,13000,TVP
2023-08-15,18200,18200,17900,17900,4200,TVP
2023-08-16,17800,18200,17700,18200,8000,TVP
2023-08-17,18200,18200,17800,18000,4800,TVP
2023-08-18,17900,18100,17500,17500,10900,TVP
