time,open,high,low,close,volume,ticker
2023-01-03,18690,18690,17420,18220,8800,TVS
2023-01-04,18360,18360,17530,17930,15900,TVS
2023-01-05,17530,18110,17530,17930,2600,TVS
2023-01-06,18070,18070,17420,17890,4100,TVS
2023-01-09,17240,17820,17100,17640,2900,TVS
2023-01-10,17930,17930,16920,17750,1200,TVS
2023-01-11,17750,18040,17320,17820,21400,TVS
2023-01-12,18220,18250,17320,17320,3200,TVS
2023-01-13,17390,17890,17060,17280,11400,TVS
2023-01-16,17320,17860,16590,17680,69100,TVS
2023-01-17,17820,18000,17240,17780,19100,TVS
2023-01-18,18250,18330,17530,17640,12200,TVS
2023-01-19,17640,18110,17390,17750,20300,TVS
2023-01-27,18040,18040,17680,17680,14200,TVS
2023-01-30,17460,17820,17460,17460,2700,TVS
2023-01-31,17460,17890,17320,17460,7600,TVS
2023-02-01,17460,17680,16590,16960,48100,TVS
2023-02-02,16630,17320,16490,16850,13100,TVS
2023-02-03,16630,16960,16309,16309,13000,TVS
2023-02-06,16590,16590,16590,16590,200,TVS
2023-02-07,16810,16960,16379,16590,6800,TVS
2023-02-08,16590,16590,15870,16490,5100,TVS
2023-02-09,17100,17100,16450,16450,1900,TVS
2023-02-10,16590,16590,15870,16450,3500,TVS
2023-02-13,16230,16230,15660,15980,12600,TVS
2023-02-14,15690,16090,15690,15870,1100,TVS
2023-02-15,15660,16740,15660,16129,4000,TVS
2023-02-16,16160,16520,16090,16230,14500,TVS
2023-02-17,16230,16560,15980,16560,1900,TVS
2023-02-20,16880,16880,15870,16670,40600,TVS
2023-02-21,16880,16880,16379,16770,5500,TVS
2023-02-22,16590,16810,16230,16230,22700,TVS
2023-02-23,16560,16560,15950,16230,3700,TVS
2023-02-24,16560,16560,16450,16450,1100,TVS
2023-02-27,15870,16379,15870,16309,3700,TVS
2023-02-28,17030,17420,16810,16960,1100,TVS
2023-03-01,16020,16700,15870,16490,9000,TVS
2023-03-02,16810,16810,16020,16560,15000,TVS
2023-03-03,16590,16740,16590,16740,300,TVS
2023-03-06,16490,16810,16020,16560,700,TVS
2023-03-07,16450,16450,15870,16340,3400,TVS
2023-03-08,16309,16740,15620,16450,30600,TVS
2023-03-09,16590,16670,16160,16379,86800,TVS
2023-03-10,16590,16590,15870,16230,44600,TVS
2023-03-13,16379,16379,15510,16050,2800,TVS
2023-03-14,15300,15870,15300,15730,5900,TVS
2023-03-15,15730,16590,15400,16520,14700,TVS
2023-03-16,15950,16560,15950,16450,1000,TVS
2023-03-17,16520,17570,15950,16410,1800,TVS
2023-03-20,16590,16590,15800,16230,16200,TVS
2023-03-21,16450,16450,15580,15580,6100,TVS
2023-03-22,15580,15580,15580,15580,3700,TVS
2023-03-23,15870,15870,15870,15870,500,TVS
2023-03-24,16230,16230,15870,15870,200,TVS
2023-03-27,15870,15870,15870,15870,800,TVS
2023-03-28,16090,16230,15370,16129,1500,TVS
2023-03-29,16160,16160,15220,15220,200,TVS
2023-03-30,15330,15870,15080,15080,10600,TVS
2023-03-31,15870,15870,15840,15840,600,TVS
2023-04-03,16200,16230,15870,16160,4200,TVS
2023-04-04,16160,16160,16090,16090,1100,TVS
2023-04-05,16450,16450,16379,16379,300,TVS
2023-04-06,16379,16379,16379,16379,200,TVS
2023-04-07,16590,16590,16160,16270,3800,TVS
2023-04-10,16379,16590,16020,16129,9600,TVS
2023-04-11,16230,17320,16230,16960,42800,TVS
2023-04-12,17280,17280,16810,16810,15500,TVS
2023-04-13,16960,17240,16450,16450,2000,TVS
2023-04-14,17030,17280,16590,16590,7200,TVS
2023-04-17,16379,16880,16230,16230,4100,TVS
2023-04-18,16590,16850,16129,16129,2800,TVS
2023-04-19,16630,17210,16020,16020,400,TVS
2023-04-20,16090,16740,15870,15870,24100,TVS
2023-04-21,16560,16560,15870,16230,9700,TVS
2023-04-24,16520,16520,16020,16340,3300,TVS
2023-04-25,16379,16379,15950,15980,5900,TVS
2023-04-26,16020,16309,15910,16020,11300,TVS
2023-04-27,16230,16230,16090,16230,6100,TVS
2023-04-28,16090,16160,15950,15950,4600,TVS
2023-05-04,15910,16230,15910,16090,7700,TVS
2023-05-05,16270,16309,16160,16160,5300,TVS
2023-05-08,16129,16520,16129,16410,14500,TVS
2023-05-09,16450,16560,15980,15980,7000,TVS
2023-05-10,16520,16960,16270,16960,23500,TVS
2023-05-11,17100,17100,16590,16590,11800,TVS
2023-05-12,16960,16960,16590,16880,27200,TVS
2023-05-15,17030,18040,17030,18040,111200,TVS
2023-05-16,18510,18980,18110,18760,65900,TVS
2023-05-17,18760,18760,18070,18070,19100,TVS
2023-05-18,18110,18690,17820,18650,52600,TVS
2023-05-19,19050,19050,18180,18540,35400,TVS
2023-05-22,18540,18540,18040,18180,21600,TVS
2023-05-23,18580,18980,18250,18430,21200,TVS
2023-05-24,18980,18980,18470,18610,34900,TVS
2023-05-25,18690,18940,18650,18870,63800,TVS
2023-05-26,18900,18940,17750,18650,10900,TVS
2023-05-29,18720,18980,18650,18760,21900,TVS
2023-05-30,18690,19340,18540,18760,46900,TVS
2023-05-31,19340,19730,19260,19620,99300,TVS
2023-06-01,20490,20780,20060,20420,190300,TVS
2023-06-02,21280,21280,20710,20920,135300,TVS
2023-06-05,21000,21790,21000,21500,82700,TVS
2023-06-06,21650,21650,21000,21070,39300,TVS
2023-06-07,22400,22510,22330,22510,174300,TVS
2023-06-08,24030,24030,23120,23160,113500,TVS
2023-06-09,23450,23770,22370,23090,66800,TVS
2023-06-12,23810,23810,22730,23200,44700,TVS
2023-06-13,23410,23520,22870,23160,60100,TVS
2023-06-14,23160,23450,22870,22870,49800,TVS
2023-06-15,24000,24000,22800,23050,115100,TVS
2023-06-16,23300,24300,23000,23000,223600,TVS
2023-06-19,23000,23950,23000,23450,78300,TVS
2023-06-20,23900,23900,23100,23450,39600,TVS
2023-06-21,23450,23750,23150,23750,267000,TVS
2023-06-22,23750,23850,23500,23550,90000,TVS
2023-06-23,23700,23750,23250,23600,86300,TVS
2023-06-26,23500,23600,23100,23500,134800,TVS
2023-06-27,23550,23900,23350,23800,208500,TVS
2023-06-28,24000,24700,23800,24200,153400,TVS
2023-06-29,24450,24450,23000,23200,91300,TVS
2023-06-30,23450,23450,22600,23400,78500,TVS
2023-07-03,22800,23750,22800,23000,15800,TVS
2023-07-04,23000,23000,22350,22800,81900,TVS
2023-07-05,22650,23300,22650,22800,73700,TVS
2023-07-06,22250,23000,22250,22600,21900,TVS
2023-07-07,22850,22950,22300,22600,27200,TVS
2023-07-10,23000,23000,22600,22600,62500,TVS
2023-07-11,22700,23000,22700,22900,142000,TVS
2023-07-12,23000,23500,22900,23500,109100,TVS
2023-07-13,23500,23900,23400,23500,80800,TVS
2023-07-14,23500,23800,23200,23350,20400,TVS
2023-07-17,23100,23500,23100,23350,77900,TVS
2023-07-18,23300,23500,22800,23250,57000,TVS
2023-07-19,22600,23500,22250,23200,76700,TVS
2023-07-20,23000,23100,22600,22900,34300,TVS
2023-07-21,22850,23450,22850,23000,67700,TVS
2023-07-24,24000,24600,24000,24600,269700,TVS
2023-07-25,26300,26300,25100,25300,413200,TVS
2023-07-26,25400,25400,24600,24700,113200,TVS
2023-07-27,24700,24700,23450,23850,176300,TVS
2023-07-28,23850,24700,23400,24250,100400,TVS
2023-07-31,24750,24750,23700,23900,127500,TVS
2023-08-01,23900,24200,23850,23900,213800,TVS
2023-08-02,23950,24000,23700,23950,159200,TVS
2023-08-03,23550,24000,23550,23800,110800,TVS
2023-08-04,23750,23950,23000,23800,154100,TVS
2023-08-07,24000,24250,23600,23800,105600,TVS
2023-08-08,23800,24150,23750,23750,171500,TVS
2023-08-09,23950,23950,23100,23450,127300,TVS
2023-08-10,23250,23800,23250,23250,43900,TVS
2023-08-11,23150,23700,22850,23100,90800,TVS
2023-08-14,23450,24000,23050,23850,166900,TVS
2023-08-15,24500,24600,23850,23850,315400,TVS
2023-08-16,23850,24150,23850,24150,95900,TVS
2023-08-17,24300,24750,23850,24050,315500,TVS
2023-08-18,24000,24000,22400,22400,214400,TVS
2023-08-21,22700,23000,21700,22150,134100,TVS
2023-08-22,22000,22850,21500,22000,92700,TVS
2023-08-23,22600,22600,22000,22200,44600,TVS
2023-08-24,22650,22650,22100,22650,52200,TVS
2023-08-25,22650,22650,22250,22300,86600,TVS
2023-08-28,22350,22800,22300,22800,75200,TVS
2023-08-29,22800,23200,22800,23150,83500,TVS
2023-08-30,23050,24100,23050,24000,111800,TVS
2023-08-31,24100,24800,23900,24400,231000,TVS
2023-09-05,24500,24750,24300,24500,178900,TVS
2023-09-06,24500,25800,24050,25100,262800,TVS
2023-09-07,25600,25600,24850,25100,241400,TVS
2023-09-08,25100,25700,25050,25450,201400,TVS
2023-09-11,25900,25900,25000,25000,291700,TVS
2023-09-12,24850,26100,24800,26100,236300,TVS
2023-09-13,26150,27250,26150,27000,488900,TVS
2023-09-14,27400,28400,27000,27600,285300,TVS
2023-09-15,28000,28000,26600,26900,127100,TVS
2023-09-18,26900,26900,25850,26050,177200,TVS
2023-09-19,26050,26450,25700,26300,108600,TVS
2023-09-20,26150,26950,26000,26900,138800,TVS
2023-09-21,27000,27000,25800,25800,215200,TVS
2023-09-22,24400,25200,24300,24550,343200,TVS
2023-09-25,24550,25200,23000,23000,157200,TVS
2023-09-26,23700,23700,23000,23100,164900,TVS
