time,open,high,low,close,volume,ticker
2023-01-04,3600,3600,3600,3600,500,TXM
2023-01-05,3500,3500,3500,3500,100,TXM
2023-01-06,3500,3500,3200,3500,9200,TXM
2023-01-13,3200,3400,3200,3400,1300,TXM
2023-01-16,3100,3400,3100,3100,5800,TXM
2023-01-17,3100,3100,3000,3000,5100,TXM
2023-01-18,3000,3000,3000,3000,2200,TXM
2023-01-19,3000,3300,3000,3200,7400,TXM
2023-01-30,3100,3200,3100,3200,400,TXM
2023-02-01,3200,3400,3200,3400,12200,TXM
2023-02-02,3400,3400,3400,3400,1800,TXM
2023-02-03,3300,3400,3300,3400,900,TXM
2023-02-06,3300,3400,3300,3400,3300,TXM
2023-02-07,3500,3500,3400,3400,800,TXM
2023-02-08,3200,3200,3200,3200,500,TXM
2023-02-09,3300,3400,3200,3400,800,TXM
2023-02-10,3300,3300,3200,3200,5700,TXM
2023-02-13,3200,3300,3100,3300,3100,TXM
2023-02-14,3300,3300,3300,3300,500,TXM
2023-02-15,3200,3300,3200,3300,2700,TXM
2023-02-17,3200,3300,3200,3300,700,TXM
2023-02-20,3200,3300,3200,3300,600,TXM
2023-02-21,3200,3200,3200,3200,12400,TXM
2023-02-22,3200,3300,3200,3300,600,TXM
2023-02-23,3300,3300,3300,3300,1100,TXM
2023-02-27,3300,3400,3300,3400,5600,TXM
2023-02-28,3400,3700,3400,3700,13000,TXM
2023-03-01,3700,3700,3400,3600,2800,TXM
2023-03-02,3500,3500,3300,3300,11400,TXM
2023-03-03,3200,3200,3200,3200,900,TXM
2023-03-07,3200,3300,3200,3300,400,TXM
2023-03-09,3200,3200,3200,3200,100,TXM
2023-03-13,3200,3200,3200,3200,7100,TXM
2023-03-14,3300,3300,3300,3300,15100,TXM
2023-03-15,3400,3400,3400,3400,500,TXM
2023-03-16,3200,3300,3200,3300,5400,TXM
2023-03-17,3200,3200,3200,3200,1800,TXM
2023-03-20,3200,3200,3200,3200,4600,TXM
2023-03-21,3200,3300,3200,3300,14500,TXM
2023-03-22,3300,3300,3300,3300,100,TXM
2023-03-23,3300,3300,3300,3300,500,TXM
2023-03-24,3200,3200,3200,3200,1000,TXM
2023-04-04,3400,3400,3400,3400,400,TXM
2023-04-06,3300,3300,3300,3300,2700,TXM
2023-04-07,3200,3200,3200,3200,1500,TXM
2023-04-10,3200,3400,3200,3400,5900,TXM
2023-04-11,3400,3400,3400,3400,300,TXM
2023-04-12,3500,3500,3500,3500,100,TXM
2023-04-13,3400,3400,3400,3400,3200,TXM
2023-04-14,3400,3400,3400,3400,1200,TXM
2023-04-17,3400,3400,3400,3400,3500,TXM
2023-04-18,3400,3500,3400,3500,1700,TXM
2023-04-19,3400,3400,3400,3400,100,TXM
2023-04-20,3400,3400,3400,3400,4000,TXM
2023-04-25,3400,3400,3400,3400,100,TXM
2023-04-26,3400,3400,3400,3400,2000,TXM
2023-04-28,3300,3300,3300,3300,200,TXM
2023-05-05,3400,3400,3400,3400,3500,TXM
2023-05-08,3400,3400,3400,3400,100,TXM
2023-05-09,3400,3400,3400,3400,100,TXM
2023-05-16,3300,3300,3300,3300,200,TXM
2023-05-17,3400,3500,3400,3500,300,TXM
2023-05-18,3500,3500,3500,3500,100,TXM
2023-05-24,3600,3600,3500,3500,11600,TXM
2023-05-29,3500,3500,3500,3500,4400,TXM
2023-05-31,3600,3600,3500,3600,2400,TXM
2023-06-01,3700,3700,3600,3600,300,TXM
2023-06-05,3700,3700,3700,3700,700,TXM
2023-06-06,3500,3900,3500,3900,300,TXM
2023-06-07,3600,3900,3600,3700,27600,TXM
2023-06-08,3700,4000,3700,3900,17000,TXM
2023-06-09,3900,3900,3600,3800,49500,TXM
2023-06-12,3700,3700,3600,3700,800,TXM
2023-06-13,3800,3900,3800,3900,20800,TXM
2023-06-14,4000,4000,3900,3900,2300,TXM
2023-06-15,3700,3800,3700,3800,200,TXM
2023-06-16,3700,3800,3700,3800,400,TXM
2023-06-19,3700,3700,3500,3700,61700,TXM
2023-06-20,3500,3500,3500,3500,2100,TXM
2023-06-21,3600,3800,3600,3800,12100,TXM
2023-06-22,4100,4100,4000,4100,56000,TXM
2023-06-23,4100,4300,4100,4200,4500,TXM
2023-06-26,4200,4200,3800,3800,22800,TXM
2023-06-27,3900,3900,3500,3700,25800,TXM
2023-06-28,3600,3700,3500,3500,33600,TXM
2023-06-29,3600,3600,3600,3600,6200,TXM
2023-06-30,3500,3600,3500,3500,8000,TXM
2023-07-03,3600,3700,3600,3700,5200,TXM
2023-07-04,3600,3700,3500,3700,12200,TXM
2023-07-05,3800,3800,3600,3700,2500,TXM
2023-07-06,3600,3700,3600,3700,700,TXM
2023-07-07,3600,3600,3500,3600,4000,TXM
2023-07-10,3600,3900,3600,3900,34700,TXM
2023-07-11,4100,4200,4100,4200,31900,TXM
2023-07-12,4600,4600,3900,4600,127900,TXM
2023-07-13,4800,5000,4200,4500,22000,TXM
2023-07-14,4300,4400,4100,4100,41900,TXM
2023-07-17,4100,4400,3700,4000,32500,TXM
2023-07-18,4400,4400,3900,4100,6000,TXM
2023-07-19,4000,4200,3700,3900,28600,TXM
2023-07-20,3800,3900,3700,3700,29000,TXM
2023-07-21,3700,3900,3700,3900,14000,TXM
2023-07-24,4200,4200,3800,3900,6700,TXM
2023-07-25,3800,3900,3800,3900,16200,TXM
2023-07-26,3900,4000,3900,3900,21600,TXM
2023-07-27,3900,3900,3800,3800,3500,TXM
2023-07-28,3800,4000,3700,4000,18300,TXM
2023-07-31,3900,4000,3700,3700,42500,TXM
2023-08-01,3900,4000,3800,3800,18200,TXM
2023-08-02,3800,3800,3500,3700,95600,TXM
2023-08-03,3600,3600,3600,3600,14000,TXM
2023-08-04,3800,3900,3700,3900,61300,TXM
2023-08-07,3700,4000,3700,3800,21100,TXM
2023-08-08,3800,4000,3800,4000,26800,TXM
2023-08-09,4000,4100,4000,4000,7700,TXM
2023-08-10,4000,4200,3800,4000,28800,TXM
2023-08-11,4000,4100,3900,4100,18200,TXM
2023-08-14,4000,4100,3900,4100,12400,TXM
2023-08-15,3900,4100,3900,3900,6900,TXM
2023-08-16,4000,4200,3900,4200,80800,TXM
2023-08-17,4200,4600,3900,4100,50500,TXM
2023-08-18,4400,4400,3900,3900,28800,TXM
2023-08-21,3800,4000,3700,3900,6200,TXM
2023-08-22,3900,3900,3900,3900,1800,TXM
2023-08-23,3800,3900,3800,3900,4200,TXM
2023-08-24,3800,3900,3700,3900,13700,TXM
2023-08-25,3800,3800,3600,3800,171300,TXM
2023-08-28,3700,3700,3700,3700,100,TXM
2023-08-29,3700,3800,3700,3800,4700,TXM
2023-08-30,3800,3900,3700,3700,27300,TXM
