time,open,high,low,close,volume,ticker
2023-01-03,11870,11870,11870,11870,2500,TYA
2023-01-04,11870,11870,11870,11870,300,TYA
2023-01-05,11870,11920,11870,11920,10500,TYA
2023-01-06,11870,12070,11730,11970,11200,TYA
2023-01-09,11970,12210,11970,12210,20100,TYA
2023-01-10,12070,12350,11820,12260,39300,TYA
2023-01-11,11970,12350,11870,12350,34100,TYA
2023-01-12,12160,12350,12070,12350,22600,TYA
2023-01-13,12350,12400,11870,12400,18500,TYA
2023-01-16,12400,12550,12210,12550,13100,TYA
2023-01-17,12640,12690,12640,12690,12200,TYA
2023-01-18,11870,12500,11870,12070,29700,TYA
2023-01-19,11730,12790,11680,12790,51300,TYA
2023-01-27,11970,12310,11920,12310,32400,TYA
2023-01-30,12310,12500,12260,12310,34300,TYA
2023-01-31,12350,12450,12070,12350,9700,TYA
2023-02-01,12350,12400,12110,12400,36700,TYA
2023-02-02,11780,12400,11780,12400,38500,TYA
2023-02-03,11970,12400,11970,12260,7400,TYA
2023-02-06,12260,12400,12260,12400,200,TYA
2023-02-07,12350,12450,12350,12400,3600,TYA
2023-02-08,12160,12310,11630,12310,13400,TYA
2023-02-09,12210,12350,12020,12310,16000,TYA
2023-02-10,12260,12260,12260,12260,300,TYA
2023-02-13,11820,12160,11530,12070,71900,TYA
2023-02-14,11780,12070,11680,11780,9900,TYA
2023-02-15,11580,11870,11200,11820,73200,TYA
2023-02-16,11440,12450,11290,11870,37200,TYA
2023-02-17,11490,11970,11490,11970,29000,TYA
2023-02-20,11440,11870,11390,11820,31500,TYA
2023-02-21,11680,11870,11490,11870,42600,TYA
2023-02-22,11530,11820,11440,11820,24900,TYA
2023-02-23,11630,11780,11340,11630,21000,TYA
2023-02-24,11630,11780,11490,11780,49900,TYA
2023-02-27,11490,11870,11340,11870,28500,TYA
2023-02-28,11530,11680,11440,11680,18100,TYA
2023-03-01,11680,11680,11580,11680,12700,TYA
2023-03-02,11680,11680,11440,11630,10700,TYA
2023-03-03,11580,11580,11490,11490,1000,TYA
2023-03-06,11490,11780,11490,11630,7400,TYA
2023-03-07,11580,11780,11290,11780,25800,TYA
2023-03-08,11680,11680,11290,11580,26400,TYA
2023-03-09,11490,11730,11340,11630,14900,TYA
2023-03-10,11680,11870,11580,11870,21500,TYA
2023-03-13,11870,11970,11490,11490,24900,TYA
2023-03-14,11490,11580,11200,11580,47100,TYA
2023-03-15,11680,11680,11000,11580,56100,TYA
2023-03-16,11530,11530,11000,11000,28200,TYA
2023-03-17,11100,11290,11100,11100,4100,TYA
2023-03-20,11200,11200,11000,11000,15100,TYA
2023-03-21,10960,11000,10960,10960,3800,TYA
2023-03-22,10960,10960,10960,10960,200,TYA
2023-03-23,11000,11000,11000,11000,600,TYA
2023-03-24,10710,10910,10710,10860,3700,TYA
2023-03-27,10810,10910,10810,10910,2100,TYA
2023-03-28,10670,10910,10670,10910,1100,TYA
2023-03-29,10760,10760,10570,10570,2600,TYA
2023-03-30,10620,10620,10570,10570,1100,TYA
2023-03-31,10810,10810,10810,10810,100,TYA
2023-04-03,11780,11780,11780,11780,1000,TYA
2023-04-04,11290,11290,11290,11290,200,TYA
2023-04-06,11100,11100,11100,11100,200,TYA
2023-04-07,10910,11100,10910,11100,12700,TYA
2023-04-07,10910,10910,10910,10910,12500,TYA
2023-04-10,11050,11340,11050,11290,9100,TYA
2023-04-11,11100,11100,11100,11100,200,TYA
2023-04-12,11290,11290,11100,11100,4100,TYA
2023-04-13,11340,11340,11340,11340,100,TYA
2023-04-14,11490,11490,11490,11490,100,TYA
2023-04-17,10710,10760,10710,10760,400,TYA
2023-04-18,10810,10860,10760,10860,8600,TYA
2023-04-19,10960,10960,10710,10710,1900,TYA
2023-04-20,10910,10910,10760,10760,2300,TYA
2023-04-21,10860,10860,10860,10860,100,TYA
2023-04-24,10760,10760,10760,10760,2100,TYA
2023-04-25,10620,10620,10620,10620,400,TYA
2023-04-26,10860,10860,10620,10620,9300,TYA
2023-04-27,10710,10910,10620,10620,2500,TYA
2023-04-28,10910,10910,10910,10910,100,TYA
2023-05-04,10910,10910,10910,10910,8100,TYA
2023-05-05,10710,10710,10710,10710,700,TYA
2023-05-08,10710,10710,10620,10710,16900,TYA
2023-05-09,10470,10810,10470,10810,10400,TYA
2023-05-10,10860,10860,10810,10860,2500,TYA
2023-05-11,11200,11200,10670,10670,9500,TYA
2023-05-12,10960,10960,10960,10960,100,TYA
2023-05-15,10710,10710,10710,10710,100,TYA
2023-05-16,10960,10960,10710,10710,3600,TYA
2023-05-17,10810,10910,10710,10810,5000,TYA
2023-05-18,10910,10910,10910,10910,100,TYA
2023-05-19,10910,10910,10710,10710,8500,TYA
2023-05-22,11100,11100,11100,11100,500,TYA
2023-05-23,11000,11000,10620,10620,5700,TYA
2023-05-24,10670,10710,10670,10710,200,TYA
2023-05-26,10330,10960,10330,10710,10100,TYA
2023-05-29,10710,10810,10620,10710,22000,TYA
2023-05-30,10710,11050,10710,11000,21700,TYA
2023-05-31,11000,11150,10810,10960,16900,TYA
2023-06-01,10910,10910,10520,10710,38000,TYA
2023-06-02,10570,11100,10570,10760,28400,TYA
2023-06-05,11000,11050,10910,10960,8800,TYA
2023-06-06,10960,10960,10760,10810,14700,TYA
2023-06-07,10860,10960,10810,10960,11300,TYA
2023-06-08,11000,11680,11000,11150,13400,TYA
2023-06-09,11290,11290,10910,11050,11600,TYA
2023-06-12,11390,11390,11100,11100,1600,TYA
2023-06-13,11000,11000,10910,10960,10100,TYA
2023-06-14,11240,11240,11000,11200,1900,TYA
2023-06-15,11100,11200,10910,10960,18200,TYA
2023-06-16,10960,11290,10960,11150,7400,TYA
2023-06-19,11150,11150,10960,11000,7300,TYA
2023-06-20,10860,11000,10620,10910,13900,TYA
2023-06-21,10910,11000,10810,11000,5400,TYA
2023-06-22,11000,11000,11000,11000,400,TYA
2023-06-23,11000,11000,10910,10910,6000,TYA
2023-06-26,10620,11050,10620,11000,4500,TYA
2023-06-27,10810,10960,10810,10910,3100,TYA
2023-06-28,10910,11100,10910,11100,30200,TYA
2023-06-29,11100,11800,11100,11150,4300,TYA
2023-06-30,11150,11400,11150,11400,13800,TYA
2023-07-03,11350,11350,11350,11350,500,TYA
2023-07-04,11350,11350,11000,11150,5300,TYA
2023-07-05,11150,11250,11150,11150,2600,TYA
2023-07-06,11350,11350,11050,11050,500,TYA
2023-07-07,11050,11050,11050,11050,2800,TYA
2023-07-10,11050,11200,11050,11200,1400,TYA
2023-07-11,11150,11200,11100,11100,19300,TYA
2023-07-12,11100,11100,11000,11100,25800,TYA
2023-07-13,11100,11150,11100,11150,31500,TYA
2023-07-14,11150,11300,11150,11300,1600,TYA
2023-07-17,11100,11250,11000,11000,11100,TYA
2023-07-18,11050,11050,11000,11050,6500,TYA
2023-07-19,11050,11050,10950,11050,8200,TYA
2023-07-20,10950,11000,10850,10850,9300,TYA
2023-07-21,10900,11000,10850,11000,12600,TYA
2023-07-24,10950,11100,10950,11000,5200,TYA
2023-07-25,11000,11000,10900,11000,7300,TYA
2023-07-26,11000,11000,10900,10900,3100,TYA
2023-07-27,10800,10950,10800,10800,13900,TYA
2023-07-28,10800,10800,10700,10800,11500,TYA
2023-07-31,10700,10800,10650,10800,6000,TYA
2023-08-01,10650,10650,10400,10400,3400,TYA
2023-08-02,10650,10650,10400,10500,16100,TYA
2023-08-03,10500,10600,10500,10600,3200,TYA
2023-08-04,10600,10600,10400,10550,6900,TYA
2023-08-07,10550,10900,10450,10700,12000,TYA
2023-08-08,10500,10650,10500,10650,2200,TYA
2023-08-09,10650,10800,10550,10700,9000,TYA
2023-08-10,10800,10800,10550,10650,5400,TYA
2023-08-11,10650,10650,10500,10600,6300,TYA
2023-08-14,10600,10600,10600,10600,6000,TYA
2023-08-15,10650,10700,10650,10700,3400,TYA
2023-08-16,10800,10800,10700,10800,6700,TYA
2023-08-17,10800,10800,10700,10750,8000,TYA
2023-08-18,10750,10750,10500,10500,11600,TYA
2023-08-21,10500,10650,10500,10500,3200,TYA
2023-08-22,10450,10500,10450,10500,8000,TYA
2023-08-23,10800,10800,10450,10500,7100,TYA
2023-08-24,10500,10650,10400,10650,10200,TYA
2023-08-25,10500,10500,10500,10500,600,TYA
2023-08-28,10500,10600,10400,10400,9700,TYA
2023-08-29,10500,10550,10500,10500,7000,TYA
2023-08-30,10600,10600,10550,10600,3200,TYA
2023-08-31,10500,10600,10500,10600,2600,TYA
2023-09-05,10600,10600,10500,10500,7800,TYA
2023-09-06,10500,10700,10500,10700,6000,TYA
2023-09-07,10750,10750,10650,10650,300,TYA
2023-09-08,10600,10900,10500,10600,6500,TYA
2023-09-11,10750,10750,10750,10750,100,TYA
2023-09-12,10600,10600,10600,10600,6500,TYA
2023-09-13,10600,10600,10600,10600,3000,TYA
2023-09-14,10550,10600,10500,10500,26700,TYA
2023-09-18,10450,10450,10450,10450,3500,TYA
2023-09-19,10650,10750,10400,10450,2100,TYA
2023-09-20,10450,10450,10450,10450,100,TYA
2023-09-21,10600,10600,10600,10600,200,TYA
2023-09-22,10600,10600,10350,10500,1600,TYA
2023-09-25,10500,10500,10500,10500,2800,TYA
2023-09-26,10500,10500,10400,10400,4400,TYA
2023-09-27,10650,10650,10300,10400,4200,TYA
2023-09-28,10400,10450,10400,10400,1600,TYA
2023-09-29,10400,10400,10400,10400,6700,TYA
2023-10-02,10400,10450,10300,10400,14200,TYA
2023-10-03,10400,10400,10350,10400,8500,TYA
2023-10-04,10300,10400,10300,10400,900,TYA
2023-10-05,10300,10400,10300,10300,3100,TYA
2023-10-06,10200,10200,10200,10200,1000,TYA
2023-10-09,10300,10300,10150,10150,1100,TYA
2023-10-10,10300,10350,10300,10300,13500,TYA
2023-10-11,10300,10300,10300,10300,200,TYA
2023-10-12,10350,10450,10300,10450,2800,TYA
2023-10-13,10450,10450,10300,10300,6200,TYA
