time,open,high,low,close,volume,ticker
2023-01-09,10190,10190,10190,10190,2000,V12
2023-01-16,9490,11150,9490,11150,400,V12
2023-01-17,11660,11660,10190,10190,400,V12
2023-01-27,10630,10630,10630,10630,100,V12
2023-01-30,11050,11050,9580,11050,400,V12
2023-02-02,10020,10800,10020,10800,200,V12
2023-02-07,9840,9840,9840,9840,200,V12
2023-02-08,10270,10270,10270,10270,1100,V12
2023-02-13,10190,10440,10190,10270,1000,V12
2023-02-15,11230,11230,11230,11230,100,V12
2023-02-16,12100,12100,12100,12100,100,V12
2023-02-20,13230,13230,13230,13230,100,V12
2023-02-21,13840,13840,12190,12190,2500,V12
2023-02-22,11580,13320,11580,13320,500,V12
2023-02-23,14450,14450,12010,12010,1200,V12
2023-02-24,12540,12540,10880,11490,800,V12
2023-02-28,10440,10440,10360,10360,3900,V12
2023-03-01,9660,10530,9490,10530,800,V12
2023-03-02,11230,11230,11230,11230,100,V12
2023-03-03,10190,11050,10190,10190,1400,V12
2023-03-06,11150,11150,11150,11150,300,V12
2023-03-07,10190,10190,10190,10190,600,V12
2023-03-08,9400,10190,9230,10190,2700,V12
2023-03-09,10190,10190,9400,9490,2000,V12
2023-03-10,10100,10100,10100,10100,200,V12
2023-03-14,10020,10440,10020,10190,13900,V12
2023-03-15,10360,10360,10190,10190,1200,V12
2023-03-16,10270,10270,10270,10270,700,V12
2023-03-20,10270,10270,10270,10270,400,V12
2023-03-21,10190,10190,10190,10190,1000,V12
2023-03-22,10190,10190,10190,10190,200,V12
2023-03-23,10190,10190,10190,10190,800,V12
2023-03-24,10190,10190,10190,10190,1000,V12
2023-03-27,10940,10940,10940,10940,1000,V12
2023-03-28,10270,10270,10270,10270,100,V12
2023-03-29,10270,10270,10270,10270,200,V12
2023-03-30,10370,10370,10370,10370,200,V12
2023-03-31,10080,10080,10080,10080,100,V12
2023-04-03,10940,10940,10940,10940,100,V12
2023-04-04,10180,10180,10180,10180,100,V12
2023-04-12,9890,9890,9890,9890,200,V12
2023-04-13,10560,10650,10560,10650,600,V12
2023-04-14,9700,10460,9700,10460,300,V12
2023-04-17,10940,10940,10940,10940,100,V12
2023-04-18,9890,9890,9890,9890,100,V12
2023-04-20,10560,10560,10560,10560,200,V12
2023-04-21,10460,10460,10460,10460,200,V12
2023-04-24,10370,10370,10370,10370,100,V12
2023-04-27,9890,9890,9890,9890,300,V12
2023-04-28,10180,10180,10180,10180,800,V12
2023-05-04,9700,9700,9610,9610,200,V12
2023-05-08,10080,10080,10080,10080,200,V12
2023-05-09,10080,10080,10080,10080,200,V12
2023-05-11,10270,10270,10270,10270,100,V12
2023-05-12,9800,9890,9800,9800,900,V12
2023-05-17,9800,9800,9800,9800,700,V12
2023-05-18,10750,10750,10750,10750,100,V12
2023-05-24,10460,10460,10460,10460,1100,V12
2023-05-25,10370,10460,9800,10460,2300,V12
2023-05-26,10460,11510,10460,11410,8600,V12
2023-05-29,11030,11410,11030,11410,3600,V12
2023-05-30,11410,11410,11410,11410,100,V12
2023-05-31,11410,12560,11410,12560,2700,V12
2023-06-01,12180,12180,11320,11800,6400,V12
2023-06-02,12270,12270,12270,12270,2300,V12
2023-06-05,11410,12370,11410,12180,3600,V12
