time,open,high,low,close,volume,ticker
2023-01-03,8730,8730,8730,8730,1900,VAF
2023-01-04,9190,9330,9190,9330,1500,VAF
2023-01-05,8680,8680,8680,8680,100,VAF
2023-01-11,8680,8680,8680,8680,100,VAF
2023-01-12,8080,9290,8080,8400,1200,VAF
2023-01-16,7860,7860,7860,7860,3100,VAF
2023-01-18,7550,8410,7550,8410,5500,VAF
2023-01-19,9000,9000,9000,9000,200,VAF
2023-01-27,9560,9610,8680,8680,900,VAF
2023-01-30,8500,8500,8500,8500,100,VAF
2023-01-31,9080,9090,9080,9090,500,VAF
2023-02-02,9610,9610,9610,9610,1000,VAF
2023-02-03,9560,9560,9560,9560,200,VAF
2023-02-08,9560,9560,9560,9560,700,VAF
2023-02-09,10210,10210,9560,9560,2600,VAF
2023-02-10,10210,10210,8930,10210,1200,VAF
2023-02-22,10210,10210,10210,10210,100,VAF
2023-02-27,9560,9560,9560,9560,100,VAF
2023-03-06,10170,10170,8910,8910,300,VAF
2023-03-07,8820,8910,8820,8910,14800,VAF
2023-03-09,8820,8910,8820,8910,1300,VAF
2023-03-13,9380,9470,9020,9020,1500,VAF
2023-03-21,8390,8390,8390,8390,300,VAF
2023-03-23,8119,8119,8119,8119,100,VAF
2023-03-24,8690,8690,8690,8690,1000,VAF
2023-03-28,8180,8180,8180,8180,100,VAF
2023-03-30,9290,9290,9290,9290,500,VAF
2023-03-31,8640,9940,8640,9940,900,VAF
2023-04-03,8820,8820,8820,8820,100,VAF
2023-04-04,8820,9420,8690,8690,400,VAF
2023-04-05,8870,8870,8870,8870,100,VAF
2023-04-06,9470,9470,9470,9470,1100,VAF
2023-04-07,9420,9420,9420,9420,200,VAF
2023-04-07,9420,9420,9420,9420,100,VAF
2023-04-10,10030,10070,10030,10070,5800,VAF
2023-04-12,9380,9380,9380,9380,100,VAF
2023-04-13,9330,9330,9330,9330,300,VAF
2023-04-14,8840,8840,8840,8840,3000,VAF
2023-04-19,8840,8840,8840,8840,100,VAF
2023-04-21,8830,8830,8830,8830,300,VAF
2023-05-05,9380,9420,9380,9420,400,VAF
2023-05-10,10070,10070,9470,9470,8200,VAF
2023-05-16,10120,10120,8930,8930,5800,VAF
2023-05-23,8940,8940,8940,8940,100,VAF
2023-05-24,8940,9560,8940,9560,200,VAF
2023-05-25,10210,10210,8930,8930,5900,VAF
2023-05-26,9520,9520,8930,9520,3300,VAF
2023-05-31,9520,10170,9520,10170,2800,VAF
2023-06-01,10210,10210,10210,10210,1300,VAF
2023-06-02,10310,10310,10210,10310,700,VAF
2023-06-05,10680,11000,10680,11000,800,VAF
2023-06-06,11050,11750,11050,11700,2100,VAF
2023-06-07,12500,12500,11000,11000,400,VAF
2023-06-08,11750,11750,11750,11750,500,VAF
2023-06-09,11000,11000,11000,11000,200,VAF
2023-06-12,10300,10400,10300,10300,400,VAF
2023-06-13,11000,11000,11000,11000,800,VAF
2023-06-14,11000,11000,10450,10450,200,VAF
2023-06-15,10500,10500,10500,10500,100,VAF
2023-06-16,10500,10500,10500,10500,100,VAF
2023-06-22,11200,11200,11000,11000,300,VAF
2023-06-23,10300,10300,10300,10300,600,VAF
2023-06-26,10800,11000,10350,10350,1300,VAF
2023-06-27,10200,10200,10200,10200,200,VAF
2023-06-30,10700,10700,10700,10700,100,VAF
2023-07-03,10050,10050,10050,10050,100,VAF
2023-07-04,10750,10750,10100,10100,3200,VAF
2023-07-06,10100,10100,10100,10100,400,VAF
2023-07-07,10700,10800,10700,10800,200,VAF
2023-07-11,11400,11400,10100,10100,1200,VAF
2023-07-12,10800,10800,9520,9520,3400,VAF
2023-07-13,9700,9700,9680,9680,1100,VAF
2023-07-14,10350,10350,10350,10350,500,VAF
2023-07-17,11000,11050,11000,11000,3500,VAF
2023-07-19,11200,11200,11200,11200,500,VAF
2023-07-20,10550,11000,10550,11000,200,VAF
2023-07-24,11000,11000,11000,11000,1100,VAF
2023-07-27,11100,11200,11100,11100,1300,VAF
2023-07-28,11050,11050,11000,11000,1200,VAF
2023-07-31,11100,11100,11100,11100,300,VAF
2023-08-01,10450,11400,10450,11400,300,VAF
2023-08-03,11250,11500,11150,11150,400,VAF
2023-08-04,11150,11900,11150,11900,1500,VAF
2023-08-07,12700,12700,12700,12700,3800,VAF
2023-08-08,13550,13550,13550,13550,4600,VAF
2023-08-09,14450,14450,14350,14450,2500,VAF
2023-08-10,15450,15450,15300,15400,3200,VAF
2023-08-11,14350,14350,14350,14350,2400,VAF
2023-08-14,13350,14000,13350,14000,3600,VAF
2023-08-16,13950,14000,13950,14000,200,VAF
2023-08-17,13050,13500,13050,13050,1500,VAF
2023-08-18,13500,13500,13050,13200,1100,VAF
2023-08-21,13200,13200,13200,13200,100,VAF
2023-08-22,12300,12300,12300,12300,300,VAF
2023-08-23,11450,11450,11450,11450,100,VAF
2023-08-24,10700,10700,10700,10700,100,VAF
2023-08-25,10750,10750,10750,10750,200,VAF
2023-08-28,10500,10500,10100,10100,1500,VAF
2023-08-29,10800,10800,10800,10800,100,VAF
2023-08-30,11050,11550,11000,11550,5500,VAF
2023-08-31,12350,12350,12350,12350,800,VAF
2023-09-05,13200,13200,13150,13200,5100,VAF
2023-09-06,12300,14000,12300,13500,5800,VAF
2023-09-07,13900,13950,12600,12600,5700,VAF
2023-09-08,13300,13450,13300,13450,12000,VAF
2023-09-11,14350,14350,14350,14350,6200,VAF
2023-09-12,15350,15350,13500,13600,5200,VAF
2023-09-13,13650,13800,13550,13650,8100,VAF
2023-09-14,12750,12750,12700,12700,600,VAF
2023-09-15,13000,13000,13000,13000,1200,VAF
2023-09-18,13000,13000,13000,13000,300,VAF
2023-09-19,13000,13000,12300,12300,300,VAF
2023-09-20,13100,13100,13100,13100,300,VAF
2023-09-21,12200,12200,12200,12200,1100,VAF
2023-09-22,12250,13000,12200,12200,7000,VAF
2023-09-26,12050,12050,11400,11400,1400,VAF
2023-09-27,11400,11400,11400,11400,1300,VAF
