time,open,high,low,close,volume,ticker
2023-01-04,24260,24260,24260,24260,100,VAV
2023-01-05,20650,24260,20650,24260,800,VAV
2023-01-06,20930,20930,20930,20930,100,VAV
2023-01-09,21310,21310,21310,21310,100,VAV
2023-01-11,23790,23790,23790,23790,300,VAV
2023-01-12,20270,23790,20270,23790,800,VAV
2023-01-16,19880,22830,19880,22830,300,VAV
2023-01-17,23690,23690,23690,23690,100,VAV
2023-01-18,20550,24740,20550,24740,2200,VAV
2023-01-19,20740,20930,20740,20930,500,VAV
2023-01-27,24070,24070,24070,24070,200,VAV
2023-01-30,21120,21120,21120,21120,100,VAV
2023-01-31,24260,24260,24260,24260,500,VAV
2023-02-01,21120,25690,21120,25690,500,VAV
2023-02-02,21220,21220,21220,21220,100,VAV
2023-02-07,22450,22450,22450,22450,400,VAV
2023-02-08,21120,22450,21120,22450,500,VAV
2023-02-13,22830,22830,22830,22830,100,VAV
2023-02-14,20550,21690,20550,21690,2200,VAV
2023-02-15,21690,21880,21690,21880,900,VAV
2023-02-16,22360,22360,21690,21880,3300,VAV
2023-02-17,21690,21690,21690,21690,1100,VAV
2023-02-20,21790,21790,21790,21790,900,VAV
2023-02-21,19500,22070,19500,22070,300,VAV
2023-02-22,22830,22830,21980,21980,600,VAV
2023-02-23,21880,21880,21880,21880,100,VAV
2023-02-27,21880,21880,21880,21880,200,VAV
2023-02-28,22830,22830,22830,22830,400,VAV
2023-03-03,21980,21980,21980,21980,1000,VAV
2023-03-08,24550,24550,24550,24550,100,VAV
2023-03-09,21120,21120,21120,21120,100,VAV
2023-03-14,24260,24260,24260,24260,300,VAV
2023-03-15,21030,21030,21030,21030,100,VAV
2023-03-20,20650,20650,20070,20270,1000,VAV
2023-03-21,22640,22830,22640,22830,1100,VAV
2023-03-22,20360,20360,20360,20360,100,VAV
2023-03-23,22830,22830,22830,22830,100,VAV
2023-03-24,22360,22360,22360,22360,100,VAV
2023-03-28,22830,22830,22830,22830,100,VAV
2023-03-31,20360,20360,20360,20360,800,VAV
2023-04-03,21500,21500,21500,21500,100,VAV
2023-04-04,22450,22450,22450,22450,100,VAV
2023-04-05,21980,21980,21980,21980,200,VAV
2023-04-07,22830,22830,22830,22830,400,VAV
2023-04-11,21030,21030,21030,21030,100,VAV
2023-04-12,23310,23310,23310,23310,100,VAV
2023-04-13,21410,21410,21410,21410,100,VAV
2023-04-19,22360,22830,22360,22830,1100,VAV
2023-04-20,22830,22830,22830,22830,300,VAV
2023-04-28,21030,21030,21030,21030,100,VAV
